"id"	"source_hash"	"old_translation"	"new_translation"	"reason"	"independent_review"	"reviewer"	"initial_new_translation"	"review_notes"
"mantle-book:tconstruct:encyclopedia:armor/tconstruct_slime_boots.json:/text/1/text"	"sha256:f7952682826d080f070f10f64482d6cbe98fa2c584abe7a246f7cc34107bf655"	"Их можно создать вылив эндер-слизь на кроличью лапку, а починить с  помощью кроличьей шкурки."	"Их можно создать, вылив эндер-слизь на кроличью лапку, а починить кроличьей шкуркой."	"Исправлены пунктуация, лишний пробел и управление."	"APPROVED"	"/root/original_changes_review"	"Их можно создать, вылив эндер-слизь на кроличью лапку, а починить кроличьей шкуркой."	"APPROVED_AS_IS"
"mantle-book:tconstruct:fantastic_foundry:blazing_blood/piglin_bartering.json:/text/0/text"	"sha256:96bbe047daa52db81def99b6ec520ef80cae2d6adfc35cdb7ee7636dac0d43c3"	"А Вы не склонны к насилию?  Ну, я видел, как некоторые из этих пиглинов несли фонари, наполненные какой-то огненной жидкостью, думаю, они используют её для освещения. Они могут расстаться с ними за определённую плату."	"Что, не склонны к насилию? Что ж, я видел, как некоторые пиглины несли фонари с какой-то огненной жидкостью; кажется, они используют её для освещения. Возможно, они отдадут её за плату."	"Исправлены регистр обращения, двойной пробел и несогласованность местоимения."	"APPROVED"	"/root/original_changes_review"	"Что, не склонны к насилию? Что ж, я видел, как некоторые пиглины несли фонари с какой-то огненной жидкостью; кажется, они используют её для освещения. Возможно, они согласятся обменять её за плату."	"REVISED: «отдадут её за плату» точно передаёт they might part with it for a price."
"mantle-book:tconstruct:mighty_smelting:abilities/general/tconstruct_unbreakable.json:/effects/3"	"sha256:8190a3687a0cddb81003da5cced46e609d5517cb6eac4c947450ebfa529afef5"	"Не эффективен, если Вы пытаетесь съесть свой инструмент"	"Бесполезен, если попытаться съесть инструмент"	"Исправлена неестественная формулировка эффекта."	"APPROVED"	"/root/original_changes_review"	"Бесполезен, если попытаться съесть инструмент"	"APPROVED_AS_IS"
"patchouli-lang:botania:botania.page.craftingHalo0"	"sha256:031926553116a30989dea90dace50f7f046d0faf60b116ee9ffb185e0ee6fbdb"	"Перенос $(item)Верстака$(0) обычно может быть затруднительным. $(item)Сборочный венец$(0) действует не только как портативный $(item)Верстак$(0), но и как быстрый способ крафта. Наличие предмета в руке отображает «ореол» рецептов вокруг держателя. $(p)Во-первых, щелчок ПКМ по таблице $(item)Крафа$(0) откроет интерфейс обработки."	"Переносить $(item)Верстак$(0) обычно неудобно. $(item)Сборочный венец$(0) служит портативным $(item)Верстаком$(0) и позволяет быстро создавать предметы. Если держать его в руке, вокруг игрока отображается «ореол» ячеек рецепта; нажмите ПКМ по отображённому $(item)Верстаку$(0), чтобы открыть интерфейс крафта."	"Восстановлен утраченный смысл и исправлены терминология с грамматикой."	"APPROVED"	"/root/original_changes_review"	"Переносить $(item)Верстак$(0) обычно неудобно. $(item)Сборочный венец$(0) служит портативным $(item)Верстаком$(0) и позволяет быстро создавать предметы. Если держать его в руке, вокруг игрока отображается «ореол» ячеек рецепта; нажмите ПКМ по отображённому $(item)Верстаку$(0), чтобы открыть интерфейс крафта."	"APPROVED_AS_IS"
"patchouli-lang:botania:botania.page.flugelEye0"	"sha256:dd95f185232f709f95d7a7a92765ff9a1e7356fda717c9c30181638762137a34"	"В отличие от крафтовой $(l:ender/flight_tiara)$(item)Тиары Флюгеля$(0)$(/l), $(item)Глаз Флюгеля$(0) содержит первородную $(thing)Магию Флюгелей$(0). Эта магия достаточно сильна, чтобы использовать способность $(thing)Флюгелей$(0) возвращаться на ранее посещенные места.$(p)Нажатие ПКМ с зажатым Shift привяжет Глаз к текущей позиции."	"В отличие от созданной на верстаке $(l:ender/flight_tiara)$(item)Тиары Флюгеля$(0)$(/l), $(item)Глаз Флюгеля$(0) содержит первородную $(thing)Магию Флюгелей$(0). Эта магия достаточно сильна, чтобы использовать способность $(thing)Флюгелей$(0) возвращаться в ранее посещённое место.$(p)Нажатие Shift+ПКМ этим глазом в выбранном месте привяжет его к этой позиции. Удерживая ПКМ с привязанным глазом, владелец потратит $(thing)Ману$(0) и телепортируется к привязанной точке."	"Восстановлена пропущенная механика удержания ПКМ и исправлена стилистика."	"APPROVED"	"/root/original_changes_review"	"В отличие от созданной на верстаке $(l:ender/flight_tiara)$(item)Тиары Флюгеля$(0)$(/l), $(item)Глаз Флюгеля$(0) содержит первородную $(thing)Магию Флюгелей$(0). Эта магия достаточно сильна, чтобы использовать способность $(thing)Флюгелей$(0) возвращаться в ранее посещённое место.$(p)Нажатие Shift+ПКМ этим глазом в выбранном месте привяжет его к этой позиции. Удерживая ПКМ с привязанным глазом, владелец потратит $(thing)Ману$(0) и телепортируется к привязанной точке."	"APPROVED_AS_IS"
"patchouli-lang:botania:botania.page.incense2"	"sha256:d38a465144a04b38106b5584af94aa66e14a9079b99b689caa716ec71822ec17"	"$(item)Ароматическая плита$(0), сжигает 1Ароматические палочки$(0),и обеспечивает эффекты $(thing)Варева$(0), введенные в палку, любым игрокам на радиусе 30 блоков пластины. $(p)Не все и $(thing)Варева$(0) могут быть добавлены в $(item)Ароматические палочки$(0), например, $(thing)Мгновенное лечение$(0) или $(item)Поглащение$(0). Палочки не могут иметь более одного эффекта."	"$(item)Ароматические плиты$(0), в которых горят $(item)Ароматические палочки$(0), передают эффекты $(thing)Варева$(0), добавленного в палочку, всем игрокам в радиусе 30 блоков.$(p)Не каждое $(thing)Варево$(0) можно добавить в $(item)Ароматические палочки$(0): например, не подойдут $(thing)Мгновенное лечение$(0), $(thing)Поглощение$(0) и варева с несколькими эффектами."	"Исправлены повреждённая разметка, опечатки и смысл ограничений."	"APPROVED"	"/root/original_changes_review"	"$(item)Ароматические плиты$(0), в которых горят $(item)Ароматические палочки$(0), передают эффекты $(thing)Варева$(0), добавленного в палочку, всем игрокам в радиусе 30 блоков.$(p)Не каждое $(thing)Варево$(0) можно добавить в $(item)Ароматические палочки$(0): например, не подойдут $(thing)Мгновенное лечение$(0), $(thing)Поглощение$(0) и варева с несколькими эффектами."	"APPROVED_AS_IS"
"patchouli-lang:botania:botania.page.lens4"	"sha256:063c8b9315dddc3ec10f4885c1de7425961b3b89e84b3008f86a4df2aec85d36"	"Но линзы предназначены не только для смены цветов. Можно улучшить их разными материалами, и так создать новую линзу, способную наложить на $(thing)сгустки маны$(0) кучу разных эффектов. Имейте в виду, что обычные $(item)Распр-тели$(0) испускают сгустки, только когда на их пути находится какой-нибудь принимающий $(thing)ману$(0) блок. Для некоторых линз лучше использовать $(item)Красный распр-тель$(0)."	"Но линзы нужны не только для красивых цветов: их можно улучшать разными материалами, чтобы $(thing)Сгустки маны$(0) получали разнообразные эффекты.$(p)Помните: обычный $(l:mana/spreader)$(item)Распространитель маны$(0)$(/l) должен быть направлен на блок, принимающий $(thing)Ману$(0), иначе он не выстрелит. Для некоторых линз лучше подойдёт $(l:mana/redstone_spreader)$(item)Импульсный распространитель маны$(0)$(/l).$(p)Такие блоки, как $(item)Воронки$(0), могут устанавливать и снимать линзы распространителей."	"Восстановлен пропущенный абзац; исправлены сокращения и терминология."	"APPROVED"	"/root/original_changes_review"	"Но линзы нужны не только для красивых цветов: их можно улучшать разными материалами, чтобы $(thing)Сгустки маны$(0) получали разнообразные эффекты.$(p)Помните: обычный $(l:mana/spreader)$(item)Распространитель маны$(0)$(/l) должен быть направлен на блок, принимающий $(thing)Ману$(0), иначе он не выстрелит. Для некоторых линз лучше подойдёт $(l:mana/redstone_spreader)$(item)Импульсный распространитель маны$(0)$(/l).$(p)Такие блоки, как $(item)Воронки$(0), могут устанавливать и снимать линзы распространителей."	"APPROVED_AS_IS"
"patchouli-lang:botania:botania.page.lens5"	"sha256:9481392c1677fd67a445d1dedfbdff469cf029d7862a929f4e9fec4150b6e22d"	"Порой бывает, что для распр-теля нужно как минимум две $(item)линзы маны$(0). Положив обе линзы и $(item)сгусток слизи$(0) на верстак, их можно объединить в одну, при этом сохранив эффекты обоих. Важно знать, что именно первая линза будет определять визуальные эффекты составной (текстуру и цвет). Также помните, что некоторые линзы невозможно объединить, как и две одинаковые."	"Иногда одной $(item)Линзы маны$(0) на распространителе недостаточно. Объединив две линзы со $(item)Сгустком слизи$(0) или $(item)Бутылочкой мёда$(0) на верстаке, вы получите одну линзу с эффектами обеих.$(p)Первая использованная линза определяет внешний вид и цвет результата. Учтите, что некоторые сочетания не работают и две линзы одного типа объединить нельзя."	"Восстановлен вариант с бутылочкой мёда и устранены разговорные сокращения."	"APPROVED"	"/root/original_changes_review"	"Иногда одной $(item)Линзы маны$(0) на распространителе недостаточно. Объединив две линзы со $(item)Сгустком слизи$(0) или $(item)Бутылочкой мёда$(0) на верстаке, вы получите одну линзу с эффектами обеих.$(p)Первая использованная линза определяет внешний вид и цвет результата. Учтите, что некоторые сочетания не работают и две линзы одного типа объединить нельзя."	"APPROVED_AS_IS"
"patchouli-lang:botania:botania.page.manaGear10"	"sha256:9e72f7330249523fc72377f1cab1b39828f06e477e408f873dfbe1ee506fda93"	"Некоторые части набора инструментов имеют возможность при щелчке ПКМ. $(item)Кирка$(0) поместит факел из инвентаря пользователя, $(item)Топор$(0) сделает то же самое для саженца, а $(item)Лопата$(0) будет для земли, как и мотыга. $(p)Имейте ввиду, что $(item)Ножницы$(0) с помощью маны будут увеличивать кол-во шерсти с овец."	"Некоторые инструменты из $(item)Манастали$(0) выполняют особые действия при нажатии ПКМ: $(item)Кирка$(0) ставит факел из инвентаря игрока, а $(item)Топор$(0) — саженец.$(p)Учтите, что $(item)Ножницы$(0) из материалов на основе маны, в отличие от железных, активируют растяжки."	"Исправлен искажённый смысл: убраны несуществующие действия лопаты и ножниц."	"APPROVED"	"/root/original_changes_review"	"Некоторые инструменты из $(item)Манастали$(0) выполняют особые действия при нажатии ПКМ: $(item)Кирка$(0) ставит факел из инвентаря игрока, а $(item)Топор$(0) — саженец.$(p)Учтите, что $(item)Ножницы$(0) из материалов на основе маны, в отличие от железных, активируют растяжки."	"APPROVED_AS_IS"
"patchouli-lang:botania:botania.page.phantomInk0"	"sha256:cdcd97f208c7c8282e732a5cb03e84ab70a76ee81be9e96a9efe22e6823b58e3"	"Наличие множества аксессуаров под комплектом доспехов - это не мечта. Это слишком громодно, плоско и некрасиво!$(p)К счастью, покрасив доспехи или безделушки $(item)Фантомными чернилами$(0) (совместив их в сетке крафта) Вы можете сделать их полностью невидимыми, но при этом они будут иметь те же свойства. Это будет работать только с бронёй, которая может использовать $(thing)Ману$(0)."	"Никто не мечтает прятать красивый скин и аксессуары под громоздкими доспехами: они массивные, плоские и, хуже всего, немодные!$(p)К счастью, если объединить доспехи с $(item)Фантомными чернилами$(0) в сетке крафта, доспехи станут совершенно невидимыми, сохранив все свои свойства. ($(item)Фантомные чернила$(0) действуют только на комплекты доспехов, использующие $(thing)Ману$(0).)"	"Исправлены пропущенный смысл и область действия предмета."	"APPROVED"	"/root/original_changes_review"	"Никто не мечтает прятать красивый скин и аксессуары под громоздкими доспехами: они массивные, плоские и, хуже всего, немодные!$(p)К счастью, если объединить доспехи с $(item)Фантомными чернилами$(0) в сетке крафта, доспехи станут совершенно невидимыми, сохранив все свои свойства. ($(item)Фантомные чернила$(0) действуют только на комплекты доспехов, использующие $(thing)Ману$(0).)"	"APPROVED_AS_IS"
