"id"	"source_hash"	"source"	"effective_translation"	"context"	"version"	"origin"
"block:block.botania.abstruse_platform"	"sha256:2e2563c9814ecce0a172a728718b54bbc08874368235f196453ccae23c2635ef"	"Abstruse Platform"	"Заумная платформа"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.agricarnation_chibi"	"sha256:3296ff98b9999eb657726badeec4a66c4f3e2afa5b9c95fddf4e8babd5167701"	"Agricarnation Petite"	"Маленькая Агрогвоздика"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.animated_torch"	"sha256:7ef694180978931d726ad557eaa816f15544a4ff36c715054fd7a2f765a992e6"	"Animated Torch"	"Оживлённый факел"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.apothecary_deepslate"	"sha256:676ae045030bacac3093f75f44ef7026b81ea95796525a987f09cf0bdde61d80"	"Deepslate Petal Apothecary"	"Глубинный лепестковый аптекарь"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.apothecary_default"	"sha256:c37e54b47bd139b3bd92ac5aedb95932cb9c45933c781d2191fbc24380916179"	"Petal Apothecary"	"Лепестковый аптекарь"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.apothecary_desert"	"sha256:57c04fe45d0d2e2564b9dbfbe689fb60e525c227e91ace3fa0f801e0ce917a66"	"Solite Petal Apothecary"	"Солитовый лепестковый аптекарь"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.apothecary_forest"	"sha256:1e8e3e63e6d8ca394c8d3f59ac370e2f944065f02db944ddddfac69b459249b5"	"Fuchsite Petal Apothecary"	"Фукситовый лепестковый аптекарь"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.apothecary_fungal"	"sha256:c531209cd284683a0ecf2692e2e467616da9404e6c218bab01271d7cf7cf5381"	"Mycelite Petal Apothecary"	"Мицелитовый лепестковый аптекарь"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.apothecary_livingrock"	"sha256:da19be1e83881285675875b42b136ecd5bfae20c4f08b743939effa851308e28"	"Livingrock Petal Apothecary"	"Живой лепестковый аптекарь"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.apothecary_mesa"	"sha256:9f09235588962485edda181ff4889a274caeec8adcdbf35cb210d526e958d21a"	"Rosy Talc Petal Apothecary"	"Розовый тальковый лепестковый аптекарь"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
