id	source_hash	source	verdict	recommendation
block:block.ae2.smooth_quartz_wall	sha256:6ba22b0e48b787fc914323fe8cb25d64701f9994f8a6730779536869fbcbde3c	Smooth Certus Quartz Wall	CHANGE	Гладкая стена из истинного кварца
block:block.dustrial_decor.sheet_metal_walling	sha256:e80113d6512948de1b2f65c8f14f955d63a9b258808f782dc798263ff7538190	Sheet Metal Walling	CHANGE	Облицовка из листового металла
block:block.escalated.wooden_narrow_escalator	sha256:4dc94367fcea6ce40d5f5621a527e9e0908665ab4b15ab849058d0c9b20ff6ae	Wooden Escalator	CHANGE	Деревянный эскалатор
block:block.immersiveengineering.slab_sheetmetal_electrum	sha256:bbeb486f7692f487a4a5594d00ed881d9fc1a6632e395ae931db58246b80faad	Electrum Sheetmetal Slab	CHANGE	Электрумовая плита из листового металла
block:block.mekanism.antiprotonic_nucleosynthesizer	sha256:fbf3264dea4a3dc6faa5fe3da05b374524c5fd3b2a0708e60ee7159de479fcb7	Antiprotonic Nucleosynthesizer	CHANGE	Антипротонный нуклеосинтезатор
block:block.mekanism.resistive_heater	sha256:92a0742ec51365ae8aa2216bc01bd58a250e8efe2f16ccca252364dcba2d6375	Resistive Heater	CHANGE	Резистивный нагреватель
block:block.mekanism.steam	sha256:68956c8be0e4f5f91936a7cbd13e11522f856be27e16472ee6b545de89d4561c	Liquid Steam	CHANGE	Жидкий пар
block:block.neapolitan.black_adzuki_candle_cake	sha256:775b33321093d6d933b74c0571f8fcfd61988f4ad8ecb3a3d5e89aee98ad1ffb	Adzuki Cake with Black Candle	CHANGE	Адзуковый торт с чёрной свечой
block:block.neapolitan.black_banana_candle_cake	sha256:fceea946a3ae6abb204cf116f45c71ef40819bf2c96ec493a0f89d7f5860fd66	Banana Cake with Black Candle	CHANGE	Банановый торт с чёрной свечой
block:block.neapolitan.black_chocolate_candle_cake	sha256:943debdbbd4d6762061fdbba5a846b09ce910d1fa4bf0c32c1989e54878b9717	Chocolate Cake with Black Candle	CHANGE	Шоколадный торт с чёрной свечой
block:block.neapolitan.black_mint_candle_cake	sha256:0c506429d79818b9395992e1a1206007046ddc94856c39a1982af8041353e91e	Mint Cake with Black Candle	CHANGE	Мятный торт с чёрной свечой
block:block.neapolitan.black_strawberry_candle_cake	sha256:d0a5251fe40c57bdbf5cd32f7fae5ffbdf9c668cb133477c7adffe0f987d0062	Strawberry Cake with Black Candle	CHANGE	Клубничный торт с чёрной свечой
block:block.neapolitan.black_vanilla_candle_cake	sha256:0355a43230947cfa379eafaa7f2d3ff19cd44b54ae2e59f028ffdd931459bde6	Vanilla Cake with Black Candle	CHANGE	Ванильный торт с чёрной свечой
block:block.neapolitan.blue_adzuki_candle_cake	sha256:e7e0bd7775d08054be8f48b985c5a7f7cc08c1784d3f61089b6005dfdf801da0	Adzuki Cake with Blue Candle	CHANGE	Адзуковый торт с синей свечой
block:block.neapolitan.blue_banana_candle_cake	sha256:d6955461f48248543f56835e346b7b9e3ece31f560f5720649f9f74710c10d67	Banana Cake with Blue Candle	CHANGE	Банановый торт с синей свечой
block:block.neapolitan.blue_chocolate_candle_cake	sha256:bda91d3f8a35498b5fa1703db865c4c74dc84660021c2e2a79c149de0e4fb425	Chocolate Cake with Blue Candle	CHANGE	Шоколадный торт с синей свечой
block:block.neapolitan.blue_mint_candle_cake	sha256:6825ea58d6601d27d68b41dc4b1b843983efc4daf25b6e9dc28c58edff119e40	Mint Cake with Blue Candle	CHANGE	Мятный торт с синей свечой
block:block.neapolitan.blue_strawberry_candle_cake	sha256:4f8ff1ab84fdf0fd2a58dc9f1a443510cf4e2e27c2c1132f33335fe2f9ca61d6	Strawberry Cake with Blue Candle	CHANGE	Клубничный торт с синей свечой
block:block.neapolitan.blue_vanilla_candle_cake	sha256:77120f6799cc891b6f4a9bb8870478a03ba9e16fee44d112fb05111e09db0736	Vanilla Cake with Blue Candle	CHANGE	Ванильный торт с синей свечой
block:block.neapolitan.brown_adzuki_candle_cake	sha256:50463437a136355a755a9f1ae7004264b014a484c98cd2cdc0d08e28d0744c88	Adzuki Cake with Brown Candle	CHANGE	Адзуковый торт с коричневой свечой
block:block.neapolitan.brown_banana_candle_cake	sha256:96d3d3973b321682cc93065d0a5dc9f5e0f92a6ed03bc11a2d0a2a2a895d3d83	Banana Cake with Brown Candle	CHANGE	Банановый торт с коричневой свечой
block:block.neapolitan.brown_chocolate_candle_cake	sha256:fed45238f6344d4dc5189ed1446d90176b7329a43e41107a7bd7b47ea487149f	Chocolate Cake with Brown Candle	CHANGE	Шоколадный торт с коричневой свечой
block:block.neapolitan.brown_mint_candle_cake	sha256:65c0c685c651613f98c1f799198771e3889dda2410ac7c370ff6911afbcfb1c1	Mint Cake with Brown Candle	CHANGE	Мятный торт с коричневой свечой
block:block.neapolitan.brown_strawberry_candle_cake	sha256:1b2f0e124e61bba80e373d8edcd6fafd5ab87347cbd819e27c52d1a9b5d6dbfd	Strawberry Cake with Brown Candle	CHANGE	Клубничный торт с коричневой свечой
block:block.neapolitan.brown_vanilla_candle_cake	sha256:8659e17b90caae93cbdc1f0bf5ac11443733719fc56236fd165969563975ebbf	Vanilla Cake with Brown Candle	CHANGE	Ванильный торт с коричневой свечой
block:block.neapolitan.chocolate_brick_slab	sha256:08a286698d6b17795c9e430f136b878dafa53c2981c8ae42311346f4f0038c7a	Chocolate Brick Slab	CHANGE	Плита из шоколадных кирпичей
block:block.neapolitan.cyan_adzuki_candle_cake	sha256:073375fd0b77f29f4e4be5b91e1334fa5dfdc67afb363ffdbeafbf8073d79397	Adzuki Cake with Cyan Candle	CHANGE	Адзуковый торт с бирюзовой свечой
block:block.neapolitan.cyan_banana_candle_cake	sha256:7fef0f15857606b06828048b75cb156fd4f27b286d3d70ee4cd2ecd0460f322b	Banana Cake with Cyan Candle	CHANGE	Банановый торт с бирюзовой свечой
