"id"	"source_hash"	"source"	"verdict"	"recommendation"
"patchouli-lang:botania:botania.page.elfMessage1"	"sha256:2ad813db8f803c3115a8e547ec4f9a025799d65ba1bda78232cb537316f5e606"	"$(o)Greetings. We found this book when one of our old portal frames spontaneously opened a link to another world-- quite a shock for us indeed. On behalf of all Elven Garde, we thank you sincerely for providing us with a repository of the knowledge from your world. It's been a while since we had to leave, so it's good to see that it's been doing well."	"CHANGE"	"$(o)Приветствуем! Мы нашли эту книгу, когда одна из старых портальных рам сама открыла связь с другим миром — это стало для нас большим потрясением. От имени всей Эльфийской стражи сердечно благодарим за собрание знаний вашего мира. Нам давно пришлось его покинуть, и мы рады узнать, что у вас всё хорошо.$(0)"
"patchouli-lang:botania:botania.page.elfMessage2"	"sha256:d801dd8d6396cf72af29bddf36d0b29cfe7efeac8024e408635d8232053babda"	"$(o)After extensive discussion within the High Council of Elven Garde, we have decided to cooperate with you. You see, your ""Lexica Botania"" makes references to certain resources from your world that we might be extremely keen to get our hands on-- these resources are simply non-existent in our lands."	"CHANGE"	"$(o)После долгих обсуждений в Высшем совете Эльфийской стражи мы решили сотрудничать с вами. Видите ли, в вашем ""Лексиконе Ботании"" упоминаются некоторые ресурсы вашего мира, которые мы очень хотели бы заполучить: в наших землях их попросту нет.$(0)"
"patchouli-lang:botania:botania.page.elfMessage3"	"sha256:bcb7675b40b1fba5cab11775b0fa0a8f50bc6a07823e6d75fa0a5fcae5d04a02"	"$(o)The link you've established is, unfortunately, too weak to transfer living beings-- this seems to be a consequence of the sheer distance between our realms. A pity: we would have liked to meet our trading partner in person. However, on the upside, the link allows us to change the synchronization of time across our worlds-- which is how you will receive your book back so quickly, at least from your perspective."	"CHANGE"	"$(o)Установленная вами связь, к сожалению, слишком слаба, чтобы переносить живых существ: вероятно, причина в огромном расстоянии между нашими мирами. Жаль: мы хотели встретиться с нашим торговым партнёром лично. Зато связь позволяет менять синхронизацию времени в наших мирах, поэтому вы получите книгу обратно так быстро — по крайней мере, с вашей точки зрения.$(0)"
"patchouli-lang:botania:botania.page.elfMessage5"	"sha256:0a29a917cf0f322ceaa8a360d094cd93f2862e24bde39d9e3949d577d37922f2"	"$(o)We have taken the liberty of assigning our best scribes to transcribe the bulk of the knowledge from our world into your lexicon. We hope you find it enlightening, and that the knowledge encourages you to invest in our materials."	"CHANGE"	"$(o)Мы поручили лучшим писцам перенести в ваш лексикон большую часть знаний нашего мира. Надеемся, они окажутся для вас полезны и побудят вас использовать наши материалы.$(0)"
"patchouli-lang:botania:botania.page.elfResources0"	"sha256:77b8af7c9632ef545d7ad2b99d8bd195b99feacaad1947d03979bdda73919521"	"$(thing)Alfheim$(0) contains a myriad of valuable resources. Unfortunately, most of them are rather scarce due to competition between the various $(thing)Elven$(0) clans. The Elves you have contacted are interested in trading resources native to their lands, such as $(item)Dreamwood$(0), $(item)Elementium$(0), $(item)Pixie Dust$(0) and $(item)Dragonstones$(0)."	"CHANGE"	"$(thing)Эльфхейм$(0) богат ценными ресурсами. К сожалению, из-за соперничества эльфийских кланов большинство из них довольно редки. Эльфы, с которыми вы связались, хотят обменять местные ресурсы — $(item)Древесину мечтаний$(0), $(item)Элементий$(0), $(item)Пыльцу фей$(0) и $(item)Камни дракона$(0) — на ресурсы вашего мира."
"patchouli-lang:botania:botania.page.elfResources6"	"sha256:4757f0560edd3f179bf19048ad551ba7e0b10ba67a0e081085eba3c6d48c3ebe"	"The $(thing)Elves$(0) also have their eyes on that white posh-looking material from the $(thing)Nether$(0), $(item)Nether Quartz$(0), as the stuff they have in their world is tinted green. This quartz holds no functional difference to other types of quartz, including normal $(item)Nether Quartz$(0) and any of its decorative variants."	"CHANGE"	"$(item)Эльфы$(0) также заинтересованы в белом изысканном материале из $(thing)Незера$(0) — $(item)Незер-кварце$(0), ведь кварц в их мире имеет зелёный оттенок. По свойствам эльфийский кварц не отличается от других видов кварца, включая обычный Незер-кварц и его декоративные варианты. Подробнее читайте в статье $(thing)Декоративные блоки$(0) раздела $(thing)Разное$(0)."
"patchouli-lang:botania:botania.page.gaiaRitual3"	"sha256:51c6987be07cd066a8a356aea1e1ac134f25ea6cfbc4e8bc86bd40870759be3c"	"To start the ritual, simply sneak-right click the $(item)Beacon$(0) with the $(l:basics/terrasteel)$(item)Terrasteel Ingot$(0)$(/l), take a step back, and prepare to fight for your life. Preparation is absolutely required-- the fight with the $(thing)Guardian of Gaia$(0) can be even harder than that with the $(thing)Wither$(0). Upon the $(thing)Guardian$(0)'s defeat, a handful of $(item)Spirits of Gaia$(0) is dropped as a prize."	"CHANGE"	"Чтобы начать ритуал, присядьте и нажмите ПКМ по $(item)Маяку$(0), держа в руке $(l:basics/terrasteel)$(item)Слиток террастали$(0)$(/l); затем отойдите и приготовьтесь сражаться за свою жизнь. Подготовка необходима: бой с $(thing)Хранителем Гайи$(0) может оказаться сложнее боя с $(thing)Иссушителем$(0). После победы над $(thing)Хранителем$(0) вы получите в награду горсть $(item)Духов Гайи$(0)."
"patchouli-lang:botania:botania.page.kingKey0"	"sha256:afaba3cf28edfafcf70ae12f47060e60183cda6758133e65a8a9b7fad4c77f74"	"The $(item)Key of the King's Law$(0) is a powerful relic with the ability to materialize weapons from thin air. Holding down right-click with this key will begin summoning glowing projectiles from... somewhere. Up to twenty projectiles can be created at once, and releasing the grip on the key will launch them, one at a time, at the point the summoner is looking towards. These projectiles move at high velocities and explode on contact."	"CHANGE"	"$(item)Ключ от Королевского арсенала$(0) — могущественная реликвия, материализующая оружие из воздуха. Удерживайте ПКМ ключом, чтобы призвать светящиеся снаряды. Одновременно можно создать до двадцати снарядов; отпустите ключ, и они один за другим полетят туда, куда направлен ваш взгляд. Снаряды движутся быстро и взрываются при столкновении."
"patchouli-lang:botania:botania.page.lexicon0"	"sha256:e5a71e94ee2c112afbc6ddecd5082616da3945344557ec7d10252a3f2acc6c2c"	"The $(item)Lexica Botania$(0) is the repository of all knowledge for all botanical matters. (But you probably knew that already.)$(p)All well-known botanical knowledge is stored within these pages. For convenience, if a block happens to have an entry in here, it can be sneak-right clicked on with the $(item)Lexica Botania$(0) to open said entry."	"CHANGE"	"$(item)Лексикон Ботании$(0) — кладезь знаний для ботаника. Впрочем, вы, вероятно, уже это знаете.$(p)Вся информация собрана здесь. Если у блока есть описание, возьмите $(item)Лексикон Ботании$(0) в руку и нажмите Shift+ПКМ по блоку, чтобы открыть его."
"patchouli-lang:botania:botania.page.pureDaisy0"	"sha256:258370733e319a9a2d033800c9b71505c0b4aa08d0bbd40830882564bc339194"	"Far from being just the most basic, the $(item)Pure Daisy$(0) is the most important flower a botanist can have.$(p)This flower will purify any adjacent $(item)Wood$(0) and $(item)Stone$(0) blocks (as seen on the next page) into their purified counterparts, $(item)Livingwood$(0) and $(item)Livingrock$(0). These resources are important crafting materials throughout a botanist's career."	"CHANGE"	"$(item)Чистая Маргаритка$(0) — не только самый простой, но и самый важный цветок для ботаника.$(p)Этот цветок превращает соседние блоки $(item)Дерева$(0) и $(item)Камня$(0) (как показано на следующей странице) в $(item)Жизнедерево$(0) и $(item)Жизнекамень$(0). Эти материалы пригодятся вам для создания множества предметов."
