id	source_hash	translation
patchouli-json:thermal:guidebook:categories/ducts.json:/description	sha256:27734a1b9d131f97a38a15a506531960d3e1f12ffdad736a002ba5bba3bb79d6	Как перемещать <thing>?
patchouli-json:thermal:guidebook:categories/ducts.json:/name	sha256:3b06ad9fdd10c2e40a4e21020d72ea3572324f7dc2784102632b7e6bca9f40fe	Трубы
patchouli-json:thermal:guidebook:entries/equipment/tools/florb.json:/name	sha256:8cf3c31691fae632eab53af38748fc0d16044e61ca180dcac24514132d4086f0	Флорбы
patchouli-json:thermal:guidebook:entries/equipment/tools/florb.json:/pages/0/text	sha256:5da6fe10cd16cdbd1463ca550e900f812b841098227b4033d8798f526d31e7e7	Флорб. Сокращение от Fluid-Orb, разумеется. Вмещает одно ведро жидкости. Его можно бросать! Учтите, что флорб можно наполнить только жидкостью, которую можно разлить в мире.
patchouli-json:thermal:guidebook:entries/equipment/tools/florb.json:/pages/1/title	sha256:46a5c2a06b8983d763784752d1e2da22355e7de01edc95879b994e52171a3337	Флорб
patchouli-json:thermal:guidebook:entries/storage_and_transport/dynamics/energy_duct.json:/name	sha256:d1b90599aec5fb241f3fe7fb250e4d6f18b8b21085c6ffdc3bc135144f310ad6	Энергетическая труба
patchouli-json:thermal:guidebook:entries/storage_and_transport/dynamics/energy_duct.json:/pages/0/text	sha256:90bfea1a96221b4c82e8dddec5815165681e92800bddb16184dfc134ee725065	Энергетические трубы передают энергию. Много ли? Достаточно. Когда сеть работает на пределе, её пропускная способность растёт. Поэтому поддерживайте стабильное потребление энергии. Для ограничения потока можно использовать насадку «Ограничитель RF».
patchouli-json:thermal:guidebook:entries/storage_and_transport/dynamics/energy_duct.json:/pages/2/text	sha256:3e4a1e312a3cc2fde0278648cc13aea7edb3cc5eca67ee81e783725da681979f	$(li)Насадка: ограничитель RF
patchouli-json:thermal:guidebook:entries/storage_and_transport/dynamics/energy_duct.json:/pages/2/title	sha256:8239ce4998c9f36021ee5e772277cd5957aa76b145bfb1259ddc10ca9c408f70	Совместимые насадки
patchouli-json:thermal:guidebook:entries/storage_and_transport/dynamics/fluid_duct.json:/name	sha256:7b05358af924461d69cf900476511dffd499cc4df04063d26afc262b60312d1c	Жидкостная труба
patchouli-json:thermal:guidebook:entries/storage_and_transport/dynamics/fluid_duct.json:/pages/0/text	sha256:870f30883515e5654f3b2c56501cc705c28ba8237df983d43a0ba819541c5a0a	Жидкостные трубы передают жидкости. В одной сети труб может быть только одна жидкость. Блок «Жидкостная труба с окном» позволяет видеть жидкость внутри. Для извлечения жидкости из $(l:thermal:technology/devices/introduction)устройств$(/l) и других блоков, которые не выводят её автоматически, нужна «Насадка: сервопривод».
patchouli-json:thermal:guidebook:entries/storage_and_transport/dynamics/fluid_duct.json:/pages/2/text	sha256:8ba9e78d6023073d37d898a94cca8851de74fb38d0802732b8fb46f15b302e6f	$(li)Насадка: фильтр$(li)Насадка: сервопривод$(li)Насадка: турбосервопривод
patchouli-json:thermal:guidebook:entries/storage_and_transport/dynamics/fluid_duct.json:/pages/2/title	sha256:8239ce4998c9f36021ee5e772277cd5957aa76b145bfb1259ddc10ca9c408f70	Совместимые насадки
