"version"	"id"	"source_hash"	"recommendation"	"reason"
"1.19.3-7-ae2-fix"	"patchouli-lang:botania:botania.page.runeAltar20"	"sha256:2e7221139f4c6f5bb33316b9ee6c83997fbde6d78c103736d3ef634a06e3d51a"	"Нажмите пустой рукой по $(item)руническому алтарю$(0), когда он не принимает ману, чтобы забрать последний добавленный предмет.$(p)Подключённый $(item)редстоуновый компаратор$(0) выдаёт сигнал силой $(thing)1$(0), когда алтарь принимает $(thing)ману$(0), и силой $(thing)2$(0), когда он готов создать руну."	"Удалено отсутствующее в английском источнике альтернативное действие с предметом в руке."
"1.19.3-7-ae2-fix"	"patchouli-lang:botania:botania.page.terraformRod1"	"sha256:ae460e9fa2a3c8544f04b94661c094d355fda8e00faf4d7fba6740425497a5d9"	"Этот скипетр расходует значительное количество $(thing)маны$(0) из вашего инвентаря и выравнивает окружающую землю до вашей высоты. Чтобы зарядить скипетр, $(thing)удерживайте$(0) [$(k:use)]. Он постепенно выровняет местность до вашей высоты: разместит недостающие блоки $(item)земли$(0) и уберёт лишние."	"Устранён конфликт между третьим и вторым лицом."
"1.19.3-original"	"patchouli-lang:botania:botania.page.gaiaRitual3"	"sha256:51c6987be07cd066a8a356aea1e1ac134f25ea6cfbc4e8bc86bd40870759be3c"	"Чтобы начать ритуал, присядьте и нажмите ПКМ по $(item)Маяку$(0), держа в руке $(l:basics/terrasteel)$(item)Слиток террастали$(0)$(/l); затем отойдите и приготовьтесь сражаться за свою жизнь. Подготовка необходима: бой с $(thing)Хранителем Гайи$(0) может оказаться сложнее боя с $(thing)Иссушителем$(0). После победы над $(thing)Хранителем$(0) вы получите в награду горсть $(item)Духов Гайи$(0)."	"Восстановлено естественное управление «сражаться за свою жизнь»."
"1.19.3-original"	"patchouli-lang:botania:botania.page.runeAltar22"	"sha256:33b224ed10248813f3a633287948d5ca7ab0f986b164711e91a35bf7d889f7e0"	"Любые руны, используемые в рецептах на $(item)Руническом Алтаре$(0), служат катализаторами и возвращаются после завершения рецепта.$(p)Как и с $(l:basics/apothecary)$(item)Лепестковым Аптекарем$(0)$(/l), после завершения рецепта нажмите ПКМ по алтарю пустой рукой, чтобы сразу добавить новый набор предметов из прошлого рецепта и ускорить массовое создание."	"Устранена неестественная и двусмысленная формулировка массового создания."
"1.19.3-original"	"patchouli-lang:botania:botania.page.hourglass4"	"sha256:ec8cc638338e383f46eba4d4e9f28a3656e53a8a28957573b2df2c50350ff723"	"Кликните ПКМ $(item)Посохом леса$(0) по блоку, чтобы заблокировать или разблокировать его. В заблокированный блок нельзя добавить или из него убрать песок, даже если кто-то случайно кликнет ПКМ.$(p)Если $(thing)Всплеск маны$(0) столкнётся с блоком, поток песка и таймер остановятся. Следующий всплеск снова запустит таймер."	"Восстановлено пропущенное возобновление таймера следующим всплеском."
"1.19.3-original"	"patchouli-lang:botania:botania.page.dreadthorne1"	"sha256:e8aaaa65ef3f44d4408d4e6e07d0dbe099e258633d618f1330d120f2220e9917"	"$(o)Таков его образ действий.$(0)"	"Устранена посторонняя цитата и восстановлен смысл английского источника."
"1.19.3-original"	"patchouli-lang:botania:botania.page.dreamwoodSpreader0"	"sha256:ce006e4b22c41ed648ca203762dd2c9259bf3901945b154e094634a57d5a4d89"	"$(l:alfhomancy/elf_resources)$(item)Древесина мечтаний$(0)$(/l) проводит $(thing)Ману$(0) лучше $(l:basics/pure_daisy)$(item)Жизнедерева$(0)$(/l). В рецепте используется $(l:alfhomancy/elf_resources)$(item)Элементий$(0)$(/l) вместо $(item)меди$(0), и получается $(item)Эльфийский распространитель маны$(0): он передаёт больше $(thing)маны$(0), быстрее и дольше без $(thing)Потери маны$(0).$(p)К сожалению, его нельзя превратить в $(l:mana/redstone_spreader)$(item)Импульсный распространитель$(0)$(/l)."	"Удалено выдуманное ограничение механики и восстановлена корректная разметка терминов."
"1.19.3-original"	"patchouli-lang:botania:botania.page.manaMirror0"	"sha256:4cabfdea0b32a2e2a5c5cc14368dae4718d4985976a0e6cb7c905e43fc28b8ef"	"$(item)Зеркало маны$(0) — альтернатива предметам, хранящим $(thing)ману$(0), например $(item)Планшету маны$(0). После привязки к $(item)Бассейну маны$(0) предметы в инвентаре, которым нужна $(thing)мана$(0), будут брать её из этого бассейна.$(p)Нажмите зеркалом $(thing)Shift+ПКМ$(0) по бассейну, чтобы связать их. Иначе зеркало не может ни получать ману из бассейна, ни отдавать её ему."	"Устранено дублирование одного и того же действия."
"1.19.3-original"	"patchouli-lang:botania:botania.page.manaTablet1"	"sha256:1df49deb03083e7792b871bc2445455ba3235db159740376d38398e39d0e1690"	"Бросьте планшет в $(l:mana/pool)$(item)Бассейн маны$(0)$(/l), чтобы между ними текла $(thing)мана$(0).$(p)Чтобы изменить направление потока, присядьте и нажмите по бассейну ПКМ либо используйте $(item)Раздатчик$(0), направленный на $(l:mana/pool)$(item)Бассейн маны$(0)$(/l), с $(l:basics/wand)$(item)Посохом Леса$(0)$(/l) внутри. Так изменится направление, в котором течёт $(thing)мана$(0).$(p)В отличие от обычных предметов, выброшенные планшеты никогда не исчезают."	"Восстановлена альтернативная смена направления с помощью раздатчика."
"1.19.3-original"	"patchouli-lang:botania:botania.page.sparks3"	"sha256:c57a40de3e07a327462d3f6349797136d23cff3310eb40010e6a81a272d55b16"	"$(item)Искры$(0) можно окрашивать красителями; искры разного цвета никогда не взаимодействуют. $(item)Призрачные чернила$(0) сделают искру почти прозрачной, если она кажется слишком заметной."	"Исправлен необоснованный регистр общих существительных."
"1.19.3-original"	"patchouli-lang:botania:botania.page.headCreating1"	"sha256:b4bb0605beef34807d94893e38012c721d3fdd4601950e2ed95917a818291b15"	"Включите голову"	"Буквальная калька заменена естественной короткой шуткой."
"1.19.3-original"	"patchouli-lang:botania:botania.page.phantomInk1"	"sha256:edf3a138e5b9c0175c7b055e81a85da763eca392da40a120c1c19bc06ba97161"	"Кому позвонить?"	"Восстановлена естественная краткая отсылка английской подписи."
