item_id	translation_key	en_us	ru_ru	status
actuallyadditions:advanced_coil	item.actuallyadditions.advanced_coil	Advanced Coil	Продвинутая катушка	HAS_RU
actuallyadditions:advanced_leaf_blower	item.actuallyadditions.advanced_leaf_blower	Advanced Leaf Blower	Продвинутый воздуходув	HAS_RU
actuallyadditions:atomic_reconstructor	block.actuallyadditions.atomic_reconstructor	Atomic Reconstructor	Атомный реконстрактор	HAS_RU
actuallyadditions:basic_coil	item.actuallyadditions.basic_coil	Basic Coil	Базовая катушка	HAS_RU
actuallyadditions:bats_wing	item.actuallyadditions.bats_wing	Bat's Wing	Мышиные крылья	HAS_RU
actuallyadditions:battery_box	block.actuallyadditions.battery_box	Battery Box	Батарейный блок	HAS_RU
actuallyadditions:bio_reactor	block.actuallyadditions.bio_reactor	Bio Reactor	Биореактор	HAS_RU
actuallyadditions:black_quartz	item.actuallyadditions.black_quartz	Black Quartz	Чёрный кварц	HAS_RU
actuallyadditions:black_quartz_block	block.actuallyadditions.black_quartz_block	Block of Black Quartz	Блок чёрного кварца	HAS_RU
actuallyadditions:black_quartz_brick_block	block.actuallyadditions.black_quartz_brick_block	Black Quartz Bricks	Черные кварцевые кирпичи	HAS_RU
actuallyadditions:black_quartz_brick_slab	block.actuallyadditions.black_quartz_brick_slab	Black Quartz Brick Slab	Плита из черного кварца	HAS_RU
actuallyadditions:black_quartz_brick_stair	block.actuallyadditions.black_quartz_brick_stair	Black Quartz Brick Stairs	Супеньки из черного кварца	HAS_RU
actuallyadditions:black_quartz_brick_wall	block.actuallyadditions.black_quartz_brick_wall	Black Quartz Brick Wall	Ограда из черного кварца	HAS_RU
actuallyadditions:black_quartz_ore	block.actuallyadditions.black_quartz_ore	Black Quartz Ore	Руда чёрного кварца	HAS_RU
actuallyadditions:black_quartz_pillar_block	block.actuallyadditions.black_quartz_pillar_block	Pillar of Black Quartz	Колонна из черного кварца	HAS_RU
actuallyadditions:black_quartz_pillar_slab	block.actuallyadditions.black_quartz_pillar_slab	Black Quartz Pillar Slab	Плита из черного кварца	HAS_RU
actuallyadditions:black_quartz_pillar_stair	block.actuallyadditions.black_quartz_pillar_stair	Black Quartz Pillar Stairs	Лестница из черного кварца	HAS_RU
