id	source_hash	source	native_translation	verdict	recommendation	reason	native_visible_length	recommended_visible_length	length_ratio
patchouli-lang:botania:block.botania.potted_endoflame	sha256:24e977972ae91c1f939db8235e660dc1beb26d8635b752d498680db8ce03af24	Potted Endoflame	Эндопламя в горшке	PASS		Текст читается естественно, ясно и соответствует английскому источнику.	18		
patchouli-lang:botania:botania.category.alfhomancy	sha256:74f28452b7c6f9523fc90fe6e10d1dafd1950cc3d94e57e37ebd7dfa8d03a5fb	Alfhomancy	Эльфомантия	CHANGE	Эльфомантия	Уточнено по английскому источнику и упрощено для игрового текста.	11	11	1.000
patchouli-lang:botania:botania.category.alfhomancy.description	sha256:92e90a5ef080ce775720ef0ca283c2de6742d0e2baf344ffb3554c252b837c3b	Unlocking advanced botanic knowledge with help from another realm.	$(thing)Искусство эльфомантии$(0) — ветвь ботанических изысканий о взаимодействии с $(thing)Альвхеймом$(0). Этот продвинутый раздел описывает ритуалы, конструкты и мощные артефакты из измерений за $(thing)Мидгардом$(0), открывающие невиданные уровни магической автоматизации и уникальные магические методы.	CHANGE	Продвинутая ботаника с помощью знаний из другого мира.	Сокращено и приведено к естественной игровой формулировке по английскому источнику.	270	54	0.200
patchouli-lang:botania:botania.category.basics	sha256:9c0a5a34fa941f311bd406de13601867178043c0d7a248b2abf37767c19d055d	Basics and Mechanics	Основы и механики	CHANGE	Основы и механики	Уточнено по английскому источнику и упрощено для игрового текста.	17	17	1.000
patchouli-lang:botania:botania.category.basics.description	sha256:6a50c7cb13fd5a676ad45f4dd59449cdaa4215557a39541e9c827d226b4f2374	Where to start and what to aim for as a botanist in the making.	«Знание $(thing)основ$(0) — прочный фундамент нового строительства».$(p)Этот раздел описывает базовые методы и необходимые ресурсы для изучения $(thing)Ботании$(0). Работа ботаника здорово облегчается, если он знаком с основами.	CHANGE	С чего начать и к чему стремиться начинающему ботанику.	Сокращено и приведено к естественной игровой формулировке по английскому источнику.	200	55	0.275
patchouli-lang:botania:botania.category.baubles	sha256:319613c3b6187e8e40d015563adc601a50baa29c7fac703a2ec2136b73f78c94	Trinkets and Accessories	Аксессуары	LENGTH_EXCEPTION	Безделушки и аксессуары	Уточнено по английскому источнику и упрощено для игрового текста.	10	23	2.300
patchouli-lang:botania:botania.category.baubles.description	sha256:999ebc3d6fd06549fe78e283d4580dc9bc60158fbf3f3679a929f43962148a86	Equipable adornments, both decorative and functional, that provide protection, aid movement, or help in other ways.	Укрепление физической силы, обретение специальных способностей, улучшение снаряжения — всё это дают $(thing)магические аксессуары$(0). В этом разделе описаны методы использования украшений, способных помочь как с повседневными трудностями, так и в безнадёжных ситуациях.	CHANGE	Украшения: декоративные и полезные. Они защищают, помогают двигаться и не только.	Сокращено и приведено к естественной игровой формулировке по английскому источнику.	258	81	0.314
patchouli-lang:botania:botania.category.devices	sha256:5492015da12a640989d22bc0c12b120c34697d12ff8a632fed47cf62d50ec5ff	Natural Apparatus	Природные приборы	CHANGE	Природные приборы	Уточнено по английскому источнику и упрощено для игрового текста.	17	17	1.000
patchouli-lang:botania:botania.category.devices.description	sha256:c235840ca330e5145546f0d03411adbf046d34581eb2e9cbcf7de15a3bd9c85e	Simple, yet powerful devices that help with achieving various goals, usually in an automatable way.	$(thing)Природные приборы$(0) — это хитрые конструкты и мистические устройства, повышающие эффективность работы ботаника. Этот раздел даёт инструменты для поиска способов автоматизации, упрощения процессов, замены их на более эффективные магические методы.	CHANGE	Простые, но мощные устройства для разных задач, обычно пригодные для автоматизации.	Сокращено и приведено к естественной игровой формулировке по английскому источнику.	244	83	0.340
patchouli-lang:botania:botania.category.ender	sha256:146b87a383b440ac7ad19d5d6d64f372e868999f7fc43803067ab79ebe8bf5b9	Ender Artifacts	Артефакты из Энда	CHANGE	Артефакты Энда	Уточнено по английскому источнику и упрощено для игрового текста.	17	14	0.824
