id	source_hash	translation
block:block.kubejs.arrow1_sign	sha256:0b6f395ca14ac202374d5cff678b71157d0bef7e00c3045e9b80aab4ffb85276	Знак
block:block.kubejs.arrow2_sign	sha256:0b6f395ca14ac202374d5cff678b71157d0bef7e00c3045e9b80aab4ffb85276	Знак
block:block.kubejs.black_hole	sha256:a00bdececf44d8c0fc640e38763a6d2d5638ab6e350ec3d13211342f9f5e4071	Миниатюрная чёрная дыра
block:block.kubejs.box_sign	sha256:0b6f395ca14ac202374d5cff678b71157d0bef7e00c3045e9b80aab4ffb85276	Знак
block:block.kubejs.ceilling_lamp2_blinking	sha256:8a32e81ff77fdbcfb127a4ab8a5bc0dab0d370f0d73161fb511d1e6f9e2d6675	Белый потолочный светильник (мигает)
block:block.kubejs.ceilling_lamp2_dying	sha256:d36d4b69e9b0268bc5507d8430a3197f1f4f2b233d28e6b07ffffaf2c6769373	Белый потолочный светильник (гаснет)
block:block.kubejs.ceilling_lamp_blinking	sha256:3e988afaa2b82b86dc6ff10ee0ae0cfb405dd2e714a52f2b09e2103508ca1ad3	Потолочный светильник (мигает)
block:block.kubejs.ceilling_lamp_dying	sha256:34aa8b72e0c208fefbdc41c496d2863e94aa54a8e957515b988bc6372c1c553a	Потолочный светильник (гаснет)
block:block.kubejs.ceilling_lamp_red_blinking	sha256:291f635e57d88133f4d717e724614e00a72988eab0a676f6fef9007ca86d3452	Красный потолочный светильник (мигает)
block:block.kubejs.ceilling_lamp_red_dying	sha256:e4e77c55609f4b65a5cc79fcabb6042d8ad40861b26d9dd14210f370bb9d4313	Красный потолочный светильник (гаснет)
block:block.kubejs.ceilling_red	sha256:685394345b4000bbbdc30d2bacf891fe9461c2d4cde9843375c745ba336d19f2	Потолок
block:block.kubejs.closet_small	sha256:eb46b5446f56d87346e820e41d5d9dd4e7093d639001de2e83e6efda73b6891d	Маленький шкаф
block:block.kubejs.cross_sign	sha256:0b6f395ca14ac202374d5cff678b71157d0bef7e00c3045e9b80aab4ffb85276	Знак
block:block.kubejs.drain	sha256:021847c415affc3369528d0f4a3754cbc53b97fe0dd5cde15d001e4b0a6a484f	Водосток (постоянный)
block:block.kubejs.drain_breakable	sha256:795b048ba2164e50aed17f86797f1f03add5a66df9c18b37013058c8c0115749	Водосток
block:block.kubejs.error	sha256:3b7933e9c428a8034e03b5c8b96ff85be0b96186e3bc01fb7bbb8fceed495a70	Деление на ноль
block:block.kubejs.error_carpet	sha256:3b7933e9c428a8034e03b5c8b96ff85be0b96186e3bc01fb7bbb8fceed495a70	Деление на ноль
block:block.kubejs.error_wallpaper	sha256:3b7933e9c428a8034e03b5c8b96ff85be0b96186e3bc01fb7bbb8fceed495a70	Деление на ноль
block:block.kubejs.exit_sign	sha256:0b6f395ca14ac202374d5cff678b71157d0bef7e00c3045e9b80aab4ffb85276	Знак
block:block.kubejs.exit_sign2	sha256:0b6f395ca14ac202374d5cff678b71157d0bef7e00c3045e9b80aab4ffb85276	Знак
block:block.kubejs.explantion1_sign	sha256:0b6f395ca14ac202374d5cff678b71157d0bef7e00c3045e9b80aab4ffb85276	Знак
block:block.kubejs.explantion2_sign	sha256:0b6f395ca14ac202374d5cff678b71157d0bef7e00c3045e9b80aab4ffb85276	Знак
block:block.kubejs.floor_tiles_full	sha256:e81819b49e118b7feda9b56e98d08753c76801584a3b6e51ae7e85a667df6874	Напольная плитка
block:block.kubejs.floor_tiles_infinite	sha256:e81819b49e118b7feda9b56e98d08753c76801584a3b6e51ae7e85a667df6874	Напольная плитка
block:block.kubejs.half_frame_bottom	sha256:02928f37ffeaac84dc13d5dc4dcb3557f8b75a0ad614d87db8d6df0a98b7c5e5	Нижняя половина каркаса механизма
block:block.kubejs.half_frame_top	sha256:6bb37bab9d0295a21c7a77ae5cbc3fbade43ca28aca5b83cb8847ee0ed773636	Верхняя половина каркаса механизма
block:block.kubejs.heavy_engineering_empty	sha256:166a542c61183cc9f1185c3c4a873486a875b82aba4d918a3e305571c77ab2e3	Тяжёлый инженерный каркас
block:block.kubejs.infinity_sign	sha256:0b6f395ca14ac202374d5cff678b71157d0bef7e00c3045e9b80aab4ffb85276	Знак
block:block.kubejs.inkblod_sign	sha256:0b6f395ca14ac202374d5cff678b71157d0bef7e00c3045e9b80aab4ffb85276	Знак
block:block.kubejs.left_arrow_sign	sha256:0b6f395ca14ac202374d5cff678b71157d0bef7e00c3045e9b80aab4ffb85276	Знак
block:block.kubejs.light_engineering_empty	sha256:f6b68def4ca3c9fa129009b4390ebcf53c41fa2bbe8a57593821eb8c6a8a69ff	Лёгкий инженерный каркас
block:block.kubejs.liminal_warning	sha256:0b6f395ca14ac202374d5cff678b71157d0bef7e00c3045e9b80aab4ffb85276	Знак
block:block.kubejs.liminal_warning2	sha256:0b6f395ca14ac202374d5cff678b71157d0bef7e00c3045e9b80aab4ffb85276	Знак
