"id"	"source_hash"	"verdict"	"reviewer"	"method"
"ie-manual-lang:immersiveengineering:manual.immersiveengineering.construction"	"sha256:9dc7e90e56b2f2635e18b04c731ea09762e1acd223b106df46e0013851b532b1"	"PASS"	"/root/rescripted_books_review"	"english_source_and_json_context_review"
"ie-manual-lang:immersiveengineering:manual.immersiveengineering.early_machines"	"sha256:53f1842c4d3e9a58359b4d27600a38ff2049db323b39b424ced0120a2eaa748e"	"PASS"	"/root/rescripted_books_review"	"english_source_and_json_context_review"
"ie-manual-lang:immersiveengineering:manual.immersiveengineering.energy"	"sha256:1ca6bcd94914da13f8e9e47585e29b46f169e8950a6c0eebdba2180e61e93cf4"	"PASS"	"/root/rescripted_books_review"	"english_source_and_json_context_review"
"ie-manual-lang:immersiveengineering:manual.immersiveengineering.general"	"sha256:385c91dcb90999fd906166a5b3f5d0138807da57121142a3cfa6de3bedc861f0"	"PASS"	"/root/rescripted_books_review"	"english_source_and_json_context_review"
"ie-manual-lang:immersiveengineering:manual.immersiveengineering.heavymachines"	"sha256:c704e1cacba770a0f62d8cd3d87d28b9a19f2d9f4c32112d1dc0ffa75505e57e"	"PASS"	"/root/rescripted_books_review"	"english_source_and_json_context_review"
"ie-manual-lang:immersiveengineering:manual.immersiveengineering.machines"	"sha256:9d521b9d18a75b763afb739c6a73c571c5f7394c98807abe3d4760c2730f08da"	"PASS"	"/root/rescripted_books_review"	"english_source_and_json_context_review"
"ie-manual-lang:immersiveengineering:manual.immersiveengineering.manual"	"sha256:c3ed949af8190f1523077fd6184bedce5f6f0cc0c18b45a7e7f957147df300a9"	"PASS"	"/root/rescripted_books_review"	"english_source_and_json_context_review"
"ie-manual-lang:immersiveengineering:manual.immersiveengineering.test"	"sha256:5ee3b39d09c5a90ab0843c8639be055e1eeb7fcc77c27b9d5d8b63b021064705"	"PASS"	"/root/rescripted_books_review"	"english_source_and_json_context_review"
"ie-manual-lang:immersiveengineering:manual.immersiveengineering.tools"	"sha256:ea93d6a262ecb87a9fa4d09edbd7654c046597936a8e235fc3949eb01775ff99"	"PASS"	"/root/rescripted_books_review"	"english_source_and_json_context_review"
"ie-manual-lang:immersiveengineering:manual.immersiveengineering.update"	"sha256:b09ea7c6c3ca78dc6402ef099de1c5afd819cceb009ec8205e9c64aa1d7d9f88"	"PASS"	"/root/rescripted_books_review"	"english_source_and_json_context_review"
