"id"	"source_hash"	"source"	"effective_translation"	"plain_source"	"plain_translation"	"context"	"audit_class"	"group_key"	"verdict_a"	"recommendation_a"	"reason_a"	"reviewer_a"	"verdict_b"	"recommendation_b"	"reason_b"	"reviewer_b"
"patchouli-lang:botania:botania.page.elfMessage1"	"sha256:2ad813db8f803c3115a8e547ec4f9a025799d65ba1bda78232cb537316f5e606"	"$(o)Greetings. We found this book when one of our old portal frames spontaneously opened a link to another world-- quite a shock for us indeed. On behalf of all Elven Garde, we thank you sincerely for providing us with a repository of the knowledge from your world. It's been a while since we had to leave, so it's good to see that it's been doing well."	"$(o)Приветствуем! Мы заметили, что наш портал открыл связь с другим миром. И это довольно шокирующая новость для нас! Мы благодарим Вас за предоставление нам книги знаний Вашего мира, чтобы держать нас в курсе всего, что произошло, так как мы оставили этот мир, давным-давно."	"Greetings. We found this book when one of our old portal frames spontaneously opened a link to another world-- quite a shock for us indeed. On behalf of all Elven Garde, we thank you sincerely for providing us with a repository of the knowledge from your world. It's been a while since we had to leave, so it's good to see that it's been doing well."	"Приветствуем! Мы заметили, что наш портал открыл связь с другим миром. И это довольно шокирующая новость для нас! Мы благодарим Вас за предоставление нам книги знаний Вашего мира, чтобы держать нас в курсе всего, что произошло, так как мы оставили этот мир, давным-давно."	"{""kind"": ""patchouli_language_text"", ""location"": {""archive"": ""mods/Botania-1.20.1-448-FORGE.jar"", ""member"": ""assets/botania/patchouli_books/lexicon/en_us/entries/alfhomancy/elf_message.json"", ""output_member"": ""assets/botania/patchouli_books/lexicon/ru_ru/entries/alfhomancy/elf_message.json"", ""pointer"": ""/pages/1/text""}, ""source_id"": ""patchouli"", ""state"": ""visible""}"	"PROSE"	"patchouli:assets/botania/patchouli_books/lexicon/<language>/entries/alfhomancy/elf_message.json"	"PASS"	""	""	"/root/original_language_editor_a"	"CHANGE"	"$(o)Приветствуем! Мы заметили, что наш портал открыл связь с другим миром. И это довольно шокирующая новость для нас! Мы благодарим вас за предоставление нам книги знаний вашего мира, чтобы держать нас в курсе всего, что произошло, так как мы оставили этот мир, давным-давно."	"Заглавная форма обращения внутри предложения заменена на современную строчную."	"/root/original_language_editor_b"
"patchouli-lang:botania:botania.page.elfMessage2"	"sha256:d801dd8d6396cf72af29bddf36d0b29cfe7efeac8024e408635d8232053babda"	"$(o)After extensive discussion within the High Council of Elven Garde, we have decided to cooperate with you. You see, your ""Lexica Botania"" makes references to certain resources from your world that we might be extremely keen to get our hands on-- these resources are simply non-existent in our lands."	"$(o)После некоторых дискуссий с верховным консулом Эльфийских Садов, мы решили объединить усилия. Прочитав Ваш ""Лексикон Ботании"" мы обнаружили в Вашем мире наличие большого количества ресурсов, которые мы чрезвычайно заинтересованы получить в свои руки, так как они не существуют на наших землях."	"After extensive discussion within the High Council of Elven Garde, we have decided to cooperate with you. You see, your ""Lexica Botania"" makes references to certain resources from your world that we might be extremely keen to get our hands on-- these resources are simply non-existent in our lands."	"После некоторых дискуссий с верховным консулом Эльфийских Садов, мы решили объединить усилия. Прочитав Ваш ""Лексикон Ботании"" мы обнаружили в Вашем мире наличие большого количества ресурсов, которые мы чрезвычайно заинтересованы получить в свои руки, так как они не существуют на наших землях."	"{""kind"": ""patchouli_language_text"", ""location"": {""archive"": ""mods/Botania-1.20.1-448-FORGE.jar"", ""member"": ""assets/botania/patchouli_books/lexicon/en_us/entries/alfhomancy/elf_message.json"", ""output_member"": ""assets/botania/patchouli_books/lexicon/ru_ru/entries/alfhomancy/elf_message.json"", ""pointer"": ""/pages/2/text""}, ""source_id"": ""patchouli"", ""state"": ""visible""}"	"PROSE"	"patchouli:assets/botania/patchouli_books/lexicon/<language>/entries/alfhomancy/elf_message.json"	"PASS"	""	""	"/root/original_language_editor_a"	"CHANGE"	"$(o)После некоторых дискуссий с верховным консулом Эльфийских Садов, мы решили объединить усилия. Прочитав ваш ""Лексикон Ботании"" мы обнаружили в вашем мире наличие большого количества ресурсов, которые мы чрезвычайно заинтересованы получить в свои руки, так как они не существуют на наших землях."	"Заглавная форма обращения внутри предложения заменена на современную строчную."	"/root/original_language_editor_b"
"patchouli-lang:botania:botania.page.elfMessage3"	"sha256:bcb7675b40b1fba5cab11775b0fa0a8f50bc6a07823e6d75fa0a5fcae5d04a02"	"$(o)The link you've established is, unfortunately, too weak to transfer living beings-- this seems to be a consequence of the sheer distance between our realms. A pity: we would have liked to meet our trading partner in person. However, on the upside, the link allows us to change the synchronization of time across our worlds-- which is how you will receive your book back so quickly, at least from your perspective."	"$(o)Связь, которую Вы сумели установить, слаба, живые существа не смогут пройти, как Вы уже знаете. Однако в этом есть и положительная сторона, связь проходит сквозь ткань времени обоих наших миров, по пути теряя синхронизацию, поэтому Вы получили Вашу книгу обратно так быстро."	"The link you've established is, unfortunately, too weak to transfer living beings-- this seems to be a consequence of the sheer distance between our realms. A pity: we would have liked to meet our trading partner in person. However, on the upside, the link allows us to change the synchronization of time across our worlds-- which is how you will receive your book back so quickly, at least from your perspective."	"Связь, которую Вы сумели установить, слаба, живые существа не смогут пройти, как Вы уже знаете. Однако в этом есть и положительная сторона, связь проходит сквозь ткань времени обоих наших миров, по пути теряя синхронизацию, поэтому Вы получили Вашу книгу обратно так быстро."	"{""kind"": ""patchouli_language_text"", ""location"": {""archive"": ""mods/Botania-1.20.1-448-FORGE.jar"", ""member"": ""assets/botania/patchouli_books/lexicon/en_us/entries/alfhomancy/elf_message.json"", ""output_member"": ""assets/botania/patchouli_books/lexicon/ru_ru/entries/alfhomancy/elf_message.json"", ""pointer"": ""/pages/3/text""}, ""source_id"": ""patchouli"", ""state"": ""visible""}"	"PROSE"	"patchouli:assets/botania/patchouli_books/lexicon/<language>/entries/alfhomancy/elf_message.json"	"PASS"	""	""	"/root/original_language_editor_a"	"CHANGE"	"$(o)Связь, которую вы сумели установить, слаба, живые существа не смогут пройти, как вы уже знаете. Однако в этом есть и положительная сторона, связь проходит сквозь ткань времени обоих наших миров, по пути теряя синхронизацию, поэтому вы получили вашу книгу обратно так быстро."	"Заглавная форма обращения внутри предложения заменена на современную строчную."	"/root/original_language_editor_b"
"patchouli-lang:botania:botania.page.elfMessage5"	"sha256:0a29a917cf0f322ceaa8a360d094cd93f2862e24bde39d9e3949d577d37922f2"	"$(o)We have taken the liberty of assigning our best scribes to transcribe the bulk of the knowledge from our world into your lexicon. We hope you find it enlightening, and that the knowledge encourages you to invest in our materials."	"$(o)Мы взяли на себя смелость, и дали задание нашим лучшим писцам, собрать большой набор знаний из нашего мира, которым мы готовы поделиться. Вы можете найти эти знания в своём Лексиконе. Надеемся, Вы найдете их поучительными и что они поощрят вас использовать наши материалы для создания этих уникальных предметов."	"We have taken the liberty of assigning our best scribes to transcribe the bulk of the knowledge from our world into your lexicon. We hope you find it enlightening, and that the knowledge encourages you to invest in our materials."	"Мы взяли на себя смелость, и дали задание нашим лучшим писцам, собрать большой набор знаний из нашего мира, которым мы готовы поделиться. Вы можете найти эти знания в своём Лексиконе. Надеемся, Вы найдете их поучительными и что они поощрят вас использовать наши материалы для создания этих уникальных предметов."	"{""kind"": ""patchouli_language_text"", ""location"": {""archive"": ""mods/Botania-1.20.1-448-FORGE.jar"", ""member"": ""assets/botania/patchouli_books/lexicon/en_us/entries/alfhomancy/elf_message.json"", ""output_member"": ""assets/botania/patchouli_books/lexicon/ru_ru/entries/alfhomancy/elf_message.json"", ""pointer"": ""/pages/5/text""}, ""source_id"": ""patchouli"", ""state"": ""visible""}"	"PROSE"	"patchouli:assets/botania/patchouli_books/lexicon/<language>/entries/alfhomancy/elf_message.json"	"PASS"	""	""	"/root/original_language_editor_a"	"CHANGE"	"$(o)Мы взяли на себя смелость, и дали задание нашим лучшим писцам, собрать большой набор знаний из нашего мира, которым мы готовы поделиться. Вы можете найти эти знания в своём Лексиконе. Надеемся, вы найдете их поучительными и что они поощрят вас использовать наши материалы для создания этих уникальных предметов."	"Заглавная форма обращения внутри предложения заменена на современную строчную."	"/root/original_language_editor_b"
"patchouli-lang:botania:botania.page.elfResources0"	"sha256:77b8af7c9632ef545d7ad2b99d8bd195b99feacaad1947d03979bdda73919521"	"$(thing)Alfheim$(0) contains a myriad of valuable resources. Unfortunately, most of them are rather scarce due to competition between the various $(thing)Elven$(0) clans. The Elves you have contacted are interested in trading resources native to their lands, such as $(item)Dreamwood$(0), $(item)Elementium$(0), $(item)Pixie Dust$(0) and $(item)Dragonstones$(0)."	"$(thing)Эльфхейм$(0) содержит очень разнообразный набор изысканных ресурсов. К сожалению, большинство их крайне редки и труднодобываемы, в связи с конкуренцией между кланами. Эльфы заинтересованы в обмене некоторыми материалами, такими как $(item)Древесина мечтаний$(0), $(item)Элементий$(0), $(item)Пыльца фей$(0) или $(item)Камень дракона$(0), на ресурсы Вашего мира."	"Alfheim contains a myriad of valuable resources. Unfortunately, most of them are rather scarce due to competition between the various Elven clans. The Elves you have contacted are interested in trading resources native to their lands, such as Dreamwood, Elementium, Pixie Dust and Dragonstones."	"Эльфхейм содержит очень разнообразный набор изысканных ресурсов. К сожалению, большинство их крайне редки и труднодобываемы, в связи с конкуренцией между кланами. Эльфы заинтересованы в обмене некоторыми материалами, такими как Древесина мечтаний, Элементий, Пыльца фей или Камень дракона, на ресурсы Вашего мира."	"{""kind"": ""patchouli_language_text"", ""location"": {""archive"": ""mods/Botania-1.20.1-448-FORGE.jar"", ""member"": ""assets/botania/patchouli_books/lexicon/en_us/entries/alfhomancy/elf_resources.json"", ""output_member"": ""assets/botania/patchouli_books/lexicon/ru_ru/entries/alfhomancy/elf_resources.json"", ""pointer"": ""/pages/0/text""}, ""source_id"": ""patchouli"", ""state"": ""visible""}"	"PROSE"	"patchouli:assets/botania/patchouli_books/lexicon/<language>/entries/alfhomancy/elf_resources.json"	"PASS"	""	""	"/root/original_language_editor_a"	"CHANGE"	"$(thing)Эльфхейм$(0) содержит очень разнообразный набор изысканных ресурсов. К сожалению, большинство их крайне редки и труднодобываемы, в связи с конкуренцией между кланами. Эльфы заинтересованы в обмене некоторыми материалами, такими как $(item)Древесина мечтаний$(0), $(item)Элементий$(0), $(item)Пыльца фей$(0) или $(item)Камень дракона$(0), на ресурсы вашего мира."	"Заглавная форма обращения внутри предложения заменена на современную строчную."	"/root/original_language_editor_b"
"patchouli-lang:botania:botania.page.elfResources6"	"sha256:4757f0560edd3f179bf19048ad551ba7e0b10ba67a0e081085eba3c6d48c3ebe"	"The $(thing)Elves$(0) also have their eyes on that white posh-looking material from the $(thing)Nether$(0), $(item)Nether Quartz$(0), as the stuff they have in their world is tinted green. This quartz holds no functional difference to other types of quartz, including normal $(item)Nether Quartz$(0) and any of its decorative variants."	"$(item)Эльфы$(0) также довольно заинтересованы в строительстве шикарного белого квартала из $(thing)Незера$(0), $(item)Незер-кварца$(0), так как их мир имеет зелеёый оттенок. Эльфийский кварц используется также как и любой другой, будь то простой кварц или любой из вариантов декоративного. Вы можете найти информацию о нем в статье $(thing)Декоративные блоки$(0) из раздела $(thing)Разное$(0)."	"The Elves also have their eyes on that white posh-looking material from the Nether, Nether Quartz, as the stuff they have in their world is tinted green. This quartz holds no functional difference to other types of quartz, including normal Nether Quartz and any of its decorative variants."	"Эльфы также довольно заинтересованы в строительстве шикарного белого квартала из Незера, Незер-кварца, так как их мир имеет зелеёый оттенок. Эльфийский кварц используется также как и любой другой, будь то простой кварц или любой из вариантов декоративного. Вы можете найти информацию о нем в статье Декоративные блоки из раздела Разное."	"{""kind"": ""patchouli_language_text"", ""location"": {""archive"": ""mods/Botania-1.20.1-448-FORGE.jar"", ""member"": ""assets/botania/patchouli_books/lexicon/en_us/entries/alfhomancy/elf_resources.json"", ""output_member"": ""assets/botania/patchouli_books/lexicon/ru_ru/entries/alfhomancy/elf_resources.json"", ""pointer"": ""/pages/6/text""}, ""source_id"": ""patchouli"", ""state"": ""visible""}"	"PROSE"	"patchouli:assets/botania/patchouli_books/lexicon/<language>/entries/alfhomancy/elf_resources.json"	"PASS"	""	""	"/root/original_language_editor_a"	"CHANGE"	"$(item)Эльфы$(0) также довольно заинтересованы в строительстве шикарного белого квартала из $(thing)Незера$(0), $(item)Незер-кварца$(0), так как их мир имеет зелёный оттенок. Эльфийский кварц используется также как и любой другой, будь то простой кварц или любой из вариантов декоративного. Вы можете найти информацию о нем в статье $(thing)Декоративные блоки$(0) из раздела $(thing)Разное$(0)."	"Исправлена опечатка: «зелеёый» -> «зелёный»."	"/root/original_language_editor_b"
"patchouli-lang:botania:botania.page.gaiaRitual3"	"sha256:51c6987be07cd066a8a356aea1e1ac134f25ea6cfbc4e8bc86bd40870759be3c"	"To start the ritual, simply sneak-right click the $(item)Beacon$(0) with the $(l:basics/terrasteel)$(item)Terrasteel Ingot$(0)$(/l), take a step back, and prepare to fight for your life. Preparation is absolutely required-- the fight with the $(thing)Guardian of Gaia$(0) can be even harder than that with the $(thing)Wither$(0). Upon the $(thing)Guardian$(0)'s defeat, a handful of $(item)Spirits of Gaia$(0) is dropped as a prize."	"Чтобы начать ритуал, просто кликните Shift+ПКМ на блоке $(item)Маяка$(0) со $(item)Слитком террастали$(0) в руке, сделайте шаг назад и готовьтесь к борьбе за свою жизнь. Вам потребуются все Ваши умения для борьбы с $(thing)Хранителем Гайи$(0), бой может быть сложнее, чем бой с $(thing)Иссушителем$(0). После победы над $(thing)Хранителем$(0), можно забрать свой приз - горстку $(item)Духа Гайи$(0)."	"To start the ritual, simply sneak-right click the Beacon with the Terrasteel Ingot, take a step back, and prepare to fight for your life. Preparation is absolutely required-- the fight with the Guardian of Gaia can be even harder than that with the Wither. Upon the Guardian's defeat, a handful of Spirits of Gaia is dropped as a prize."	"Чтобы начать ритуал, просто кликните Shift+ПКМ на блоке Маяка со Слитком террастали в руке, сделайте шаг назад и готовьтесь к борьбе за свою жизнь. Вам потребуются все Ваши умения для борьбы с Хранителем Гайи, бой может быть сложнее, чем бой с Иссушителем. После победы над Хранителем, можно забрать свой приз - горстку Духа Гайи."	"{""kind"": ""patchouli_language_text"", ""location"": {""archive"": ""mods/Botania-1.20.1-448-FORGE.jar"", ""member"": ""assets/botania/patchouli_books/lexicon/en_us/entries/alfhomancy/gaia_ritual.json"", ""output_member"": ""assets/botania/patchouli_books/lexicon/ru_ru/entries/alfhomancy/gaia_ritual.json"", ""pointer"": ""/pages/3/text""}, ""source_id"": ""patchouli"", ""state"": ""visible""}"	"PROSE"	"patchouli:assets/botania/patchouli_books/lexicon/<language>/entries/alfhomancy/gaia_ritual.json"	"PASS"	""	""	"/root/original_language_editor_a"	"CHANGE"	"Чтобы начать ритуал, просто кликните Shift+ПКМ на блоке $(item)Маяка$(0) со $(item)Слитком террастали$(0) в руке, сделайте шаг назад и готовьтесь к борьбе за свою жизнь. Вам потребуются все ваши умения для борьбы с $(thing)Хранителем Гайи$(0), бой может быть сложнее, чем бой с $(thing)Иссушителем$(0). После победы над $(thing)Хранителем$(0), можно забрать свой приз - горстку $(item)Духа Гайи$(0)."	"Заглавная форма обращения внутри предложения заменена на современную строчную."	"/root/original_language_editor_b"
"patchouli-lang:botania:botania.page.kingKey0"	"sha256:afaba3cf28edfafcf70ae12f47060e60183cda6758133e65a8a9b7fad4c77f74"	"The $(item)Key of the King's Law$(0) is a powerful relic with the ability to materialize weapons from thin air. Holding down right-click with this key will begin summoning glowing projectiles from... somewhere. Up to twenty projectiles can be created at once, and releasing the grip on the key will launch them, one at a time, at the point the summoner is looking towards. These projectiles move at high velocities and explode on contact."	"$(item)Ключ от Королевского арсенала$(0) — могущественная реликвия, способная материализовать оружие из воздуха. Удерживание ПКМ ключом начнет призыв светящихся снарядов... откуда-то. Одновременно можно создать до двадцати снарядов, и, отпустив ключ, Вы запустите их по одному в ту точку, на которую направлен ваш взгляд. Эти снаряды движутся с высокой скоростью и взрываются при контакте."	"The Key of the King's Law is a powerful relic with the ability to materialize weapons from thin air. Holding down right-click with this key will begin summoning glowing projectiles from... somewhere. Up to twenty projectiles can be created at once, and releasing the grip on the key will launch them, one at a time, at the point the summoner is looking towards. These projectiles move at high velocities and explode on contact."	"Ключ от Королевского арсенала — могущественная реликвия, способная материализовать оружие из воздуха. Удерживание ПКМ ключом начнет призыв светящихся снарядов... откуда-то. Одновременно можно создать до двадцати снарядов, и, отпустив ключ, Вы запустите их по одному в ту точку, на которую направлен ваш взгляд. Эти снаряды движутся с высокой скоростью и взрываются при контакте."	"{""kind"": ""patchouli_language_text"", ""location"": {""archive"": ""mods/Botania-1.20.1-448-FORGE.jar"", ""member"": ""assets/botania/patchouli_books/lexicon/en_us/entries/alfhomancy/king_key.json"", ""output_member"": ""assets/botania/patchouli_books/lexicon/ru_ru/entries/alfhomancy/king_key.json"", ""pointer"": ""/pages/0/text""}, ""source_id"": ""patchouli"", ""state"": ""visible""}"	"PROSE"	"patchouli:assets/botania/patchouli_books/lexicon/<language>/entries/alfhomancy/king_key.json"	"PASS"	""	""	"/root/original_language_editor_a"	"CHANGE"	"$(item)Ключ от Королевского арсенала$(0) — могущественная реликвия, способная материализовать оружие из воздуха. Удерживание ПКМ ключом начнет призыв светящихся снарядов... откуда-то. Одновременно можно создать до двадцати снарядов, и, отпустив ключ, вы запустите их по одному в ту точку, на которую направлен ваш взгляд. Эти снаряды движутся с высокой скоростью и взрываются при контакте."	"Заглавная форма обращения внутри предложения заменена на современную строчную."	"/root/original_language_editor_b"
"patchouli-lang:botania:botania.page.lexicon0"	"sha256:e5a71e94ee2c112afbc6ddecd5082616da3945344557ec7d10252a3f2acc6c2c"	"The $(item)Lexica Botania$(0) is the repository of all knowledge for all botanical matters. (But you probably knew that already.)$(p)All well-known botanical knowledge is stored within these pages. For convenience, if a block happens to have an entry in here, it can be sneak-right clicked on with the $(item)Lexica Botania$(0) to open said entry."	"$(item)Лексикон Ботании$(0) - это кладезь всех знаний для Ваших ботанических нужд. Но Вы, наверное, уже и так знали это.$(p)Вся информация находится здесь. Для удобства, если у какого-то блока есть описание, Вы можете нажать Shift+ПКМ, держа $(item)Лексикон Ботании$(0) в руке, чтобы открыть это описание."	"The Lexica Botania is the repository of all knowledge for all botanical matters. (But you probably knew that already.)

All well-known botanical knowledge is stored within these pages. For convenience, if a block happens to have an entry in here, it can be sneak-right clicked on with the Lexica Botania to open said entry."	"Лексикон Ботании - это кладезь всех знаний для Ваших ботанических нужд. Но Вы, наверное, уже и так знали это.

Вся информация находится здесь. Для удобства, если у какого-то блока есть описание, Вы можете нажать Shift+ПКМ, держа Лексикон Ботании в руке, чтобы открыть это описание."	"{""kind"": ""patchouli_language_text"", ""location"": {""archive"": ""mods/Botania-1.20.1-448-FORGE.jar"", ""member"": ""assets/botania/patchouli_books/lexicon/en_us/entries/basics/lexicon.json"", ""output_member"": ""assets/botania/patchouli_books/lexicon/ru_ru/entries/basics/lexicon.json"", ""pointer"": ""/pages/0/text""}, ""source_id"": ""patchouli"", ""state"": ""visible""}"	"PROSE"	"patchouli:assets/botania/patchouli_books/lexicon/<language>/entries/basics/lexicon.json"	"PASS"	""	""	"/root/original_language_editor_a"	"CHANGE"	"$(item)Лексикон Ботании$(0) - это кладезь всех знаний для ваших ботанических нужд. Но вы, наверное, уже и так знали это.$(p)Вся информация находится здесь. Для удобства, если у какого-то блока есть описание, вы можете нажать Shift+ПКМ, держа $(item)Лексикон Ботании$(0) в руке, чтобы открыть это описание."	"Заглавная форма обращения внутри предложения заменена на современную строчную."	"/root/original_language_editor_b"
"patchouli-lang:botania:botania.page.pureDaisy0"	"sha256:258370733e319a9a2d033800c9b71505c0b4aa08d0bbd40830882564bc339194"	"Far from being just the most basic, the $(item)Pure Daisy$(0) is the most important flower a botanist can have.$(p)This flower will purify any adjacent $(item)Wood$(0) and $(item)Stone$(0) blocks (as seen on the next page) into their purified counterparts, $(item)Livingwood$(0) and $(item)Livingrock$(0). These resources are important crafting materials throughout a botanist's career."	"$(item)Чистая Маргаритка$(0) - это не только самый первый, но и самый важный цветок для ботаника.$(p)Этот цветок, как показано на след. странице, будет очищать и превращать стоящие вплотную блоки $(item)Дерева$(0) и $(item)Камня$(0) в их очищенные версии: $(item)Жизнедерево$(0) и $(item)Жизнекамень$(0), которые потом пригодятся Вам для создании многих вещей."	"Far from being just the most basic, the Pure Daisy is the most important flower a botanist can have.

This flower will purify any adjacent Wood and Stone blocks (as seen on the next page) into their purified counterparts, Livingwood and Livingrock. These resources are important crafting materials throughout a botanist's career."	"Чистая Маргаритка - это не только самый первый, но и самый важный цветок для ботаника.

Этот цветок, как показано на след. странице, будет очищать и превращать стоящие вплотную блоки Дерева и Камня в их очищенные версии: Жизнедерево и Жизнекамень, которые потом пригодятся Вам для создании многих вещей."	"{""kind"": ""patchouli_language_text"", ""location"": {""archive"": ""mods/Botania-1.20.1-448-FORGE.jar"", ""member"": ""assets/botania/patchouli_books/lexicon/en_us/entries/basics/pure_daisy.json"", ""output_member"": ""assets/botania/patchouli_books/lexicon/ru_ru/entries/basics/pure_daisy.json"", ""pointer"": ""/pages/0/text""}, ""source_id"": ""patchouli"", ""state"": ""visible""}"	"PROSE"	"patchouli:assets/botania/patchouli_books/lexicon/<language>/entries/basics/pure_daisy.json"	"PASS"	""	""	"/root/original_language_editor_a"	"CHANGE"	"$(item)Чистая Маргаритка$(0) - это не только самый первый, но и самый важный цветок для ботаника.$(p)Этот цветок, как показано на след. странице, будет очищать и превращать стоящие вплотную блоки $(item)Дерева$(0) и $(item)Камня$(0) в их очищенные версии: $(item)Жизнедерево$(0) и $(item)Жизнекамень$(0), которые потом пригодятся вам для создании многих вещей."	"Заглавная форма обращения внутри предложения заменена на современную строчную."	"/root/original_language_editor_b"
