id	source_hash	translation
patchouli-json:thermal:guidebook:entries/technology/devices/xp_condenser.json:/name	sha256:d44a3f71400af5e83d19b2dcb45d60d104cc0fe5ad4f0489c6016faa26034d11	Конденсатор опыта
patchouli-json:thermal:guidebook:entries/technology/devices/xp_condenser.json:/pages/0/text	sha256:725b7f098f1b1cc7f92b168df71824cdd6378e6a51172db9065410131f9f85f8	Конденсатор опыта — устройство, которое может собирать опыт из расположенных поблизости блоков, накопивших его внутри с помощью улучшения $(l:thermal:technology/augments/xp_storage)«Накопитель опыта»$(/l). Затем он преобразует этот опыт в жидкую форму. По умолчанию устройство охватывает область 5×5×5 вокруг себя. Эту область можно увеличить с помощью улучшений $(l:thermal:technology/augments/area_radius)«Улучшение радиуса»$(/l).
patchouli-json:thermal:guidebook:entries/technology/devices/xp_condenser.json:/pages/1/text	sha256:bcd5816f9e856198aa50065cf6cec90654c7008ee765748c7fff4e61ac771474	При управлении редстоуновым сигналом Конденсатор опыта собирает опыт сразу после включения. Благодаря этому он всегда надёжно срабатывает при подаче импульса.
patchouli-json:thermal:guidebook:entries/technology/devices/xp_condenser.json:/pages/1/title	sha256:d44a3f71400af5e83d19b2dcb45d60d104cc0fe5ad4f0489c6016faa26034d11	Конденсатор опыта
patchouli-json:thermal:guidebook:entries/technology/devices/xp_condenser.json:/pages/2/text	sha256:3092f05904bf6fefaf42981e7362c94438894d722b5716d3d45562b03c2db1c1	$(li)$(l:thermal:technology/augments/integral_components)Интегральные компоненты$(/l)$(li)$(l:thermal:technology/augments/fluid_tank)Расширитель резервуара$(/l)$(li)$(l:thermal:technology/augments/area_radius)Улучшение радиуса$(/l)
patchouli-json:thermal:guidebook:entries/technology/devices/xp_condenser.json:/pages/2/title	sha256:dc3bece9b3ee08c20dc11957f9389c1c933c3d1f57867bd7c7cde6bb2e446d42	Совместимые улучшения
patchouli-json:thermal:guidebook:entries/technology/machines/crystallizer.json:/name	sha256:383ebf6c5740d634add48a50f143e359ba621e4b9a92db526d4dc3b2c092a50d	Кристаллизатор
patchouli-json:thermal:guidebook:entries/technology/machines/crystallizer.json:/pages/0/text	sha256:c49383f3b62711b26ef480a989dba43f261e546e97730e7f9c82fd8b1ef5794b	Кристаллизатор — машина, создающая кристаллы из базовых компонентов и жидкости.
patchouli-json:thermal:guidebook:entries/technology/machines/crystallizer.json:/pages/1/title	sha256:383ebf6c5740d634add48a50f143e359ba621e4b9a92db526d4dc3b2c092a50d	Кристаллизатор
patchouli-json:thermal:guidebook:entries/technology/machines/crystallizer.json:/pages/2/text	sha256:af2198251088e8cf20e4d555b2f55e6225c7f5b7f4614a9089cabab2404b6d99	$(li)$(l:thermal:technology/augments/integral_components)Интегральные компоненты$(/l)$(li)$(l:thermal:technology/augments/item_filter)Фильтр предметов$(/l)$(li)$(l:thermal:technology/augments/xp_storage)Накопитель опыта$(/l)$(li)$(l:thermal:technology/augments/rf_coil)Усиленная катушка RF$(/l)$(li)$(l:thermal:technology/augments/rf_coil_storage)Накопительная катушка RF$(/l)$(li)$(l:thermal:technology/augments/rf_coil_xfer)Передающая катушка RF$(/l)$(li)$(l:thermal:technology/augments/fluid_tank)Расширитель резервуара$(/l)$(li)$(l:thermal:technology/augments/machine_speed)Повышение скорости$(/l)$(li)$(l:thermal:technology/augments/machine_efficiency)Повышение эффективности$(/l)
patchouli-json:thermal:guidebook:entries/technology/machines/crystallizer.json:/pages/2/title	sha256:dc3bece9b3ee08c20dc11957f9389c1c933c3d1f57867bd7c7cde6bb2e446d42	Совместимые улучшения
patchouli-json:thermal:guidebook:entries/world/plants/crops.json:/pages/5/text	sha256:7bbc3110dee2070d5df9a9ca75d568ebd5f20faea7c7f2930ef6c55790bcbbfd	Листья шпината. Увеличивают мышечную массу моряков.
patchouli-json:thermal:guidebook:entries/world/plants/crops.json:/pages/5/title	sha256:115848bd1b625cfe983273f195922a7553f0a63022873a97c8c9966d1cbcad47	Шпинат
patchouli-json:thermal:guidebook:entries/world/plants/trees.json:/name	sha256:109d6f455ed8c31a49197e9d1ca5241f95e8e593dc23412ef206aa9d07563b5a	Деревья
patchouli-json:thermal:guidebook:entries/world/plants/trees.json:/pages/0/text	sha256:bdc87fc18a7a18bd42da4fbd5d48fc1318084368c419b460c2c433ce8471af1f	Thermal Foundation добавляет новое дерево и связанные с ним изделия из древесины — каучуковое дерево! По мере развития появятся и другие.
patchouli-lang:thermal:thermal.book.subtitle	sha256:e52cde3ebaf012b36348303a947106f3d0a43cdbf4c5c2a8037cec867bc5b748	MC 1.20.1
