id	source_hash	translation
item:block.actuallyadditions.atomic_reconstructor	sha256:da45cb68b0f3ada9b00ff26d4ae4bb617d1c5198c22cc498e5c60a522ee111a9	Атомный реконстрактор
item:block.actuallyadditions.battery_box	sha256:25ccd0bb507799dfadf59609a9fa8b57e453e18913cb923ad7202483b7ed3265	Батарейный блок
item:block.actuallyadditions.bio_reactor	sha256:285d043d7f3432a58f93c3bec3fcf38b960594784a444b2e2a7b2edebedc523f	Биореактор
item:block.actuallyadditions.black_quartz_block	sha256:6c6a3786feea25256f23418700d8a5d868a4ba2eb64227397796683990c7f1d4	Блок чёрного кварца
item:block.actuallyadditions.black_quartz_brick_block	sha256:700c39a5489d5bf6e49c04eec75830a9e640e44f7b577e149a2d77000de49168	Черные кварцевые кирпичи
item:block.actuallyadditions.black_quartz_brick_slab	sha256:897291069a07798fb0ce0346b41669fd9fba1e4828b4ad4a50f0ca7626bd7c05	Плита из черного кварца
item:block.actuallyadditions.black_quartz_brick_stair	sha256:1e552d89ad544f0c2f8766290904c8e84782e7551f224f6a8a3ee8b5f5f9278f	Супеньки из черного кварца
item:block.actuallyadditions.black_quartz_brick_wall	sha256:adeb60c666c65ad2d2742c6e56b2302a9b93fa4b52c095d25869b749243930ea	Ограда из черного кварца
item:block.actuallyadditions.black_quartz_ore	sha256:87cfc6771910b45e0c1878288a84e5b1048bff08ab5ea4565db67e9609b3c7b7	Руда чёрного кварца
item:block.actuallyadditions.black_quartz_pillar_block	sha256:ba377419f1b08f9431f22c12383b06dfe689e87047da49d6dc813cf7274f200e	Колонна из черного кварца
item:block.actuallyadditions.black_quartz_pillar_slab	sha256:d063c1611adfab62b7ea79c9d325f98cadb84fb652bd5a488a43d9f8eb83ed7a	Плита из черного кварца
item:block.actuallyadditions.black_quartz_pillar_stair	sha256:1e60066c038516b4c0f58636335452ecc5f4836e23eb7b5970d82c6881f9760a	Лестница из черного кварца
item:block.actuallyadditions.black_quartz_pillar_wall	sha256:dd4107b49b46b4dfa1afa6157bea2227925a4a76f6a0f0a6da0705ccd9939171	Ограда из черного кварца
item:block.actuallyadditions.black_quartz_slab	sha256:9ec37e05d2d01f899fb3fa8daf9a99027ccdef8a67203d7b0923fb94c213c887	Плита из чёрного кварца
item:block.actuallyadditions.black_quartz_stair	sha256:60df2131a2e32f2461ac02a95ef12dc708f06b2ae47861cbb6ca2d676ec80df2	Ступеньки из чёрного кварца
item:block.actuallyadditions.black_quartz_wall	sha256:cd56078e0df6293e66d667cc2e7d1a3883dbc50de46557405e31f54d9b3bea91	Ограда из чёрного кварца
item:block.actuallyadditions.breaker	sha256:44fdb8735d1f60874687df3819dc1f57b0efca435fab18eb66b071e38e7c99e3	Авто-разрушитель
item:block.actuallyadditions.canola_press	sha256:dc5534408864296bb52d470f660a4cbe4a62fb93fa9cd01ba04702221b5a3f61	Каноловый пресс
item:block.actuallyadditions.chiseled_black_quartz_block	sha256:62f85196149f0c52a1bfe4c021fbc5b87e852658997dcdec17b6b5204b66ee1a	Резной блок чёрного кварца
item:block.actuallyadditions.chiseled_black_quartz_slab	sha256:695eaf9ad498be4f29eca4ad13fc8454947c0ce604437533010b1e0ffd755aa3	Плита из резного чёрного кварца
item:block.actuallyadditions.chiseled_black_quartz_stair	sha256:f1849c67ad4b75437cbe8197bb28678853613fc9aec98d45aa7ba664b44763e3	Ступеньки из резного чёрного кварца
item:block.actuallyadditions.chiseled_black_quartz_wall	sha256:059b1becd8d38ac085bc75a972880be4edc9606097e15dfca6966518fd0b851a	Ограда из резного чёрного кварца
item:block.actuallyadditions.coal_generator	sha256:1229ae8437819bc9b40b6d730c7ec36f6e741dae369eb7f1fe567805fb1aeaa2	Угольный генератор
item:block.actuallyadditions.coffee_machine	sha256:a7c9ac52a64b790c620e98caa9c13932bd37b2c279b2463df647423d78a3ad5e	Кофеварка
item:block.actuallyadditions.crate_small	sha256:ca69d0c71690c4dba759f9a615569286196b660013e0b037d11d19f08069a306	Маленький ящик для хранения (WIP)
item:block.actuallyadditions.crusher	sha256:3ae914d990c70171b46a3d1ad70755d54344b2ddfc9c04cca14bb26f708f76fc	Дробитель
item:block.actuallyadditions.crusher_double	sha256:4e9875f6897a00105834bfae17ec428249e58c6634e93fd2575ba18258432cd8	Двойной дробитель
item:block.actuallyadditions.diamatine_crystal_block	sha256:4943738ad1a756c5f880cf911d30b2c49b8da509f8e272c298452a456265805c	Кристальный блок Диаматина
