# KEEP_EN
Liminal Industries	Liminal Industries
Backrooms	Backrooms
Poolrooms	Poolrooms
Snad	Snad
Ars Ecclesia	Ars Ecclesia
Summoning 101	Summoning 101

# LORE
Ability Slot	Слот для умений
Upgrade Slot	Слот для улучшений
Defense Slot	Слот защиты
Modifier	Модификатор
Smeltery	Плавильня
Foundry	Литейная печь
Casting Tank	Литейный резервуар
Traveler's Gear	Снаряжение путешественника
Slimesuit	Слизневые доспехи
Manyullyn	Маньюллин

# UI_RU
Blaze	Всполох
Part Builder	Конструктор деталей
Ichor Crystal	Ихоровый кристалл
Earthslime Crystal	Земной слизневый кристалл
Slime Crystal	Слизневый кристалл
Enderslime Crystal	Эндер-слизневый кристалл
Skyslime Crystal	Небесный слизневый кристалл
Power (TConstruct modifier)	Сила
Knockback (TConstruct modifier)	Отдача
Padded (TConstruct modifier)	Подбитый
Speedy (TConstruct modifier)	Быстрый
Insulated (TConstruct trait)	Изолированный
Tanned (TConstruct trait)	Дублённый
Carpet Dust	Ковровая пыль
Soggy Carpet	Мокрый ковёр
Carpet Fluid	Ковровая жидкость
Almond Water	Миндальная вода
Unstable Compound	Нестабильное соединение
Compound Charge	Заряд нестабильного соединения
Empty Compound Charge	Пустой заряд нестабильного соединения
Compound Soaked Sponge	Губка, пропитанная нестабильным соединением
Copycat Alloy	Копирующий сплав
Hot Steel	Раскалённая сталь
Cracked Steel	Треснувшая сталь
Heavy Engineering Frame	Тяжёлый инженерный каркас
Light Engineering Frame	Лёгкий инженерный каркас
Wallpaper	Обои
Stripped Wallpaper	Ободранные обои
Rotten Wallpaper	Гнилые обои
Fake Wallpaper	Поддельные обои
Wooden Silverfish Cage	Деревянная клетка для чешуйниц
Sculk Scrubber	Скалковый очиститель
Porous Stone	Пористый камень
Putty Knife	Шпатель
Strange Bricks	Странные кирпичи
Soulcoal	Уголь душ
Dark Casing	Тёмный корпус
Reality Frame	Каркас реальности
Reality Controller	Контроллер реальности
Reality Spawner	Призыватель реальности
Reality Charge	Заряд реальности
Empty Reality Charge	Пустой заряд реальности
Reality Alloy	Сплав реальности
Reality Storage Cell	Ячейка хранения реальности
Data Chip	Чип данных
Modified Data Chip	Модифицированный чип данных
Broken Data Chip	Сломанный чип данных
Wall Piercer	Пробойник стен
Pool Tile	Плитка бассейна
Pool Tiles	Плитка бассейна
Golden Pool Tile	Золотая плитка бассейна
Golden Pool Tiles	Золотая плитка бассейна
Missing Pool Tiles	Плитка бассейна с пропусками
Pool Locker	Шкафчик у бассейна
