id	source_hash	source	native_translation	verdict	recommendation	reason	native_visible_length	recommended_visible_length	length_ratio
patchouli-lang:botania:block.botania.potted_endoflame	sha256:24e977972ae91c1f939db8235e660dc1beb26d8635b752d498680db8ce03af24	Potted Endoflame	Эндопламя в горшке	PASS		Текст читается естественно, ясно и соответствует английскому источнику.	18		
patchouli-lang:botania:botania.category.alfhomancy	sha256:74f28452b7c6f9523fc90fe6e10d1dafd1950cc3d94e57e37ebd7dfa8d03a5fb	Alfhomancy	Эльфомания	CHANGE	Эльфомантия	Исправлено название направления магии.	10	11	1.100
patchouli-lang:botania:botania.category.basics	sha256:9c0a5a34fa941f311bd406de13601867178043c0d7a248b2abf37767c19d055d	Basics and Mechanics	Основы и Механики	CHANGE	Основы и механики	Убрана английская капитализация.	17	17	1.000
patchouli-lang:botania:botania.category.baubles	sha256:319613c3b6187e8e40d015563adc601a50baa29c7fac703a2ec2136b73f78c94	Trinkets and Accessories	Безделушки и Аксессуары	CHANGE	Безделушки и аксессуары	Убрана английская капитализация.	23	23	1.000
patchouli-lang:botania:botania.category.devices	sha256:5492015da12a640989d22bc0c12b120c34697d12ff8a632fed47cf62d50ec5ff	Natural Apparatus	Природные Приборы	CHANGE	Природные приборы	Убрана английская капитализация.	17	17	1.000
patchouli-lang:botania:botania.category.ender	sha256:146b87a383b440ac7ad19d5d6d64f372e868999f7fc43803067ab79ebe8bf5b9	Ender Artifacts	Артефакты Эндер мира	CHANGE	Артефакты Энда	Использовано официальное название измерения.	20	14	0.700
patchouli-lang:botania:botania.category.functionalFlowers	sha256:384a84637b61aa83c95617fadf5dcb9ebb8c48ff689abf54a2d64714ccaf343f	Functional Flora	Функциональная Флора	CHANGE	Функциональная флора	Убрана английская капитализация.	20	20	1.000
patchouli-lang:botania:botania.category.generationFlowers	sha256:c5ccd88f2604dc025c40d11fd0dc25081672a12a2940dfab0a4c22d01a5b9914	Generating Flora	Генерирующая Флора	CHANGE	Генерирующая флора	Убрана английская капитализация.	18	18	1.000
patchouli-lang:botania:botania.category.mana	sha256:224ded9f5046a700b6ff9ba7b8fde25d5152b1062d2601a8f91e051e2db4d755	Mana Manipulation	Управление Маной	CHANGE	Управление маной	Убрана английская капитализация.	16	16	1.000
patchouli-lang:botania:botania.category.misc	sha256:5cb0b42660589925c804543d433ba0764dab859487e5a9ed855481dcbfec1f06	Miscellaneous	Разное	PASS		Текст читается естественно, ясно и соответствует английскому источнику.	6		
patchouli-lang:botania:botania.category.tools	sha256:b1937987c6a94d44687d3e9c46ffbf3f335ce8951351ff03256d8baf200b34d4	Mystical Items	Мистические Предметы	CHANGE	Мистические предметы	Убрана английская капитализация.	20	20	1.000
