id	source_hash	translation
ie-manual:immersiveengineering:accumulators.txt:line:0	sha256:d8b46c897977e3e01f3a200184fd3417cb7cf022cb63e68853c061e954067c54	Аккумуляторы
ie-manual:immersiveengineering:accumulators.txt:line:1	sha256:3a95cb34accf13e52254e886d244061808e61ff1afe06607f2fad4ef6f9c00bc	Энергия с собой
ie-manual:immersiveengineering:accumulators.txt:line:2	sha256:697d41dc64d5e8ac93ea34078c6092cf7259b4a436d45bc1b384badbb256a145	<&recipes>§lАккумуляторы§r служат для хранения энергии. Молотом можно настроить каждую сторону: синий цвет обозначает вход, оранжевый — выход, а отсутствие цветной отметки запрещает любые подключения. Удерживайте Shift при использовании молота, чтобы настроить сторону, противоположную той, по которой вы нажали.
ie-manual:immersiveengineering:alloykiln.txt:line:0	sha256:bc966e0a17fb3ecaa52862ddac0b1c3a3078a45fcaf32ce3077dceadaf068ab7	Печь для сплавов
ie-manual:immersiveengineering:alloykiln.txt:line:1	sha256:24d14ba9c923bb34966c6868dd70ec9dca73530f37b63f95bc8941313cf19c9f	Смешивание металлов
ie-manual:immersiveengineering:alloykiln.txt:line:2	sha256:5aeb60e8c8368cfb10ce4ad99c7e473ae5d0790b621af97a96a3b2d9c7724880	<&recipe>Плавильная печь — это простая печь из жаростойкого песчаника и кирпичей. Температура внутри достаточно высока, чтобы расплавить металлы и смешать их в <link;alloys;сплав>.
ie-manual:immersiveengineering:alloykiln.txt:line:3	sha256:5d800900884e92f1c4e5d65727f56f9c1f45f9d6fa9a56aad587d7b4bbbdbaa1	Это позволяет создавать важные сплавы, такие как электрум и константан, без утомительного смешивания пыли. <&multiblock>Чтобы сформировать печь, расположите 8 кирпичей печи в кубе 2x2x2, как показано выше, и щелкните правой кнопкой мыши по одному из боковых блоков с помощью молотка инженера.
ie-manual:immersiveengineering:alloykiln.txt:line:4	sha256:8e112151b5e8b82cc1199762cf2702daa058fc594a6c43f5fef29900c869d1ee	<&insulating_glass>Плавильная печь также необходима для изготовления §2изоляционного стекла§r — компонента <link;wiring;высоковольтных устройств;connector_recipes>.
ie-manual:immersiveengineering:alloys.txt:line:0	sha256:07ab532e548449f84e6d9c97eea6bae883dcde9e38385d5e1474905024a66d63	Сплавы
ie-manual:immersiveengineering:alloys.txt:line:1	sha256:46c3842664687e94047ce3eecf1d26361c0431a9017ea72c102b5aeb7763843d	Искусство смешивать металлы
ie-manual:immersiveengineering:alloys.txt:line:2	sha256:2200551678a283893232bc6d0ffe8328a80125e10cb1e1dacdd8f42cd815e7d6	Смешивание пыли даёт смесь, которую затем можно переплавить в новый сплав. Константан обладает термоэлектрическими свойствами и используется при создании <link;generator;термоэлектрического генератора>, а электрум является отличным электрическим проводником и используется в <link;wiring;устройствах среднего напряжения>.
ie-manual:immersiveengineering:arc_furnace.txt:line:0	sha256:257d259b935313460889196a7325b554d2d7456d78b4acf3cf7730b6dcd9ee40	Дуговая печь
ie-manual:immersiveengineering:arc_furnace.txt:line:1	sha256:45362e0cea2f64a7fc591a9462cb8d7bf47fcf0d1531b968e5c56c4ce3c27868	Не реактор
ie-manual:immersiveengineering:arc_furnace.txt:line:10	sha256:9d98d79169f32e0a06bef6615fe9e46d3b34a52ca9cb4e31114c4dd0dd316fce	Три верхних слота предназначены для <link;graphite;графитовых электродов;electrode>.
ie-manual:immersiveengineering:arc_furnace.txt:line:11	sha256:b7ab6407427e72b5363dd09fffbee93a4beb975a8df72a1882d60adf9a4a4163	Двенадцать слотов слева - это входные слоты для металлов и руд. Рядом с каждым слотом находится температурный индикатор, отображающий процесс плавки.
ie-manual:immersiveengineering:arc_furnace.txt:line:12	sha256:7fefe4ecc7d3b360b6517dbb9c8a1d433088dc983074241484abf0301bdafc63	Четыре слота справа предназначены для «добавок» — материалов, которые добавляют в расплавленный металл во время обработки. Например, из железа и коксовой пыли можно получить сталь.
ie-manual:immersiveengineering:arc_furnace.txt:line:13	sha256:bdae8c5e957c8cb16d5c88c48552b74915d74cf69d37bf6a50ce90f539c263ac	Исходные материалы и добавки подаются через два люка в верхней части конструкции: материалы — слева от электродов, добавки — справа.
ie-manual:immersiveengineering:arc_furnace.txt:line:14	sha256:cbae419d2b5b1995f14a76ce2e8100e02bb80d6e49877f5c6a16093a7a93d6fd	"Семь слотов снизу - это шесть выходных слотов и один слот для шлака. Выходные продукты извлекаются из ""ковша"" в передней части конструкции, шлак - через порт в задней части машины. Дуговая печь будет автоматически перемещать выходные продукты и шлак в присоединённые хранилища (сюда входят и конвейерные ленты)."
ie-manual:immersiveengineering:arc_furnace.txt:line:2	sha256:863f4a90c1454adb221f0dbf61376c5409c78bce8b1ccf26de2b5284024c01e2	Дуговая печь — огромная конструкция для быстрой плавки металлов. Она состоит из стального чана и расположенных над ним электродов, которые нагревают металл.
ie-manual:immersiveengineering:arc_furnace.txt:line:3	sha256:281fc3fdd470e992af42f3ee9757e77a3ce521653b86a0c8ee29a1ee7bb47c24	Печь отлично справляется с выплавкой руд и созданием стали благодаря своей высокой скорости и способности обрабатывать несколько изделий одновременно, но она также сложна в своей работе и потребует технического обслуживания, чтобы продолжать функционировать.
ie-manual:immersiveengineering:arc_furnace.txt:line:4	sha256:a64292b1455d827a4b65a220543285884a1b2f4ea03c8f524857596f19a2bcad	Шлак нужно удалять из машины, иначе она перестанет работать. Изношенные электроды также требуется время от времени заменять.
ie-manual:immersiveengineering:arc_furnace.txt:line:5	sha256:2f921e5dad1740cc083ce1dec76a4d50281a873d288c6701b130aff984f5d791	Чтобы сформировать конструкцию, соберите её, как показано на первой странице, а затем нажмите по котлу Молотом инженера.
ie-manual:immersiveengineering:arc_furnace.txt:line:6	sha256:6d89751bb7c04b532d936d3a53e1fe6c59d237a5ffef992223ec3b6593f7bfe3	Энергия подаётся через три разъёма сзади. Сигнал редстоуна на передней панели управления выключает машину. Чтобы открыть интерфейс, нажмите ПКМ по панели, «ковшу» или чану.<np>
ie-manual:immersiveengineering:arc_furnace.txt:line:7	sha256:b3a26a462b3357abdbd56629e887d5cb20fb64ace86b2b7ceeb7b81fbc8a26b9	§lИнтерфейс:§r
ie-manual:immersiveengineering:arc_furnace.txt:line:8	sha256:0c6139b316012358bb64f46ebe8b18c279150ce32825199787dffcb86313b1bc	При первом знакомстве интерфейс может показаться запутанным, но он довольно прост.
ie-manual:immersiveengineering:assembler.txt:line:0	sha256:8ae5ed28f5a2be663429a2882e55e1a5ed9b387e668927ecc9d16fd8ff3e81c8	Сборщик
ie-manual:immersiveengineering:assembler.txt:line:1	sha256:fa17d3377f849c0ed3bdd00905c3ab4ab4cec0c30e9892e113507272a4c2717d	Требуется сборка
ie-manual:immersiveengineering:assembler.txt:line:2	sha256:9582f6ed7e230dab5e91603d4dd908461641952aa11d11f134688eae84601d85	<&multiblock>Сборщик - это сложная машина, способная создавать предметы, подобно тому, как это делал бы игрок.
ie-manual:immersiveengineering:assembler.txt:line:3	sha256:9ef6a8525bb9c8644cdae13048cc5de30745f6a76ceee00074abbaae85baf7fd	Чтобы сформировать структуру, постройте её, как показано выше, и нажмите ПКМ Молотом по одному из конвейеров.<np>
ie-manual:immersiveengineering:assembler.txt:line:4	sha256:4233aac85d065e0f430d71f96f2fcc72d98bf0ec2d1e4495f0af85dd1d910a59	Конвейер, по которому вы нажмёте, станет входной стороной. На неё укажут синий маркер сверху и стрелка сбоку машины.
ie-manual:immersiveengineering:assembler.txt:line:5	sha256:57b141dda18ce4716a59128f9d30ca14a090af50fc859c55a321bc287c52dd9d	Сборщик хранит до 3 рецептов и выполняет их по порядку. Результаты предыдущих рецептов можно использовать как ингредиенты следующих.
ie-manual:immersiveengineering:assembler.txt:line:6	sha256:22c6673db958c35b8029a17ec9e79a8f03ab8b82f2d66e916ea4f980bc61c9bb	3 поля для крафта хранят рецепты, а 18 слотов под ними - это инвентарь для материалов.<np>
ie-manual:immersiveengineering:assembler.txt:line:7	sha256:5d6e27726acd65e8c6fa6393e707e424817941e171d11a6a8d1b646999039b65	На входной стороне, помимо порта для предметов, имеется также порт для жидкостей, необходимый для заполнения трёх внутренних резервуаров машины.
ie-manual:immersiveengineering:assembler.txt:line:8	sha256:98b64ec7aa74de21adcac58f91a0978ddb175d0b0614f0efe823e82f7b728582	Жидкость в этих резервуарах может использоваться для замены ёмкостей с жидкостью, таких как вёдра с водой в рецептах.
ie-manual:immersiveengineering:assembler.txt:line:9	sha256:026782535ae8b13339907ccd381793cd300ece2b5671a5b82b751e15c47ef8c8	Энергия для машины подаётся через верхний центральный блок.
ie-manual:immersiveengineering:automated_workbench.txt:line:0	sha256:7ee7907304e79c40d3842f100b2f7de5983de76e056a2439a0067e7656c24c34	Автоматизированный верстак
ie-manual:immersiveengineering:automated_workbench.txt:line:1	sha256:d12c30d18ae31299c3ab33c28e9be3d37a399662739fa9c33f59f1f7271b20c7	Для тех, кто не умеет переключать передачи
ie-manual:immersiveengineering:automated_workbench.txt:line:2	sha256:79a97295acedf7af6c13b73fb2bf9b42653d6cf222653c9005b7a881b64328db	<&multiblock>Автоматический верстак — одно из первых крупных достижений малой инженерии.
ie-manual:immersiveengineering:automated_workbench.txt:line:3	sha256:07f7d556730f14fe952d63ef8c2651dea9e0e2d78b96865bfac7ed52709d0cd4	Машина следует инструкциям из <link;blueprints;чертежа;start> и собирает указанные в нём предметы.<np>
ie-manual:immersiveengineering:automated_workbench.txt:line:4	sha256:ae3302a622e36a34ba0101410ce6f46a4a44e03bdb29497358be9732d5e1cc20	После сборки мультиблока чертеж можно разместить на его чертежном столе. После выбора предмета, который следует создать, начнется процесс его сборки. Чтобы машина работала, ее необходимо снабдить материалами и электроэнергией.<br>
