"id"	"source_hash"	"verdict"	"recommendation"	"reason"	"reviewer"	"method"
"patchouli-lang:botania:botania.page.elfMessage1"	"sha256:2ad813db8f803c3115a8e547ec4f9a025799d65ba1bda78232cb537316f5e606"	"CHANGE"	"$(o)Приветствуем! Мы нашли эту книгу, когда одна из старых портальных рам сама открыла связь с другим миром — это стало для нас большим потрясением. От имени всей Эльфийской стражи сердечно благодарим за собрание знаний вашего мира. Нам давно пришлось его покинуть, и мы рады узнать, что у вас всё хорошо.$(0)"	"Исправлено по исчерпывающему заключению checkpoint-review."	"/root/checkpoint11_language_fixer"	"clean-full-reread-fix-iteration"
"patchouli-lang:botania:botania.page.elfMessage2"	"sha256:d801dd8d6396cf72af29bddf36d0b29cfe7efeac8024e408635d8232053babda"	"CHANGE"	"$(o)После долгих обсуждений в Высшем совете Эльфийской стражи мы решили сотрудничать с вами. Видите ли, в вашем ""Лексиконе Ботании"" упоминаются некоторые ресурсы вашего мира, которые мы очень хотели бы заполучить: в наших землях их попросту нет.$(0)"	"Исправлено по исчерпывающему заключению checkpoint-review."	"/root/checkpoint11_language_fixer"	"clean-full-reread-fix-iteration"
"patchouli-lang:botania:botania.page.elfMessage3"	"sha256:bcb7675b40b1fba5cab11775b0fa0a8f50bc6a07823e6d75fa0a5fcae5d04a02"	"CHANGE"	"$(o)Установленная вами связь, к сожалению, слишком слаба, чтобы переносить живых существ: вероятно, причина в огромном расстоянии между нашими мирами. Жаль: мы хотели встретиться с нашим торговым партнёром лично. Зато связь позволяет менять синхронизацию времени в наших мирах, поэтому вы получите книгу обратно так быстро — по крайней мере, с вашей точки зрения.$(0)"	"Исправлено по исчерпывающему заключению checkpoint-review."	"/root/checkpoint11_language_fixer"	"clean-full-reread-fix-iteration"
"patchouli-lang:botania:botania.page.elfMessage5"	"sha256:0a29a917cf0f322ceaa8a360d094cd93f2862e24bde39d9e3949d577d37922f2"	"CHANGE"	"$(o)Мы поручили лучшим писцам перенести в ваш лексикон большую часть знаний нашего мира. Надеемся, они окажутся для вас полезны и побудят вас использовать наши материалы.$(0)"	"Исправлено по исчерпывающему заключению checkpoint-review."	"/root/checkpoint11_language_fixer"	"clean-full-reread-fix-iteration"
"patchouli-lang:botania:botania.page.elfResources0"	"sha256:77b8af7c9632ef545d7ad2b99d8bd195b99feacaad1947d03979bdda73919521"	"CHANGE"	"$(thing)Эльфхейм$(0) богат ценными ресурсами. К сожалению, из-за соперничества эльфийских кланов большинство из них довольно редки. Эльфы, с которыми вы связались, хотят обменять местные ресурсы — $(item)Древесину мечтаний$(0), $(item)Элементий$(0), $(item)Пыльцу фей$(0) и $(item)Камни дракона$(0) — на ресурсы вашего мира."	"Неестественная сочетаемость и неверная логика обмена."	"/root/checkpoint11_language_fixer"	"clean-full-reread-fix-iteration"
"patchouli-lang:botania:botania.page.elfResources6"	"sha256:4757f0560edd3f179bf19048ad551ba7e0b10ba67a0e081085eba3c6d48c3ebe"	"CHANGE"	"$(item)Эльфы$(0) также заинтересованы в белом изысканном материале из $(thing)Незера$(0) — $(item)Незер-кварце$(0), ведь кварц в их мире имеет зелёный оттенок. По свойствам эльфийский кварц не отличается от других видов кварца, включая обычный Незер-кварц и его декоративные варианты. Подробнее читайте в статье $(thing)Декоративные блоки$(0) раздела $(thing)Разное$(0)."	"Исправлено по исчерпывающему заключению checkpoint-review."	"/root/checkpoint11_language_fixer"	"clean-full-reread-fix-iteration"
"patchouli-lang:botania:botania.page.gaiaRitual3"	"sha256:51c6987be07cd066a8a356aea1e1ac134f25ea6cfbc4e8bc86bd40870759be3c"	"CHANGE"	"Чтобы начать ритуал, присядьте и нажмите ПКМ по $(item)Маяку$(0), держа в руке $(l:basics/terrasteel)$(item)Слиток террастали$(0)$(/l); затем отойдите и приготовьтесь сражаться за жизнь. Подготовка необходима: бой с $(thing)Хранителем Гайи$(0) может оказаться сложнее боя с $(thing)Иссушителем$(0). После победы над $(thing)Хранителем$(0) вы получите в награду горсть $(item)Духов Гайи$(0)."	"Исправлено по исчерпывающему заключению checkpoint-review."	"/root/checkpoint11_language_fixer"	"clean-full-reread-fix-iteration"
"patchouli-lang:botania:botania.page.kingKey0"	"sha256:afaba3cf28edfafcf70ae12f47060e60183cda6758133e65a8a9b7fad4c77f74"	"CHANGE"	"$(item)Ключ от Королевского арсенала$(0) — могущественная реликвия, материализующая оружие из воздуха. Удерживайте ПКМ ключом, чтобы призвать светящиеся снаряды. Одновременно можно создать до двадцати снарядов; отпустите ключ, и они один за другим полетят туда, куда направлен ваш взгляд. Снаряды движутся быстро и взрываются при столкновении."	"Полное повторное редакторское чтение: исправлены смысл, грамматика, пунктуация и неестественные обороты; технические токены сохранены."	"/root/checkpoint11_language_fixer"	"clean-full-reread-fix-iteration"
"patchouli-lang:botania:botania.page.lexicon0"	"sha256:e5a71e94ee2c112afbc6ddecd5082616da3945344557ec7d10252a3f2acc6c2c"	"CHANGE"	"$(item)Лексикон Ботании$(0) — кладезь знаний для ботаника. Впрочем, вы, вероятно, уже это знаете.$(p)Вся информация собрана здесь. Если у блока есть описание, возьмите $(item)Лексикон Ботании$(0) в руку и нажмите Shift+ПКМ по блоку, чтобы открыть его."	"Полное повторное редакторское чтение: исправлены смысл, грамматика, пунктуация и неестественные обороты; технические токены сохранены."	"/root/checkpoint11_language_fixer"	"clean-full-reread-fix-iteration"
"patchouli-lang:botania:botania.page.pureDaisy0"	"sha256:258370733e319a9a2d033800c9b71505c0b4aa08d0bbd40830882564bc339194"	"CHANGE"	"$(item)Чистая Маргаритка$(0) — не только самый простой, но и самый важный цветок для ботаника.$(p)Этот цветок превращает соседние блоки $(item)Дерева$(0) и $(item)Камня$(0) (как показано на следующей странице) в $(item)Жизнедерево$(0) и $(item)Жизнекамень$(0). Эти материалы пригодятся вам для создания множества предметов."	"Ошибка «для создании» и неестественная конструкция."	"/root/checkpoint11_language_fixer"	"clean-full-reread-fix-iteration"
"patchouli-lang:botania:botania.page.runeAltar21"	"sha256:4e485dfcd46478aaaf2f36058c7c1412b42040fe23760bfe74b85e3cf94bc24d"	"CHANGE"	"Создание рун — важный шаг в развитии ботанической магии. Чтобы научиться их создавать, сначала нужно хорошо разобраться в управлении маной. Поэтому прежде чем продолжить, прочитайте важные статьи в разделе $(thing)Управление маной$(0) (они выделены $(o)курсивом$(0))."	"Исправлено по исчерпывающему заключению checkpoint-review."	"/root/checkpoint11_language_fixer"	"clean-full-reread-fix-iteration"
