"id"	"source_hash"	"source"	"verdict"	"recommendation"
"patchouli-lang:botania:botania.entry.gardenOfGlass"	"sha256:dc82805e37fd743712ba0301c64f6fdd4c6368bd43c7866123f50575568aadde"	"Garden of Glass"	"CHANGE"	"Стеклянный сад"
"patchouli-lang:botania:botania.page.gardenOfGlass0"	"sha256:eb2b9107e2de1464c899773808b4556e9f19af0176f782008b62e4b1f533fe20"	"In the $(2)Garden of Glass$(0) nobody can hear you scream.$(p)You're alone in space.$(p)How exciting."	"CHANGE"	"В $(2)стеклянном саду$(0) никто не услышит ваш крик. $(p)Вы одиноки в космосе.$(p)Как захватывающе."
"patchouli-lang:botania:botania.page.gardenOfGlass14"	"sha256:17ed0a948b3e9bd07b605e434d47084703d621904ec3170bd8efaa2270c1c0f5"	"Creating the $(item)Heart of the Sea$(0)"	"CHANGE"	"Создание $(item)сердца моря$(0)"
"patchouli-lang:botania:botania.page.runeAltar20"	"sha256:2e7221139f4c6f5bb33316b9ee6c83997fbde6d78c103736d3ef634a06e3d51a"	"Right clicking the $(item)Runic Altar$(0) with an empty hand while it's not accepting mana will pull out the last item input.$(p)Additionally, an attached $(item)Comparator$(0) will emit signal strength $(thing)1$(0) if the altar is accepting $(thing)Mana$(0), and signal strength $(thing)2$(0) if it's ready to craft the rune."	"CHANGE"	"Нажмите пустой рукой по $(item)руническому алтарю$(0), когда он не принимает ману, чтобы забрать последний добавленный предмет.$(p)Подключённый $(item)редстоуновый компаратор$(0) выдаёт сигнал силой $(thing)1$(0), когда алтарь принимает $(thing)ману$(0), и силой $(thing)2$(0), когда он готов создать руну."
"patchouli-lang:botania:botania.page.runeAltar22"	"sha256:33b224ed10248813f3a633287948d5ca7ab0f986b164711e91a35bf7d889f7e0"	"Any runes used for recipes in the $(item)Runic Altar$(0) function as catalysts, and will be returned upon completion of the runic recipe.$(p)Similarly to the $(l:basics/apothecary)$(item)Petal Apothecary$(0)$(/l), right-clicking this block with an empty hand after a recipe is complete will pull another set of the items used for the last recipe, for faster crafting in bulk."	"CHANGE"	"Руны в рецептах $(item)рунического алтаря$(0) служат катализаторами и возвращаются после создания руны.$(p)Как и с $(l:basics/apothecary)лепестковой чашей$(/l), после завершения рецепта нажмите [$(k:use)] пустой рукой по алтарю, чтобы сразу добавить новый набор предметов из прошлого рецепта и ускорить массовое создание."
"patchouli-lang:botania:botania.page.welcome0"	"sha256:ca10ecd14f10bcf8db904b2b2ba165f53c7fabe5128319f432877208d4815799"	"$(o)Welcome to Botania! I congratulate you on the fine decision to strap a sapling and a book together. Or just on finding this tome in a chest. Whichever applies.$(p)$(o)You can navigate this book with the arrows at the bottom of this page, or scroll through pages with your mouse wheel."	"CHANGE"	"$(o)Добро пожаловать в Ботанию! Поздравляю с прекрасным решением соединить саженец и книгу. Или с тем, что вы просто нашли этот том в сундуке — смотря что произошло.$(p)$(o)Перелистывайте страницы стрелками внизу или колёсиком мыши."
"patchouli-lang:botania:botania.page.itemFinder0"	"sha256:eb785810a35153dc993e294950e598e2ff8a2fb4fd0e1b46fba8d0fbd2e03b87"	"$(item)The Spectator$(0) is a headband that allows its wearer to perceive the world in a better way. When its wearer holds an item, all of the following will emit colorful particles for easy spotting:"	"CHANGE"	"$(item)Обруч шестого чувства$(0) — это повязка на голову, которая позволяет владельцу лучше воспринимать окружающий мир. Когда владелец держит предмет, перечисленные ниже объекты испускают разноцветные частицы, чтобы их было проще заметить:$(li)$(thing)контейнеры$(0) (сундуки, вагонетки, печи и так далее);"
"patchouli-lang:botania:botania.challenge.spectrolusSetup"	"sha256:9c77f87e8dcc62a0da6cd92f5c0d9afd284561472b170b9a5bb0b510111ee3a3"	"Spectrolus Setup"	"CHANGE"	"Автономный спектролис"
"patchouli-lang:botania:botania.entry.spectranthemum"	"sha256:debb521f2653d70f4d83da65e25e6edda8314ef6e78c15316a31e5cd6a7dc1a2"	"Spectranthemum"	"CHANGE"	"Спектрантема"
"patchouli-lang:botania:botania.page.dandelifeon7"	"sha256:5e820e495d06511fca1c256c0f0e5d573845c414b928c2eb99324a608e0ac338"	"$(item)Cellular Blocks$(0) are crafted with $(item)Cactus$(0), $(item)Carrots$(0), $(item)Potatoes$(0), and $(item)Beetroots$(0), and are extremely fragile. They won't yield anything when broken, nor can they be moved by $(item)Pistons$(0). They won't be generated by a $(item)Dandelifeon$(0) on any cell that doesn't contain air.$(p)However, when not within the range of a $(item)Dandelifeon$(0) they hold no other special properties."	"CHANGE"	"$(item)Клеточные блоки$(0) создаются из $(item)кактусов$(0), $(item)моркови$(0), $(item)картошки$(0) и $(item)свёклы$(0) и чрезвычайно хрупки. Их нельзя собрать даже с чарами «$(thing)Шёлковое касание$(0)» и нельзя сдвинуть $(item)поршнем$(0). $(item)Жизнеодуванчик$(0) не будет создавать их на позициях, где нет воздуха (т.е. стоит какой-то другой блок).$(p)За пределами зоны действия $(item)жизнеодуванчика$(0) они не имеют никаких особых свойств."
