namespace	key	en_us	current_ru	proposed_ru	reason
enderio	block.enderio.aversion_obelisk	Aversion Obelisk		Обелиск отпугивания	Русское имя отсутствует.
enderio	item.enderio.clear_glass_a	Clear Glass (Animals Pass)		Чистое стекло (проходят животные)	В en_us и ru_ru отсутствует имя варианта; восстановлено по суффиксу свойств и цвета.
enderio	item.enderio.clear_glass_a_black	Black Clear Glass (Animals Pass)		Чёрное чистое стекло (проходят животные)	В en_us и ru_ru отсутствует имя варианта; восстановлено по суффиксу свойств и цвета.
enderio	item.enderio.clear_glass_a_blue	Blue Clear Glass (Animals Pass)		Синее чистое стекло (проходят животные)	В en_us и ru_ru отсутствует имя варианта; восстановлено по суффиксу свойств и цвета.
enderio	item.enderio.clear_glass_a_brown	Brown Clear Glass (Animals Pass)		Коричневое чистое стекло (проходят животные)	В en_us и ru_ru отсутствует имя варианта; восстановлено по суффиксу свойств и цвета.
enderio	item.enderio.clear_glass_a_cyan	Cyan Clear Glass (Animals Pass)		Бирюзовое чистое стекло (проходят животные)	В en_us и ru_ru отсутствует имя варианта; восстановлено по суффиксу свойств и цвета.
enderio	item.enderio.clear_glass_a_gray	Gray Clear Glass (Animals Pass)		Серое чистое стекло (проходят животные)	В en_us и ru_ru отсутствует имя варианта; восстановлено по суффиксу свойств и цвета.
enderio	item.enderio.clear_glass_a_green	Green Clear Glass (Animals Pass)		Зелёное чистое стекло (проходят животные)	В en_us и ru_ru отсутствует имя варианта; восстановлено по суффиксу свойств и цвета.
enderio	item.enderio.clear_glass_a_light_blue	Light Blue Clear Glass (Animals Pass)		Голубое чистое стекло (проходят животные)	В en_us и ru_ru отсутствует имя варианта; восстановлено по суффиксу свойств и цвета.
enderio	item.enderio.clear_glass_a_light_gray	Light Gray Clear Glass (Animals Pass)		Светло-серое чистое стекло (проходят животные)	В en_us и ru_ru отсутствует имя варианта; восстановлено по суффиксу свойств и цвета.
enderio	item.enderio.clear_glass_a_lime	Lime Clear Glass (Animals Pass)		Лаймовое чистое стекло (проходят животные)	В en_us и ru_ru отсутствует имя варианта; восстановлено по суффиксу свойств и цвета.
enderio	item.enderio.clear_glass_a_magenta	Magenta Clear Glass (Animals Pass)		Пурпурное чистое стекло (проходят животные)	В en_us и ru_ru отсутствует имя варианта; восстановлено по суффиксу свойств и цвета.
enderio	item.enderio.clear_glass_a_orange	Orange Clear Glass (Animals Pass)		Оранжевое чистое стекло (проходят животные)	В en_us и ru_ru отсутствует имя варианта; восстановлено по суффиксу свойств и цвета.
enderio	item.enderio.clear_glass_a_pink	Pink Clear Glass (Animals Pass)		Розовое чистое стекло (проходят животные)	В en_us и ru_ru отсутствует имя варианта; восстановлено по суффиксу свойств и цвета.
enderio	item.enderio.clear_glass_a_purple	Purple Clear Glass (Animals Pass)		Фиолетовое чистое стекло (проходят животные)	В en_us и ru_ru отсутствует имя варианта; восстановлено по суффиксу свойств и цвета.
enderio	item.enderio.clear_glass_a_red	Red Clear Glass (Animals Pass)		Красное чистое стекло (проходят животные)	В en_us и ru_ru отсутствует имя варианта; восстановлено по суффиксу свойств и цвета.
enderio	item.enderio.clear_glass_a_white	White Clear Glass (Animals Pass)		Белое чистое стекло (проходят животные)	В en_us и ru_ru отсутствует имя варианта; восстановлено по суффиксу свойств и цвета.
enderio	item.enderio.clear_glass_a_yellow	Yellow Clear Glass (Animals Pass)		Жёлтое чистое стекло (проходят животные)	В en_us и ru_ru отсутствует имя варианта; восстановлено по суффиксу свойств и цвета.
enderio	item.enderio.clear_glass_da	Dark Clear Glass (Animals Pass)		Затеняющее чистое стекло (проходят животные)	В en_us и ru_ru отсутствует имя варианта; восстановлено по суффиксу свойств и цвета.
enderio	item.enderio.clear_glass_da_black	Black Dark Clear Glass (Animals Pass)		Чёрное затеняющее чистое стекло (проходят животные)	В en_us и ru_ru отсутствует имя варианта; восстановлено по суффиксу свойств и цвета.
enderio	item.enderio.clear_glass_da_blue	Blue Dark Clear Glass (Animals Pass)		Синее затеняющее чистое стекло (проходят животные)	В en_us и ru_ru отсутствует имя варианта; восстановлено по суффиксу свойств и цвета.
