namespace	key	en_us	current_ru	proposed_ru	reason
actuallyadditions	item.actuallyadditions.booklet	Actually Additions Manual (WIP)	Actually Additions Manual (WIP)	Руководство Actually Additions (в разработке)	В ru_ru оставлено английское имя.
create	item.create.andesite_alloy	Ash Alloy	Андезитовый сплав	Зольный сплав	Loose override переименовывает Andesite Alloy в Ash Alloy; JAR-перевод описывает прежний материал.
immersiveengineering	item.immersiveengineering.component_electronic	Electronic Component		Электронный компонент	Русское имя отсутствует в ru_ru установленного JAR.
immersiveengineering	item.immersiveengineering.component_electronic_adv	Advanced Electronic Component		Продвинутый электронный компонент	Русское имя отсутствует в ru_ru установленного JAR.
immersiveengineering	block.immersiveengineering.fiberboard	Fiberboard		Древесноволокнистая плита	Русское имя отсутствует в ru_ru установленного JAR.
immersiveengineering	fluid_type.immersiveengineering.phenolic_resin	Phenolic Resin		Фенольная смола	Русское имя жидкости отсутствует в ru_ru установленного JAR.
immersiveengineering	fluid_type.immersiveengineering.redstone_acid	Redstone Acid		Редстоуновая кислота	Русское имя жидкости отсутствует в ru_ru установленного JAR.
immersiveengineering	item.immersiveengineering.plate_duroplast	Duroplast Sheet		Лист дюропласта	Русское имя отсутствует в ru_ru установленного JAR.
thermal	item.thermal.area_radius_augment	Radial Enhancement		Улучшение радиуса	Русское имя отсутствует в ru_ru установленного JAR.
thermal	item.thermal.blizz_rod	Blizz Cube		Куб близза	Русское имя отсутствует в ru_ru установленного JAR.
thermal	block.thermal.charcoal_block	Block of Charcoal		Блок древесного угля	Русское имя отсутствует в ru_ru установленного JAR.
thermal	item.thermal.crude_oil_bucket	Crude Oil Bucket		Ведро сырой нефти	Русское имя отсутствует в ru_ru установленного JAR.
thermal	item.thermal.cured_rubber	Cured Glue		Затвердевший клей	Loose override переименовывает Cured Rubber в Cured Glue; русского имени в JAR нет.
thermal	item.thermal.diving_fabric	Diving Fabric		Ткань для гидрокостюма	Русское имя отсутствует в ru_ru установленного JAR; формулировка согласована с названием готового гидрокостюма.
thermal	block.thermal.device_collector	Vacuumulator		Ваккумулятор	Русское имя отсутствует в ru_ru установленного JAR.
thermal	block.thermal.device_rock_gen	Igneous Extruder		Магматический экструдер	Русское имя отсутствует в ru_ru установленного JAR; используется узнаваемое технологическое название механизма.
thermal	item.thermal.diving_boots	Diving Flippers		Ласты	Русское имя отсутствует в ru_ru установленного JAR.
thermal	item.thermal.diving_chestplate	Diving Suit		Гидрокостюм	Русское имя отсутствует в ru_ru установленного JAR.
thermal	item.thermal.diving_helmet	Diving Helmet		Водолазный шлем	Русское имя отсутствует в ru_ru установленного JAR.
