id	source_hash	translation
patchouli-json:dynamictrees:guide:categories/mechanics.json:/description	sha256:6ac711c0d85a625dc98a73c364eb4950dc7ff1ee430b33691fec3083430918d2	В этих статьях описаны возможности и механики Dynamic Trees.
patchouli-json:dynamictrees:guide:categories/mechanics.json:/name	sha256:1c74a0e2ceaaeb28e43c382df4ef36b79abc45b23195d293d0c2a4681c1cc9e2	Механики
patchouli-json:dynamictrees:guide:categories/potions.json:/description	sha256:1cd9777f0c46bd31d548261d56285109d5a95527575b54d0d072e78ff0a9a997	В этих статьях приведены рецепты варки зелий.
patchouli-json:dynamictrees:guide:categories/potions.json:/name	sha256:b5e0cd8a0fdcaf9bc9cdb6e35357a51d1d00728fb53280f4455633a60cd8bdfd	Зелья
patchouli-json:dynamictrees:guide:categories/trees.json:/description	sha256:227f278d25e457a210385a0be7dc2a2fe57d322bf33a86fad2c7982237843186	В этих статьях описаны некоторые деревья и их особенности.
patchouli-json:dynamictrees:guide:categories/trees.json:/name	sha256:109d6f455ed8c31a49197e9d1ca5241f95e8e593dc23412ef206aa9d07563b5a	Деревья
patchouli-json:dynamictrees:guide:entries/mechanics/dirt_bucket.json:/name	sha256:442b7762b2f334b81e4d618221882ad214c1bc8b0e10bcc1ec24cbb0a310aeba	Ведро грязи
patchouli-json:dynamictrees:guide:entries/mechanics/dirt_bucket.json:/pages/0/text	sha256:d2a5f19830ad38d730c12f430105c8b7165b1628bc8e28dc09d1203105e8ca9a	Ведро грязи позволяет превратить семя в саженец и наоборот.$(br2)Положите ведро грязи и семя или саженец на верстак. Рецепт бесформенный.
patchouli-json:dynamictrees:guide:entries/mechanics/dirt_bucket.json:/pages/0/title	sha256:442b7762b2f334b81e4d618221882ad214c1bc8b0e10bcc1ec24cbb0a310aeba	Ведро грязи
patchouli-json:dynamictrees:guide:entries/mechanics/dirt_bucket.json:/pages/1/text	sha256:0ab95af8494013ce2cf84399296894bcf97a1cc87a9acea5fe18d45f4ec5fa96	Чтобы получить ведро грязи, просто соедините блок земли с ведром.$(br2)При необходимости щёлкните ведром ПКМ по земле, чтобы опустошить его.
patchouli-json:dynamictrees:guide:entries/mechanics/dirt_bucket.json:/pages/1/title	sha256:442b7762b2f334b81e4d618221882ad214c1bc8b0e10bcc1ec24cbb0a310aeba	Ведро грязи
patchouli-json:dynamictrees:guide:entries/mechanics/dirt_bucket.json:/pages/2/title	sha256:9134dd00f1f7cc99bb2fccb68da53123189c82e74b54c77114a9bfc28797e603	Из семян в саженцы
patchouli-json:dynamictrees:guide:entries/mechanics/dirt_bucket.json:/pages/3/text	sha256:0610d5ece6cafad2d9a07c7676ca8d89737d3ecc624a9766910d48deb653e0ab	Плодовые деревья не сбрасывают семена: их можно получить из плодов.
patchouli-json:dynamictrees:guide:entries/mechanics/dirt_bucket.json:/pages/3/title	sha256:0d2d7340239b8d32fbf75b3f62fa0c6e1510f764accfda1cd5f8cd27d9143048	Из плодов в семена
patchouli-json:dynamictrees:guide:entries/mechanics/rooty_soil.json:/name	sha256:1187c10e7392b810484e906b6b4de301d114af8ab3240e10ae361cb7263a1c4a	Корневая почва
patchouli-json:dynamictrees:guide:entries/mechanics/rooty_soil.json:/pages/0/text	sha256:bd6e20855e0c47211bfc4a28c0ae5966ec6c01bb91ffb0bb5d7a39aee4c01c88	- Питает деревья, но со временем истощается.$(br2)- Костная мука повышает плодородие и позволяет дереву расти после созревания.$(br2)- Компаратор показывает уровень плодородия почвы.
patchouli-json:dynamictrees:guide:entries/mechanics/rooty_soil.json:/pages/0/title	sha256:1187c10e7392b810484e906b6b4de301d114af8ab3240e10ae361cb7263a1c4a	Корневая почва
patchouli-json:dynamictrees:guide:entries/mechanics/rooty_soil.json:/pages/1/text	sha256:7497b84fbdbfdb686402d0f6af9cf46e1d12e0e53068cf44a7fb8ee071f1a8a0	Блок корневой травы берёзы.
patchouli-json:dynamictrees:guide:entries/mechanics/staff.json:/name	sha256:adfd51aac7bf752b497e15710a5519cc136cc652249a6cc1fa1bbe629aa67351	Лесной посох
patchouli-json:dynamictrees:guide:entries/mechanics/staff.json:/pages/0/text	sha256:742e283cebe22a3992a9f05ea424efba1adcdae87926a090a8ab76a885f70bcf	Лесной посох — инструмент творческого режима, позволяющий копировать и вставлять состояния деревьев.$(br2)Его можно получить командой /dt createstaff или взять в меню творческого режима.
patchouli-json:dynamictrees:guide:entries/mechanics/staff.json:/pages/0/title	sha256:adfd51aac7bf752b497e15710a5519cc136cc652249a6cc1fa1bbe629aa67351	Лесной посох
patchouli-json:dynamictrees:guide:entries/mechanics/staff.json:/pages/1/text	sha256:c338244e454b202126f9c56dfc95fb3d3acdaf93286fe4f2cc1b49390e5fb19f	Щелчком ПКМ по дереву можно задать или сбросить целевой вид, а щелчком ПКМ с зажатым Shift — дерево и JoCode.$(br2)JoCode — это сжатое описание формы дерева, не зависящее от его вида. Лесной посох также копирует этот код в буфер обмена.$(br2)Хотя это инструмент творческого режима, у него уровень добычи топора 3, поэтому им удобно быстро рубить деревья.
patchouli-json:dynamictrees:guide:entries/potions/base_potion.json:/name	sha256:96f097848c5ae1dbd9acf1881d4ea89c80f08e68c6cd29c64cdd28de0bfae032	Основное зелье из биоугля
patchouli-json:dynamictrees:guide:entries/potions/base_potion.json:/pages/0/text	sha256:73df2bd89581da172c60bfad8227108e817583462f3ba65e7a2d6846afce8ae0	Это рецепт варки основного зелья.$(br2)Оно используется при варке всех остальных зелий Dynamic Trees.
patchouli-json:dynamictrees:guide:entries/potions/base_potion.json:/pages/0/title	sha256:96f097848c5ae1dbd9acf1881d4ea89c80f08e68c6cd29c64cdd28de0bfae032	Основное зелье из биоугля
patchouli-json:dynamictrees:guide:entries/potions/base_potion.json:/pages/1/title	sha256:9e6151acb057025d16cbccee815e728994335db9c3c980e9489194be2f7937c2	Применение
patchouli-json:dynamictrees:guide:entries/potions/burgeoning_potion.json:/name	sha256:e6d528d1af04866bfc71d0a6fe835f0ea24632b1b0992b379ecafb138c775f51	Зелье роста
