id	source_hash	source	native_translation	verdict	recommendation	reason	native_visible_length	recommended_visible_length	length_ratio
patchouli-json:thermal:guidebook:categories/armor.json:/description	sha256:0377edd4c952c05453ab19dba25ad4bebe8e618605f72781e78ea866b19be13f	Perhaps not the height of fashion, but they get the job done.	Возможно, не на пике моды, но она делает свою работу.	CHANGE	Не вершина моды, зато со своей задачей справляется.	Исправлены смысловое расхождение, калька или неестественная русская формулировка.	53	51	0.962
patchouli-json:thermal:guidebook:categories/armor.json:/name	sha256:a592855d0508d16121c443b3500e94395f2087cc9deb7f84e1a82061f1a8ec69	Armor	Броня	PASS		Смысл источника сохранён; текст достаточно простой, естественный и уместный в игровом интерфейсе.	5		
patchouli-json:thermal:guidebook:categories/augments.json:/description	sha256:13147d472ddecee034e70cf40d22a69d80ae7b9ed031653dc3b649c5e95d7988	Upgrade your tech and tools.	Обновите свои технологии и инструменты.	CHANGE	Улучшайте технику и инструменты.	Исправлены смысловое расхождение, калька или неестественная русская формулировка.	39	32	0.821
patchouli-json:thermal:guidebook:categories/augments.json:/name	sha256:d5f1ffe725348bab7c3951b5e6045f760549d92a4ae5fb1775f0a53a5459cbeb	Augments	Улучшения	PASS		Смысл источника сохранён; текст достаточно простой, естественный и уместный в игровом интерфейсе.	9		
patchouli-json:thermal:guidebook:categories/charges.json:/description	sha256:774e90d68195e0d08d192d59b195e56c2282b71736d5d1938ee680b4de5f316b	Master all four elements.	Овладейте всеми четырьмя элементами.	PASS		Смысл источника сохранён; текст достаточно простой, естественный и уместный в игровом интерфейсе.	36		
patchouli-json:thermal:guidebook:categories/charges.json:/name	sha256:6c5c2648c60964ec54087d4b263998a56d8ae6f3d7f545f2ac3d68e24d279245	Elemental Charges	Элементальные заряды	PASS		Смысл источника сохранён; текст достаточно простой, естественный и уместный в игровом интерфейсе.	20		
patchouli-json:thermal:guidebook:categories/contributors.json:/description	sha256:2e0833d3e205d3614a16183f031d354a88ff5b1dda9a7e3eac4c5d9e726ccf8d	Brought to you by these lovely people! Thank you to everyone who helped and everyone in the Discord who gave advice and feedback. And the biggest thank you to King, for putting up with us, letting us embark on this project, and for bringing us all this mod for this many years without ever asking for anything in return.	Принесённый вам этими милыми людьми! Спасибо всем, кто помогал, и всем в Discord, кто давал советы и отзывы. И самое большое спасибо Кингу за то, что терпел нас, позволил нам приступить к этому проекту и за то, что столько лет разрабатывал для нас этот мод, никогда ничего не прося взамен.	CHANGE	Эту книгу создали замечательные люди! Спасибо всем, кто помогал, а также участникам Discord за советы и отзывы. Отдельное спасибо Кингу: он терпел нас, позволил взяться за этот проект и много лет дарил нам этот мод, ничего не прося взамен.	Исправлены смысловое расхождение, калька или неестественная русская формулировка.	289	239	0.827
patchouli-json:thermal:guidebook:categories/contributors.json:/name	sha256:350ad433c42fe8cecdb38439f33947ea04c43fe819455772fd3c03b85c389f16	Contributors	Составители	CHANGE	Участники	Исправлены смысловое расхождение, калька или неестественная русская формулировка.	11	9	0.818
patchouli-json:thermal:guidebook:categories/devices.json:/description	sha256:81c5c42b9d8ca41c3bec6247312634bc0faaa45d1c6d35d8495fd28ab1c168c2	This section details the function of each device. Devices do not require RF unless explicitly stated.	В этом разделе подробно описываются функции каждого устройства. Устройства не требуют энергии, если это не указано явно.	PASS		Смысл источника сохранён; текст достаточно простой, естественный и уместный в игровом интерфейсе.	120		
patchouli-json:thermal:guidebook:categories/devices.json:/name	sha256:4ba5121d4d1be174a80a063a823df8b496c83ed05ee60af962a9f65d686533bc	Devices	Устройства	PASS		Смысл источника сохранён; текст достаточно простой, естественный и уместный в игровом интерфейсе.	10		
patchouli-json:thermal:guidebook:categories/dynamos.json:/description	sha256:9155f408f7c88fef5a1608ac49d4d12ccb48b94096957ed64a503896c57cafc4	What use is a machine without power?	Какая польза от механизма без энергии?	PASS		Смысл источника сохранён; текст достаточно простой, естественный и уместный в игровом интерфейсе.	38		
patchouli-json:thermal:guidebook:categories/dynamos.json:/name	sha256:489e49103259796316c3791a026d53b9b79ee7adcc042b05f65f5c2fc15a2d91	Dynamos	Генераторы	PASS		Смысл источника сохранён; текст достаточно простой, естественный и уместный в игровом интерфейсе.	10		
patchouli-json:thermal:guidebook:categories/equipment.json:/description	sha256:9eb5d4d3af4ceeac1ace4cce497eb13e2deb743dfe669ff6203ac77a46be9dc8	Gear for all your adventures.	Шестерни для всех Ваших приключений.	CHANGE	Снаряжение для любых приключений.	Исправлены смысловое расхождение, калька или неестественная русская формулировка.	36	33	0.917
patchouli-json:thermal:guidebook:categories/equipment.json:/name	sha256:7f2465ac7cefab2766e6ee0714647089df9364b0ff09858c84b21b8a436a845d	Equipment	Снаряжение	PASS		Смысл источника сохранён; текст достаточно простой, естественный и уместный в игровом интерфейсе.	10		
patchouli-json:thermal:guidebook:categories/explosives.json:/description	sha256:6f27b07094726c7412709b789d97dfa51c2f4701225f153de46a2b18d3f3c2d8	Fun to throw, less fun to catch.	Для развлечения, а не для уничтожения.	CHANGE	Бросать весело, ловить — не очень.	Исправлены смысловое расхождение, калька или неестественная русская формулировка.	38	34	0.895
patchouli-json:thermal:guidebook:categories/explosives.json:/name	sha256:bd53a0ff717898542032b8d7ee7ccef6daef339990a14349f8ceb92b7f5781dc	Explosives	Динамит	LENGTH_EXCEPTION	Взрывчатка	Исправлены смысловое расхождение, калька или неестественная русская формулировка. Естественный полный вариант превышает мягкий предел 110%.	7	10	1.429
patchouli-json:thermal:guidebook:categories/guides.json:/description	sha256:21727e147ba3e2d358929a990dc89d8672bb5e7b79c6a52a4ffadcb257ba863d	Lost? You've come to the right place.	Потерялись? Вы пришли по адресу!	PASS		Смысл источника сохранён; текст достаточно простой, естественный и уместный в игровом интерфейсе.	32		
patchouli-json:thermal:guidebook:categories/guides.json:/name	sha256:f36e5fdf60074afaf4121f1c35dde4d5c7e69c35697dfa08481bd584ca08016b	Guides and FAQ	Руководства и ЧЗВ	PASS		Смысл источника сохранён; текст достаточно простой, естественный и уместный в игровом интерфейсе.	17		
patchouli-json:thermal:guidebook:categories/links.json:/description	sha256:9e0161c4541c9cc1c8bef4c8f716b9ccfa11a0e7bfe6fc440e7d963132655325	Join our Discord for more help/tech support or even just to chat!	Присоединяйтесь к нашему Discord для получения дополнительной помощи/технической поддержки или даже просто для общения!	CHANGE	Присоединяйтесь к нашему Discord: там помогут с техническими вопросами или просто поболтают!	Исправлены смысловое расхождение, калька или неестественная русская формулировка.	119	92	0.773
patchouli-json:thermal:guidebook:categories/links.json:/name	sha256:fc42aa8d220cc507edbcbe698ab603f675ba523ac2c2e9f1aa48d71ce40bcf26	Links and Contributors	Ссылки и составители	CHANGE	Ссылки и участники	Исправлены смысловое расхождение, калька или неестественная русская формулировка.	20	18	0.900
patchouli-json:thermal:guidebook:categories/locomotion.json:/description	sha256:e03689259e74845107ee197fc74db12cb2ae31178c3933e27f496afea93c4631	The correct amount of chuggas before choo choo is six.	Правильное количество чуга-чага перед чу-чу - восемь.	CHANGE	Перед «чу-чу» положено шесть «чуга-чуга».	Исправлены смысловое расхождение, калька или неестественная русская формулировка.	53	41	0.774
patchouli-json:thermal:guidebook:categories/locomotion.json:/name	sha256:9276518c28a71ee98ed553b4001fcd1d93fc05d9ea20d3a302cca843439cdd09	Locomotion	Передвижение	PASS		Смысл источника сохранён; текст достаточно простой, естественный и уместный в игровом интерфейсе.	12		
patchouli-json:thermal:guidebook:categories/machines.json:/description	sha256:ee5e5021b3200d761f25e33bd54d1a99d3967e04bf455f4191c3a12a33b93e41	This section details the function of each machine. Machines generally process things into other things and require Redstone Flux (RF) to operate.	В этом разделе подробно описываются функции каждого механизма. Для работы механизмов требуется RF-энергия.	LENGTH_EXCEPTION	Механизмы обычно превращают одни предметы в другие и работают на Redstone Flux (RF). Здесь описаны функции каждого из них.	Исправлены смысловое расхождение, калька или неестественная русская формулировка. Естественный полный вариант превышает мягкий предел 110%.	106	122	1.151
patchouli-json:thermal:guidebook:categories/machines.json:/name	sha256:c061da196eae7622216c27031299aaa0ecaac47cd7037160ea18b04bffc5eb1a	Machines	Механизмы	PASS		Смысл источника сохранён; текст достаточно простой, естественный и уместный в игровом интерфейсе.	9		
patchouli-json:thermal:guidebook:categories/materials.json:/description	sha256:861d30c2384c686bf547b2414627f2125c76245cec7d76fe19f9fec991c29e55	Resources that are both used and created by the Thermal Series.	Ресурсы, которые являются неотъемлемой частью Thermal Series.	CHANGE	Ресурсы, которые Thermal использует и создаёт.	Исправлены смысловое расхождение, калька или неестественная русская формулировка.	61	46	0.754
patchouli-json:thermal:guidebook:categories/materials.json:/name	sha256:fd10a146e9625bfd3f69639eeb5fbee0eae7e4633222f1ee3d3d36395844303e	Materials	Материалы	PASS		Смысл источника сохранён; текст достаточно простой, естественный и уместный в игровом интерфейсе.	9		
patchouli-json:thermal:guidebook:categories/mobs.json:/description	sha256:7b31b65b38b98f800aac1278afc585c566ded2cbcb727ab37fbfd49bd0c9d40f	Water. Earth. Fire. Lightning. Long ago, the four elementals lived together in nonexistence. Then, everything changed when the Nether came to exist. So the others had to show up too.	Вода. Земля. Огонь. Молния. Давным-давно четыре элементаля жили вместе в небытии. Но с появлением пустоты всё изменилось. Только Кинг Лемминг, мастер всех модов CoFH, мог добавить других элементалей.	CHANGE	Вода. Земля. Огонь. Молния. Давным-давно четыре элементаля дружно жили в небытии. Но всё изменилось, когда появился Незер. Пришлось появиться и остальным.	Исправлены смысловое расхождение, калька или неестественная русская формулировка.	199	154	0.774
patchouli-json:thermal:guidebook:categories/mobs.json:/name	sha256:083013f5d5aad0f33eb7772d15b6944c945febd885b650c0da7c6bbc3f124185	Mobs	Мобы	PASS		Смысл источника сохранён; текст достаточно простой, естественный и уместный в игровом интерфейсе.	4		
patchouli-json:thermal:guidebook:categories/modpack.json:/description	sha256:2e64406b9f47b12084c9d6413772121f65303439af0bf787b8f1091967a93ae4	Making a modpack, or changing various aspects of the Thermal suite for fun? This section explores all the cool ways Thermal supports adjustment and configuration.	Создание модпака или изменение различных аспектов Thermal-серии для развлечения? В этом разделе рассматриваются все интересные способы настройки.	CHANGE	Создаёте модпак или просто меняете Thermal? Здесь собраны интересные способы настройки модов серии.	Исправлены смысловое расхождение, калька или неестественная русская формулировка.	145	99	0.683
patchouli-json:thermal:guidebook:categories/modpack.json:/name	sha256:197fd072642b50f58a17a93a2afcb988314dd5012a253aac031bd9d97314800a	Modpack Makers	Создателям модпаков	PASS		Смысл источника сохранён; текст достаточно простой, естественный и уместный в игровом интерфейсе.	19		
patchouli-json:thermal:guidebook:categories/plants.json:/description	sha256:46fbd731e08336b6b39d909bd798e250229b495bc960f09f50d509a13ab0863a	Crops and trees produce a variety of useful foods and materials.	Растения и деревья производят множество полезных продуктов питания и материалов.	CHANGE	Урожай и деревья дают множество полезных продуктов и материалов.	Исправлены смысловое расхождение, калька или неестественная русская формулировка.	80	64	0.800
