id	source_hash	source	verdict	recommendation
mantle-book:tconstruct:mighty_smelting:tools/tanks.json:/text/0/text	sha256:279c225b1aa44932167ef3c88758c420da1b476dff3bf5d4f8fb4e31b24e2cbb	Modifiers such as spitting, melting, and smashing will give the tool a tank. Fluid can be inserted or extracted by interacting with a tank while holding the tool. You can also fill and empty it in the smeltery GUI using the bucket slot (4) or by clicking a fluid in the tank (2) with the tool.	CHANGE	Модификаторы «Плевок», «Плавление» и «Разбивание» добавляют инструменту резервуар. Держа инструмент, заполняйте или опустошайте его через резервуар. В интерфейсе плавильни это также делается через слот ведра (4) или щелчком инструментом по жидкости в резервуаре (2).
patchouli-json:thermal:guidebook:entries/technology/machines/brewer.json:/pages/0/text	sha256:6e80b4b2a561afcac430e30b07242f4df7a735036007142edfdca58fee1293d3	The Alchemical Imbuer is a machine that brews potions. Creates $(l:thermal:technology/potion_fluid)potion fluid$(/l) as opposed to brewing directly in a bottle. One ingredient is enough to brew one potion bucket, which can fill 4 bottles.	CHANGE	Алхимическая зельеварка варит зелья. Она создаёт $(l:thermal:technology/potion_fluid)жидкое зелье$(/l) вместо того, чтобы варить его сразу в бутылочке. Одного ингредиента хватает на ведро зелья, которым можно наполнить 4 бутылочки.
patchouli-json:thermal:guidebook:entries/world/materials/catalysts.json:/pages/0/text	sha256:1774c7a90e98ff2c4bd126c7f452a8c1d60049c23423c312523848e1de7d9ee0	Catalysts are optional items consumed to improve the yield of certain recipes. Machines and their catalysts are listed on the next page with multipliers. The main outputs of a recipe are scaled by Primary. Secondary outputs are scaled by Secondary. The energy per operation is scaled by Energy. Finally, the odds a catalyst is consumed in an operation is indicated by the Usage chance.	CHANGE	Катализаторы — необязательные предметы, которые расходуются для повышения выхода некоторых рецептов. На следующей странице перечислены механизмы, катализаторы и их множители. Главные результаты рецепта умножаются на «Основное», второстепенные — на «Дополнительное», а энергия за операцию — на «Энергия». «Шанс использования» показывает вероятность расходования катализатора за операцию.
patchouli-lang:botania:botania.page.elfGear1	sha256:61f06f2a44fbea73de0cf8e1e8103335603398c9ec6d0e2f96fc0ed736dbc577	Each piece of armor will, when its bearer is harmed, have a chance to spawn a $(thing)Pixie$(0) to fly after the aggressor, dealing some decent damage.$(p)The more pieces of $(item)Elementium Armor$(0) equipped, the higher the chance becomes. Additionally, each of the tools in the set comes with its own unique ability.	CHANGE	При получении урона каждая часть брони может призвать $(thing)пикси$(0), которая полетит за нападавшим и нанесёт хороший урон.$(p)Чем больше надето частей $(item)элементиевой брони$(0), тем выше шанс. У каждого инструмента набора есть собственная способность.
patchouli-lang:botania:botania.page.elfGear2	sha256:f65f09795c81bfd4582ef623497b6a1ab66ab2d3d227b86197540209b838171c	First, the $(item)Elementium Pickaxe$(0) will clear away $(item)Cobblestone$(0), $(item)Dirt$(0), $(item)Netherrack$(0), and other common materials, leaving behind only ores and fine resources. Certain blocks are considered $(o)semi-disposable$(), meaning they won't be voided when broken while sneaking. $(p)Combining the $(item)Elementium Pickaxe$(0) with a $(l:tools/terra_pick)$(item)Terra Shatterer$(0)$(/l) in a crafting square allows for the latter to take on the former's power. This can't be undone.	CHANGE	$(item)Элементиевая кирка$(0) убирает $(item)булыжник$(0), $(item)землю$(0), $(item)незерак$(0) и другие обычные материалы, оставляя руды и ценные ресурсы. Некоторые блоки считаются $(o)условно расходуемыми$(): при добыче с зажатым Shift они не исчезают.$(p)Соедините $(item)элементиевую кирку$(0) с $(l:tools/terra_pick)$(item)терра-крушителем$(0)$(/l) на верстаке, чтобы передать способности первой второму. Это необратимо.
patchouli-lang:botania:botania.page.manaweave1	sha256:0906a2b2e4503da517783ffb09d95c03013e120530c4ec0ed5766a1ed2fd73be	Wearing the full set of $(item)Manaweave Robes$(0) also grants the wearer an increased proficiency with magical rods, increasing their powers and/or ranges.$(p)$(item)Manaweave Robes$(0) can use $(thing)Mana$(0) from one's inventory to repair themselves, similarly to $(item)Manasteel Armor$(0), but at a lower $(thing)Mana$(0) cost.	CHANGE	Полный комплект $(item)манатканного одеяния$(0) усиливает магические жезлы, повышая их силу и/или дальность.$(p)$(item)Манатканное одеяние$(0) чинит себя $(thing)маной$(0) из инвентаря владельца, как $(item)манастальная броня$(0), но расходует $(thing)маны$(0) меньше.
patchouli-lang:botania:botania.page.pistonRelay0	sha256:4ab5e97c09b9a4368bf438e37197589845f90d5952c85a067918ef93ba6a5dda	It seems that $(item)Pistons$(0) and $(thing)Mana$(0) react in strange ways. The former, when infused with the latter, becomes a $(item)Force Relay$(0), a block that tears the fabric of space. When one of these is pushed by a $(item)Piston$(0), the block it's bound to is pushed the exact same way.$(p)To bind it to a block, right-click it with a $(l:basics/wand)$(item)Wand of the Forest$(0)$(/l), then right-click on the block you want to bind it to.	CHANGE	$(item)Поршни$(0) и $(thing)мана$(0) взаимодействуют необычно: пропитанный маной поршень становится $(item)силовым реле$(0), разрывающим ткань пространства. Когда $(item)поршень$(0) толкает реле, так же сдвигается связанный с ним блок.$(p)Чтобы связать реле с блоком, нажмите по нему ПКМ $(l:basics/wand)$(item)жезлом леса$(0)$(/l), затем ПКМ по нужному блоку.
patchouli-lang:botania:botania.page.spreader12	sha256:e54a25c9f2ccae64ce31d1dfffdbdfc45ed27552d17acdc2d883dfedf38b2eb9	Similarly, right-clicking it while holding $(item)Scaffolding$(0) will surround it in a sturdy frame. This allows it to support fragile redstone components like buttons and levers on all sides. Redstone dust, repeaters, and similar can also be placed on top of it. This also seems to allow the spreader to entirely contain water placed inside it.$(p)Right-click while sneaking to remove the scaffolding again.	CHANGE	Удерживая $(item)подмостки$(0), нажмите ПКМ по распространителю, чтобы окружить его прочной рамой. Она позволяет размещать со всех сторон хрупкие редстоун-компоненты вроде кнопок и рычагов, а сверху — редстоуновую пыль, повторители и подобные элементы. Рама также удерживает воду внутри распространителя.$(p)Чтобы снять подмостки, нажмите ПКМ, удерживая Shift.
patchouli-lang:botania:botania.page.terraPick1	sha256:ba399dfd4e7bb812c9baf2d7c0c8e143c73728228fa371e8995d28597bfdb6c0	The amount of $(thing)Mana$(0) stored in the tool establishes its $(thing)Rank$(0). Ranks progress as follows: $(thing)D$(0), $(thing)C$(0), $(thing)B$(0), $(thing)A$(0), $(thing)S$(0), and $(thing)SS$(0), with $(thing)D$(0) being the lowest rank and $(thing)SS$(0) the highest.$(p)The amount of $(thing)Mana$(0) required to advance from rank to rank increases exponentially as the rank does. To advance from $(thing)D$(0) to $(thing)C$(0), for starters, a Shatterer requires just a few seconds of exposure to a $(l:mana/pool)$(item)Mana Pool$(0)$(/l).	CHANGE	Количество $(thing)маны$(0) в инструменте определяет его $(thing)ранг$(0). Ранги идут от $(thing)D$(0) через $(thing)C$(0), $(thing)B$(0), $(thing)A$(0), $(thing)S$(0) до $(thing)SS$(0): $(thing)D$(0) — низший, а $(thing)SS$(0) — высший ранг.$(p)Количество $(thing)маны$(0), нужное для перехода к следующему рангу, растёт экспоненциально. Для перехода с $(thing)D$(0) на $(thing)C$(0) крушителю достаточно побыть несколько секунд у $(l:mana/pool)$(item)бассейна маны$(0)$(/l).
block:block.actuallyadditions.black_quartz_brick_slab	sha256:897291069a07798fb0ce0346b41669fd9fba1e4828b4ad4a50f0ca7626bd7c05	Black Quartz Brick Slab	CHANGE	Плита из чёрных кварцевых кирпичей
