"id"	"source_hash"	"verdict"	"recommendation"	"reason"	"adjudicator"	"notes"
"patchouli-lang:botania:botania.page.elfMessage1"	"sha256:2ad813db8f803c3115a8e547ec4f9a025799d65ba1bda78232cb537316f5e606"	"CHANGE"	"$(o)Приветствуем! Мы заметили, что наш портал открыл связь с другим миром. И это довольно шокирующая новость для нас! Мы благодарим вас за предоставление нам книги знаний вашего мира, чтобы держать нас в курсе всего, что произошло, так как мы оставили этот мир, давным-давно."	"Заглавная форма обращения внутри предложения заменена на современную строчную."	"/root/original_language_adjudicator"	"Выбрана рекомендация B после проверки исходника, соседних страниц и технических токенов."
"patchouli-lang:botania:botania.page.elfMessage2"	"sha256:d801dd8d6396cf72af29bddf36d0b29cfe7efeac8024e408635d8232053babda"	"CHANGE"	"$(o)После некоторых дискуссий с верховным консулом Эльфийских Садов, мы решили объединить усилия. Прочитав ваш ""Лексикон Ботании"" мы обнаружили в вашем мире наличие большого количества ресурсов, которые мы чрезвычайно заинтересованы получить в свои руки, так как они не существуют на наших землях."	"Заглавная форма обращения внутри предложения заменена на современную строчную."	"/root/original_language_adjudicator"	"Выбрана рекомендация B после проверки исходника, соседних страниц и технических токенов."
"patchouli-lang:botania:botania.page.elfMessage3"	"sha256:bcb7675b40b1fba5cab11775b0fa0a8f50bc6a07823e6d75fa0a5fcae5d04a02"	"CHANGE"	"$(o)Связь, которую вы сумели установить, слаба, живые существа не смогут пройти, как вы уже знаете. Однако в этом есть и положительная сторона, связь проходит сквозь ткань времени обоих наших миров, по пути теряя синхронизацию, поэтому вы получили вашу книгу обратно так быстро."	"Заглавная форма обращения внутри предложения заменена на современную строчную."	"/root/original_language_adjudicator"	"Выбрана рекомендация B после проверки исходника, соседних страниц и технических токенов."
"patchouli-lang:botania:botania.page.elfMessage5"	"sha256:0a29a917cf0f322ceaa8a360d094cd93f2862e24bde39d9e3949d577d37922f2"	"CHANGE"	"$(o)Мы взяли на себя смелость, и дали задание нашим лучшим писцам, собрать большой набор знаний из нашего мира, которым мы готовы поделиться. Вы можете найти эти знания в своём Лексиконе. Надеемся, вы найдете их поучительными и что они поощрят вас использовать наши материалы для создания этих уникальных предметов."	"Заглавная форма обращения внутри предложения заменена на современную строчную."	"/root/original_language_adjudicator"	"Выбрана рекомендация B после проверки исходника, соседних страниц и технических токенов."
"patchouli-lang:botania:botania.page.elfResources0"	"sha256:77b8af7c9632ef545d7ad2b99d8bd195b99feacaad1947d03979bdda73919521"	"CHANGE"	"$(thing)Эльфхейм$(0) содержит очень разнообразный набор изысканных ресурсов. К сожалению, большинство их крайне редки и труднодобываемы, в связи с конкуренцией между кланами. Эльфы заинтересованы в обмене некоторыми материалами, такими как $(item)Древесина мечтаний$(0), $(item)Элементий$(0), $(item)Пыльца фей$(0) или $(item)Камень дракона$(0), на ресурсы вашего мира."	"Заглавная форма обращения внутри предложения заменена на современную строчную."	"/root/original_language_adjudicator"	"Выбрана рекомендация B после проверки исходника, соседних страниц и технических токенов."
"patchouli-lang:botania:botania.page.elfResources6"	"sha256:4757f0560edd3f179bf19048ad551ba7e0b10ba67a0e081085eba3c6d48c3ebe"	"CHANGE"	"$(item)Эльфы$(0) также довольно заинтересованы в строительстве шикарного белого квартала из $(thing)Незера$(0), $(item)Незер-кварца$(0), так как их мир имеет зелёный оттенок. Эльфийский кварц используется также как и любой другой, будь то простой кварц или любой из вариантов декоративного. Вы можете найти информацию о нем в статье $(thing)Декоративные блоки$(0) из раздела $(thing)Разное$(0)."	"Исправлена опечатка: «зелеёый» -> «зелёный»."	"/root/original_language_adjudicator"	"Выбрана рекомендация B после проверки исходника, соседних страниц и технических токенов."
"patchouli-lang:botania:botania.page.gaiaRitual3"	"sha256:51c6987be07cd066a8a356aea1e1ac134f25ea6cfbc4e8bc86bd40870759be3c"	"CHANGE"	"Чтобы начать ритуал, просто кликните Shift+ПКМ на блоке $(item)Маяка$(0) со $(item)Слитком террастали$(0) в руке, сделайте шаг назад и готовьтесь к борьбе за свою жизнь. Вам потребуются все ваши умения для борьбы с $(thing)Хранителем Гайи$(0), бой может быть сложнее, чем бой с $(thing)Иссушителем$(0). После победы над $(thing)Хранителем$(0), можно забрать свой приз - горстку $(item)Духа Гайи$(0)."	"Заглавная форма обращения внутри предложения заменена на современную строчную."	"/root/original_language_adjudicator"	"Выбрана рекомендация B после проверки исходника, соседних страниц и технических токенов."
"patchouli-lang:botania:botania.page.kingKey0"	"sha256:afaba3cf28edfafcf70ae12f47060e60183cda6758133e65a8a9b7fad4c77f74"	"CHANGE"	"$(item)Ключ от Королевского арсенала$(0) — могущественная реликвия, способная материализовать оружие из воздуха. Удерживание ПКМ ключом начнет призыв светящихся снарядов... откуда-то. Одновременно можно создать до двадцати снарядов, и, отпустив ключ, вы запустите их по одному в ту точку, на которую направлен ваш взгляд. Эти снаряды движутся с высокой скоростью и взрываются при контакте."	"Заглавная форма обращения внутри предложения заменена на современную строчную."	"/root/original_language_adjudicator"	"Выбрана рекомендация B после проверки исходника, соседних страниц и технических токенов."
"patchouli-lang:botania:botania.page.lexicon0"	"sha256:e5a71e94ee2c112afbc6ddecd5082616da3945344557ec7d10252a3f2acc6c2c"	"CHANGE"	"$(item)Лексикон Ботании$(0) - это кладезь всех знаний для ваших ботанических нужд. Но вы, наверное, уже и так знали это.$(p)Вся информация находится здесь. Для удобства, если у какого-то блока есть описание, вы можете нажать Shift+ПКМ, держа $(item)Лексикон Ботании$(0) в руке, чтобы открыть это описание."	"Заглавная форма обращения внутри предложения заменена на современную строчную."	"/root/original_language_adjudicator"	"Выбрана рекомендация B после проверки исходника, соседних страниц и технических токенов."
"patchouli-lang:botania:botania.page.pureDaisy0"	"sha256:258370733e319a9a2d033800c9b71505c0b4aa08d0bbd40830882564bc339194"	"CHANGE"	"$(item)Чистая Маргаритка$(0) - это не только самый первый, но и самый важный цветок для ботаника.$(p)Этот цветок, как показано на след. странице, будет очищать и превращать стоящие вплотную блоки $(item)Дерева$(0) и $(item)Камня$(0) в их очищенные версии: $(item)Жизнедерево$(0) и $(item)Жизнекамень$(0), которые потом пригодятся вам для создании многих вещей."	"Заглавная форма обращения внутри предложения заменена на современную строчную."	"/root/original_language_adjudicator"	"Выбрана рекомендация B после проверки исходника, соседних страниц и технических токенов."
