id	source_hash	translation
patchouli-json:thermal:guidebook:entries/storage_and_transport/locomotion/energy_minecart.json:/name	sha256:5ec3f99f490965c2e72becd406d0bd15d1f42cd4adc68d6f22a5e1fff965ef2f	Вагонетка с энергетической ячейкой
patchouli-json:thermal:guidebook:entries/storage_and_transport/locomotion/energy_minecart.json:/pages/0/text	sha256:ca2d610c89acf36a4b9ca62fe813893466a56d94252a81257e4e8c1b14e6cff9	Вагонетка с энергетической ячейкой служит для хранения Redstone Flux (RF). Изначально она вмещает 1 000 000 RF и может передавать до 1 000 RF/t; эти параметры можно повысить установкой улучшений. Через интерфейс вагонетки можно заряжать и разряжать предметы с запасом RF.
patchouli-json:thermal:guidebook:entries/storage_and_transport/locomotion/energy_minecart.json:/pages/2/text	sha256:74999e7630a34e29676fbeb412a179048cefd75a67608e8eef189768f91485af	В будущем появится передающий рельс, который откроет интересные возможности для логистики!
patchouli-json:thermal:guidebook:entries/storage_and_transport/locomotion/energy_minecart.json:/pages/3/text	sha256:9b35d30fc12c99275eaa25ca808682f23efa325c36df3d4eed21b033146f1a60	$(li)$(l:thermal:technology/augments/integral_components)Интегральные компоненты$(/l)$(li)$(l:thermal:technology/augments/rf_coil)Усиленная катушка RF$(/l)$(li)$(l:thermal:technology/augments/rf_coil_storage)Накопительная катушка RF$(/l)$(li)$(l:thermal:technology/augments/rf_coil_xfer)Передающая катушка RF$(/l)
patchouli-json:thermal:guidebook:entries/storage_and_transport/locomotion/energy_minecart.json:/pages/3/title	sha256:dc3bece9b3ee08c20dc11957f9389c1c933c3d1f57867bd7c7cde6bb2e446d42	Совместимые улучшения
patchouli-json:thermal:guidebook:entries/storage_and_transport/locomotion/fluid_minecart.json:/name	sha256:dd9cf3e9c3f33d02479c216c2ff1a428dfd38d5fcc7c171a27c4cbe90612d3b0	Вагонетка с жидкостным резервуаром
patchouli-json:thermal:guidebook:entries/storage_and_transport/locomotion/fluid_minecart.json:/pages/0/text	sha256:f60b93753aebb67089de3dec0cb2b3f28587f0ea1e12522fa26b030cd3fde7d1	Вагонетка с жидкостным резервуаром служит для хранения жидкостей. Изначально она вмещает 32 000 mB; ёмкость можно повысить с помощью улучшений. Одновременно можно хранить только одну жидкость. Вагонетку можно вручную наполнять и опустошать подходящими ёмкостями, например вёдрами.
patchouli-json:thermal:guidebook:entries/storage_and_transport/locomotion/fluid_minecart.json:/pages/2/text	sha256:15499d63232de2441e03f148d45a54e21fa4e46c457f4ad2bfc16aaf2be0d0b8	Вагонетку с жидкостным резервуаром можно наполнять и опустошать по одному ведру за раз, щёлкая по ней ПКМ с ведром. Будьте осторожны: из-за ошибки Forge попытка зачерпнуть жидкость, для которой нет ведра, уничтожит ваше ведро! В будущем появится передающий рельс, который откроет интересные возможности для логистики!
patchouli-json:thermal:guidebook:entries/storage_and_transport/locomotion/fluid_minecart.json:/pages/3/text	sha256:808902e6e32f968ad2b2104359323440525b33e5381854421dbe0ebfd404c40b	$(li)$(l:thermal:technology/augments/integral_components)Интегральные компоненты$(/l)$(li)$(l:thermal:technology/augments/fluid_tank)Расширитель резервуара$(/l)
patchouli-json:thermal:guidebook:entries/storage_and_transport/locomotion/fluid_minecart.json:/pages/3/title	sha256:dc3bece9b3ee08c20dc11957f9389c1c933c3d1f57867bd7c7cde6bb2e446d42	Совместимые улучшения
patchouli-json:thermal:guidebook:entries/technology/augments/machine_null.json:/name	sha256:ccabb0a9cbc04551fed54ee36feb4d9c09a27d66aeb227fb1b6c2e3198ca5475	Отмена обработки
patchouli-json:thermal:guidebook:entries/technology/augments/machine_null.json:/pages/0/text	sha256:0cbb5f718c6012b03b16198be56e229e5c9610cb788bf4c3afb9ca29b9bdf2ed	Улучшение «Отмена обработки» автоматически уничтожает излишки вторичных продуктов. Излишек — это вторичный продукт, который переполнил бы хранилище.
patchouli-json:thermal:guidebook:entries/technology/augments/machine_null.json:/pages/0/title	sha256:ccabb0a9cbc04551fed54ee36feb4d9c09a27d66aeb227fb1b6c2e3198ca5475	Отмена обработки
patchouli-json:thermal:guidebook:entries/technology/devices/composter.json:/name	sha256:90222b39828c77b0eb523e5d2c929b25d34fa1ff29b77fc651ed6a70d7fa7070	Механический компостер
patchouli-json:thermal:guidebook:entries/technology/devices/composter.json:/pages/0/text	sha256:a1de31a34eaf723ece68aeb7debbc57efa0100350b6ef03bc7164c526473be55	Механический компостер — более продвинутая версия компостницы. Он перерабатывает несколько предметов сразу и делает компост вместо костной муки. С $(l:thermal:technology/augments/xp_storage)улучшением «Накопитель опыта»$(/l) он также позволяет получать опыт.
patchouli-json:thermal:guidebook:entries/technology/devices/composter.json:/pages/1/title	sha256:90222b39828c77b0eb523e5d2c929b25d34fa1ff29b77fc651ed6a70d7fa7070	Механический компостер
patchouli-json:thermal:guidebook:entries/technology/devices/composter.json:/pages/2/text	sha256:a86f2a92a1fea52d1accdbd7837fbe13875d1035352b8f7e1321308fdcbb8db5	$(li)$(l:thermal:technology/augments/integral_components)Интегральные компоненты$(/l)$(li)$(l:thermal:technology/augments/item_filter)Фильтр предметов$(/l)$(li)$(l:thermal:technology/augments/xp_storage)Накопитель опыта$(/l)
patchouli-json:thermal:guidebook:entries/technology/devices/composter.json:/pages/2/title	sha256:dc3bece9b3ee08c20dc11957f9389c1c933c3d1f57867bd7c7cde6bb2e446d42	Совместимые улучшения
