"id"	"source_hash"	"source"	"effective_translation"	"plain_source"	"plain_translation"	"context"	"audit_class"	"group_key"	"verdict_a"	"recommendation_a"	"reason_a"	"reviewer_a"	"verdict_b"	"recommendation_b"	"reason_b"	"reviewer_b"
"patchouli-lang:botania:botania.entry.gardenOfGlass"	"sha256:dc82805e37fd743712ba0301c64f6fdd4c6368bd43c7866123f50575568aadde"	"Garden of Glass"	"Стеклянный cад"	"Garden of Glass"	"Стеклянный cад"	"{""kind"": ""patchouli_language_text"", ""location"": {""archive"": ""mods/Botania-1.20.1-453-FORGE.jar"", ""member"": ""assets/botania/patchouli_books/lexicon/en_us/entries/basics/garden_of_glass.json"", ""output_member"": ""assets/botania/patchouli_books/lexicon/ru_ru/entries/basics/garden_of_glass.json"", ""pointer"": ""/name""}, ""source_id"": ""patchouli"", ""state"": ""visible""}"	"PROSE"	"patchouli:assets/botania/patchouli_books/lexicon/<language>/entries/basics/garden_of_glass.json"	"PASS"	""	""	"/root/rescripted_language_editor_a"	"CHANGE"	"Стеклянный сад"	"Латинская c подменяет кириллическую «с»."	"/root/rescripted_language_editor_b"
"patchouli-lang:botania:botania.page.gardenOfGlass0"	"sha256:eb2b9107e2de1464c899773808b4556e9f19af0176f782008b62e4b1f533fe20"	"In the $(2)Garden of Glass$(0) nobody can hear you scream.$(p)You're alone in space.$(p)How exciting."	"В $(2)стеклянном cаду$(0) никто не услышит ваш крик. $(p)Вы одиноки в космосе.$(p)Как захватывающе."	"In the Garden of Glass nobody can hear you scream.

You're alone in space.

How exciting."	"В стеклянном cаду никто не услышит ваш крик.

Вы одиноки в космосе.

Как захватывающе."	"{""kind"": ""patchouli_language_text"", ""location"": {""archive"": ""mods/Botania-1.20.1-453-FORGE.jar"", ""member"": ""assets/botania/patchouli_books/lexicon/en_us/entries/basics/garden_of_glass.json"", ""output_member"": ""assets/botania/patchouli_books/lexicon/ru_ru/entries/basics/garden_of_glass.json"", ""pointer"": ""/pages/0/text""}, ""source_id"": ""patchouli"", ""state"": ""visible""}"	"PROSE"	"patchouli:assets/botania/patchouli_books/lexicon/<language>/entries/basics/garden_of_glass.json"	"PASS"	""	""	"/root/rescripted_language_editor_a"	"CHANGE"	"В $(2)стеклянном саду$(0) никто не услышит ваш крик. $(p)Вы одиноки в космосе.$(p)Как захватывающе."	"Латинская c подменяет кириллическую «с»."	"/root/rescripted_language_editor_b"
"patchouli-lang:botania:botania.page.gardenOfGlass14"	"sha256:17ed0a948b3e9bd07b605e434d47084703d621904ec3170bd8efaa2270c1c0f5"	"Creating the $(item)Heart of the Sea$(0)"	"Создание $(item)cердца моря$(0)"	"Creating the Heart of the Sea"	"Создание cердца моря"	"{""kind"": ""patchouli_language_text"", ""location"": {""archive"": ""mods/Botania-1.20.1-453-FORGE.jar"", ""member"": ""assets/botania/patchouli_books/lexicon/en_us/entries/basics/garden_of_glass.json"", ""output_member"": ""assets/botania/patchouli_books/lexicon/ru_ru/entries/basics/garden_of_glass.json"", ""pointer"": ""/pages/13/text""}, ""source_id"": ""patchouli"", ""state"": ""visible""}"	"PROSE"	"patchouli:assets/botania/patchouli_books/lexicon/<language>/entries/basics/garden_of_glass.json"	"PASS"	""	""	"/root/rescripted_language_editor_a"	"CHANGE"	"Создание $(item)сердца моря$(0)"	"Латинская c подменяет кириллическую «с»."	"/root/rescripted_language_editor_b"
"patchouli-lang:botania:botania.page.runeAltar20"	"sha256:2e7221139f4c6f5bb33316b9ee6c83997fbde6d78c103736d3ef634a06e3d51a"	"Right clicking the $(item)Runic Altar$(0) with an empty hand while it's not accepting mana will pull out the last item input.$(p)Additionally, an attached $(item)Comparator$(0) will emit signal strength $(thing)1$(0) if the altar is accepting $(thing)Mana$(0), and signal strength $(thing)2$(0) if it's ready to craft the rune."	"Можно вернуть обратно последний выложенный предмет, если нажать [$(k:use)] пустой рукой (или [$(k:sneak)+$(k:use)] не пустой) по $(item)руническому алтарю$(0).$(p)Также, подсоединённый к алтарю $(item)редстоуновый компаратор$(0) будет выдавать сигнал силы $(thing)1$(0), если алтарь принимает $(thing)ману$(0), и силой $(thing)2$(0), если он заполнен и может начать создание руны."	"Right clicking the Runic Altar with an empty hand while it's not accepting mana will pull out the last item input.

Additionally, an attached Comparator will emit signal strength 1 if the altar is accepting Mana, and signal strength 2 if it's ready to craft the rune."	"Можно вернуть обратно последний выложенный предмет, если нажать [[keybind:use]] пустой рукой (или [[keybind:sneak]+[keybind:use]] не пустой) по руническому алтарю.

Также, подсоединённый к алтарю редстоуновый компаратор будет выдавать сигнал силы 1, если алтарь принимает ману, и силой 2, если он заполнен и может начать создание руны."	"{""kind"": ""patchouli_language_text"", ""location"": {""archive"": ""mods/Botania-1.20.1-453-FORGE.jar"", ""member"": ""assets/botania/patchouli_books/lexicon/en_us/entries/basics/rune_altar.json"", ""output_member"": ""assets/botania/patchouli_books/lexicon/ru_ru/entries/basics/rune_altar.json"", ""pointer"": ""/pages/5/text""}, ""source_id"": ""patchouli"", ""state"": ""visible""}"	"PROSE"	"patchouli:assets/botania/patchouli_books/lexicon/<language>/entries/basics/rune_altar.json"	"CHANGE"	"Нажмите [$(k:use)] пустой рукой (либо [$(k:sneak)+$(k:use)] с предметом в руке) по $(item)руническому алтарю$(0), когда он не принимает ману, чтобы забрать последний добавленный предмет.$(p)Подключённый $(item)редстоуновый компаратор$(0) выдаёт сигнал силой $(thing)1$(0), когда алтарь принимает $(thing)ману$(0), и силой $(thing)2$(0), когда он готов создать руну."	"Добавлено неоговорённое действие с приседанием, а «сигнал силы» и «может начать создание» неестественны для игрового интерфейса."	"/root/rescripted_language_editor_a"	"PASS"	""	""	"/root/rescripted_language_editor_b"
"patchouli-lang:botania:botania.page.runeAltar22"	"sha256:33b224ed10248813f3a633287948d5ca7ab0f986b164711e91a35bf7d889f7e0"	"Any runes used for recipes in the $(item)Runic Altar$(0) function as catalysts, and will be returned upon completion of the runic recipe.$(p)Similarly to the $(l:basics/apothecary)$(item)Petal Apothecary$(0)$(/l), right-clicking this block with an empty hand after a recipe is complete will pull another set of the items used for the last recipe, for faster crafting in bulk."	"Любые руны, используемые в рецептах создания на $(item)руническом алтаре$(0), действуют лишь в качестве катализаторов и не тратятся после завершения создания.$(p)Как и с $(l:basics/apothecary)лепестковой чашей$(/l), нажав [$(k:use)] по алтарю пустой рукой, вы выложите на него те предметы, что использовались в последнем рецепте."	"Any runes used for recipes in the Runic Altar function as catalysts, and will be returned upon completion of the runic recipe.

Similarly to the Petal Apothecary, right-clicking this block with an empty hand after a recipe is complete will pull another set of the items used for the last recipe, for faster crafting in bulk."	"Любые руны, используемые в рецептах создания на руническом алтаре, действуют лишь в качестве катализаторов и не тратятся после завершения создания.

Как и с лепестковой чашей, нажав [[keybind:use]] по алтарю пустой рукой, вы выложите на него те предметы, что использовались в последнем рецепте."	"{""kind"": ""patchouli_language_text"", ""location"": {""archive"": ""mods/Botania-1.20.1-453-FORGE.jar"", ""member"": ""assets/botania/patchouli_books/lexicon/en_us/entries/basics/rune_altar.json"", ""output_member"": ""assets/botania/patchouli_books/lexicon/ru_ru/entries/basics/rune_altar.json"", ""pointer"": ""/pages/6/text""}, ""source_id"": ""patchouli"", ""state"": ""visible""}"	"PROSE"	"patchouli:assets/botania/patchouli_books/lexicon/<language>/entries/basics/rune_altar.json"	"CHANGE"	"Руны в рецептах $(item)рунического алтаря$(0) служат катализаторами и возвращаются после создания руны.$(p)Как и с $(l:basics/apothecary)лепестковой чашей$(/l), после завершения рецепта нажмите [$(k:use)] пустой рукой по алтарю, чтобы сразу добавить новый набор предметов из прошлого рецепта и ускорить массовое создание."	"Пропущены условие после завершения рецепта и назначение быстрого массового создания; порядок слов в первой фразе неестественен."	"/root/rescripted_language_editor_a"	"PASS"	""	""	"/root/rescripted_language_editor_b"
"patchouli-lang:botania:botania.page.welcome0"	"sha256:ca10ecd14f10bcf8db904b2b2ba165f53c7fabe5128319f432877208d4815799"	"$(o)Welcome to Botania! I congratulate you on the fine decision to strap a sapling and a book together. Or just on finding this tome in a chest. Whichever applies.$(p)$(o)You can navigate this book with the arrows at the bottom of this page, or scroll through pages with your mouse wheel."	"$(o)Добро пожаловать! Поздравляю вас с прекрасным решением соединить на верстаке саженец и книгу! Ну или найти этот том в сундуке. Можно и так, и так!$(p)$(o)Кстати, эту книгу можно листать используя стрелки внизу книги, колесо мыши или стрелки на клавиатуре."	"Welcome to Botania! I congratulate you on the fine decision to strap a sapling and a book together. Or just on finding this tome in a chest. Whichever applies.

You can navigate this book with the arrows at the bottom of this page, or scroll through pages with your mouse wheel."	"Добро пожаловать! Поздравляю вас с прекрасным решением соединить на верстаке саженец и книгу! Ну или найти этот том в сундуке. Можно и так, и так!

Кстати, эту книгу можно листать используя стрелки внизу книги, колесо мыши или стрелки на клавиатуре."	"{""kind"": ""patchouli_language_text"", ""location"": {""archive"": ""mods/Botania-1.20.1-453-FORGE.jar"", ""member"": ""assets/botania/patchouli_books/lexicon/en_us/entries/basics/welcome.json"", ""output_member"": ""assets/botania/patchouli_books/lexicon/ru_ru/entries/basics/welcome.json"", ""pointer"": ""/pages/0/text""}, ""source_id"": ""patchouli"", ""state"": ""visible""}"	"PROSE"	"patchouli:assets/botania/patchouli_books/lexicon/<language>/entries/basics/welcome.json"	"CHANGE"	"$(o)Добро пожаловать в Botania! Поздравляю с отличным решением соединить саженец и книгу. Или просто найти этот том в сундуке. В любом случае.$(p)$(o)Листайте книгу стрелками внизу страницы или колёсиком мыши."	"Добавлено несуществующее управление клавиатурой, повторено «книги» и пропущено название Botania; фраза о навигации звучит неестественно."	"/root/rescripted_language_editor_a"	"CHANGE"	"$(o)Добро пожаловать в Botania! Поздравляю с прекрасным решением соединить саженец и книгу. Или просто найти этот том в сундуке. Что вам больше подходит.$(p)$(o)Листайте эту книгу стрелками внизу страницы или колёсиком мыши."	"Добавлены несуществующие управление с клавиатуры и вводное «Кстати»; деепричастный оборот и привязка стрелок к книге звучат неестественно."	"/root/rescripted_language_editor_b"
"patchouli-lang:botania:botania.page.itemFinder0"	"sha256:eb785810a35153dc993e294950e598e2ff8a2fb4fd0e1b46fba8d0fbd2e03b87"	"$(item)The Spectator$(0) is a headband that allows its wearer to perceive the world in a better way. When its wearer holds an item, all of the following will emit colorful particles for easy spotting:"	"$(item)Обруч шестого чувства$(0) — это аксессуар на голову, позволяющий носителю лучше ощущать окружающий мир. Удерживая в руке какой-либо предмет, все похожие предметы будут подсвечены зелёными частицами. Сканируются следующие места:$(li)$(thing)контейнеры$(0) (сундуки, вагонетки, печи и так далее);"	"The Spectator is a headband that allows its wearer to perceive the world in a better way. When its wearer holds an item, all of the following will emit colorful particles for easy spotting:"	"Обруч шестого чувства — это аксессуар на голову, позволяющий носителю лучше ощущать окружающий мир. Удерживая в руке какой-либо предмет, все похожие предметы будут подсвечены зелёными частицами. Сканируются следующие места:
- контейнеры (сундуки, вагонетки, печи и так далее);"	"{""kind"": ""patchouli_language_text"", ""location"": {""archive"": ""mods/Botania-1.20.1-453-FORGE.jar"", ""member"": ""assets/botania/patchouli_books/lexicon/en_us/entries/baubles/item_finder.json"", ""output_member"": ""assets/botania/patchouli_books/lexicon/ru_ru/entries/baubles/item_finder.json"", ""pointer"": ""/pages/0/text""}, ""source_id"": ""patchouli"", ""state"": ""visible""}"	"PROSE"	"patchouli:assets/botania/patchouli_books/lexicon/<language>/entries/baubles/item_finder.json"	"CHANGE"	"$(item)Спектатор$(0) — это головная повязка, позволяющая лучше воспринимать окружающий мир. Когда владелец держит предмет в руке, все перечисленные ниже объекты испускают цветные частицы, и их легче заметить:$(li)$(thing)контейнеры$(0) (сундуки, вагонетки, печи и так далее);"	"Перевод подменяет эффект «все перечисленные объекты испускают цветные частицы» зелёной подсветкой похожих предметов и неестественно называет предмет."	"/root/rescripted_language_editor_a"	"CHANGE"	"$(item)Обруч шестого чувства$(0) — это повязка на голову, которая позволяет владельцу лучше воспринимать окружающий мир. Когда владелец держит предмет, всё перечисленное ниже испускает разноцветные частицы, чтобы его было легче заметить:$(li)$(thing)контейнеры$(0) (сундуки, вагонетки, печи и так далее);"	"Перевод добавляет отсутствующие в оригинале зелёную подсветку и список контейнеров, меняя смысл строки."	"/root/rescripted_language_editor_b"
"patchouli-lang:botania:botania.challenge.spectrolusSetup"	"sha256:9c77f87e8dcc62a0da6cd92f5c0d9afd284561472b170b9a5bb0b510111ee3a3"	"Spectrolus Setup"	"Автономный cпектролис"	"Spectrolus Setup"	"Автономный cпектролис"	"{""kind"": ""patchouli_language_text"", ""location"": {""archive"": ""mods/Botania-1.20.1-453-FORGE.jar"", ""member"": ""assets/botania/patchouli_books/lexicon/en_us/entries/challenges/spectrolus_setup.json"", ""output_member"": ""assets/botania/patchouli_books/lexicon/ru_ru/entries/challenges/spectrolus_setup.json"", ""pointer"": ""/name""}, ""source_id"": ""patchouli"", ""state"": ""visible""}"	"PROSE"	"patchouli:assets/botania/patchouli_books/lexicon/<language>/entries/challenges/spectrolus_setup.json"	"PASS"	""	""	"/root/rescripted_language_editor_a"	"CHANGE"	"Автономный спектролис"	"Латинская c подменяет кириллическую «с»."	"/root/rescripted_language_editor_b"
"patchouli-lang:botania:botania.entry.spectranthemum"	"sha256:debb521f2653d70f4d83da65e25e6edda8314ef6e78c15316a31e5cd6a7dc1a2"	"Spectranthemum"	"Cпектрантема"	"Spectranthemum"	"Cпектрантема"	"{""kind"": ""patchouli_language_text"", ""location"": {""archive"": ""mods/Botania-1.20.1-453-FORGE.jar"", ""member"": ""assets/botania/patchouli_books/lexicon/en_us/entries/functional_flowers/spectranthemum.json"", ""output_member"": ""assets/botania/patchouli_books/lexicon/ru_ru/entries/functional_flowers/spectranthemum.json"", ""pointer"": ""/name""}, ""source_id"": ""patchouli"", ""state"": ""visible""}"	"PROSE"	"patchouli:assets/botania/patchouli_books/lexicon/<language>/entries/functional_flowers/spectranthemum.json"	"PASS"	""	""	"/root/rescripted_language_editor_a"	"CHANGE"	"Спектрантема"	"Латинская C подменяет кириллическую «С»."	"/root/rescripted_language_editor_b"
"patchouli-lang:botania:botania.page.dandelifeon7"	"sha256:5e820e495d06511fca1c256c0f0e5d573845c414b928c2eb99324a608e0ac338"	"$(item)Cellular Blocks$(0) are crafted with $(item)Cactus$(0), $(item)Carrots$(0), $(item)Potatoes$(0), and $(item)Beetroots$(0), and are extremely fragile. They won't yield anything when broken, nor can they be moved by $(item)Pistons$(0). They won't be generated by a $(item)Dandelifeon$(0) on any cell that doesn't contain air.$(p)However, when not within the range of a $(item)Dandelifeon$(0) they hold no other special properties."	"$(item)Клеточные блоки$(0) создаются из $(item)кактусов$(0), $(item)моркови$(0), $(item)картошки$(0) и $(item)cвёклы$(0) и чрезвычайно хрупки. Их нельзя собрать даже с чарами «$(thing)Шёлковое касание$(0)» и нельзя сдвинуть $(item)поршнем$(0). $(item)Жизнеодуванчик$(0) не будет создавать их на позициях, где нет воздуха (т.е. стоит какой-то другой блок).$(p)За пределами зоны действия $(item)жизнеодуванчика$(0), они не имеют никаких особых свойств."	"Cellular Blocks are crafted with Cactus, Carrots, Potatoes, and Beetroots, and are extremely fragile. They won't yield anything when broken, nor can they be moved by Pistons. They won't be generated by a Dandelifeon on any cell that doesn't contain air.

However, when not within the range of a Dandelifeon they hold no other special properties."	"Клеточные блоки создаются из кактусов, моркови, картошки и cвёклы и чрезвычайно хрупки. Их нельзя собрать даже с чарами «Шёлковое касание» и нельзя сдвинуть поршнем. Жизнеодуванчик не будет создавать их на позициях, где нет воздуха (т.е. стоит какой-то другой блок).

За пределами зоны действия жизнеодуванчика, они не имеют никаких особых свойств."	"{""kind"": ""patchouli_language_text"", ""location"": {""archive"": ""mods/Botania-1.20.1-453-FORGE.jar"", ""member"": ""assets/botania/patchouli_books/lexicon/en_us/entries/generating_flowers/dandelifeon.json"", ""output_member"": ""assets/botania/patchouli_books/lexicon/ru_ru/entries/generating_flowers/dandelifeon.json"", ""pointer"": ""/pages/8/text""}, ""source_id"": ""patchouli"", ""state"": ""visible""}"	"PROSE"	"patchouli:assets/botania/patchouli_books/lexicon/<language>/entries/generating_flowers/dandelifeon.json"	"PASS"	""	""	"/root/rescripted_language_editor_a"	"CHANGE"	"$(item)Клеточные блоки$(0) создаются из $(item)кактусов$(0), $(item)моркови$(0), $(item)картошки$(0) и $(item)свёклы$(0) и чрезвычайно хрупки. Их нельзя собрать даже с чарами «$(thing)Шёлковое касание$(0)» и нельзя сдвинуть $(item)поршнем$(0). $(item)Жизнеодуванчик$(0) не будет создавать их на позициях, где нет воздуха (т.е. стоит какой-то другой блок).$(p)За пределами зоны действия $(item)жизнеодуванчика$(0) они не имеют никаких особых свойств."	"Латинская c подменяет кириллическую «с»; лишняя запятая разделяет подлежащее и сказуемое."	"/root/rescripted_language_editor_b"
