id	source_hash	translation
mantle-book:tconstruct:encyclopedia:abilities/armor/boots/tconstruct_double_jump.json:/effects/0	sha256:153fd3c7c2ab115cb98c40d29ef2ec591051eaae0b4f67ac4a27ca8be6f37e67	Нет максимального уровня
mantle-book:tconstruct:encyclopedia:abilities/armor/boots/tconstruct_long_fall.json:/effects/0	sha256:4790242817445a0eed06501a9777543cd0aa4b0dc0b936102d62e58503da1099	Максимум 1 уровень
mantle-book:tconstruct:encyclopedia:abilities/armor/boots/tconstruct_long_fall.json:/effects/1	sha256:825b5592b5932a8fcdf11cf02e4e78c416895ba0e0ac5266b6ef85f49cede4b2	Требуется «Невесомость IV»
mantle-book:tconstruct:encyclopedia:abilities/armor/boots/tconstruct_long_fall.json:/effects/2	sha256:9054648401154dbc81e695699f3000a2016b0de218c5d880c2204f187d4105e5	Требуется 1 слот для умений
mantle-book:tconstruct:encyclopedia:abilities/armor/boots/tconstruct_long_fall.json:/text/0/text	sha256:1285a9a30cbd41160c27393a0b066b196d7538b02cc153e8d4acd4b5ed4519f6	Полностью нейтрализует урон от падения.
mantle-book:tconstruct:encyclopedia:abilities/armor/chestplate/tconstruct_reach.json:/effects/0	sha256:153fd3c7c2ab115cb98c40d29ef2ec591051eaae0b4f67ac4a27ca8be6f37e67	Нет максимального уровня
mantle-book:tconstruct:encyclopedia:abilities/armor/chestplate/tconstruct_strength.json:/effects/1	sha256:224c33723654475a5ea88c65031ecb693aea802e4d7a959d58b23fa14a7ef3cc	Требуется 1 слот для умений за уровень
mantle-book:tconstruct:encyclopedia:abilities/armor/helmet/tconstruct_slurping.json:/text/1/text	sha256:f4af0566838a0b50647b9cbbbef7cb740360103c5d228fc267eb5693d79a09b5	Инструмент можно наполнить жидкостью, если взять его в руку и применить на резервуаре или сливе.
mantle-book:tconstruct:encyclopedia:abilities/armor/leggings/tconstruct_crafting_table.json:/effects/0	sha256:a9875ac8991d109dcb62e15a6c2edf4925537322b64dc11266513d9354274d8c	Один уровень
mantle-book:tconstruct:encyclopedia:abilities/armor/leggings/tconstruct_pockets.json:/effects/0	sha256:153fd3c7c2ab115cb98c40d29ef2ec591051eaae0b4f67ac4a27ca8be6f37e67	Нет максимального уровня
mantle-book:tconstruct:encyclopedia:abilities/armor/shield/tconstruct_boundless.json:/effects/0	sha256:f9b54a82a08e6a336f8c9a8313eb61cbbb09ac23e4b8c8a6e392d43c2f302be9	Максимум 2 уровня
mantle-book:tconstruct:encyclopedia:abilities/armor/shield/tconstruct_boundless.json:/text/0/text	sha256:1b2eaa326a537fcbfd4f2a6e1a5fba05dd7a07febe8314c39bcef65e4507eb57	Повышает предел эффекта модификаторов «Защита», «Драконорождённый» и «Шалкеровый панцирь» с 80% до 90% на 1-м уровне и с 90% до 95% на 2-м. Эффект суммируется на нескольких щитах.
mantle-book:tconstruct:encyclopedia:abilities/interact/tconstruct_bonking.json:/text/0/text	sha256:fbe0178045483c468f05edd69f4281ffb7a767eb0d6695290740a4e8da7b5aa6	Зарядите и отпустите, чтобы отбросить выбранного моба, потратив 1 ед. прочности.
mantle-book:tconstruct:encyclopedia:abilities/interact/tconstruct_bonking.json:/text/1/text	sha256:430c177d95446527c6ea746323db33eeda71737165d9b5726293a81980cf8f53	Каждый уровень «Силы» или «Отдачи» усиливает эффект на 25%, а «Подбитый» ослабляет его вдвое. «Быстрая зарядка» сокращает время зарядки.
mantle-book:tconstruct:encyclopedia:abilities/interact/tconstruct_flinging.json:/text/0/text	sha256:eac586252b99eca07388fb99bb614a9b9fd3d8cae14d55d78d52a4c74367f6c6	Зарядите и отпустите, чтобы оттолкнуться от выбранного блока, потратив 1 ед. прочности.
mantle-book:tconstruct:encyclopedia:abilities/interact/tconstruct_flinging.json:/text/1/text	sha256:430c177d95446527c6ea746323db33eeda71737165d9b5726293a81980cf8f53	Каждый уровень «Силы» или «Отдачи» усиливает эффект на 25%, а «Подбитый» ослабляет его вдвое. «Быстрая зарядка» сокращает время зарядки.
mantle-book:tconstruct:encyclopedia:abilities/interact/tconstruct_spitting.json:/effects/0	sha256:153fd3c7c2ab115cb98c40d29ef2ec591051eaae0b4f67ac4a27ca8be6f37e67	Нет максимального уровня
mantle-book:tconstruct:encyclopedia:abilities/interact/tconstruct_spitting.json:/text/0/text	sha256:06dfb5c02461799d453f66ed90312f981eee3cb51ea09589104f11a8fd251d30	Зарядите и отпустите, чтобы выпустить жидкость, наложить её эффекты на цель и потратить 1 ед. прочности. На высоких уровнях делается несколько выстрелов и тратится больше прочности.
mantle-book:tconstruct:encyclopedia:abilities/interact/tconstruct_springing.json:/text/0/text	sha256:97c5241354a1b92d4f5c5af6f5aba10b06c9a5d7c2aba8e96b8efccd32d74ead	Зарядите и отпустите, чтобы рвануть в выбранном направлении, потратив 1 ед. прочности.
mantle-book:tconstruct:encyclopedia:abilities/interact/tconstruct_springing.json:/text/1/text	sha256:430c177d95446527c6ea746323db33eeda71737165d9b5726293a81980cf8f53	Каждый уровень «Силы» или «Отдачи» усиливает эффект на 25%, а «Подбитый» ослабляет его вдвое. «Быстрая зарядка» сокращает время зарядки.
mantle-book:tconstruct:encyclopedia:abilities/melee/tconstruct_parrying.json:/text/1/text	sha256:17dc591ae568bce9af105d573c5de8ec5ac8eb812120f461e5eb012016e1076d	Большинство кинжалов блокируют до 10 ед. урона и не замедляют игрока при использовании.
mantle-book:tconstruct:encyclopedia:abilities/melee/tconstruct_spilling.json:/text/0/text	sha256:fdb3641392483c441bd642d40cdf6717b932d2c4992dbe9b63f27620b76b234a	Расходует немного жидкости (обычно от 10 до 50 мБ), усиливая атаки ближнего боя особыми эффектами: огнём, дополнительным уроном или эффектами зелий.
mantle-book:tconstruct:encyclopedia:abilities/ranged/tconstruct_trick_quiver.json:/effects/0	sha256:f9b54a82a08e6a336f8c9a8313eb61cbbb09ac23e4b8c8a6e392d43c2f302be9	Максимум 2 уровня
