translation_key	source_display_name	ru_name
block.kubejs.acacia_flooring_block	Acacia Flooring	Акациевый настил
block.kubejs.arrow1_sign	sign	Знак
block.kubejs.arrow2_sign	sign	Знак
block.kubejs.asphalt_floor	Asphalt Floor	Асфальтовый пол
block.kubejs.asphalt_floor_slab	Asphalt Floor Slab	Асфальтовая плита
block.kubejs.asphalt_floor_stairs	Asphalt Floor Stairs	Асфальтовые ступеньки
block.kubejs.backrooms_speaker	Backrooms Speaker	Динамик Backrooms
block.kubejs.backup_generator	Backup Generator	Резервный генератор
block.kubejs.ball_pit	Ball Pit	Бассейн с шариками
block.kubejs.bamboo_flooring_block	Bamboo Flooring	Бамбуковый настил
block.kubejs.batteries	Batteries	Батарейки
block.kubejs.birch_flooring_block	Birch Flooring	Берёзовый настил
block.kubejs.black_hole	Mini Black Hole	Миниатюрная чёрная дыра
block.kubejs.box_sign	sign	Знак
block.kubejs.brittle_porous_stone	Brittle Porous Stone	Хрупкий пористый камень
block.kubejs.brittle_porous_stone_dark	Brittle Dark Porous Stone	Хрупкий тёмный пористый камень
block.kubejs.cardboard_flooring_block	Cardboard Flooring	Картонный настил
block.kubejs.carpet	Carpet	Ковёр
block.kubejs.carpet_dust_block	Block of Carpet Dust	Блок ковровой пыли
block.kubejs.carpet_grass	Carpet Grass	Ковровая трава
block.kubejs.carpet_slab	Carpet Slab	Ковровая плита
block.kubejs.carpet_soft	Carpet	Ковёр
block.kubejs.carpet_stairs	Carpet Stairs	Ковровые ступеньки
block.kubejs.ceilling	Ceiling	Потолок
block.kubejs.ceilling_edge	Ceiling Edge	Край потолка
block.kubejs.ceilling_frame	Ceiling Frame	Потолочный каркас
block.kubejs.ceilling_frame2	Ceiling Frame (White)	Белый потолочный каркас
block.kubejs.ceilling_lamp	Ceiling Lamp	Потолочный светильник
block.kubejs.ceilling_lamp_blinking	Ceiling Lamp (Blinking)	Потолочный светильник (мигает)
block.kubejs.ceilling_lamp_breaking	Ceiling Lamp (Breaking)	Потолочный светильник (ломается)
block.kubejs.ceilling_lamp_broken	Ceiling Lamp (Broken)	Потолочный светильник (сломан)
block.kubejs.ceilling_lamp_dying	Ceiling Lamp (Dying)	Потолочный светильник (гаснет)
block.kubejs.ceilling_lamp_off	Ceiling Lamp (Off)	Потолочный светильник (выключен)
block.kubejs.ceilling_lamp_red	Red Ceiling Lamp	Красный потолочный светильник
block.kubejs.ceilling_lamp_red_blinking	Red Ceiling Lamp (Blinking)	Красный потолочный светильник (мигает)
block.kubejs.ceilling_lamp_red_breaking	Red Ceiling Lamp (Breaking)	Красный потолочный светильник (ломается)
block.kubejs.ceilling_lamp_red_broken	Red Ceiling Lamp (Broken)	Красный потолочный светильник (сломан)
block.kubejs.ceilling_lamp_red_dying	Red Ceiling Lamp (Dying)	Красный потолочный светильник (гаснет)
block.kubejs.ceilling_lamp_red_off	Red Ceiling Lamp (Off)	Красный потолочный светильник (выключен)
block.kubejs.ceilling_lamp2	White Ceiling Lamp	Белый потолочный светильник
block.kubejs.ceilling_lamp2_blinking	White Ceiling Lamp (Blinking)	Белый потолочный светильник (мигает)
block.kubejs.ceilling_lamp2_breaking	White Ceiling Lamp (Breaking)	Белый потолочный светильник (ломается)
block.kubejs.ceilling_lamp2_broken	White Ceiling Lamp (Broken)	Белый потолочный светильник (сломан)
block.kubejs.ceilling_lamp2_dying	White Ceiling Lamp (Dying)	Белый потолочный светильник (гаснет)
