id	source_hash	translation
block:block.kubejs.carpet_soft	sha256:311f453ee128ef393940af7fb510c5d1a2d31c1ee1cf0118d62fc9353283259e	Ковёр
block:block.kubejs.ceilling	sha256:685394345b4000bbbdc30d2bacf891fe9461c2d4cde9843375c745ba336d19f2	Потолок
block:block.kubejs.ceilling2	sha256:685394345b4000bbbdc30d2bacf891fe9461c2d4cde9843375c745ba336d19f2	Белый потолок
block:block.kubejs.ceilling_edge	sha256:685394345b4000bbbdc30d2bacf891fe9461c2d4cde9843375c745ba336d19f2	Край потолка
block:block.kubejs.ceilling_frame	sha256:740f40d56a305c4d5747209d40dd1cdc3a360dc80db04c7abbed76b6490b33af	Потолочный каркас
block:block.kubejs.ceilling_lamp	sha256:d8afd715c4e7dc36d64557907c48361cc671ff169295ea5fdaddcd3e900fb8e2	Потолочный светильник
block:block.kubejs.ceilling_lamp2	sha256:d8afd715c4e7dc36d64557907c48361cc671ff169295ea5fdaddcd3e900fb8e2	Белый потолочный светильник
block:block.kubejs.ceilling_lamp_off	sha256:d8afd715c4e7dc36d64557907c48361cc671ff169295ea5fdaddcd3e900fb8e2	Потолочный светильник (выключен)
block:block.kubejs.ceilling_slab	sha256:a8900a0bd99e8c0ffde6828a87ba2549a24ea84edd6c4043d84e7b3fcc944e5d	Потолочная плита
block:block.kubejs.ceilling_stairs	sha256:5464e24aaa921ddb6772a820ffff93d12246dca7e485a45a3f0ea61f920a4824	Потолочные ступеньки
block:block.kubejs.long_pool_tiles	sha256:4b4b5f102d82a6e736dd91b56e6782aa8b9a99708119c71559ca15e887a7886d	Длинная плитка бассейна
block:block.kubejs.long_pool_tiles_slab	sha256:f6f7c026fc682b85743844ef2d9ffb5cd82918f46a69d211a78aebb34771e1f7	Длинная плита из плитки бассейна
block:block.kubejs.long_pool_tiles_soft	sha256:4b4b5f102d82a6e736dd91b56e6782aa8b9a99708119c71559ca15e887a7886d	Длинная плитка бассейна
block:block.kubejs.long_pool_tiles_stairs	sha256:ebf0a57b5621c09f83f3cb506a2e7eff61bb88d1223df928771c403c5b1957b6	Длинные ступеньки из плитки бассейна
block:block.kubejs.missing_tiles_empty	sha256:69546791b25698259ac444c7668d755f2b13a260771f8571e5ffdd149107befa	Плитка бассейна с пропусками
block:block.kubejs.oil_carpet	sha256:02cb6e3231842a41f04fa54ff3a53de6610626ec0341cff5bddf5e989c6ce18c	Ковёр, пропитанный сырой нефтью
block:block.kubejs.pool_locker_single	sha256:d1aeb1b117acd0e4280a2ed5eeaf7327e4fe057fe65ed6189c128c8e17ff0cd1	Шкафчик у бассейна
block:block.kubejs.pool_tiles_golden	sha256:1b68f64fc19268c5341773d6ea7efa5ceb66d55890e60ccb3bdbe44b63545270	Золотая плитка бассейна
block:block.kubejs.pool_tiles_sky	sha256:4b4b5f102d82a6e736dd91b56e6782aa8b9a99708119c71559ca15e887a7886d	Плитка бассейна
block:block.kubejs.pool_tiles_soft	sha256:4b4b5f102d82a6e736dd91b56e6782aa8b9a99708119c71559ca15e887a7886d	Плитка бассейна
block:block.kubejs.pool_tiles_wet	sha256:201af5d930c289acd6b7f7349df1c9623576a8cec86445054a18c13c72cda00a	Мокрая плитка бассейна
block:block.kubejs.reality_controller_running	sha256:6316a3d818024627fbaab5a9e36672e94e59693364bf0b7e48662a0613bd876d	Контроллер реальности (активный)
block:block.kubejs.wallpaper1	sha256:a7f173cdaae49a03443ed62db8c0e34857d8c6b11281e6da7af7377309772153	Обои
block:block.kubejs.wallpaper1_slab	sha256:7f0a5efd87e4efc5f7ed94e4fdd9c55f9cc34af327d2fcb605eee04e79d4ac0a	Плита из обоев
block:block.kubejs.wallpaper2	sha256:a7f173cdaae49a03443ed62db8c0e34857d8c6b11281e6da7af7377309772153	Обои в крупный горошек
block:block.kubejs.wallpaper3	sha256:a7f173cdaae49a03443ed62db8c0e34857d8c6b11281e6da7af7377309772153	Обои в мелкий горошек
block:block.kubejs.wallpaper4	sha256:a7f173cdaae49a03443ed62db8c0e34857d8c6b11281e6da7af7377309772153	Однотонные обои
block:block.kubejs.wallpaper5	sha256:a7f173cdaae49a03443ed62db8c0e34857d8c6b11281e6da7af7377309772153	Гостиничные обои
block:block.kubejs.wallpaper5_slab	sha256:8951ae39dfadf199cd462a21c252020d676287dae56549d4dca429e881e91c6b	Плита из гостиничных обоев
block:block.kubejs.wallpaper6	sha256:a7f173cdaae49a03443ed62db8c0e34857d8c6b11281e6da7af7377309772153	Полосатые обои
block:block.kubejs.wallpaper7	sha256:a7f173cdaae49a03443ed62db8c0e34857d8c6b11281e6da7af7377309772153	Розовые обои
block:block.kubejs.wallpaper_fake	sha256:8c70ec7623dd02a655495e8a8937f4e4d77d9f5c3404bff878186b403d59867f	Поддельные обои
block:block.kubejs.wallpaper_soft	sha256:a7f173cdaae49a03443ed62db8c0e34857d8c6b11281e6da7af7377309772153	Обои
