id	source_hash	translation
block:block.actuallyadditions.canola	sha256:0e55868b876e2995332cf621720b0ef542b40ce3f87d1a3673b06a5339c7f0fe	Канола
block:block.actuallyadditions.canola_oil	sha256:10e24459e228e88a8a60f6e88a7cb8715e1b84d507cc379e10f86137b18e2926	Масло канолы
block:block.actuallyadditions.coffee	sha256:6ef3c11d401683327797465a83476fce27121141ec5d1a4084aae2d76885ff8d	Кофейный куст
block:block.actuallyadditions.crystallized_oil	sha256:9f4a2cf37c79fa67f62c98117cd1f405d3fa8e29fa76ba21a20fd9d1467279c9	Кристаллизованное масло
block:block.actuallyadditions.empowered_oil	sha256:f90b7caa5afb3956bbbf127e47b5859b0f76b848d9ca3cb26dd5beaad1b45679	Обогащённое масло
block:block.actuallyadditions.flax	sha256:bc3508d44386331fc214b499e11b4fc791a85935d1eac3f18dbed09a4685d320	Лён
block:block.actuallyadditions.refined_canola_oil	sha256:3150e58e5e6df0688ee1cd7eba43ecc696f59df9e73870f435db75676922c68d	Рафинированное масло канолы
block:block.actuallyadditions.rice	sha256:6cee7ca1248840ae69bfda96fe0ca16198c5dbfd29cc82ec370ac445298ea32c	Рис
block:block.brewinandchewin.apple_jelly	sha256:8f1459a2fdb62a77c79ce14b6cd58d6f36ef41aa4b6840af556c4d768b023857	Яблочное желе
block:block.brewinandchewin.beer	sha256:2758060bedd99ddd1b5e56151f3e82ebfdbe65bb1c9ba07e8931abffb560cd40	Пиво
block:block.brewinandchewin.bloody_mary	sha256:c22ce5a26e13559df843acdf7ae5c3fae6e389fbc06dcb83eccdb5b2cc238d5e	Кровавая Мэри
block:block.brewinandchewin.dread_nog	sha256:ce3974ae9c208742dac9dff712b199203050bb7ee48770401e24c1d9e31103fe	Ужасный ног
block:block.brewinandchewin.egg_grog	sha256:4c72fc70772652c7b1b81839f41be6eb46d55561c7b682004336e0baf2245ee3	Яичный грог
block:block.brewinandchewin.glittering_grenadine_model	sha256:9924531b3432e5dce83fbcee1c8e4e5451c69d457219ac77c77ca2a8b1f68171	Модель сверкающего гренадина
block:block.brewinandchewin.glow_berry_marmalade	sha256:01eb9e96544395f1007dede307378f355abbe3c590495ec331d7afb6c3990397	Светящийся ягодный мармелад
block:block.brewinandchewin.kombucha	sha256:62abbf611a3a050e8826af35f08c55606b01b8a40752d3523a3f322e753e9549	Чайный гриб
block:block.brewinandchewin.mead	sha256:abf4e9bf698901609e2d5ef1a18ccf25ad1092f28098ee267b42907a595551c8	Медовуха
block:block.brewinandchewin.pale_jane	sha256:d29315ee11b753744e9b022e05446014869b780e2aea18828aa8ec112fc8bd2a	Бледная Джейн
block:block.brewinandchewin.red_rum	sha256:0d7f09be33d4e81647ec35640a1d6165ab855ec0f219f788f9d8949ca760a56f	Красный ром
block:block.brewinandchewin.rice_wine	sha256:ab9dc497abc8cf11c9f19d99c168cfe251bec3059a604c9dcddad7f080991fe0	Рисовое вино
block:block.brewinandchewin.saccharine_rum	sha256:d7ff6a4802cdbfec90e0c09982b4faa31acbee42c0dfb9883764fa750d1b5a47	Сахариновый ром
