"id"	"kind"	"status"	"source_hash"	"native_translation"	"translation"	"source"
"ie-manual:immersiveengineering:accumulators.txt:line:0"	"manual_text"	"MISSING_NATIVE"	"sha256:d8b46c897977e3e01f3a200184fd3417cb7cf022cb63e68853c061e954067c54"	""	""	"Accumulators"
"ie-manual:immersiveengineering:accumulators.txt:line:1"	"manual_text"	"MISSING_NATIVE"	"sha256:3a95cb34accf13e52254e886d244061808e61ff1afe06607f2fad4ef6f9c00bc"	""	""	"Power 2 Go"
"ie-manual:immersiveengineering:accumulators.txt:line:2"	"manual_text"	"MISSING_NATIVE"	"sha256:697d41dc64d5e8ac93ea34078c6092cf7259b4a436d45bc1b384badbb256a145"	""	""	"<&recipes>§lAccumulators§r serve as energy storage units. You can use the hammer to adjust the configuration of each side, with blue designating an input, orange an output and no colour marking preventing any connection at all. Sneak while using the hammer to configure the side opposite of the one you clicked."
"ie-manual:immersiveengineering:alloykiln.txt:line:0"	"manual_text"	"STALE_NATIVE"	"sha256:bc966e0a17fb3ecaa52862ddac0b1c3a3078a45fcaf32ce3077dceadaf068ab7"	""	""	"Alloy Kiln"
"ie-manual:immersiveengineering:alloykiln.txt:line:1"	"manual_text"	"STALE_NATIVE"	"sha256:24d14ba9c923bb34966c6868dd70ec9dca73530f37b63f95bc8941313cf19c9f"	""	""	"Mixin' Metals"
"ie-manual:immersiveengineering:alloykiln.txt:line:2"	"manual_text"	"STALE_NATIVE"	"sha256:5aeb60e8c8368cfb10ce4ad99c7e473ae5d0790b621af97a96a3b2d9c7724880"	""	""	"<&recipe>The Alloy Kiln is a simple furnace made out of heat resistant sandstone and bricks. Within it, temperatures are high enough to allow metals to be melted into a fluid state and mixed, creating an <link;alloys;alloy>."
"ie-manual:immersiveengineering:alloykiln.txt:line:3"	"manual_text"	"STALE_NATIVE"	"sha256:5d800900884e92f1c4e5d65727f56f9c1f45f9d6fa9a56aad587d7b4bbbdbaa1"	""	""	"This allows the creation of important alloys like Electrum and Constantan without requiring the tedious mixing of dusts. <&multiblock>To form the Kiln, arrange 8 of the Kiln Bricks in a 2x2x2 cube, as shown above, and rightclick one of the sides' blocks with an Engineer's Hammer."
"ie-manual:immersiveengineering:alloykiln.txt:line:4"	"manual_text"	"STALE_NATIVE"	"sha256:8e112151b5e8b82cc1199762cf2702daa058fc594a6c43f5fef29900c869d1ee"	""	""	"<&insulating_glass>The alloy kiln is also essential in the creation of §2insulating glass§r, a component used in the construction of <link;wiring;high-voltage architecture;connector_recipes>."
"ie-manual:immersiveengineering:alloys.txt:line:0"	"manual_text"	"REVIEW_NATIVE"	"sha256:07ab532e548449f84e6d9c97eea6bae883dcde9e38385d5e1474905024a66d63"	"Сплавы"	"Сплавы"	"Alloys"
"ie-manual:immersiveengineering:alloys.txt:line:1"	"manual_text"	"REVIEW_NATIVE"	"sha256:46c3842664687e94047ce3eecf1d26361c0431a9017ea72c102b5aeb7763843d"	"Смешанные металлические искусства"	"Смешанные металлические искусства"	"Mixed Metal Arts"
"ie-manual:immersiveengineering:alloys.txt:line:2"	"manual_text"	"REVIEW_NATIVE"	"sha256:2200551678a283893232bc6d0ffe8328a80125e10cb1e1dacdd8f42cd815e7d6"	"Смешивание пыли даёт смесь, которую затем можно переплавить в новый сплав. Константан обладает термоэлектрическими свойствами и используется при создании <link;generator;термоэлектрического генератора>, а электрум является отличным электрическим проводником и используется в <link;wiring;устройствах среднего напряжения>."	"Смешивание пыли даёт смесь, которую затем можно переплавить в новый сплав. Константан обладает термоэлектрическими свойствами и используется при создании <link;generator;термоэлектрического генератора>, а электрум является отличным электрическим проводником и используется в <link;wiring;устройствах среднего напряжения>."	"Mixing dusts creates an alloy blend that can then be smelted into alloyed ingots. Constantan has thermo-electric properties and is used in creating the <link;generator;thermoelectric generator> and electrum is an excellent electric conductor used in <link;wiring;medium-voltage architecture>."
"ie-manual:immersiveengineering:arc_furnace.txt:line:0"	"manual_text"	"REVIEW_NATIVE"	"sha256:257d259b935313460889196a7325b554d2d7456d78b4acf3cf7730b6dcd9ee40"	"Дуговая печь"	"Дуговая печь"	"Arc Furnace"
"ie-manual:immersiveengineering:arc_furnace.txt:line:1"	"manual_text"	"REVIEW_NATIVE"	"sha256:45362e0cea2f64a7fc591a9462cb8d7bf47fcf0d1531b968e5c56c4ce3c27868"	"Не реактор"	"Не реактор"	"Not a reactor"
