id	source_hash	old_translation	new_translation	reason
block:block.botania.apothecary_livingrock	sha256:da19be1e83881285675875b42b136ecd5bfae20c4f08b743939effa851308e28	Живой лепестковый аптекарь	Лепестковый аптекарь из жизнекамня	restore Livingrock material term used by the family
block:block.botania.blaze_block	sha256:0ca19f3e52d652729edc81af93d3737ca285a04bf8884ec3f49e449db2b482f8	Cветильник ифрита	Светильник ифрита	replace Latin C lookalike with Cyrillic С
block:block.botania.chiseled_livingrock_bricks	sha256:2bd7a589aaa6fe5d8a9954ad016524d17939d0f2aa747df29cb4c21d14426bb3	Резной кирпич из жизнекамня	Резные кирпичи из жизнекамня	preserve plural Bricks
block:block.botania.cocoon	sha256:91e0eaf5e7f09e1bdb1fb7772a65d6cabdc5a0722d0e10ad162153ba5f075446	Кокон жизни	Кокон прихоти	translate Caprice rather than unrelated life
block:block.botania.cracked_livingrock_bricks	sha256:826a25c47f7e27d67713181b52d96b96029f76dd19f4d4b31095439b18c8c4b8	Потрескавшийся кирпич из жизнекамня	Потрескавшиеся кирпичи из жизнекамня	preserve plural Bricks
block:block.botania.floating_spectrolus	sha256:44c9ed2d6fe40b249ce89f1c2508b21656d179f7d8fa42507cc679750d6b2a48	Парящий Cпектролис	Парящий Спектролис	replace Latin C lookalike with Cyrillic С
block:block.botania.livingrock_bricks	sha256:e6e8902ee97980d622d91bccdd80d1d8eb352bab4a1509977e3bf7d9f4c364cc	Кирпич из жизнекамня	Кирпичи из жизнекамня	preserve plural Bricks
block:block.botania.mossy_livingrock_bricks	sha256:307dd824063338cf1b96faca453dd5e1544892367c96f1eaea98f6ea38bd9f8c	Замшелый кирпич из жизнекамня	Замшелые кирпичи из жизнекамня	preserve plural Bricks
block:block.immersiveengineering.sawdust	sha256:9ef3c525309a30d732c44c53b88edc46ad341712e945445c9c7150e6158ab4e8	Спасательная подушка	Покрытие из опилок	translate Sawdust Flooring rather than unrelated safety cushion
item:block.botania.apothecary_livingrock	sha256:da19be1e83881285675875b42b136ecd5bfae20c4f08b743939effa851308e28	Живой лепестковый аптекарь	Лепестковый аптекарь из жизнекамня	restore Livingrock material term used by the family
item:block.botania.blaze_block	sha256:0ca19f3e52d652729edc81af93d3737ca285a04bf8884ec3f49e449db2b482f8	Cветильник ифрита	Светильник ифрита	replace Latin C lookalike with Cyrillic С
