"id"	"source_hash"	"verdict"	"reviewer"	"method"
"block:block.actuallyadditions.atomic_reconstructor"	"sha256:da45cb68b0f3ada9b00ff26d4ae4bb617d1c5198c22cc498e5c60a522ee111a9"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.battery_box"	"sha256:25ccd0bb507799dfadf59609a9fa8b57e453e18913cb923ad7202483b7ed3265"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.bio_reactor"	"sha256:285d043d7f3432a58f93c3bec3fcf38b960594784a444b2e2a7b2edebedc523f"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.black_quartz_block"	"sha256:6c6a3786feea25256f23418700d8a5d868a4ba2eb64227397796683990c7f1d4"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.black_quartz_brick_block"	"sha256:700c39a5489d5bf6e49c04eec75830a9e640e44f7b577e149a2d77000de49168"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.black_quartz_brick_slab"	"sha256:897291069a07798fb0ce0346b41669fd9fba1e4828b4ad4a50f0ca7626bd7c05"	"CHANGE"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.black_quartz_brick_stair"	"sha256:1e552d89ad544f0c2f8766290904c8e84782e7551f224f6a8a3ee8b5f5f9278f"	"CHANGE"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.black_quartz_brick_wall"	"sha256:adeb60c666c65ad2d2742c6e56b2302a9b93fa4b52c095d25869b749243930ea"	"CHANGE"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.black_quartz_ore"	"sha256:87cfc6771910b45e0c1878288a84e5b1048bff08ab5ea4565db67e9609b3c7b7"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.black_quartz_pillar_block"	"sha256:ba377419f1b08f9431f22c12383b06dfe689e87047da49d6dc813cf7274f200e"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
