item_id	translation_key	en_us	ru_ru	status
actuallyadditions:atomic_reconstructor	block.actuallyadditions.atomic_reconstructor	Atomic Reconstructor	Атомный реконстрактор	HAS_RU
actuallyadditions:empowerer	block.actuallyadditions.empowerer	Empowerer	Зарядник	HAS_RU
ae2:calculation_processor	item.ae2.calculation_processor	Calculation Processor	Вычислительный процессор	HAS_RU
ae2:calculation_processor_press	item.ae2.calculation_processor_press	Inscriber Calculation Press	Вычислительный печать для вырезателя	HAS_RU
ae2:chest	block.ae2.chest	ME Chest	МЭ-сундук	HAS_RU
ae2:condenser	block.ae2.condenser	Matter Condenser	Конденсатор материи	HAS_RU
ae2:controller	block.ae2.controller	ME Controller	МЭ-регулятор	HAS_RU
ae2:crafting_terminal	item.ae2.crafting_terminal	ME Crafting Terminal	МЭ терминал изготовления	HAS_RU
ae2:drive	block.ae2.drive	ME Drive	МЭ-дисковод	HAS_RU
ae2:ender_dust	item.ae2.ender_dust	Ender Dust	Эндер-пыль	HAS_RU
ae2:energy_acceptor	block.ae2.energy_acceptor	Energy Acceptor	Приёмщик энергии	HAS_RU
ae2:engineering_processor_press	item.ae2.engineering_processor_press	Inscriber Engineering Press	Инженерная печать для вырезателя	HAS_RU
ae2:inscriber	block.ae2.inscriber	Inscriber	Вырезатель	HAS_RU
ae2:logic_processor_press	item.ae2.logic_processor_press	Inscriber Logic Press	Логическая печать для вырезателя	HAS_RU
ae2:quantum_entangled_singularity	item.ae2.quantum_entangled_singularity	Quantum Entangled Singularity	Сингулярность квантовой запутанности	HAS_RU
ae2:silicon_press	item.ae2.silicon_press	Inscriber Silicon Press	Кремниевая печать для вырезателя	HAS_RU
ae2:singularity	item.ae2.singularity	Singularity	Сингулярность	HAS_RU
beachparty:beach_towel	block.beachparty.beach_towel	Beach Towel	Пляжное полотенце	HAS_RU
beachparty:cocoa_cocktail	block.beachparty.cocoa_cocktail	Cocoa Cocktail	Коктейль с какао	HAS_RU
beachparty:coconut	item.beachparty.coconut	Coconut	Кокос	HAS_RU
beachparty:coconut_cocktail	block.beachparty.coconut_cocktail	Coconut Cocktail	Кокосовый коктейль	HAS_RU
beachparty:coconut_open	item.beachparty.coconut_open	Open Coconut	Расколотый кокос	HAS_RU
beachparty:floaty_boat	item.beachparty.floaty_boat	Floaty Boat	Надувная лодочка	HAS_RU
beachparty:honey_cocktail	block.beachparty.honey_cocktail	Honey Cocktail	Медовый коктейль	HAS_RU
beachparty:melon_cocktail	block.beachparty.melon_cocktail	Melon Cocktail	Арбузный коктейль	HAS_RU
beachparty:message_in_a_bottle	block.beachparty.message_in_a_bottle	Message in a Bottle	Послание в бутылке	HAS_RU
beachparty:mini_fridge	block.beachparty.mini_fridge	Mini Fridge	Мини-холодильник	HAS_RU
beachparty:music_disc_beachparty	item.beachparty.music_disc_beachparty	Music Disc	Пластинка	HAS_RU
beachparty:music_disc_caribbean_beach	item.beachparty.music_disc_caribbean_beach	Music Disc	Пластинка	HAS_RU
beachparty:music_disc_pridelands	item.beachparty.music_disc_pridelands	Music Disc	Пластинка	HAS_RU
beachparty:music_disc_vocalista	item.beachparty.music_disc_vocalista	Music Disc	Пластинка	HAS_RU
beachparty:music_disc_wild_veins	item.beachparty.music_disc_wild_veins	Music Disc	Пластинка	HAS_RU
beachparty:overgrown_disc	item.beachparty.overgrown_disc	Overgrown Disc	Заросшая пластинка	HAS_RU
beachparty:palm_bar	block.beachparty.palm_bar	Palm Bar	Тики бар	HAS_RU
beachparty:palm_sprout	block.beachparty.palm_sprout	Palm Sprout	Росток пальмы	HAS_RU
beachparty:pumpkin_cocktail	block.beachparty.pumpkin_cocktail	Pumpkin Cocktail	Тыквенный коктейль	HAS_RU
beachparty:radio	block.beachparty.radio	Radio	Радио	HAS_RU
beachparty:raw_mussel_meat	item.beachparty.raw_mussel_meat	Raw Mussel Meat	Сырое мясо мидии	HAS_RU
beachparty:seashell	item.beachparty.seashell	Seashell	Ракушка	HAS_RU
beachparty:sweetberries_cocktail	block.beachparty.sweetberries_cocktail	Sweetberry Cocktail	Коктейль из сладких ягод	HAS_RU
