id	source_hash	translation
mantle-book-language:tconstruct:encyclopedia:abilities	sha256:81932b99d9d932d998aaa17ae2359f7c6e868af4479be078e0115927c4edd738	Умения
mantle-book-language:tconstruct:encyclopedia:abilities.group_armor	sha256:a592855d0508d16121c443b3500e94395f2087cc9deb7f84e1a82061f1a8ec69	Броня
mantle-book-language:tconstruct:encyclopedia:abilities.group_armor.boots	sha256:929433e4be1dbd23ffc6b076da2e6f3854ccc5fe606a1e59419110b71fe0a833	Ботинки
mantle-book-language:tconstruct:encyclopedia:abilities.group_armor.chestplate	sha256:efd648433f738f60b2936fb190b108dd5bd87f39f5f24cc675373836feede10e	Нагрудник
mantle-book-language:tconstruct:encyclopedia:abilities.group_armor.helmet	sha256:a47fdf6415fc436ee65ac597251edfa2e58a5ea60b53e65d2886ea6cb17ba374	Шлем
mantle-book-language:tconstruct:encyclopedia:abilities.group_armor.leggings	sha256:166f79114abace7da4ca0996291a2d4a6f73dfe27bfab96cc9af95df53bf9736	Поножи
mantle-book-language:tconstruct:encyclopedia:abilities.group_armor.shield	sha256:480d4be7d61fe52bc31768ffaaffea7ad5db66ba8b699d30623c4726704cc646	Щит
mantle-book-language:tconstruct:encyclopedia:abilities.group_general	sha256:c910d474dcd724bff83ddedeb06bf1eceaf9fb3af7c76bb282be057f36e6dffa	Общие
mantle-book-language:tconstruct:encyclopedia:abilities.group_harvest	sha256:c91ab8b61d373c0cb1cce94713f161e259f77172c8c08467ecacd138169ea364	Добыча
mantle-book-language:tconstruct:encyclopedia:abilities.group_interact	sha256:b7d2863247e0230fc402347740098d2e3f799aae27be97da0936e97aca77e16c	Взаимодействие
mantle-book-language:tconstruct:encyclopedia:abilities.group_melee	sha256:2e24eb8ac3378a24fb64d99f02cd9135880e26f0b84b5dd3feac1be91a16a00f	Ближний бой
mantle-book-language:tconstruct:encyclopedia:abilities.group_ranged	sha256:3f0b51a2492f73ecf48a84bc7f261e4223a8701efbda4726fa1de490fdf12498	Дальний бой
mantle-book-language:tconstruct:encyclopedia:abilities.subtext	sha256:f2aa5c9686fcf4889a52ea669ba1a6b24213ce248c027222effe016bfc2a4796	Для модификаторов умений доступно меньше слотов, чем для улучшений, но каждый из них даёт более сильный эффект.
mantle-book-language:tconstruct:encyclopedia:armor	sha256:a592855d0508d16121c443b3500e94395f2087cc9deb7f84e1a82061f1a8ec69	Броня
mantle-book-language:tconstruct:encyclopedia:defense	sha256:6d3b491cc4b3b8c942decedece5f1f363e8f996b489f995acb320c18f73b3ca5	Защита
mantle-book-language:tconstruct:encyclopedia:defense.group_protection	sha256:0e97ad021672d434a066dc50b8681813907da9f1f706aa1fa4402b9c4ba4c006	Защитные
mantle-book-language:tconstruct:encyclopedia:defense.group_special	sha256:997c544f1be0a2dde15ce4e764321511ce9abdb34c7e7c661439e0382191a396	Специальные
mantle-book-language:tconstruct:encyclopedia:defense.subtext	sha256:5b80b78b773b1e61aac191854c6bf22b2058ecbfdc317f0e4891bb596bca7db7	Вместо особенностей материалов броня получает слоты защиты, позволяющие повысить её защитные свойства.
mantle-book-language:tconstruct:encyclopedia:fluid_effects	sha256:6490aa27fb05925462355e5d7451a63f8579c42828c98eefffb2dd2b328d755b	Эффекты жидкости
mantle-book-language:tconstruct:encyclopedia:fluid_effects.subtext	sha256:2dd01730a396053e30f53be6938a3c8d9884b059a392a01b31833af7b04e2764	Эффекты жидкостей определяют, что происходит при попадании жидкости на блок или сущность из-за таких модификаторов, как выплёскивание, разлив и разбрызгивание.
mantle-book-language:tconstruct:encyclopedia:intro	sha256:b605350bc00209520b7cd8f546322663356ba630708f71bbf30aead6b3dd608e	Введение
mantle-book-language:tconstruct:encyclopedia:materials_ammo	sha256:519a23e7ed89f8728763805462203aa5c06290d23e02f24847af160acf7861ca	Материалы для боеприпасов
mantle-book-language:tconstruct:encyclopedia:materials_ammo.subtext	sha256:9d52ce10d0430e77cd26b59715ccacba224b06fb7279c80f7da011bc3cf5dd33	Материалы для создания стрел и сюрикенов.
mantle-book-language:tconstruct:encyclopedia:materials_armor	sha256:cdb4712651dd234711d9e034f1a9eda420abec68421efa8158448ac29e4127d1	Материалы для брони
mantle-book-language:tconstruct:encyclopedia:materials_armor.subtext	sha256:8d7f6d1a8cf0c446e94f3854e80d4540828a39037db394f6a782375b974a58f9	Материалы для создания брони и щитов.
mantle-book-language:tconstruct:encyclopedia:materials_harvest	sha256:957a09ddaa0eb2cdea819044f9a59e57309f55c1930ef4ae5f33c7ee36480fbe	Материалы общего назначения
mantle-book-language:tconstruct:encyclopedia:materials_harvest.subtext	sha256:90c89f63e1f8c8618c3ebb86f84e8d31705573d65a7844fe4ec98427f65f2286	Материалы для создания оружия ближнего боя и добывающих инструментов.
mantle-book-language:tconstruct:encyclopedia:materials_ranged	sha256:2eb4c7d0b69a9ae380f24574ff2dd28ca27283ff2619205af9cd4a5d6f1cb96e	Материалы для дальнего боя
mantle-book-language:tconstruct:encyclopedia:materials_ranged.subtext	sha256:4195048dad26df38606cb28b2cc25db11b4142a77d3774fdf17123d6e2891d24	Материалы для создания оружия дальнего боя.
mantle-book-language:tconstruct:encyclopedia:materials_skull	sha256:669f4a288bd7027cd5706ee0142208c323f4b7c98a9234fd2c1d29263e58f38a	Слизневые черепа
mantle-book-language:tconstruct:encyclopedia:materials_skull.subtext	sha256:6f65c46439e5419f31b7e83031b62f0e17cec783536029fdf5f912c87da4c495	В этом разделе описано, как разные виды черепов влияют на создаваемый слизневый череп.
mantle-book-language:tconstruct:encyclopedia:slotless	sha256:ef3ed76fa3649bbddec4a61425c87017a4f537dab539f259133151ca68baf6dd	Бесслотовые модификаторы
mantle-book-language:tconstruct:encyclopedia:slotless.group_bonus	sha256:d587622d277c4be4a2ed692b5a52d550abf0d9e19adb40469bb837462084dcdd	Бонусы
mantle-book-language:tconstruct:encyclopedia:slotless.group_cosmetic	sha256:3f9679cf685f17af227d423f96031bdc3b29cfd284277f00de35ccbce2bddbca	Косметические
mantle-book-language:tconstruct:encyclopedia:slotless.group_general	sha256:c910d474dcd724bff83ddedeb06bf1eceaf9fb3af7c76bb282be057f36e6dffa	Общие
mantle-book-language:tconstruct:encyclopedia:slotless.subtext	sha256:ffa4143cba688487695e5be100537096a55848123ea4f050147cfcac977e32b7	Бесслотовые модификаторы не требуют слотов.
mantle-book-language:tconstruct:encyclopedia:tools	sha256:ea93d6a262ecb87a9fa4d09edbd7654c046597936a8e235fc3949eb01775ff99	Инструменты
mantle-book-language:tconstruct:encyclopedia:tools.group_ancient	sha256:64c0aff73032d3c74841faf2f9b8b5a1033dee54ca1be5f0736658f0a998d42c	Древние
mantle-book-language:tconstruct:encyclopedia:tools.group_large	sha256:3d9c05379c208f25b379920201932253a25bc05e87261e733cf4bc0e7d456ae4	Крупные
mantle-book-language:tconstruct:encyclopedia:tools.group_ranged	sha256:3f0b51a2492f73ecf48a84bc7f261e4223a8701efbda4726fa1de490fdf12498	Дальний бой
mantle-book-language:tconstruct:encyclopedia:tools.group_small	sha256:5263293fc202649bdc8135573ac9cd3b0bcea4355e0d8f0a59f1ddeea8eefc15	Малые
