id	source_hash	old_translation	new_translation	reason
block:block.actuallyadditions.black_quartz_brick_slab	sha256:897291069a07798fb0ce0346b41669fd9fba1e4828b4ad4a50f0ca7626bd7c05	Плита из черного кварца	Плита из чёрных кварцевых кирпичей	В названии потерян тип материала Black Quartz Brick.
block:block.actuallyadditions.black_quartz_brick_stair	sha256:1e552d89ad544f0c2f8766290904c8e84782e7551f224f6a8a3ee8b5f5f9278f	Супеньки из черного кварца	Ступеньки из чёрных кварцевых кирпичей	Опечатка «Супеньки» и потерян тип материала Black Quartz Brick.
block:block.actuallyadditions.black_quartz_brick_wall	sha256:adeb60c666c65ad2d2742c6e56b2302a9b93fa4b52c095d25869b749243930ea	Ограда из черного кварца	Ограда из чёрных кварцевых кирпичей	В названии потерян тип материала Black Quartz Brick.
block:block.actuallyadditions.empowered_diamatine_crystal_block	sha256:f341a5d297c39260204fed1c8abf15d4640ebfe0ad20c41a434e0d75ace05327	Усиленный кристальный Диаматина	Усиленный кристальный блок Диаматина	Пропущено слово «блок», нарушена грамматика семейства.
block:block.actuallyadditions.empowered_emeradic_crystal_block	sha256:d90dac9a8b5635483200290dd7c3757751159f27050ff60eb8bc080e6f8bbdf9	Усиленный кристальный Эмерадиса	Усиленный кристальный блок Эмерадиса	Пропущено слово «блок», нарушена грамматика семейства.
block:block.actuallyadditions.empowered_palis_crystal_block	sha256:c6abd7b0231c232a5bee07fe7cf2b38b712c0bafeb9f0dace04a3ef6fc880990	Усиленный кристальный Палиса	Усиленный кристальный блок Палиса	Пропущено слово «блок», нарушена грамматика семейства.
block:block.actuallyadditions.empowered_restonia_crystal_block	sha256:d4e8b2506ce6591c52b2008c88a75b186ed3af8d265ca48f64a0866dfe5040c6	Усиленный кристальный Рестонии	Усиленный кристальный блок Рестонии	Пропущено слово «блок», нарушена грамматика семейства.
block:block.actuallyadditions.empowered_void_crystal_block	sha256:7bc102a32954e0c02e39dbab7360f35a97516b4dd1c705a0f2e836b5fa9ab0e6	Усиленный кристальный Пустоты	Усиленный кристальный блок Пустоты	Пропущено слово «блок», нарушена грамматика семейства.
block:block.actuallyadditions.ethetic_green_stairs	sha256:d20cd69bed71ddc00b07314de0987918ff1d3253e27c8168072819360ed981cd	Декоративная лестница зелёный кварц	Декоративные ступеньки из зелёного кварца	Нарушена грамматика названия.
block:block.actuallyadditions.ethetic_white_stairs	sha256:2d13b0c2ca60648b622981e286f7c4d9ad0f3398c2476c5e88d7c022f05ff449	Декоративная лестница кварц	Декоративные ступеньки из кварца	Нарушена грамматика названия.
block:block.actuallyadditions.smooth_black_quartz_slab	sha256:3c3628bcfb1829672ce7a8d4d53551b1c28f75b3832e8957cb3447c6b00d41cb	Плита из гладкого кварца	Плита из гладкого чёрного кварца	В названии пропущен цвет Black.
block:block.actuallyadditions.smooth_black_quartz_stair	sha256:458ef49c378fe2f04e7407ab496c1572ca3da665456de155173260ed489dce88	Ступеньки из гладкого кварца	Ступеньки из гладкого чёрного кварца	В названии пропущен цвет Black.
block:block.actuallyadditions.smooth_black_quartz_wall	sha256:d63f8990fa6b96452e669511c28f8e3e3f6ab963bb85116df0a1d56d16f87746	Ограда из гладкогоо чёрного кварца	Ограда из гладкого чёрного кварца	Опечатка «гладкогоо».
block:block.ae2.smooth_quartz_wall	sha256:6ba22b0e48b787fc914323fe8cb25d64701f9994f8a6730779536869fbcbde3c	Резная стена из истинного кварца	Гладкая стена из истинного кварца	Резная не соответствует исходному Smooth.
block:block.beachparty.palm_wall_sign	sha256:c5124188c074e3aa3da275a751ae6db18899f1dc4fc1fb685660d02d1ff6f294	Palm Sign	Пальмовая настенная табличка	Перевод оставлен на английском.
block:block.dustrial_decor.sheet_metal_walling	sha256:e80113d6512948de1b2f65c8f14f955d63a9b258808f782dc798263ff7538190	Облицовка из листового металла 	Облицовка из листового металла	Лишний пробел в конце строки.
block:block.escalated.wooden_narrow_escalator	sha256:4dc94367fcea6ce40d5f5621a527e9e0908665ab4b15ab849058d0c9b20ff6ae	Деревянный эксалатор	Деревянный эскалатор	Орфографическая ошибка: «эксалатор».
block:block.immersiveengineering.slab_sheetmetal_electrum	sha256:bbeb486f7692f487a4a5594d00ed881d9fc1a6632e395ae931db58246b80faad	Электриумавая плита из листового металла	Электрумовая плита из листового металла	Опечатка в термине Electrum: «Электриумавая».
item:block.actuallyadditions.black_quartz_brick_slab	sha256:897291069a07798fb0ce0346b41669fd9fba1e4828b4ad4a50f0ca7626bd7c05	Плита из черного кварца	Плита из чёрных кварцевых кирпичей	В названии потерян тип материала Black Quartz Brick.
item:block.actuallyadditions.black_quartz_brick_stair	sha256:1e552d89ad544f0c2f8766290904c8e84782e7551f224f6a8a3ee8b5f5f9278f	Супеньки из черного кварца	Ступеньки из чёрных кварцевых кирпичей	Опечатка «Супеньки» и потерян тип материала Black Quartz Brick.
item:block.actuallyadditions.black_quartz_brick_wall	sha256:adeb60c666c65ad2d2742c6e56b2302a9b93fa4b52c095d25869b749243930ea	Ограда из черного кварца	Ограда из чёрных кварцевых кирпичей	В названии потерян тип материала Black Quartz Brick.
item:block.actuallyadditions.empowered_diamatine_crystal_block	sha256:f341a5d297c39260204fed1c8abf15d4640ebfe0ad20c41a434e0d75ace05327	Усиленный кристальный Диаматина	Усиленный кристальный блок Диаматина	Пропущено слово «блок», нарушена грамматика семейства.
item:block.actuallyadditions.empowered_emeradic_crystal_block	sha256:d90dac9a8b5635483200290dd7c3757751159f27050ff60eb8bc080e6f8bbdf9	Усиленный кристальный Эмерадиса	Усиленный кристальный блок Эмерадиса	Пропущено слово «блок», нарушена грамматика семейства.
item:block.actuallyadditions.empowered_palis_crystal_block	sha256:c6abd7b0231c232a5bee07fe7cf2b38b712c0bafeb9f0dace04a3ef6fc880990	Усиленный кристальный Палиса	Усиленный кристальный блок Палиса	Пропущено слово «блок», нарушена грамматика семейства.
item:block.actuallyadditions.empowered_restonia_crystal_block	sha256:d4e8b2506ce6591c52b2008c88a75b186ed3af8d265ca48f64a0866dfe5040c6	Усиленный кристальный Рестонии	Усиленный кристальный блок Рестонии	Пропущено слово «блок», нарушена грамматика семейства.
item:block.actuallyadditions.empowered_void_crystal_block	sha256:7bc102a32954e0c02e39dbab7360f35a97516b4dd1c705a0f2e836b5fa9ab0e6	Усиленный кристальный Пустоты	Усиленный кристальный блок Пустоты	Пропущено слово «блок», нарушена грамматика семейства.
item:block.actuallyadditions.ethetic_green_stairs	sha256:d20cd69bed71ddc00b07314de0987918ff1d3253e27c8168072819360ed981cd	Декоративная лестница зелёный кварц	Декоративные ступеньки из зелёного кварца	Нарушена грамматика названия.
item:block.actuallyadditions.ethetic_white_stairs	sha256:2d13b0c2ca60648b622981e286f7c4d9ad0f3398c2476c5e88d7c022f05ff449	Декоративная лестница кварц	Декоративные ступеньки из кварца	Нарушена грамматика названия.
item:block.actuallyadditions.smooth_black_quartz_slab	sha256:3c3628bcfb1829672ce7a8d4d53551b1c28f75b3832e8957cb3447c6b00d41cb	Плита из гладкого кварца	Плита из гладкого чёрного кварца	В названии пропущен цвет Black.
item:block.actuallyadditions.smooth_black_quartz_stair	sha256:458ef49c378fe2f04e7407ab496c1572ca3da665456de155173260ed489dce88	Ступеньки из гладкого кварца	Ступеньки из гладкого чёрного кварца	В названии пропущен цвет Black.
item:block.actuallyadditions.smooth_black_quartz_wall	sha256:d63f8990fa6b96452e669511c28f8e3e3f6ab963bb85116df0a1d56d16f87746	Ограда из гладкогоо чёрного кварца	Ограда из гладкого чёрного кварца	Опечатка «гладкогоо».
