"id"	"source_hash"	"review_verdict"	"recommendation"	"reason"
"patchouli-lang:botania:botania.page.elfMessage1"	"sha256:2ad813db8f803c3115a8e547ec4f9a025799d65ba1bda78232cb537316f5e606"	"CHANGE"	"$(o)Приветствуем! Мы заметили, что наш портал открыл связь с другим миром. И это довольно шокирующая новость для нас! Мы благодарим вас за предоставление нам книги знаний вашего мира, чтобы держать нас в курсе всего, что произошло, так как мы оставили этот мир, давным-давно."	"Исходная рекомендация отмечена для полного редакторского перечтения: замена регистра сама по себе не закрывает языковую проверку."
"patchouli-lang:botania:botania.page.elfMessage2"	"sha256:d801dd8d6396cf72af29bddf36d0b29cfe7efeac8024e408635d8232053babda"	"CHANGE"	"$(o)После долгих обсуждений в Высшем совете Эльфийской стражи мы решили сотрудничать с вами. Видите ли, в вашем ""Лексиконе Ботании"" упоминаются некоторые ресурсы вашего мира, которые мы очень хотели бы заполучить: в наших землях их попросту нет."	"Калька, неверное именование совета, пунктуация и искажённый смысл."
"patchouli-lang:botania:botania.page.elfMessage3"	"sha256:bcb7675b40b1fba5cab11775b0fa0a8f50bc6a07823e6d75fa0a5fcae5d04a02"	"CHANGE"	"$(o)Установленная вами связь, к сожалению, слишком слаба, чтобы переносить живых существ: вероятно, причина в огромном расстоянии между нашими мирами. Жаль: мы хотели встретиться с нашим торговым партнёром лично. Зато связь позволяет менять синхронизацию времени в наших мирах, поэтому вы получите книгу обратно так быстро — по крайней мере, с вашей точки зрения."	"Синтаксис, связность и смысл не исправлены косметической заменой регистра."
"patchouli-lang:botania:botania.page.elfMessage5"	"sha256:0a29a917cf0f322ceaa8a360d094cd93f2862e24bde39d9e3949d577d37922f2"	"CHANGE"	"$(o)Мы поручили лучшим писцам перенести в ваш лексикон большую часть знаний нашего мира. Надеемся, они окажутся для вас полезны и побудят вас использовать наши материалы."	"Неверное управление и лишние предложения; требуется естественный пересказ."
"patchouli-lang:botania:botania.page.elfResources0"	"sha256:77b8af7c9632ef545d7ad2b99d8bd195b99feacaad1947d03979bdda73919521"	"CHANGE"	"$(thing)Эльфхейм$(0) богат ценными ресурсами. К сожалению, из-за соперничества эльфийских кланов большинство из них довольно редки. Эльфы, с которыми вы связались, хотят обменять местные ресурсы — $(item)Древесину мечтаний$(0), $(item)Элементий$(0), $(item)Пыльцу фей$(0) и $(item)Камни дракона$(0) — на ресурсы вашего мира."	"Неестественная сочетаемость и неверная логика обмена."
"patchouli-lang:botania:botania.page.elfResources6"	"sha256:4757f0560edd3f179bf19048ad551ba7e0b10ba67a0e081085eba3c6d48c3ebe"	"CHANGE"	"Эльфов также интересует белый изысканный материал из $(thing)Незера$(0) — $(item)Незер-кварц$(0): кварц их мира имеет зелёный оттенок. По свойствам эльфийский кварц не отличается от других видов кварца, включая обычный Незер-кварц и его декоративные варианты."	"Бессмысленная фраза о строительстве квартала и добавленные не по источнику сведения."
"patchouli-lang:botania:botania.page.gaiaRitual3"	"sha256:51c6987be07cd066a8a356aea1e1ac134f25ea6cfbc4e8bc86bd40870759be3c"	"CHANGE"	"Чтобы начать ритуал, присядьте и нажмите ПКМ по $(item)Маяку$(0), держа в руке $(item)Слиток террастали$(0); затем отойдите и приготовьтесь сражаться за жизнь. Подготовка совершенно необходима: бой с $(thing)Хранителем Гайи$(0) может оказаться даже сложнее боя с $(thing)Иссушителем$(0). После победы вы получите в награду горсть $(item)Духов Гайи$(0)."	"Запятая между подлежащим и сказуемым, неестественная инструкция и неверная награда."
"patchouli-lang:botania:botania.page.kingKey0"	"sha256:afaba3cf28edfafcf70ae12f47060e60183cda6758133e65a8a9b7fad4c77f74"	"CHANGE"	"$(item)Ключ от Королевского арсенала$(0) — могущественная реликвия, способная материализовать оружие из воздуха. Удерживание ПКМ ключом начнет призыв светящихся снарядов... откуда-то. Одновременно можно создать до двадцати снарядов, и, отпустив ключ, вы запустите их по одному в ту точку, на которую направлен ваш взгляд. Эти снаряды движутся с высокой скоростью и взрываются при контакте."	"Исходная рекомендация отмечена для полного редакторского перечтения: замена регистра сама по себе не закрывает языковую проверку."
"patchouli-lang:botania:botania.page.lexicon0"	"sha256:e5a71e94ee2c112afbc6ddecd5082616da3945344557ec7d10252a3f2acc6c2c"	"CHANGE"	"$(item)Лексикон Ботании$(0) - это кладезь всех знаний для ваших ботанических нужд. Но вы, наверное, уже и так знали это.$(p)Вся информация находится здесь. Для удобства, если у какого-то блока есть описание, вы можете нажать Shift+ПКМ, держа $(item)Лексикон Ботании$(0) в руке, чтобы открыть это описание."	"Исходная рекомендация отмечена для полного редакторского перечтения: замена регистра сама по себе не закрывает языковую проверку."
"patchouli-lang:botania:botania.page.pureDaisy0"	"sha256:258370733e319a9a2d033800c9b71505c0b4aa08d0bbd40830882564bc339194"	"CHANGE"	"$(item)Чистая Маргаритка$(0) — не только самый простой, но и самый важный цветок для ботаника.$(p)Этот цветок превращает соседние блоки $(item)Дерева$(0) и $(item)Камня$(0) (как показано на следующей странице) в $(item)Жизнедерево$(0) и $(item)Жизнекамень$(0). Эти материалы пригодятся вам для создания множества предметов."	"Ошибка «для создании» и неестественная конструкция."
"patchouli-lang:botania:botania.page.runeAltar21"	"sha256:4e485dfcd46478aaaf2f36058c7c1412b42040fe23760bfe74b85e3cf94bc24d"	"CHANGE"	"Создание рун - это довольно важный шаг в развитии ботанической магии. И чтобы узнать, как их создавать, вам, в первую очередь, нужно хорошо понимать, как управлять маной. Поэтому прежде чем продолжить, прочитайте важные статьи в разделе $(thing)Управление маной$(0) (написаны $(o)Курсивом$(0))."	"Исходная рекомендация отмечена для полного редакторского перечтения: замена регистра сама по себе не закрывает языковую проверку."
"patchouli-lang:botania:botania.page.runeAltar0"	"sha256:d61b0af49521c6a478d6a5163f0b4a6c1b3a2a56f30f6095e5a15dd0599daeac"	"CHANGE"	"$(item)Руны$(0) - это чрезвычайно важные компоненты, использующиеся в создании сложных магических устройств и продвинутой флоры. Чтобы их сделать, вам понадобится, как вы уже могли догадаться, $(item)Рунический алтарь$(0).$(p)Для начала разложите на нем предметы, необходимые для создания нужной руны, нажимая ими ПКМ по алтарю или просто бросая их на него."	"Исходная рекомендация отмечена для полного редакторского перечтения: замена регистра сама по себе не закрывает языковую проверку."
"patchouli-lang:botania:botania.page.runeAltar22"	"sha256:33b224ed10248813f3a633287948d5ca7ab0f986b164711e91a35bf7d889f7e0"	"CHANGE"	"Любые руны, используемые в рецептах на $(item)Руническом Алтаре$(0), служат катализаторами и возвращаются после завершения рецепта.$(p)Как и с $(l:basics/apothecary)$(item)Лепестковым Аптекарем$(0)$(/l), после завершения рецепта нажмите ПКМ по алтарю пустой рукой, чтобы достать ещё один набор предметов из последнего рецепта и быстрее создавать их в большом количестве."	"Потерян смысл ускоренного массового создания после завершения рецепта."
"patchouli-lang:botania:botania.page.terrasteel0"	"sha256:35fbb6d26f38a7a5a2fd63aff2253757cabab733d6fba6e66719bed0eb19669a"	"CHANGE"	"$(item)Террасталь$(0) - это сложный магический сплав, наполненный $(thing)маной$(0), для создания которого требуется немало усилий. Для начала вам нужно создать особую пластину (см. дальше) и поставить ее на структуру из $(item)Блоков лазурита$(0) и $(item)Жизнекамня$(0), расположенных в шахматном порядке. Также необходимо провести к этому блоку $(thing)ману$(0), и лучше всего делать это с помощью $(item)Искр$(0)."	"Исходная рекомендация отмечена для полного редакторского перечтения: замена регистра сама по себе не закрывает языковую проверку."
"patchouli-lang:botania:botania.page.terrasteel2"	"sha256:fc3018fa74b02a0701123575061d92994959bb0c4afb1daf5b28efb0148a44e2"	"CHANGE"	"Когда пластина готова принимать $(thing)ману$(0), бросьте на неё по одному $(item)слитку манастали, маналмазу и жемчужине маны$(0) — начнётся вливание маны. Если подобрать любой предмет, процесс прервётся и вся переданная пластине $(thing)мана$(0) будет потеряна. На одну $(thing)Террасталь$(0) уходит примерно половина $(item)Бассейна маны$(0); несколько $(item)Искр$(0) ускорят процесс."	"Потерян тяжёлый расход маны, неверное «ровно», пунктуация."
"patchouli-lang:botania:botania.page.wand1"	"sha256:6c1e3bb879758d25fde1d2c13e1ec6fc5c625f332c3ebb080e5550e9563ca2cc"	"CHANGE"	"Посох имеет два режима: $(thing)Режим привязки$(0) и $(thing)Режим управления$(0). Кликнув Shift+ПКМ по нужному блоку в $(thing)Режиме привязки$(0), вы выделите его. После этого, нажав Shift+ПКМ уже по другому блоку, вы привяжете их друг к другу. В $(thing)Режиме управления$(0) это сделать просто не получится.$(p)Переключить режим можно, кликнув Shift+ПКМ по воздуху."	"Исходная рекомендация отмечена для полного редакторского перечтения: замена регистра сама по себе не закрывает языковую проверку."
"patchouli-lang:botania:botania.page.welcome0"	"sha256:ca10ecd14f10bcf8db904b2b2ba165f53c7fabe5128319f432877208d4815799"	"CHANGE"	"$(o)Добро пожаловать в Ботанию! Поздравляю: привязать саженец к книге - отличная идея. Или, возможно, вы просто нашли этот том в сундуке. Как бы то ни было.$(p)$(o)Листайте книгу стрелками внизу страницы или колесом мыши."	"Исходная рекомендация отмечена для полного редакторского перечтения: замена регистра сама по себе не закрывает языковую проверку."
"patchouli-lang:botania:botania.page.auraRing0"	"sha256:335a4a5bb268c2a8e2815c340c4d8c4cb0126efc66d8b826546356b5b40ad6ad"	"CHANGE"	"$(item)Кольцо ауры$(0) немного отличается от обычного $(item)Кольца маны$(0). Вместо хранения $(thing)Маны$(0), оно медленно создаёт её и наполняет $(thing)Маной$(0) предметы в вашем инвентаре.$(p)Используя немного $(item)Террастали$(0) можно создать более мощное кольцо, которое генерирует $(thing)Ману$(0) значительно быстрее."	"Исходная рекомендация отмечена для полного редакторского перечтения: замена регистра сама по себе не закрывает языковую проверку."
"patchouli-lang:botania:botania.page.cosmeticBaubles32"	"sha256:695addd5e5c10d513dc237295602c0b4cb64a73c794739dc628f55ba1702ffff"	"CHANGE"	"Теперь вы тоже можете верить"	"Исходная рекомендация отмечена для полного редакторского перечтения: замена регистра сама по себе не закрывает языковую проверку."
"patchouli-lang:botania:botania.page.goddessCharm0"	"sha256:bd741d5af6342279268cba39b0a505ee58f212d6c9d430cefb9219498a18fd6b"	"CHANGE"	"$(item)Очарование доброжелательной богини$(0) - это защитная безделушка, которую можно носить в слоте $(thing)брелока$(0).$(p)При ношении потребляет $(thing)Ману$(0) и предотвращает любые взрывы рядом с вами."	"Исходная рекомендация отмечена для полного редакторского перечтения: замена регистра сама по себе не закрывает языковую проверку."
"patchouli-lang:botania:botania.page.invisibilityCloak0"	"sha256:b599286f8ed20bb1e9d3d420f8350001351f73249c3785bb7f3840f7900ff663"	"CHANGE"	"Для этой вещи не потребуется много объяснений.$(p)Это безделушка, которую можно носить в слоте $(thing)тела$(0). При ношении плащ будет потреблять небольшое количество $(thing)Маны$(0), накладывая на вас эффект невидимости."	"Исходная рекомендация отмечена для полного редакторского перечтения: замена регистра сама по себе не закрывает языковую проверку."
"patchouli-lang:botania:botania.page.itemFinder0"	"sha256:eb785810a35153dc993e294950e598e2ff8a2fb4fd0e1b46fba8d0fbd2e03b87"	"CHANGE"	"$(item)Спектатор$(0) — головная повязка, позволяющая лучше воспринимать окружающий мир. Когда её владелец держит предмет в руке, всё перечисленное ниже испускает разноцветные частицы, чтобы его было легче заметить:"	"Контрольный пример: нужен общий деятель и точный смысл частиц."
"patchouli-lang:botania:botania.page.itemFinder1"	"sha256:7c13e1d7228c14a64dcb3f603abe8f5a17a64546b5d544e26c988a91a141c2cd"	"CHANGE"	"$(li)$(thing)контейнеры$(0) (сундуки, вагонетки, печи и т. д.) с этим предметом,$(li)$(thing)выброшенные предметы$(0) этого типа,$(li)$(thing)мобы$(0) с этим предметом в снаряжении,$(li)$(thing)игроки$(0) или $(thing)вьючные животные$(0) (ламы, мулы и т. д.) с этим предметом в инвентаре,$(li)$(thing)жители$(0), торгующие этим предметом.$(p)Когда носитель крадётся, все выброшенные рядом предметы будут светиться независимо от предмета в руке."	"Контрольный список был фрагментом и терял условия подсветки."
"patchouli-lang:botania:botania.page.monocle0"	"sha256:dd5f13b88be2d3b263f544d758ebdcdc3040d1ecceff12d12113de6ce52968a5"	"CHANGE"	"Монокль - это удобный аксессуар для тех, кто хочет узнать, откуда идут $(thing)Всплески маны$(0). Монокль также позволит вам видеть все близлежащие $(thing)Всплески маны$(0) даже сквозь стены. Более важным, пожалуй, является то, что когда вы носите монокль и смотрите на цветок, вы сможете увидеть его зону действия."	"Исходная рекомендация отмечена для полного редакторского перечтения: замена регистра сама по себе не закрывает языковую проверку."
"patchouli-lang:botania:botania.page.speedUpBelt0"	"sha256:3d82597a71cd22c3ab8534b575df243b68c0d20f0b3caf9eafcc0aa199c71c66"	"CHANGE"	"$(item)Кушак ускорения$(0) является альтернативой $(item)Кушака Пилигрима$(0).$(p)По сравнению с $(item)Кушаком Пилигрима$(0), $(item)Кушак ускорения$(0) увеличивает скорость передвижения не сразу. Таким образом, чем больше вы ходите, тем вы быстрее. Если вы остановитесь, бонус ускорения будет сброшен."	"Исходная рекомендация отмечена для полного редакторского перечтения: замена регистра сама по себе не закрывает языковую проверку."
"patchouli-lang:botania:botania.page.speedUpBelt1"	"sha256:8b23e1bd67f7c6156360bb5724bae47c3b76457be8781eddf119f33c3ec14cc4"	"CHANGE"	"Если вы медленно передвигаетесь, вы Мироходец"	"Исходная рекомендация отмечена для полного редакторского перечтения: замена регистра сама по себе не закрывает языковую проверку."
"patchouli-lang:botania:botania.page.superLavaPendant1"	"sha256:78514c5f6d30a44b557932043041f638cb801f031045d58f2935678377eca677"	"CHANGE"	"Теперь вы можете принять лавовую ванну"	"Исходная рекомендация отмечена для полного редакторского перечтения: замена регистра сама по себе не закрывает языковую проверку."
"patchouli-lang:botania:botania.page.swapRing0"	"sha256:f6e94c7188dcdc97b1422e417da364e4e7becec388a80e6cbebe48413d6f28db"	"CHANGE"	"Переключение инструментов - это боль. Люди часто копают землю... киркой? Использование $(item)Кольца исправления$(0) - отличный способ избежать этого.$(p)При ношении кольцо будет самостоятельно менять инструменты у вас в руках для добычи блоков, но это будет работать только с теми инструментами, которые могут использовать $(thing)Ману$(0)."	"Исходная рекомендация отмечена для полного редакторского перечтения: замена регистра сама по себе не закрывает языковую проверку."
"patchouli-lang:botania:botania.page.tinyPlanet0"	"sha256:0c345c10448c78c66a6d6c13087e33f7c5c682bdccd0039434c0e0c33b646e0d"	"CHANGE"	"$(item)Микропланета$(0) это $(thing)безделушка$(0) с гравитационными свойствами. Когда $(item)Микропланета$(0) экипирована, она притянет ближайшие $(thing)Всплески маны$(0) к игроку, заставляя их двигаться по орбите вокруг него.$(p)Увеличив массу микропланеты с помощью $(item)Камня$(0), можно разместить её в мире с тем же эффектом."	"Исходная рекомендация отмечена для полного редакторского перечтения: замена регистра сама по себе не закрывает языковую проверку."
"patchouli-lang:botania:botania.page.forestEye0"	"sha256:ecf5ed2f202bfa6061d8d6f61ac2de49ff3a059ed8efc5ed891a75d16df4fe6d"	"CHANGE"	"Как и древние, которые использовали глаз, чтобы изучать мир в поиске живых существ, ваш $(item)Глаз Древних$(0), будет делать то же самое.$(p)Присоединённый к глазу $(item)Компаратор$(0), будет посылать Редстоун сигнал эквивалентный количеству животных находящихся рядом с ним."	"Исходная рекомендация отмечена для полного редакторского перечтения: замена регистра сама по себе не закрывает языковую проверку."
"patchouli-lang:botania:botania.page.hourglass4"	"sha256:ec8cc638338e383f46eba4d4e9f28a3656e53a8a28957573b2df2c50350ff723"	"CHANGE"	"Щелчок правой кнопкой мыши по блоку с помощью $(item)Посох леса$(0) блокирует (и разблокирует) его. Если вы заблокировали, песок не может быть добавлен или удален, на случай, если кто-то щелкнет его правой кнопкой мыши на аварии. $(p)Если $(thing)Всплеск маны$(0) сталкивается с блоком, это остановит поток песка и остановит таймер."	"Исходная рекомендация отмечена для полного редакторского перечтения: замена регистра сама по себе не закрывает языковую проверку."
"patchouli-lang:botania:botania.page.blackHoleTalisman2"	"sha256:5f77a2dec3d4479677fb0a713967210e4ffcfd12b066f8536f8ac424f23ed5bf"	"CHANGE"	"Любые блоки, хранящиеся в Талисмане, можно разместить, просто щёлкнув правой кнопкой мыши.$(p)Щелчок правой кнопкой мыши с зажатым Shift Талисманом по инвентарю вложит в него до одного стака блоков. Наконец, Талисман может снабдить $(l:tools/exchange_rod)$(item)Жезл обмена$(0)$(/l) блоками, которые он содержит."	"Исходная рекомендация отмечена для полного редакторского перечтения: замена регистра сама по себе не закрывает языковую проверку."
"patchouli-lang:botania:botania.page.dreadthorne1"	"sha256:e8aaaa65ef3f44d4408d4e6e07d0dbe099e258633d618f1330d120f2220e9917"	"CHANGE"	"$(o)Нет Mr.Бонд, Я жду, чтобы вы умерли$(0)."	"Исходная рекомендация отмечена для полного редакторского перечтения: замена регистра сама по себе не закрывает языковую проверку."
"patchouli-lang:botania:botania.page.flowerShrinking0"	"sha256:f7160a191b09df2d97348baaa0025e7dd5c969618534949f4419d189b20e5d05"	"CHANGE"	"Некоторые функциональные цветы имеют слишком большую зону действия. Бросив один из тех немногих цветов в $(item)Бассейн маны$(0) с $(item)Алхимическим катализатором$(0), вы уменьшите как сам цветок, так и его зону действия."	"Исходная рекомендация отмечена для полного редакторского перечтения: замена регистра сама по себе не закрывает языковую проверку."
"patchouli-lang:botania:botania.page.dandelifeon1"	"sha256:21929b1860fa0a383c4f47bd265617ae51afc0f485b99bbb7933fadb529b6d2a"	"CHANGE"	"Работа этого цветка основана на клеточном автомате $(thing)Игра ""Жизнь""$(0). Автомат действует на поле 25 × 25 с $(item)Жизнеодуванчиком$(0) в центре.$(p)Пока цветок получает сигнал красного камня, он обновляет автомат дважды в секунду."	"Опечатка, двойной пробел и калька «продвигать игру»."
"patchouli-lang:botania:botania.page.gIntro3"	"sha256:a14ac04882f63304bbe6f5b084c3ad21d41f465efd21443a6f5159f28a5494db"	"CHANGE"	"Выбрать первый $(thing)Генерирующий Цветок$(0) довольно просто: начинающему ботанику подойдут $(item)Эндопламя$(0) и $(item)Водогортензия$(0).$(p)Эндопламя использует $(item)Уголь$(0) и другое топливо для выработки $(thing)Маны$(0). Водогортензия использует источники $(item)Воды$(0), но примерно через три дня увядает."	"Пропущено увядание Водогортензии через три дня."
"patchouli-lang:botania:botania.page.munchdew2"	"sha256:d2b35693fd5846b493935c66514715fdeed0e7fefa4a7260dd5e319e3c8ba1c1"	"CHANGE"	"$(o)Ради продления своей жизни я принимаю вашу жизнь, жизнь растений~$(0)"	"Исходная рекомендация отмечена для полного редакторского перечтения: замена регистра сама по себе не закрывает языковую проверку."
"patchouli-lang:botania:botania.page.dreamwoodSpreader0"	"sha256:ce006e4b22c41ed648ca203762dd2c9259bf3901945b154e094634a57d5a4d89"	"CHANGE"	"$(item)Древесина мечтаний$(0) проводит $(thing)Ману$(0) лучше $(item)Жизнедерева$(0). Заменив медь $(item)Элементием$(0) в рецепте, вы получите Эльфийский $(item)Распространитель$(0): он передаёт больше $(thing)Маны$(0), быстрее и дольше без $(thing)Потери маны$(0). К сожалению, его нельзя превратить в импульсный $(item)Распространитель$(0)."	"Золото вместо меди, пропущены Эльфийский тип и запрет на импульсный вариант."
"patchouli-lang:botania:botania.page.mIntro1"	"sha256:cd51ba331c45b24bf05cd646708d91945eb8edd5119cabbf9b8571f51c10a69c"	"CHANGE"	"Чтобы получить $(thing)Ману$(0), вам понадобится некоторый набор цветов $(thing)Генерирующей флоры$(0) (см. соотв. раздел). $(thing)Ману$(0) можно передать при помощи $(item)Распространителей маны$(0) и хранить в $(item)Бассейнах маны$(0). Она понадобится для гигантского количества разных вещей... Например, для работы $(thing)Функциональных Цветов$(0) (см. одноим. раздел)."	"Исходная рекомендация отмечена для полного редакторского перечтения: замена регистра сама по себе не закрывает языковую проверку."
"patchouli-lang:botania:botania.page.manaMirror0"	"sha256:4cabfdea0b32a2e2a5c5cc14368dae4718d4985976a0e6cb7c905e43fc28b8ef"	"CHANGE"	"$(item)Зеркало маны$(0) — альтернатива предметам, хранящим $(thing)ману$(0), например $(item)Планшету маны$(0). После привязки к $(item)Бассейну маны$(0) предметы в инвентаре, которым нужна мана, будут брать её из него.$(p)Присядьте и нажмите зеркалом Shift+ПКМ по бассейну, чтобы связать их. Другими способами зеркало не может ни получать, ни отдавать ману бассейнам."	"Неразборчивое «мана-содержащим» и неестественное управление."
"patchouli-lang:botania:botania.page.manaTablet1"	"sha256:1df49deb03083e7792b871bc2445455ba3235db159740376d38398e39d0e1690"	"CHANGE"	"Бросьте один из таких $(item)Планшетов$(0) в $(item)Бассейн маны$(0), чтобы $(thing)мана$(0) могла перетекать между ними. Присядьте и нажмите $(item)Посохом Леса$(0) по бассейну (или используйте Раздатчик), чтобы сменить направление потока. В отличие от обычных предметов, выброшенный планшет никогда не исчезает."	"Калька «позволите мане перемещаться» и пропущены условия смены потока."
"patchouli-lang:botania:botania.page.manaVoid0"	"sha256:b793a8723408aca65993653ee3a4417da7cb7f4f0f986eeed2c8b18c1324a313"	"CHANGE"	"Говоря простым языком, $(item)Мана-пустота$(0) - это могила для $(thing)маны$(0). Любая $(thing)мана$(0), попавшая в этот блок, просто испарится в пустоте и больше не вернется назад.$(p)Поставив один такой блок под $(item)Бассейн маны$(0), вы позволите бассейну все также принимать $(thing)ману$(0), но уничтожать ту, которая в него не помещается."	"Исходная рекомендация отмечена для полного редакторского перечтения: замена регистра сама по себе не закрывает языковую проверку."
"patchouli-lang:botania:botania.page.manastar0"	"sha256:f827bea6c37c24779acb5d4dfb4db75431423422fae8ad5cf847e9092b1336c0"	"CHANGE"	"Из-за неточности измерений $(item)Посох Леса$(0) порой не даст ответа на вопрос, увеличивается ли количество маны в $(item)Бассейнах$(0) или уменьшается. Создав $(item)Звезду маны$(0) и поставив ее вплотную к бассейну, вы увидите, что при уменьшении маны она будет испускать красные частицы, а при увеличении - синие. Измерения происходят каждые несколько секунд."	"Исходная рекомендация отмечена для полного редакторского перечтения: замена регистра сама по себе не закрывает языковую проверку."
"patchouli-lang:botania:botania.page.sparkChanger0"	"sha256:2e530260dd3b4bfece1134a929ec3dee1dba30e5b9adad8d02689183b173bf6d"	"CHANGE"	"$(item)Искра ремесленника$(0) — блок, который изменяет $(item)Дополнения$(0), установленные на $(item)Искрах$(0). Поставьте его рядом с $(item)Бассейном маны$(0) или другим блоком с прикреплённой Искрой, чтобы подключить его к этому блоку.$(p)Нажмите ПКМ по Искре ремесленника, держа $(item)Дополнение для искр$(0), чтобы поместить его внутрь; повторное нажатие ПКМ извлечёт дополнение."	"Опечатка, несогласование и неполная инструкция."
"patchouli-lang:botania:botania.page.sparks3"	"sha256:c57a40de3e07a327462d3f6349797136d23cff3310eb40010e6a81a272d55b16"	"CHANGE"	"$(item)Искры$(0) можно окрашивать красителями; Искры разного цвета никогда не взаимодействуют. $(item)Призрачные чернила$(0) сделают Искру почти прозрачной, если она кажется слишком заметной."	"Пропущена окраска Искр и правило невзаимодействия цветов."
"patchouli-lang:botania:botania.page.spreader0"	"sha256:fdd90b91ad4f2e7785d64e7fe3ae09ca0beeabb4548152b4c3ce91f2ddf32bb8"	"CHANGE"	"$(item)Распространитель Маны$(0) - это самый важный компонент в деле $(thing)Управления Маной$(0).$(p)Этот блок перемещает $(thing)Ману$(0) из точки А в точку Б. При размещении он смотрит в одну из шести сторон, но щелчок Shift+ПКМ $(l:basics/wand)$(item)Посохом леса$(0)$(/l) повернёт $(item)Распространитель маны$(0) в противоположную от вашего нажатия сторону. Он также может быть направлен на блоки посохом в $(thing)Режиме привязки$(0)"	"Исходная рекомендация отмечена для полного редакторского перечтения: замена регистра сама по себе не закрывает языковую проверку."
"patchouli-lang:botania:botania.page.spreader10"	"sha256:236f6070b6d28960ad4ea00397264f79499ab9d2aee1f9c217279061cf1bffab"	"CHANGE"	"Нажмите ПКМ по распространителю, держа $(item)Шерсть$(0), чтобы обшить его. Шерсть не только украшает распространитель, но и приглушает звук при выпуске сгустка маны, что уменьшает шум от нескольких распространителей в одном месте. Повторное нажатие ПКМ пустой рукой снимет обшивку."	"Сокращение «распр-телей» и неверный игровой термин."
"patchouli-lang:botania:botania.page.cacophonium2"	"sha256:be8b9ffc1d92e5c633ae10c107fdac920357700c508bbe4cb72fb5ef2eb94867"	"CHANGE"	"Для полной какофонии присядьте и нажмите ПКМ по $(item)Нотному блоку$(0), чтобы поместить в него Какафоний: блок сможет по требованию воспроизводить звуки животных и монстров.$(p)Ну и чудовище же вы!"	"Смысл инвертирован: звуки воспроизводятся, а не отключаются."
"patchouli-lang:botania:botania.page.decorativeBlocks0"	"sha256:7ac3f53efcf36bff0fd8b769c1f62b7b78438d197685e26341caa5ce80afc247"	"CHANGE"	"Чтобы сделать ваши строения намного красивее, доступно довольно много декоративных блоков.$(p)Можно превратить блоки $(item)Жизнедерева$(0) и $(item)Жизнекамня$(0) в декоративные блоки. Каждый из них имеет 4 разные вариации."	"Исходная рекомендация отмечена для полного редакторского перечтения: замена регистра сама по себе не закрывает языковую проверку."
