"id"	"source_hash"	"old_translation"	"new_translation"	"reason"	"independent_review"	"reviewer"	"initial_new_translation"	"review_notes"
"ie-manual:immersiveengineering:lightning_rod.txt:line:4"	"sha256:8815ad4cf0316879c54495fc73102e95428afdf090db700cffa59b091f20292c"	"При ударе по стальному столбу огромное количество энергии накапливается в основании Молниеотвода, а затем медленно распределяется по энергетическим выходам по бокам."	"При ударе по стальному столбу огромное количество энергии накапливается в основании Молниеотвода, а затем медленно распределяется по боковым энергетическим выходам."	"Ошибочный PASS: повтор «по ... по» ухудшает естественность."	"APPROVED"	"/root/checkpoint12_second_review"	"При ударе по стальному столбу огромное количество энергии накапливается в основании Молниеотвода, а затем медленно распределяется по боковым энергетическим выходам."	"SHARED_CATALOG_PROPAGATION"
"patchouli-lang:botania:botania.entry.gardenOfGlass"	"sha256:dc82805e37fd743712ba0301c64f6fdd4c6368bd43c7866123f50575568aadde"	"Стеклянный cад"	"Стеклянный сад"	"Латинская c подменяет кириллическую «с»."	"APPROVED"	"/root/checkpoint12_second_review"	"Стеклянный сад"	"SECOND_LANGUAGE_REVIEW"
"patchouli-lang:botania:botania.page.gardenOfGlass0"	"sha256:eb2b9107e2de1464c899773808b4556e9f19af0176f782008b62e4b1f533fe20"	"В $(2)стеклянном cаду$(0) никто не услышит ваш крик. $(p)Вы одиноки в космосе.$(p)Как захватывающе."	"В $(2)стеклянном саду$(0) никто не услышит ваш крик. $(p)Вы одиноки в космосе.$(p)Как захватывающе."	"Латинская c подменяет кириллическую «с»."	"APPROVED"	"/root/checkpoint12_second_review"	"В $(2)стеклянном саду$(0) никто не услышит ваш крик. $(p)Вы одиноки в космосе.$(p)Как захватывающе."	"SECOND_LANGUAGE_REVIEW"
"patchouli-lang:botania:botania.page.gardenOfGlass14"	"sha256:17ed0a948b3e9bd07b605e434d47084703d621904ec3170bd8efaa2270c1c0f5"	"Создание $(item)cердца моря$(0)"	"Создание $(item)сердца моря$(0)"	"Латинская c подменяет кириллическую «с»."	"APPROVED"	"/root/checkpoint12_second_review"	"Создание $(item)сердца моря$(0)"	"SECOND_LANGUAGE_REVIEW"
"patchouli-lang:botania:botania.page.runeAltar20"	"sha256:2e7221139f4c6f5bb33316b9ee6c83997fbde6d78c103736d3ef634a06e3d51a"	"Можно вернуть обратно последний выложенный предмет, если нажать [$(k:use)] пустой рукой (или [$(k:sneak)+$(k:use)] не пустой) по $(item)руническому алтарю$(0).$(p)Также, подсоединённый к алтарю $(item)редстоуновый компаратор$(0) будет выдавать сигнал силы $(thing)1$(0), если алтарь принимает $(thing)ману$(0), и силой $(thing)2$(0), если он заполнен и может начать создание руны."	"Нажмите пустой рукой по $(item)руническому алтарю$(0), когда он не принимает ману, чтобы забрать последний добавленный предмет.$(p)Подключённый $(item)редстоуновый компаратор$(0) выдаёт сигнал силой $(thing)1$(0), когда алтарь принимает $(thing)ману$(0), и силой $(thing)2$(0), когда он готов создать руну."	"Удалено отсутствующее в английском источнике альтернативное действие с предметом в руке."	"APPROVED"	"/root/checkpoint12_second_review"	"Нажмите пустой рукой по $(item)руническому алтарю$(0), когда он не принимает ману, чтобы забрать последний добавленный предмет.$(p)Подключённый $(item)редстоуновый компаратор$(0) выдаёт сигнал силой $(thing)1$(0), когда алтарь принимает $(thing)ману$(0), и силой $(thing)2$(0), когда он готов создать руну."	"SECOND_LANGUAGE_REVIEW"
"patchouli-lang:botania:botania.page.runeAltar22"	"sha256:33b224ed10248813f3a633287948d5ca7ab0f986b164711e91a35bf7d889f7e0"	"Любые руны, используемые в рецептах создания на $(item)руническом алтаре$(0), действуют лишь в качестве катализаторов и не тратятся после завершения создания.$(p)Как и с $(l:basics/apothecary)лепестковой чашей$(/l), нажав [$(k:use)] по алтарю пустой рукой, вы выложите на него те предметы, что использовались в последнем рецепте."	"Руны в рецептах $(item)рунического алтаря$(0) служат катализаторами и возвращаются после создания руны.$(p)Как и с $(l:basics/apothecary)лепестковой чашей$(/l), после завершения рецепта нажмите [$(k:use)] пустой рукой по алтарю, чтобы сразу добавить новый набор предметов из прошлого рецепта и ускорить массовое создание."	"Пропущены условие после завершения рецепта и назначение быстрого массового создания; порядок слов в первой фразе неестественен."	"APPROVED"	"/root/checkpoint12_second_review"	"Руны в рецептах $(item)рунического алтаря$(0) служат катализаторами и возвращаются после создания руны.$(p)Как и с $(l:basics/apothecary)лепестковой чашей$(/l), после завершения рецепта нажмите [$(k:use)] пустой рукой по алтарю, чтобы сразу добавить новый набор предметов из прошлого рецепта и ускорить массовое создание."	"SECOND_LANGUAGE_REVIEW"
"patchouli-lang:botania:botania.page.welcome0"	"sha256:ca10ecd14f10bcf8db904b2b2ba165f53c7fabe5128319f432877208d4815799"	"$(o)Добро пожаловать! Поздравляю вас с прекрасным решением соединить на верстаке саженец и книгу! Ну или найти этот том в сундуке. Можно и так, и так!$(p)$(o)Кстати, эту книгу можно листать используя стрелки внизу книги, колесо мыши или стрелки на клавиатуре."	"$(o)Добро пожаловать в Ботанию! Поздравляю с прекрасным решением соединить саженец и книгу. Или с тем, что вы просто нашли этот том в сундуке — смотря что произошло.$(p)$(o)Перелистывайте страницы стрелками внизу или колёсиком мыши."	"Устранены лишнее «Кстати», пропущенное обособление и неестественное описание навигации."	"APPROVED"	"/root/checkpoint12_second_review"	"$(o)Добро пожаловать в Ботанию! Поздравляю с прекрасным решением соединить саженец и книгу. Или с тем, что вы просто нашли этот том в сундуке — смотря что произошло.$(p)$(o)Перелистывайте страницы стрелками внизу или колёсиком мыши."	"SECOND_LANGUAGE_REVIEW"
"patchouli-lang:botania:botania.page.itemFinder0"	"sha256:eb785810a35153dc993e294950e598e2ff8a2fb4fd0e1b46fba8d0fbd2e03b87"	"$(item)Обруч шестого чувства$(0) — это аксессуар на голову, позволяющий носителю лучше ощущать окружающий мир. Удерживая в руке какой-либо предмет, все похожие предметы будут подсвечены зелёными частицами. Сканируются следующие места:$(li)$(thing)контейнеры$(0) (сундуки, вагонетки, печи и так далее);"	"$(item)Обруч шестого чувства$(0) — это повязка на голову, которая позволяет владельцу лучше воспринимать окружающий мир. Когда владелец держит предмет, перечисленные ниже объекты испускают разноцветные частицы, чтобы их было проще заметить:$(li)$(thing)контейнеры$(0) (сундуки, вагонетки, печи и так далее);"	"Устранён деепричастный оборот без общего деятеля; зелёные частицы исправлены на разноцветные."	"APPROVED"	"/root/checkpoint12_second_review"	"$(item)Обруч шестого чувства$(0) — это повязка на голову, которая позволяет владельцу лучше воспринимать окружающий мир. Когда владелец держит предмет, перечисленные ниже объекты испускают разноцветные частицы, чтобы их было проще заметить:$(li)$(thing)контейнеры$(0) (сундуки, вагонетки, печи и так далее);"	"SECOND_LANGUAGE_REVIEW"
"patchouli-lang:botania:botania.challenge.spectrolusSetup"	"sha256:9c77f87e8dcc62a0da6cd92f5c0d9afd284561472b170b9a5bb0b510111ee3a3"	"Автономный cпектролис"	"Автономный спектролис"	"Латинская c подменяет кириллическую «с»."	"APPROVED"	"/root/checkpoint12_second_review"	"Автономный спектролис"	"SECOND_LANGUAGE_REVIEW"
"patchouli-lang:botania:botania.entry.spectranthemum"	"sha256:debb521f2653d70f4d83da65e25e6edda8314ef6e78c15316a31e5cd6a7dc1a2"	"Cпектрантема"	"Спектрантема"	"Латинская C подменяет кириллическую «С»."	"APPROVED"	"/root/checkpoint12_second_review"	"Спектрантема"	"SECOND_LANGUAGE_REVIEW"
