"id"	"source_hash"	"verdict"	"recommendation"	"reason"	"checked_dimensions"	"reviewer"	"method"
"ie-manual-lang:immersiveengineering:manual.immersiveengineering.energy"	"sha256:1ca6bcd94914da13f8e9e47585e29b46f169e8950a6c0eebdba2180e61e93cf4"	"PASS"	""	""	"PUNCT|GRAMMAR|SYNTAX|GOVERNMENT|COLLOCATION|COHERENCE|CALQUE|WORD_ORDER|NATURALNESS|TERMINOLOGY|REGISTER"	"/root/original_language_editor_b"	"blind_full_context_original_review_b"
"patchouli-lang:actuallyadditions:booklet.actuallyadditions.indexEntry.getting_started"	"sha256:d00eca1bae6742803906ab42a831e8b5396d15b6573ea13c139ec31631208ec1"	"PASS"	""	""	"PUNCT|GRAMMAR|SYNTAX|GOVERNMENT|COLLOCATION|COHERENCE|CALQUE|WORD_ORDER|NATURALNESS|TERMINOLOGY|REGISTER"	"/root/original_language_editor_b"	"blind_full_context_original_review_b"
"patchouli-lang:actuallyadditions:booklet.actuallyadditions.chapter.crystals"	"sha256:83e184e664fca24cb9385178051223ccb78a66a8110fe52714e99f03f05419cc"	"PASS"	""	""	"PUNCT|GRAMMAR|SYNTAX|GOVERNMENT|COLLOCATION|COHERENCE|CALQUE|WORD_ORDER|NATURALNESS|TERMINOLOGY|REGISTER"	"/root/original_language_editor_b"	"blind_full_context_original_review_b"
"patchouli-lang:actuallyadditions:booklet.actuallyadditions.chapter.crystals.text.1"	"sha256:b04132de15f64eda4510bd207ceb233637bf8816fc92a23f4fcb4397408f0fde"	"PASS"	""	""	"PUNCT|GRAMMAR|SYNTAX|GOVERNMENT|COLLOCATION|COHERENCE|CALQUE|WORD_ORDER|NATURALNESS|TERMINOLOGY|REGISTER"	"/root/original_language_editor_b"	"blind_full_context_original_review_b"
"patchouli-lang:actuallyadditions:booklet.actuallyadditions.chapter.crystals.text.2"	"sha256:0390a171af91e4219d84d7b0783e13c855e5c975740827db17a40a404156a999"	"PASS"	""	""	"PUNCT|GRAMMAR|SYNTAX|GOVERNMENT|COLLOCATION|COHERENCE|CALQUE|WORD_ORDER|NATURALNESS|TERMINOLOGY|REGISTER"	"/root/original_language_editor_b"	"blind_full_context_original_review_b"
"patchouli-lang:actuallyadditions:booklet.actuallyadditions.chapter.crystals.text.3"	"sha256:c8062ab0571e7b40ca76517fcbbfcf6ac3438e9df19b09ff33b85763f3816010"	"PASS"	""	""	"PUNCT|GRAMMAR|SYNTAX|GOVERNMENT|COLLOCATION|COHERENCE|CALQUE|WORD_ORDER|NATURALNESS|TERMINOLOGY|REGISTER"	"/root/original_language_editor_b"	"blind_full_context_original_review_b"
"patchouli-lang:actuallyadditions:booklet.actuallyadditions.chapter.crystals.text.5"	"sha256:611bf24d56813e3d1f0e40a7f9f628e4d6be75169e38f22a2dbea0c99d4bd02c"	"PASS"	""	""	"PUNCT|GRAMMAR|SYNTAX|GOVERNMENT|COLLOCATION|COHERENCE|CALQUE|WORD_ORDER|NATURALNESS|TERMINOLOGY|REGISTER"	"/root/original_language_editor_b"	"blind_full_context_original_review_b"
"patchouli-lang:actuallyadditions:booklet.actuallyadditions.chapter.crystals.text.6"	"sha256:a36b3f3f6cd2b50b8090e2c260a567dc173aafa0f5c7e4317b6c72cc5a9532b2"	"PASS"	""	""	"PUNCT|GRAMMAR|SYNTAX|GOVERNMENT|COLLOCATION|COHERENCE|CALQUE|WORD_ORDER|NATURALNESS|TERMINOLOGY|REGISTER"	"/root/original_language_editor_b"	"blind_full_context_original_review_b"
"patchouli-lang:actuallyadditions:booklet.actuallyadditions.reconstructor_recipe"	"sha256:c7fda940e457aba2420594e53da923c6d2465d3c1641f07f48f99ad6455f4386"	"PASS"	""	""	"PUNCT|GRAMMAR|SYNTAX|GOVERNMENT|COLLOCATION|COHERENCE|CALQUE|WORD_ORDER|NATURALNESS|TERMINOLOGY|REGISTER"	"/root/original_language_editor_b"	"blind_full_context_original_review_b"
"patchouli-lang:actuallyadditions:booklet.actuallyadditions.chapter.engineer_house"	"sha256:ed4f7455b8e619a22bd67b8e25d87e9e923596e1a5042639e2aeaaa5bdccf87c"	"PASS"	""	""	"PUNCT|GRAMMAR|SYNTAX|GOVERNMENT|COLLOCATION|COHERENCE|CALQUE|WORD_ORDER|NATURALNESS|TERMINOLOGY|REGISTER"	"/root/original_language_editor_b"	"blind_full_context_original_review_b"
