id	source_hash	translation
quest-task:021C50BEE88E0B07:29B5E3BFD5FBF7D5:title	sha256:72c1a821752bc4f2c9f3bcc489058cf00804ac9cfa4fa91bd487347f40904c66	Посетите Незер
quest-task:07122161E18E96C1:50A47622AC51ADE4:title	sha256:2c3a22743c8dc74d99e8afd079666a60a65238ba2ae351838b9dcf35485fb38b	Я обрёл знание
quest-task:32CA69C5AF2D65AA:7FCD69F562A86552:title	sha256:4b2c1ebe994d3779e767b60a3ecb1253368c6d174191e3ae45b3fe43a7cb9ff6	Я жажду знаний
quest:021C50BEE88E0B07:description:0	sha256:646fed75836278b3c9289c34303230260041312e81424e9975c26271fb0a1d03	Портал можно создать из десяти вёдер лавы и одного ведра воды.
quest:021C50BEE88E0B07:description:2	sha256:e9a2aebbe8e82f5fd835af709bae56301acab01998061ec6def422ec2a6a2ce7	Через Незер можно быстро добираться в разные места Backrooms. Учтите: портал всегда нужно строить из Backrooms в Незер.
quest:021C50BEE88E0B07:subtitle	sha256:6d529d8a3c544b572b67d9ceb4e9bf45344a4b1a52e5726700bc049095c6574f	Ожидали чего-то другого?
quest:08AA2EDF465DE029:description:2	sha256:4faf0605bbb85688004fa5a3d434c81286ec48bc806f1c0b9869dfb62338ad21	Чтобы завершить ритуал, придётся пожертвовать здоровьем любого моба. Если рядом нет других мобов, ритуал отнимет здоровье у ближайшего игрока.
quest:0FFB86B741255547:description:0	sha256:cfc9edc95fa148564e20daf785eeb8a0322642c50f4c1f404713baf90ed0200e	С этой установкой можно бесконечно производить железо.
quest:0FFB86B741255547:description:2	sha256:6d35c46afa735424fb6a549899e0816ce085bed8374855512360600e748c9c3e	Стоит проложить через Незер железнодорожную сеть для сбора кримзита.
quest:12F6EDB7B3074DBA:subtitle	sha256:340fc51c3ba6e2dc9f2f15e178339c99a05bd5325fc8aaf8fb08461ec1943f76	Спрятано в Бесконечной библиотеке
quest:14AF78F1E790FC36:subtitle	sha256:7eb1dd8efb885e078e4bd5f770397047a9ec24d4f5fc6f928b76d8ef2052d776	Возродитесь из пепла
quest:21DFDC2132AC4257:subtitle	sha256:6d8a953de33739e6e37d4a4c970dfe14d04463211fdb8a441cb69431bff36420	Симулятор уборки
quest:240D7B64E63FCE4F:description:0	sha256:1c458e226dd89e991410cffa1fb88d133e957bed5fd5772a38a5e85c5347ac59	Вы также можете устранить нанесённый Backrooms ущерб:
