"id"	"source_hash"	"verdict"	"recommendation"	"reason"	"adjudicator"	"notes"
"patchouli-lang:botania:botania.entry.gardenOfGlass"	"sha256:dc82805e37fd743712ba0301c64f6fdd4c6368bd43c7866123f50575568aadde"	"CHANGE"	"Стеклянный сад"	"Латинская c подменяет кириллическую «с»."	"/root/rescripted_language_adjudicator"	"Выбрана рекомендация редактора B: Латинская c подменяет кириллическую «с»."
"patchouli-lang:botania:botania.page.gardenOfGlass0"	"sha256:eb2b9107e2de1464c899773808b4556e9f19af0176f782008b62e4b1f533fe20"	"CHANGE"	"В $(2)стеклянном саду$(0) никто не услышит ваш крик. $(p)Вы одиноки в космосе.$(p)Как захватывающе."	"Латинская c подменяет кириллическую «с»."	"/root/rescripted_language_adjudicator"	"Выбрана рекомендация редактора B: Латинская c подменяет кириллическую «с»."
"patchouli-lang:botania:botania.page.gardenOfGlass14"	"sha256:17ed0a948b3e9bd07b605e434d47084703d621904ec3170bd8efaa2270c1c0f5"	"CHANGE"	"Создание $(item)сердца моря$(0)"	"Латинская c подменяет кириллическую «с»."	"/root/rescripted_language_adjudicator"	"Выбрана рекомендация редактора B: Латинская c подменяет кириллическую «с»."
"patchouli-lang:botania:botania.page.runeAltar20"	"sha256:2e7221139f4c6f5bb33316b9ee6c83997fbde6d78c103736d3ef634a06e3d51a"	"CHANGE"	"Нажмите [$(k:use)] пустой рукой (либо [$(k:sneak)+$(k:use)] с предметом в руке) по $(item)руническому алтарю$(0), когда он не принимает ману, чтобы забрать последний добавленный предмет.$(p)Подключённый $(item)редстоуновый компаратор$(0) выдаёт сигнал силой $(thing)1$(0), когда алтарь принимает $(thing)ману$(0), и силой $(thing)2$(0), когда он готов создать руну."	"Добавлено неоговорённое действие с приседанием, а «сигнал силы» и «может начать создание» неестественны для игрового интерфейса."	"/root/rescripted_language_adjudicator"	"Выбрана рекомендация редактора A: Добавлено неоговорённое действие с приседанием, а «сигнал силы» и «может начать создание» неестественны для игрового интерфейса."
"patchouli-lang:botania:botania.page.runeAltar22"	"sha256:33b224ed10248813f3a633287948d5ca7ab0f986b164711e91a35bf7d889f7e0"	"CHANGE"	"Руны в рецептах $(item)рунического алтаря$(0) служат катализаторами и возвращаются после создания руны.$(p)Как и с $(l:basics/apothecary)лепестковой чашей$(/l), после завершения рецепта нажмите [$(k:use)] пустой рукой по алтарю, чтобы сразу добавить новый набор предметов из прошлого рецепта и ускорить массовое создание."	"Пропущены условие после завершения рецепта и назначение быстрого массового создания; порядок слов в первой фразе неестественен."	"/root/rescripted_language_adjudicator"	"Выбрана рекомендация редактора A: Пропущены условие после завершения рецепта и назначение быстрого массового создания; порядок слов в первой фразе неестественен."
"patchouli-lang:botania:botania.page.welcome0"	"sha256:ca10ecd14f10bcf8db904b2b2ba165f53c7fabe5128319f432877208d4815799"	"CHANGE"	"$(o)Добро пожаловать в Ботанию! Поздравляю с прекрасным решением соединить саженец и книгу. Или с тем, что вы просто нашли этот том в сундуке — смотря что произошло.$(p)$(o)Перелистывайте страницы стрелками внизу или колёсиком мыши."	"Устранены лишнее «Кстати», пропущенное обособление и неестественное описание навигации."	"/root/rescripted_language_adjudicator"	"Формулировка доведена до естественного русского после checkpoint-review."
"patchouli-lang:botania:botania.page.itemFinder0"	"sha256:eb785810a35153dc993e294950e598e2ff8a2fb4fd0e1b46fba8d0fbd2e03b87"	"CHANGE"	"$(item)Обруч шестого чувства$(0) — это повязка на голову, которая позволяет владельцу лучше воспринимать окружающий мир. Когда владелец держит предмет, перечисленные ниже объекты испускают разноцветные частицы, чтобы их было проще заметить:$(li)$(thing)контейнеры$(0) (сундуки, вагонетки, печи и так далее);"	"Устранён деепричастный оборот без общего деятеля; зелёные частицы исправлены на разноцветные."	"/root/rescripted_language_adjudicator"	"Формулировка доведена до естественного русского после checkpoint-review."
"patchouli-lang:botania:botania.challenge.spectrolusSetup"	"sha256:9c77f87e8dcc62a0da6cd92f5c0d9afd284561472b170b9a5bb0b510111ee3a3"	"CHANGE"	"Автономный спектролис"	"Латинская c подменяет кириллическую «с»."	"/root/rescripted_language_adjudicator"	"Выбрана рекомендация редактора B: Латинская c подменяет кириллическую «с»."
"patchouli-lang:botania:botania.entry.spectranthemum"	"sha256:debb521f2653d70f4d83da65e25e6edda8314ef6e78c15316a31e5cd6a7dc1a2"	"CHANGE"	"Спектрантема"	"Латинская C подменяет кириллическую «С»."	"/root/rescripted_language_adjudicator"	"Выбрана рекомендация редактора B: Латинская C подменяет кириллическую «С»."
"patchouli-lang:botania:botania.page.dandelifeon7"	"sha256:5e820e495d06511fca1c256c0f0e5d573845c414b928c2eb99324a608e0ac338"	"CHANGE"	"$(item)Клеточные блоки$(0) создаются из $(item)кактусов$(0), $(item)моркови$(0), $(item)картошки$(0) и $(item)свёклы$(0) и чрезвычайно хрупки. Их нельзя собрать даже с чарами «$(thing)Шёлковое касание$(0)» и нельзя сдвинуть $(item)поршнем$(0). $(item)Жизнеодуванчик$(0) не будет создавать их на позициях, где нет воздуха (т.е. стоит какой-то другой блок).$(p)За пределами зоны действия $(item)жизнеодуванчика$(0) они не имеют никаких особых свойств."	"Латинская c подменяет кириллическую «с»; лишняя запятая разделяет подлежащее и сказуемое."	"/root/rescripted_language_adjudicator"	"Выбрана рекомендация редактора B: Латинская c подменяет кириллическую «с»; лишняя запятая разделяет подлежащее и сказуемое."
