namespace	key	en_us	current_ru	proposed_ru	reason
advanced_ae	item.advanced_ae.advanced_io_bus_part	ME Advanced IO Bus	ME Advanced IO Bus	Продвинутая шина ввода-вывода МЭ	В ru_ru оставлено переводимое английское название.
advanced_ae	item.advanced_ae.quantum_crafter_terminal	Quantum Crafter Terminal	Quantum Crafter Terminal	Квантовый терминал изготовления	В ru_ru оставлено переводимое английское название.
advanced_ae	block.advanced_ae.quantum_structure	Quantum Computer Structural Glass	Quantum Computer Structural Glass	Структурное стекло квантового компьютера	В ru_ru оставлено переводимое английское название.
ae2	block.ae2.crystal_resonance_generator	Crystal Resonance Generator		Генератор кристаллического резонанса	Русское название отсутствует.
beachparty	item.beachparty.beach_ball	Beach Ball	Beach Ball	Пляжный мяч	В ru_ru оставлено переводимое английское название.
beachparty	block.beachparty.beach_chair	Beach Chair	Beach Chair	Пляжное кресло	В ru_ru оставлено переводимое английское название.
beachparty	block.beachparty.beach_goal	Beach Goal	Beach Goal	Пляжные ворота	В ru_ru оставлено переводимое английское название.
beachparty	block.beachparty.beachparty_banner	Completionist Banner: §eBeachparty	Completionist Banner: §eBeachparty	Знамя мастера: §eBeachparty	В ru_ru оставлено переводимое английское название.
beachparty	block.beachparty.palm_bar_stool	Palm Bar Stool	Palm Bar Stool	Пальмовый барный стул	В ru_ru оставлено переводимое английское название.
beachparty	item.beachparty.palm_boat	Palm Boat	Palm Boat	Пальмовая лодка	В ru_ru оставлено переводимое английское название.
beachparty	block.beachparty.palm_button	Palm Button	Palm Button	Пальмовая кнопка	В ru_ru оставлено переводимое английское название.
beachparty	block.beachparty.palm_cabinet	Palm Cabinet	Palm Cabinet	Пальмовый шкафчик	В ru_ru оставлено переводимое английское название.
beachparty	item.beachparty.palm_chest_boat	Palm Chest Boat	Palm Chest Boat	Грузовая пальмовая лодка	В ru_ru оставлено переводимое английское название.
beachparty	block.beachparty.palm_door	Palm Door	Palm Door	Пальмовая дверь	В ru_ru оставлено переводимое английское название.
beachparty	block.beachparty.palm_fence	Palm Fence	Palm Fence	Пальмовый забор	В ru_ru оставлено переводимое английское название.
beachparty	block.beachparty.palm_fence_gate	Palm Fence Gate	Palm Fence Gate	Пальмовая калитка	В ru_ru оставлено переводимое английское название.
beachparty	block.beachparty.palm_floorboard	Palm Floorboard	Palm Floorboard	Пальмовый настил	В ru_ru оставлено переводимое английское название.
beachparty	block.beachparty.palm_glass	Palm Glass	Palm Glass	Пальмовое стекло	В ru_ru оставлено переводимое английское название.
beachparty	block.beachparty.palm_glass_pane	Palm Glass Pane	Palm Glass Pane	Панель из пальмового стекла	В ru_ru оставлено переводимое английское название.
beachparty	block.beachparty.palm_hanging_sign	Palm Hanging Sign	Palm Hanging Sign	Пальмовая подвесная табличка	В ru_ru оставлено переводимое английское название.
beachparty	block.beachparty.palm_leaves	Palm Leaves	Palm Leaves	Пальмовые листья	В ru_ru оставлено переводимое английское название.
beachparty	block.beachparty.palm_log	Palm Log	Palm Log	Пальмовое бревно	В ru_ru оставлено переводимое английское название.
beachparty	block.beachparty.palm_planks	Palm Planks	Palm Planks	Пальмовые доски	В ru_ru оставлено переводимое английское название.
beachparty	block.beachparty.palm_pressure_plate	Palm Pressure Plate	Palm Pressure Plate	Пальмовая нажимная плита	В ru_ru оставлено переводимое английское название.
beachparty	block.beachparty.palm_sign	Palm Sign	Palm Sign	Пальмовая табличка	В ru_ru оставлено переводимое английское название.
beachparty	block.beachparty.palm_slab	Palm Slab	Palm Slab	Пальмовая плита	В ru_ru оставлено переводимое английское название.
beachparty	block.beachparty.palm_stairs	Palm Stairs	Palm Stairs	Пальмовые ступеньки	В ru_ru оставлено переводимое английское название.
beachparty	block.beachparty.palm_table	Palm Table	Palm Table	Пальмовый стол	В ru_ru оставлено переводимое английское название.
beachparty	item.beachparty.palm_torch_item	Palm Torch Item		Пальмовый факел	Русское название отсутствует; en_us восстановлен по ID.
beachparty	block.beachparty.palm_trapdoor	Palm Trapdoor	Palm Trapdoor	Пальмовый люк	В ru_ru оставлено переводимое английское название.
beachparty	block.beachparty.palm_wood	Palm Wood	Palm Wood	Пальмовая древесина	В ru_ru оставлено переводимое английское название.
beachparty	block.beachparty.sand_bucket_filled	Filled Sand Bucket	Filled Sand Bucket	Ведёрко с песком	В ru_ru оставлено переводимое английское название.
beachparty	block.beachparty.stripped_palm_log	Stripped Palm Log	Stripped Palm Log	Обтёсанное пальмовое бревно	В ru_ru оставлено переводимое английское название.
beachparty	block.beachparty.stripped_palm_wood	Stripped Palm Wood	Stripped Palm Wood	Обтёсанная пальмовая древесина	В ru_ru оставлено переводимое английское название.
beachparty	block.beachparty.wet_hay_block	Wet Hay Block	Wet Hay Block	Мокрый блок сена	В ru_ru оставлено переводимое английское название.
berry_good	block.berry_good.glow_berry_basket	Basket of Glow Berries		Корзина светящихся ягод	Русское название отсутствует.
berry_good	block.berry_good.sweet_berry_basket	Basket of Sweet Berries		Корзина сладких ягод	Русское название отсутствует.
blockofsky	block.blockofsky.sky_block	Block of Sky		Блок неба	Русское название отсутствует.
blockofsky	block.blockofsky.void_block	Block of Void		Блок пустоты	Русское название отсутствует.
cfm_circuit_breaker	item.cfm_circuit_breaker.circuit_breaker	Circuit Breaker		Автоматический выключатель	Русское название отсутствует; en_us восстановлен по ID.
chimes	block.chimes.amethyst_chimes	Amethyst Wind Chime		Аметистовая музыка ветра	Русское название отсутствует.
chimes	block.chimes.bamboo_chimes	Bamboo Wind Chime		Бамбуковая музыка ветра	Русское название отсутствует.
chimes	block.chimes.carved_bamboo_chimes	Carved Bamboo Wind Chime		Резная бамбуковая музыка ветра	Русское название отсутствует.
chimes	block.chimes.copper_chimes	Copper Wind Chime		Медная музыка ветра	Русское название отсутствует.
chimes	block.chimes.glass_bells	Glass Wind Bell		Стеклянный колокольчик ветра	Русское название отсутствует.
chimes	block.chimes.iron_chimes	Iron Wind Chime		Железная музыка ветра	Русское название отсутствует.
citadel	item.citadel.citadel_book	Citadel Book		Книга Citadel	Русское название отсутствует.
citadel	item.citadel.debug	Citadel Debugger		Отладчик Citadel	Русское название отсутствует.
citadel	item.citadel.effect_item	Potion Effect		Эффект зелья	Русское название отсутствует.
citadel	item.citadel.fancy_item	Fancy Item		Красивый предмет	Русское название отсутствует.
citadel	item.citadel.icon_item	Icon Item		Значок	Русское название отсутствует.
corrosive_sculk	block.corrosive_sculk.woven_sculk	Woven Sculk		Сплетённый скалк	Русское название отсутствует.
corrosive_sculk	block.corrosive_sculk.woven_sculk_vein	Woven Sculk Vein		Жила сплетённого скалка	Русское название отсутствует.
create	item.create.cardboard_package_10x12	Cardboard Package 10x12		Картонная посылка 10×12	Русское название отсутствует; en_us восстановлен по ID.
create	item.create.cardboard_package_10x8	Cardboard Package 10x8		Картонная посылка 10×8	Русское название отсутствует; en_us восстановлен по ID.
create	item.create.cardboard_package_12x10	Cardboard Package 12x10		Картонная посылка 12×10	Русское название отсутствует; en_us восстановлен по ID.
create	item.create.cardboard_package_12x12	Cardboard Package 12x12		Картонная посылка 12×12	Русское название отсутствует; en_us восстановлен по ID.
create	item.create.rare_creeper_package	Rare Creeper Package		Редкая посылка: Creeper	Русское название отсутствует; en_us восстановлен по ID.
create	item.create.rare_darcy_package	Rare Darcy Package		Редкая посылка: Darcy	Русское название отсутствует; en_us восстановлен по ID.
create	item.create.rare_evan_package	Rare Evan Package		Редкая посылка: Evan	Русское название отсутствует; en_us восстановлен по ID.
create	item.create.rare_jinx_package	Rare Jinx Package		Редкая посылка: Jinx	Русское название отсутствует; en_us восстановлен по ID.
create	item.create.rare_kryppers_package	Rare Kryppers Package		Редкая посылка: Kryppers	Русское название отсутствует; en_us восстановлен по ID.
create	item.create.rare_simi_package	Rare Simi Package		Редкая посылка: Simi	Русское название отсутствует; en_us восстановлен по ID.
create	item.create.rare_starlotte_package	Rare Starlotte Package		Редкая посылка: Starlotte	Русское название отсутствует; en_us восстановлен по ID.
create	item.create.rare_thunder_package	Rare Thunder Package		Редкая посылка: Thunder	Русское название отсутствует; en_us восстановлен по ID.
create	item.create.rare_up_package	Rare Up Package		Редкая посылка: Up	Русское название отсутствует; en_us восстановлен по ID.
create	item.create.rare_vector_package	Rare Vector Package		Редкая посылка: Vector	Русское название отсутствует; en_us восстановлен по ID.
create_central_kitchen	item.create_central_kitchen.creative_tab_icon	CreativeTabIcon		Значок вкладки творчества	Русское название отсутствует.
create_central_kitchen	item.create_central_kitchen.incomplete_neapolitan_ice_cream_chocolate	Incomplete Neapolitan Ice Cream		Незавершённое неаполитанское мороженое	Русское название отсутствует.
create_central_kitchen	item.create_central_kitchen.incomplete_neapolitan_ice_cream_strawberry	Incomplete Neapolitan Ice Cream		Незавершённое неаполитанское мороженое	Русское название отсутствует.
decorative_blocks	block.decorative_blocks.bamboo_palisade	Bamboo Palisade		Бамбуковый частокол	Русское название отсутствует.
decorative_blocks	block.decorative_blocks.bamboo_seat	Bamboo Seat		Бамбуковый стул	Русское название отсутствует.
decorative_blocks	block.decorative_blocks.bamboo_support	Bamboo Support		Бамбуковый кронштейн	Русское название отсутствует.
decorative_blocks	item.decorative_blocks.blockstate_copy_item	Blockstate Copy Item		Копировщик состояния блока	Русское название отсутствует; en_us восстановлен по ID.
decorative_blocks	block.decorative_blocks.cherry_beam	Cherry Beam		Вишнёвый брус	Русское название отсутствует.
decorative_blocks	block.decorative_blocks.cherry_palisade	Cherry Palisade		Вишнёвый частокол	Русское название отсутствует.
decorative_blocks	block.decorative_blocks.cherry_seat	Cherry Seat		Вишнёвый стул	Русское название отсутствует.
decorative_blocks	block.decorative_blocks.cherry_support	Cherry Support		Вишнёвый кронштейн	Русское название отсутствует.
decorative_blocks	block.decorative_blocks.mangrove_beam	Mangrove Beam		Мангровый брус	Русское название отсутствует.
decorative_blocks	block.decorative_blocks.mangrove_palisade	Mangrove Palisade		Мангровый частокол	Русское название отсутствует.
