item_id	translation_key	source
create:cardboard_package_10x12	item.create.cardboard_package_10x12	Cardboard Package 10x12
create:cardboard_package_10x8	item.create.cardboard_package_10x8	Cardboard Package 10x8
create:cardboard_package_12x10	item.create.cardboard_package_12x10	Cardboard Package 12x10
create:cardboard_package_12x12	item.create.cardboard_package_12x12	Cardboard Package 12x12
enderio:clear_glass_a	item.enderio.clear_glass_a	Clear Glass (Animals Pass)
enderio:clear_glass_a_black	item.enderio.clear_glass_a_black	Black Clear Glass (Animals Pass)
enderio:clear_glass_a_blue	item.enderio.clear_glass_a_blue	Blue Clear Glass (Animals Pass)
enderio:clear_glass_a_brown	item.enderio.clear_glass_a_brown	Brown Clear Glass (Animals Pass)
enderio:clear_glass_a_cyan	item.enderio.clear_glass_a_cyan	Cyan Clear Glass (Animals Pass)
enderio:clear_glass_a_gray	item.enderio.clear_glass_a_gray	Gray Clear Glass (Animals Pass)
enderio:clear_glass_a_green	item.enderio.clear_glass_a_green	Green Clear Glass (Animals Pass)
enderio:clear_glass_a_light_blue	item.enderio.clear_glass_a_light_blue	Light Blue Clear Glass (Animals Pass)
enderio:clear_glass_a_light_gray	item.enderio.clear_glass_a_light_gray	Light Gray Clear Glass (Animals Pass)
enderio:clear_glass_a_lime	item.enderio.clear_glass_a_lime	Lime Clear Glass (Animals Pass)
enderio:clear_glass_a_magenta	item.enderio.clear_glass_a_magenta	Magenta Clear Glass (Animals Pass)
enderio:clear_glass_a_orange	item.enderio.clear_glass_a_orange	Orange Clear Glass (Animals Pass)
enderio:clear_glass_a_pink	item.enderio.clear_glass_a_pink	Pink Clear Glass (Animals Pass)
enderio:clear_glass_a_purple	item.enderio.clear_glass_a_purple	Purple Clear Glass (Animals Pass)
enderio:clear_glass_a_red	item.enderio.clear_glass_a_red	Red Clear Glass (Animals Pass)
enderio:clear_glass_a_white	item.enderio.clear_glass_a_white	White Clear Glass (Animals Pass)
enderio:clear_glass_a_yellow	item.enderio.clear_glass_a_yellow	Yellow Clear Glass (Animals Pass)
enderio:clear_glass_da	item.enderio.clear_glass_da	Dark Clear Glass (Animals Pass)
enderio:clear_glass_da_black	item.enderio.clear_glass_da_black	Black Dark Clear Glass (Animals Pass)
enderio:clear_glass_da_blue	item.enderio.clear_glass_da_blue	Blue Dark Clear Glass (Animals Pass)
enderio:clear_glass_da_brown	item.enderio.clear_glass_da_brown	Brown Dark Clear Glass (Animals Pass)
enderio:clear_glass_da_cyan	item.enderio.clear_glass_da_cyan	Cyan Dark Clear Glass (Animals Pass)
enderio:clear_glass_da_gray	item.enderio.clear_glass_da_gray	Gray Dark Clear Glass (Animals Pass)
enderio:clear_glass_da_green	item.enderio.clear_glass_da_green	Green Dark Clear Glass (Animals Pass)
enderio:clear_glass_da_light_blue	item.enderio.clear_glass_da_light_blue	Light Blue Dark Clear Glass (Animals Pass)
enderio:clear_glass_da_light_gray	item.enderio.clear_glass_da_light_gray	Light Gray Dark Clear Glass (Animals Pass)
enderio:clear_glass_da_lime	item.enderio.clear_glass_da_lime	Lime Dark Clear Glass (Animals Pass)
enderio:clear_glass_da_magenta	item.enderio.clear_glass_da_magenta	Magenta Dark Clear Glass (Animals Pass)
enderio:clear_glass_da_orange	item.enderio.clear_glass_da_orange	Orange Dark Clear Glass (Animals Pass)
enderio:clear_glass_da_pink	item.enderio.clear_glass_da_pink	Pink Dark Clear Glass (Animals Pass)
enderio:clear_glass_da_purple	item.enderio.clear_glass_da_purple	Purple Dark Clear Glass (Animals Pass)
enderio:clear_glass_da_red	item.enderio.clear_glass_da_red	Red Dark Clear Glass (Animals Pass)
enderio:clear_glass_da_white	item.enderio.clear_glass_da_white	White Dark Clear Glass (Animals Pass)
enderio:clear_glass_da_yellow	item.enderio.clear_glass_da_yellow	Yellow Dark Clear Glass (Animals Pass)
enderio:clear_glass_dm	item.enderio.clear_glass_dm	Dark Clear Glass (Monsters Pass)
enderio:clear_glass_dm_black	item.enderio.clear_glass_dm_black	Black Dark Clear Glass (Monsters Pass)
enderio:clear_glass_dm_blue	item.enderio.clear_glass_dm_blue	Blue Dark Clear Glass (Monsters Pass)
enderio:clear_glass_dm_brown	item.enderio.clear_glass_dm_brown	Brown Dark Clear Glass (Monsters Pass)
enderio:clear_glass_dm_cyan	item.enderio.clear_glass_dm_cyan	Cyan Dark Clear Glass (Monsters Pass)
enderio:clear_glass_dm_gray	item.enderio.clear_glass_dm_gray	Gray Dark Clear Glass (Monsters Pass)
enderio:clear_glass_dm_green	item.enderio.clear_glass_dm_green	Green Dark Clear Glass (Monsters Pass)
enderio:clear_glass_dm_light_blue	item.enderio.clear_glass_dm_light_blue	Light Blue Dark Clear Glass (Monsters Pass)
enderio:clear_glass_dm_light_gray	item.enderio.clear_glass_dm_light_gray	Light Gray Dark Clear Glass (Monsters Pass)
enderio:clear_glass_dm_lime	item.enderio.clear_glass_dm_lime	Lime Dark Clear Glass (Monsters Pass)
enderio:clear_glass_dm_magenta	item.enderio.clear_glass_dm_magenta	Magenta Dark Clear Glass (Monsters Pass)
enderio:clear_glass_dm_orange	item.enderio.clear_glass_dm_orange	Orange Dark Clear Glass (Monsters Pass)
enderio:clear_glass_dm_pink	item.enderio.clear_glass_dm_pink	Pink Dark Clear Glass (Monsters Pass)
enderio:clear_glass_dm_purple	item.enderio.clear_glass_dm_purple	Purple Dark Clear Glass (Monsters Pass)
enderio:clear_glass_dm_red	item.enderio.clear_glass_dm_red	Red Dark Clear Glass (Monsters Pass)
enderio:clear_glass_dm_white	item.enderio.clear_glass_dm_white	White Dark Clear Glass (Monsters Pass)
enderio:clear_glass_dm_yellow	item.enderio.clear_glass_dm_yellow	Yellow Dark Clear Glass (Monsters Pass)
enderio:clear_glass_dna	item.enderio.clear_glass_dna	Dark Clear Glass (Animals Blocked)
enderio:clear_glass_dna_black	item.enderio.clear_glass_dna_black	Black Dark Clear Glass (Animals Blocked)
enderio:clear_glass_dna_blue	item.enderio.clear_glass_dna_blue	Blue Dark Clear Glass (Animals Blocked)
enderio:clear_glass_dna_brown	item.enderio.clear_glass_dna_brown	Brown Dark Clear Glass (Animals Blocked)
enderio:clear_glass_dna_cyan	item.enderio.clear_glass_dna_cyan	Cyan Dark Clear Glass (Animals Blocked)
enderio:clear_glass_dna_gray	item.enderio.clear_glass_dna_gray	Gray Dark Clear Glass (Animals Blocked)
enderio:clear_glass_dna_green	item.enderio.clear_glass_dna_green	Green Dark Clear Glass (Animals Blocked)
enderio:clear_glass_dna_light_blue	item.enderio.clear_glass_dna_light_blue	Light Blue Dark Clear Glass (Animals Blocked)
enderio:clear_glass_dna_light_gray	item.enderio.clear_glass_dna_light_gray	Light Gray Dark Clear Glass (Animals Blocked)
enderio:clear_glass_dna_lime	item.enderio.clear_glass_dna_lime	Lime Dark Clear Glass (Animals Blocked)
enderio:clear_glass_dna_magenta	item.enderio.clear_glass_dna_magenta	Magenta Dark Clear Glass (Animals Blocked)
enderio:clear_glass_dna_orange	item.enderio.clear_glass_dna_orange	Orange Dark Clear Glass (Animals Blocked)
enderio:clear_glass_dna_pink	item.enderio.clear_glass_dna_pink	Pink Dark Clear Glass (Animals Blocked)
enderio:clear_glass_dna_purple	item.enderio.clear_glass_dna_purple	Purple Dark Clear Glass (Animals Blocked)
enderio:clear_glass_dna_red	item.enderio.clear_glass_dna_red	Red Dark Clear Glass (Animals Blocked)
enderio:clear_glass_dna_white	item.enderio.clear_glass_dna_white	White Dark Clear Glass (Animals Blocked)
enderio:clear_glass_dna_yellow	item.enderio.clear_glass_dna_yellow	Yellow Dark Clear Glass (Animals Blocked)
enderio:clear_glass_dnm	item.enderio.clear_glass_dnm	Dark Clear Glass (Monsters Blocked)
enderio:clear_glass_dnm_black	item.enderio.clear_glass_dnm_black	Black Dark Clear Glass (Monsters Blocked)
enderio:clear_glass_dnm_blue	item.enderio.clear_glass_dnm_blue	Blue Dark Clear Glass (Monsters Blocked)
enderio:clear_glass_dnm_brown	item.enderio.clear_glass_dnm_brown	Brown Dark Clear Glass (Monsters Blocked)
enderio:clear_glass_dnm_cyan	item.enderio.clear_glass_dnm_cyan	Cyan Dark Clear Glass (Monsters Blocked)
enderio:clear_glass_dnm_gray	item.enderio.clear_glass_dnm_gray	Gray Dark Clear Glass (Monsters Blocked)
enderio:clear_glass_dnm_green	item.enderio.clear_glass_dnm_green	Green Dark Clear Glass (Monsters Blocked)
enderio:clear_glass_dnm_light_blue	item.enderio.clear_glass_dnm_light_blue	Light Blue Dark Clear Glass (Monsters Blocked)
enderio:clear_glass_dnm_light_gray	item.enderio.clear_glass_dnm_light_gray	Light Gray Dark Clear Glass (Monsters Blocked)
enderio:clear_glass_dnm_lime	item.enderio.clear_glass_dnm_lime	Lime Dark Clear Glass (Monsters Blocked)
enderio:clear_glass_dnm_magenta	item.enderio.clear_glass_dnm_magenta	Magenta Dark Clear Glass (Monsters Blocked)
enderio:clear_glass_dnm_orange	item.enderio.clear_glass_dnm_orange	Orange Dark Clear Glass (Monsters Blocked)
enderio:clear_glass_dnm_pink	item.enderio.clear_glass_dnm_pink	Pink Dark Clear Glass (Monsters Blocked)
