"id"	"source_hash"	"old_translation"	"new_translation"	"reason"	"independent_review"	"reviewer"	"initial_new_translation"	"review_notes"
"ie-manual:immersiveengineering:lightning_rod.txt:line:4"	"sha256:8815ad4cf0316879c54495fc73102e95428afdf090db700cffa59b091f20292c"	"При ударе по стальному столбу огромное количество энергии накапливается в основании Молниеотвода, а затем медленно распределяется по энергетическим выходам по бокам."	"При ударе по стальному столбу огромное количество энергии накапливается в основании Молниеотвода, а затем медленно распределяется по боковым энергетическим выходам."	"Ошибочный PASS: повтор «по ... по» ухудшает естественность."	"APPROVED"	"/root/checkpoint12_second_review"	"При ударе по стальному столбу огромное количество энергии накапливается в основании Молниеотвода, а затем медленно распределяется по боковым энергетическим выходам."	"SECOND_LANGUAGE_REVIEW"
"patchouli-lang:botania:botania.page.elfMessage1"	"sha256:2ad813db8f803c3115a8e547ec4f9a025799d65ba1bda78232cb537316f5e606"	"$(o)Приветствуем! Мы заметили, что наш портал открыл связь с другим миром. И это довольно шокирующая новость для нас! Мы благодарим Вас за предоставление нам книги знаний Вашего мира, чтобы держать нас в курсе всего, что произошло, так как мы оставили этот мир, давным-давно."	"$(o)Приветствуем! Мы нашли эту книгу, когда одна из старых портальных рам сама открыла связь с другим миром — это стало для нас большим потрясением. От имени всей Эльфийской стражи сердечно благодарим за собрание знаний вашего мира. Нам давно пришлось его покинуть, и мы рады узнать, что у вас всё хорошо.$(0)"	"Исправлено по исчерпывающему заключению checkpoint-review."	"APPROVED"	"/root/checkpoint12_second_review"	"$(o)Приветствуем! Мы нашли эту книгу, когда одна из старых портальных рам сама открыла связь с другим миром — это стало для нас большим потрясением. От имени всей Эльфийской стражи сердечно благодарим за собрание знаний вашего мира. Нам давно пришлось его покинуть, и мы рады узнать, что у вас всё хорошо.$(0)"	"SECOND_LANGUAGE_REVIEW"
"patchouli-lang:botania:botania.page.elfMessage2"	"sha256:d801dd8d6396cf72af29bddf36d0b29cfe7efeac8024e408635d8232053babda"	"$(o)После некоторых дискуссий с верховным консулом Эльфийских Садов, мы решили объединить усилия. Прочитав Ваш ""Лексикон Ботании"" мы обнаружили в Вашем мире наличие большого количества ресурсов, которые мы чрезвычайно заинтересованы получить в свои руки, так как они не существуют на наших землях."	"$(o)После долгих обсуждений в Высшем совете Эльфийской стражи мы решили сотрудничать с вами. Видите ли, в вашем ""Лексиконе Ботании"" упоминаются некоторые ресурсы вашего мира, которые мы очень хотели бы заполучить: в наших землях их попросту нет.$(0)"	"Исправлено по исчерпывающему заключению checkpoint-review."	"APPROVED"	"/root/checkpoint12_second_review"	"$(o)После долгих обсуждений в Высшем совете Эльфийской стражи мы решили сотрудничать с вами. Видите ли, в вашем ""Лексиконе Ботании"" упоминаются некоторые ресурсы вашего мира, которые мы очень хотели бы заполучить: в наших землях их попросту нет.$(0)"	"SECOND_LANGUAGE_REVIEW"
"patchouli-lang:botania:botania.page.elfMessage3"	"sha256:bcb7675b40b1fba5cab11775b0fa0a8f50bc6a07823e6d75fa0a5fcae5d04a02"	"$(o)Связь, которую Вы сумели установить, слаба, живые существа не смогут пройти, как Вы уже знаете. Однако в этом есть и положительная сторона, связь проходит сквозь ткань времени обоих наших миров, по пути теряя синхронизацию, поэтому Вы получили Вашу книгу обратно так быстро."	"$(o)Установленная вами связь, к сожалению, слишком слаба, чтобы переносить живых существ: вероятно, причина в огромном расстоянии между нашими мирами. Жаль: мы хотели встретиться с нашим торговым партнёром лично. Зато связь позволяет менять синхронизацию времени в наших мирах, поэтому вы получите книгу обратно так быстро — по крайней мере, с вашей точки зрения.$(0)"	"Исправлено по исчерпывающему заключению checkpoint-review."	"APPROVED"	"/root/checkpoint12_second_review"	"$(o)Установленная вами связь, к сожалению, слишком слаба, чтобы переносить живых существ: вероятно, причина в огромном расстоянии между нашими мирами. Жаль: мы хотели встретиться с нашим торговым партнёром лично. Зато связь позволяет менять синхронизацию времени в наших мирах, поэтому вы получите книгу обратно так быстро — по крайней мере, с вашей точки зрения.$(0)"	"SECOND_LANGUAGE_REVIEW"
"patchouli-lang:botania:botania.page.elfMessage5"	"sha256:0a29a917cf0f322ceaa8a360d094cd93f2862e24bde39d9e3949d577d37922f2"	"$(o)Мы взяли на себя смелость, и дали задание нашим лучшим писцам, собрать большой набор знаний из нашего мира, которым мы готовы поделиться. Вы можете найти эти знания в своём Лексиконе. Надеемся, Вы найдете их поучительными и что они поощрят вас использовать наши материалы для создания этих уникальных предметов."	"$(o)Мы поручили лучшим писцам перенести в ваш лексикон большую часть знаний нашего мира. Надеемся, они окажутся для вас полезны и побудят вас использовать наши материалы.$(0)"	"Исправлено по исчерпывающему заключению checkpoint-review."	"APPROVED"	"/root/checkpoint12_second_review"	"$(o)Мы поручили лучшим писцам перенести в ваш лексикон большую часть знаний нашего мира. Надеемся, они окажутся для вас полезны и побудят вас использовать наши материалы.$(0)"	"SECOND_LANGUAGE_REVIEW"
"patchouli-lang:botania:botania.page.elfResources0"	"sha256:77b8af7c9632ef545d7ad2b99d8bd195b99feacaad1947d03979bdda73919521"	"$(thing)Эльфхейм$(0) содержит очень разнообразный набор изысканных ресурсов. К сожалению, большинство их крайне редки и труднодобываемы, в связи с конкуренцией между кланами. Эльфы заинтересованы в обмене некоторыми материалами, такими как $(item)Древесина мечтаний$(0), $(item)Элементий$(0), $(item)Пыльца фей$(0) или $(item)Камень дракона$(0), на ресурсы Вашего мира."	"$(thing)Эльфхейм$(0) богат ценными ресурсами. К сожалению, из-за соперничества эльфийских кланов большинство из них довольно редки. Эльфы, с которыми вы связались, хотят обменять местные ресурсы — $(item)Древесину мечтаний$(0), $(item)Элементий$(0), $(item)Пыльцу фей$(0) и $(item)Камни дракона$(0) — на ресурсы вашего мира."	"Неестественная сочетаемость и неверная логика обмена."	"APPROVED"	"/root/checkpoint12_second_review"	"$(thing)Эльфхейм$(0) богат ценными ресурсами. К сожалению, из-за соперничества эльфийских кланов большинство из них довольно редки. Эльфы, с которыми вы связались, хотят обменять местные ресурсы — $(item)Древесину мечтаний$(0), $(item)Элементий$(0), $(item)Пыльцу фей$(0) и $(item)Камни дракона$(0) — на ресурсы вашего мира."	"SECOND_LANGUAGE_REVIEW"
"patchouli-lang:botania:botania.page.elfResources6"	"sha256:4757f0560edd3f179bf19048ad551ba7e0b10ba67a0e081085eba3c6d48c3ebe"	"$(item)Эльфы$(0) также довольно заинтересованы в строительстве шикарного белого квартала из $(thing)Незера$(0), $(item)Незер-кварца$(0), так как их мир имеет зелеёый оттенок. Эльфийский кварц используется также как и любой другой, будь то простой кварц или любой из вариантов декоративного. Вы можете найти информацию о нем в статье $(thing)Декоративные блоки$(0) из раздела $(thing)Разное$(0)."	"$(item)Эльфы$(0) также заинтересованы в белом изысканном материале из $(thing)Незера$(0) — $(item)Незер-кварце$(0), ведь кварц в их мире имеет зелёный оттенок. По свойствам эльфийский кварц не отличается от других видов кварца, включая обычный Незер-кварц и его декоративные варианты. Подробнее читайте в статье $(thing)Декоративные блоки$(0) раздела $(thing)Разное$(0)."	"Исправлено по исчерпывающему заключению checkpoint-review."	"APPROVED"	"/root/checkpoint12_second_review"	"$(item)Эльфы$(0) также заинтересованы в белом изысканном материале из $(thing)Незера$(0) — $(item)Незер-кварце$(0), ведь кварц в их мире имеет зелёный оттенок. По свойствам эльфийский кварц не отличается от других видов кварца, включая обычный Незер-кварц и его декоративные варианты. Подробнее читайте в статье $(thing)Декоративные блоки$(0) раздела $(thing)Разное$(0)."	"SECOND_LANGUAGE_REVIEW"
"patchouli-lang:botania:botania.page.gaiaRitual3"	"sha256:51c6987be07cd066a8a356aea1e1ac134f25ea6cfbc4e8bc86bd40870759be3c"	"Чтобы начать ритуал, просто кликните Shift+ПКМ на блоке $(item)Маяка$(0) со $(item)Слитком террастали$(0) в руке, сделайте шаг назад и готовьтесь к борьбе за свою жизнь. Вам потребуются все Ваши умения для борьбы с $(thing)Хранителем Гайи$(0), бой может быть сложнее, чем бой с $(thing)Иссушителем$(0). После победы над $(thing)Хранителем$(0), можно забрать свой приз - горстку $(item)Духа Гайи$(0)."	"Чтобы начать ритуал, присядьте и нажмите ПКМ по $(item)Маяку$(0), держа в руке $(l:basics/terrasteel)$(item)Слиток террастали$(0)$(/l); затем отойдите и приготовьтесь сражаться за свою жизнь. Подготовка необходима: бой с $(thing)Хранителем Гайи$(0) может оказаться сложнее боя с $(thing)Иссушителем$(0). После победы над $(thing)Хранителем$(0) вы получите в награду горсть $(item)Духов Гайи$(0)."	"Восстановлено естественное управление «сражаться за свою жизнь»."	"APPROVED"	"/root/checkpoint12_second_review"	"Чтобы начать ритуал, присядьте и нажмите ПКМ по $(item)Маяку$(0), держа в руке $(l:basics/terrasteel)$(item)Слиток террастали$(0)$(/l); затем отойдите и приготовьтесь сражаться за свою жизнь. Подготовка необходима: бой с $(thing)Хранителем Гайи$(0) может оказаться сложнее боя с $(thing)Иссушителем$(0). После победы над $(thing)Хранителем$(0) вы получите в награду горсть $(item)Духов Гайи$(0)."	"SECOND_LANGUAGE_REVIEW"
"patchouli-lang:botania:botania.page.kingKey0"	"sha256:afaba3cf28edfafcf70ae12f47060e60183cda6758133e65a8a9b7fad4c77f74"	"$(item)Ключ от Королевского арсенала$(0) — могущественная реликвия, способная материализовать оружие из воздуха. Удерживание ПКМ ключом начнет призыв светящихся снарядов... откуда-то. Одновременно можно создать до двадцати снарядов, и, отпустив ключ, Вы запустите их по одному в ту точку, на которую направлен ваш взгляд. Эти снаряды движутся с высокой скоростью и взрываются при контакте."	"$(item)Ключ от Королевского арсенала$(0) — могущественная реликвия, материализующая оружие из воздуха. Удерживайте ПКМ ключом, чтобы призвать светящиеся снаряды. Одновременно можно создать до двадцати снарядов; отпустите ключ, и они один за другим полетят туда, куда направлен ваш взгляд. Снаряды движутся быстро и взрываются при столкновении."	"Полное повторное редакторское чтение: исправлены смысл, грамматика, пунктуация и неестественные обороты; технические токены сохранены."	"APPROVED"	"/root/checkpoint12_second_review"	"$(item)Ключ от Королевского арсенала$(0) — могущественная реликвия, материализующая оружие из воздуха. Удерживайте ПКМ ключом, чтобы призвать светящиеся снаряды. Одновременно можно создать до двадцати снарядов; отпустите ключ, и они один за другим полетят туда, куда направлен ваш взгляд. Снаряды движутся быстро и взрываются при столкновении."	"SECOND_LANGUAGE_REVIEW"
"patchouli-lang:botania:botania.page.lexicon0"	"sha256:e5a71e94ee2c112afbc6ddecd5082616da3945344557ec7d10252a3f2acc6c2c"	"$(item)Лексикон Ботании$(0) - это кладезь всех знаний для Ваших ботанических нужд. Но Вы, наверное, уже и так знали это.$(p)Вся информация находится здесь. Для удобства, если у какого-то блока есть описание, Вы можете нажать Shift+ПКМ, держа $(item)Лексикон Ботании$(0) в руке, чтобы открыть это описание."	"$(item)Лексикон Ботании$(0) — кладезь знаний для ботаника. Впрочем, вы, вероятно, уже это знаете.$(p)Вся информация собрана здесь. Если у блока есть описание, возьмите $(item)Лексикон Ботании$(0) в руку и нажмите Shift+ПКМ по блоку, чтобы открыть его."	"Полное повторное редакторское чтение: исправлены смысл, грамматика, пунктуация и неестественные обороты; технические токены сохранены."	"APPROVED"	"/root/checkpoint12_second_review"	"$(item)Лексикон Ботании$(0) — кладезь знаний для ботаника. Впрочем, вы, вероятно, уже это знаете.$(p)Вся информация собрана здесь. Если у блока есть описание, возьмите $(item)Лексикон Ботании$(0) в руку и нажмите Shift+ПКМ по блоку, чтобы открыть его."	"SECOND_LANGUAGE_REVIEW"
