id	source_hash	translation
mantle-book:tconstruct:encyclopedia:abilities/armor.json:/text/0/text	sha256:8da201721e8ea794cfb182bb1172da3904a9a73e25c9eb144d845a1eb6b5faab	Умения для брони обычно эффективны для одного типа брони. Каждый тип брони имеет свой особый атрибут:
mantle-book:tconstruct:encyclopedia:abilities/armor.json:/text/1/text	sha256:1469eca29ce15125647ee12e69a0aa7fc5fc33744fe38048717228620ad9d868	• Шлемами можно управлять с помощью сочетания клавиш для специальных эффектов.
mantle-book:tconstruct:encyclopedia:abilities/armor.json:/text/2/text	sha256:c6a23349ffb64dc68ff0dbabe0129e242b4b0630838a1e36efa06e3078479554	"
• Нагрудники могут иметь умения взаимодействия, которые используются, когда руки пусты. Большинство из них описаны в разделе «Взаимодействия»."
mantle-book:tconstruct:encyclopedia:abilities/armor.json:/text/3/text	sha256:620a9c68aabcc80b25c8ffb1735ca7805619b966b4a717d9d4bae0b26f015f42	"
• Поножи обладают умениями, основанными на инвентаре, и пассивными усилениями для игрока."
mantle-book:tconstruct:encyclopedia:abilities/armor.json:/text/4/text	sha256:56435ee595ba265d2a75c93e865777fe84093369925298256ba47ccd44bf5cd4	"
• Ботинки могут иметь умения, основанные на передвижении и прыжках."
mantle-book:tconstruct:encyclopedia:abilities/armor.json:/text/5/text	sha256:a26067a19724ee3e3295fd55a239c9f259259d99e24df8b00bb618eb136def28	"
• Щиты более эффективны при контратаках, но некоторые модификаторы работают только при блокировании."
mantle-book:tconstruct:encyclopedia:abilities/armor.json:/title	sha256:8eb92348fb4f25db0375b95ed6f107fcec0c04e3c3e4a67c039ab9212500d3cc	Умения брони
mantle-book:tconstruct:encyclopedia:abilities/armor/boots/tconstruct_bouncy.json:/effects/0	sha256:4790242817445a0eed06501a9777543cd0aa4b0dc0b936102d62e58503da1099	Макс. уровень: 1
mantle-book:tconstruct:encyclopedia:abilities/armor/boots/tconstruct_bouncy.json:/effects/1	sha256:9054648401154dbc81e695699f3000a2016b0de218c5d880c2204f187d4105e5	Требуется слотов для умений: 1
mantle-book:tconstruct:encyclopedia:abilities/armor/boots/tconstruct_bouncy.json:/text/0/text	sha256:b3030b676d265e272b3da3f19bbb59937408907b8c183f8b3268fe76be56c975	Заставляет вас отскакивать при приземлении, предотвращая урон от падения и направляя 90% вашей скорости вверх.
mantle-book:tconstruct:encyclopedia:abilities/armor/boots/tconstruct_double_jump.json:/effects/0	sha256:f9b54a82a08e6a336f8c9a8313eb61cbbb09ac23e4b8c8a6e392d43c2f302be9	Макс. уровней: 2
mantle-book:tconstruct:encyclopedia:abilities/armor/boots/tconstruct_double_jump.json:/effects/1	sha256:224c33723654475a5ea88c65031ecb693aea802e4d7a959d58b23fa14a7ef3cc	Требуется слотов для умений за уровень: 1
mantle-book:tconstruct:encyclopedia:abilities/armor/boots/tconstruct_double_jump.json:/text/0/text	sha256:a83d22964b8249b563fae4103822ad40dc276c813668a1fce1267bf9a4515483	Позволяет вам совершить второй прыжок в воздухе. Более высокие уровни добавляют дополнительные прыжки, позволяя совершать тройные или, возможно, даже четверные прыжки.
mantle-book:tconstruct:encyclopedia:abilities/armor/boots/tconstruct_flamewake.json:/effects/0	sha256:4790242817445a0eed06501a9777543cd0aa4b0dc0b936102d62e58503da1099	Макс. уровень: 1
mantle-book:tconstruct:encyclopedia:abilities/armor/boots/tconstruct_flamewake.json:/effects/1	sha256:9054648401154dbc81e695699f3000a2016b0de218c5d880c2204f187d4105e5	Требуется слотов для умений: 1
mantle-book:tconstruct:encyclopedia:abilities/armor/boots/tconstruct_flamewake.json:/text/0/text	sha256:916d6f54fcc98cbcb5373679b75de67883ea73c1b85d5d1dd3bb85f9c1f6009e	Разжигает огонь вокруг того места, куда вы наступаете. Область действия можно увеличить модификатором «Расширенный».
mantle-book:tconstruct:encyclopedia:abilities/armor/boots/tconstruct_frost_walker.json:/effects/0	sha256:4790242817445a0eed06501a9777543cd0aa4b0dc0b936102d62e58503da1099	Макс. уровень: 1
mantle-book:tconstruct:encyclopedia:abilities/armor/boots/tconstruct_frost_walker.json:/effects/1	sha256:9054648401154dbc81e695699f3000a2016b0de218c5d880c2204f187d4105e5	Требуется слотов для умений: 1
mantle-book:tconstruct:encyclopedia:abilities/armor/boots/tconstruct_frost_walker.json:/text/0/text	sha256:78ed4f1a5116812391d279818b844b0ae9d43079f713717983e0d6b9bae0bb0f	Заставляет воду замерзать, когда вы на неё наступаете. Область действия можно увеличить модификатором «Расширенный».
mantle-book:tconstruct:encyclopedia:abilities/armor/boots/tconstruct_glowing.json:/effects/0	sha256:4790242817445a0eed06501a9777543cd0aa4b0dc0b936102d62e58503da1099	Макс. уровень: 1
mantle-book:tconstruct:encyclopedia:abilities/armor/boots/tconstruct_glowing.json:/effects/1	sha256:9054648401154dbc81e695699f3000a2016b0de218c5d880c2204f187d4105e5	Требуется слотов для умений: 1
mantle-book:tconstruct:encyclopedia:abilities/armor/boots/tconstruct_glowing.json:/text/0/text	sha256:5fcd4cb3ea98848b638defeb0c59fedba91ec76d2c8db36ef9dc3f373c84b807	Когда вы шагаете, в ближайших тёмных местах появляется свечение. Для создания свечения требуется 5 ед. прочности. Область действия можно увеличить модификатором «Расширенный».
mantle-book:tconstruct:encyclopedia:abilities/armor/boots/tconstruct_pathing.json:/effects/0	sha256:4790242817445a0eed06501a9777543cd0aa4b0dc0b936102d62e58503da1099	Макс. уровень: 1
mantle-book:tconstruct:encyclopedia:abilities/armor/boots/tconstruct_pathing.json:/effects/1	sha256:9054648401154dbc81e695699f3000a2016b0de218c5d880c2204f187d4105e5	Требуется слотов для умений: 1
mantle-book:tconstruct:encyclopedia:abilities/armor/boots/tconstruct_pathing.json:/text/0/text	sha256:786e5a60b0900bd8e7b0c87e6b5624ef371dac9edb459ccb3e468eb224ecc8d9	Вытаптывайте дёрн во время шага, оставляя после себя тропу. Область действия можно увеличить модификатором «Расширенный».
mantle-book:tconstruct:encyclopedia:abilities/armor/boots/tconstruct_snowdrift.json:/effects/0	sha256:4790242817445a0eed06501a9777543cd0aa4b0dc0b936102d62e58503da1099	Макс. уровень: 1
mantle-book:tconstruct:encyclopedia:abilities/armor/boots/tconstruct_snowdrift.json:/effects/1	sha256:9054648401154dbc81e695699f3000a2016b0de218c5d880c2204f187d4105e5	Требуется слотов для умений: 1
mantle-book:tconstruct:encyclopedia:abilities/armor/boots/tconstruct_snowdrift.json:/text/0/text	sha256:8739240ef62678df6d678260ecbf1c5784fdf5585fe946d177c1e69a52415991	Оставляйте за собой снежный след в холодных биомах, подобно снежному голему. Область действия можно увеличить модификатором «Расширенный».
mantle-book:tconstruct:encyclopedia:abilities/armor/boots/tconstruct_tilling.json:/effects/0	sha256:4790242817445a0eed06501a9777543cd0aa4b0dc0b936102d62e58503da1099	Макс. уровень: 1
mantle-book:tconstruct:encyclopedia:abilities/armor/boots/tconstruct_tilling.json:/effects/1	sha256:9054648401154dbc81e695699f3000a2016b0de218c5d880c2204f187d4105e5	Требуется слотов для умений: 1
mantle-book:tconstruct:encyclopedia:abilities/armor/boots/tconstruct_tilling.json:/text/0/text	sha256:f2db28810b9f8b52e0f344dca9742189114fc025ed31bc51804c09ed67f13a05	Вспахивает землю у вас под ногами. Область действия можно увеличить модификатором «Расширенный».
mantle-book:tconstruct:encyclopedia:abilities/armor/chestplate/tconstruct_ambidextrous.json:/effects/0	sha256:4790242817445a0eed06501a9777543cd0aa4b0dc0b936102d62e58503da1099	Макс. уровень: 1
mantle-book:tconstruct:encyclopedia:abilities/armor/chestplate/tconstruct_ambidextrous.json:/effects/1	sha256:9054648401154dbc81e695699f3000a2016b0de218c5d880c2204f187d4105e5	Требуется слотов для умений: 1
mantle-book:tconstruct:encyclopedia:abilities/armor/chestplate/tconstruct_ambidextrous.json:/text/0/text	sha256:081084b94625ae1efc457311f41ccd9603bd809095ee714857b44294a76e8eaf	Позволяет наносить удары второй рукой. Она получает все усиления безоружных атак, применённые к основной руке.
mantle-book:tconstruct:encyclopedia:abilities/armor/chestplate/tconstruct_reach.json:/effects/0	sha256:f9b54a82a08e6a336f8c9a8313eb61cbbb09ac23e4b8c8a6e392d43c2f302be9	Макс. уровней: 2
mantle-book:tconstruct:encyclopedia:abilities/armor/chestplate/tconstruct_reach.json:/effects/1	sha256:224c33723654475a5ea88c65031ecb693aea802e4d7a959d58b23fa14a7ef3cc	Требуется слотов для умений за уровень: 1
mantle-book:tconstruct:encyclopedia:abilities/armor/chestplate/tconstruct_reach.json:/text/0/text	sha256:97d0bcde97628c8cea0d3eb897801a0ef64e156d2adc30b8d882bbc5d771d3a3	Увеличивает макс. расстояние от игрока, на которое этот инструмент может добывать, размещать блоки и атаковать мобов, на 1 блок за уровень.
mantle-book:tconstruct:encyclopedia:abilities/armor/chestplate/tconstruct_strength.json:/effects/0	sha256:b6522dc564bcba54a3be4f9d4836c2cb7fd802f8824108bdf3a426bb02455e8b	Уровни можно применять постепенно.
mantle-book:tconstruct:encyclopedia:abilities/armor/chestplate/tconstruct_strength.json:/effects/1	sha256:f9b54a82a08e6a336f8c9a8313eb61cbbb09ac23e4b8c8a6e392d43c2f302be9	Макс. уровней: 2
mantle-book:tconstruct:encyclopedia:abilities/armor/chestplate/tconstruct_strength.json:/effects/2	sha256:224c33723654475a5ea88c65031ecb693aea802e4d7a959d58b23fa14a7ef3cc	Требуется слотов для умений за уровень: 1
mantle-book:tconstruct:encyclopedia:abilities/armor/chestplate/tconstruct_strength.json:/text/0/text	sha256:73d6a670627c18213d62e6ebecfd4c3665b5610e5ee3686440c77ed96a55b296	Даёт +10% урона от атаки ко всему оружию за уровень.
mantle-book:tconstruct:encyclopedia:abilities/armor/chestplate/tconstruct_wings.json:/effects/0	sha256:4790242817445a0eed06501a9777543cd0aa4b0dc0b936102d62e58503da1099	Макс. уровень: 1
mantle-book:tconstruct:encyclopedia:abilities/armor/chestplate/tconstruct_wings.json:/effects/1	sha256:fd1ea640562f3d7ce2667c4c7602ae0198b37125ada0125b82432fdbcbec523e	Требуется слотов для умений: 2
mantle-book:tconstruct:encyclopedia:abilities/armor/chestplate/tconstruct_wings.json:/text/0/text	sha256:ebb140bbde652acb1a86d1dab7f77b22893ed9aa6aaa53b9395d32bd3d2f0c83	Позволяет вам планировать, подпрыгивая в воздухе. При планировании нагрудник медленно повреждается.
mantle-book:tconstruct:encyclopedia:abilities/armor/general/tconstruct_bursting.json:/effects/0	sha256:153fd3c7c2ab115cb98c40d29ef2ec591051eaae0b4f67ac4a27ca8be6f37e67	Макс. уровень: Нет
mantle-book:tconstruct:encyclopedia:abilities/armor/general/tconstruct_bursting.json:/effects/1	sha256:224c33723654475a5ea88c65031ecb693aea802e4d7a959d58b23fa14a7ef3cc	Требуется слотов умений за уровень: 1
mantle-book:tconstruct:encyclopedia:abilities/armor/general/tconstruct_bursting.json:/effects/2	sha256:b860e7f88e087af685df67ecc86a1ed49b463830ebb31ee87e25119fd9071689	Наполнение с помощью инструмента на резервуаре с жидкостью.
mantle-book:tconstruct:encyclopedia:abilities/armor/general/tconstruct_bursting.json:/text/0/text	sha256:29ad37788838364eabe88f524a5333b981b7c13e5b9f161d99264daba48bfc6c	С вероятностью 25% за уровень расходует небольшое количество жидкости (обычно от 10 до 50 мБ), чтобы придать контратакам особые эффекты. При блокировании щитом вероятность удваивается.
mantle-book:tconstruct:encyclopedia:abilities/armor/general/tconstruct_bursting.json:/text/1/text	sha256:10db01054f21025d30d7211cfd279560099e22034deb7ab2a28380b26434fff8	Инструмент можно заполнить жидкостью, взаимодействуя с резервуаром или сливом, удерживая инструмент в руке.
mantle-book:tconstruct:encyclopedia:abilities/armor/general/tconstruct_protection.json:/effects/0	sha256:4790242817445a0eed06501a9777543cd0aa4b0dc0b936102d62e58503da1099	Максимум 1 уровень
mantle-book:tconstruct:encyclopedia:abilities/armor/general/tconstruct_protection.json:/effects/1	sha256:9054648401154dbc81e695699f3000a2016b0de218c5d880c2204f187d4105e5	Требуется 1 слот для умений.
mantle-book:tconstruct:encyclopedia:abilities/armor/general/tconstruct_protection.json:/text/0/text	sha256:1d2b41520332973613729814b751f86766e2ff75602c6b46ddd227102eb4f5e9	С этим модификатором дает +5% сопротивления всему урону за единицу предмета. Ограничение на уровне 80% для всего набора, включая другие виды защиты.
mantle-book:tconstruct:encyclopedia:abilities/armor/general/tconstruct_wetting.json:/effects/0	sha256:153fd3c7c2ab115cb98c40d29ef2ec591051eaae0b4f67ac4a27ca8be6f37e67	Макс. уровень: Нет
mantle-book:tconstruct:encyclopedia:abilities/armor/general/tconstruct_wetting.json:/effects/1	sha256:224c33723654475a5ea88c65031ecb693aea802e4d7a959d58b23fa14a7ef3cc	Требуется слотов умений за уровень: 1
mantle-book:tconstruct:encyclopedia:abilities/armor/general/tconstruct_wetting.json:/effects/2	sha256:b860e7f88e087af685df67ecc86a1ed49b463830ebb31ee87e25119fd9071689	Наполнение с помощью инструмента на резервуаре с жидкостью.
mantle-book:tconstruct:encyclopedia:abilities/armor/general/tconstruct_wetting.json:/text/0/text	sha256:9a5d93d2e4f03850efdf84e90e34046719a634fdc28b039195adc90a8124d911	С вероятностью 25% за уровень расходует небольшое количество жидкости (обычно от 10 до 50 мБ) при получении урона, применяя такие эффекты, как поджигание, исцеление или снятие эффектов состояния. При блокировании щитом вероятность удваивается.
mantle-book:tconstruct:encyclopedia:abilities/armor/general/tconstruct_wetting.json:/text/1/text	sha256:dd17a984e5d6c23a6b11304e0e76e90bfebc7ca47d0185982e21cb3782aa94ab	Инструмент можно заполнить жидкостью, взаимодействуя с резервуаром или сливом, пока он находится в руке.
mantle-book:tconstruct:encyclopedia:abilities/armor/helmet/tconstruct_aqua_affinity.json:/effects/0	sha256:4790242817445a0eed06501a9777543cd0aa4b0dc0b936102d62e58503da1099	Макс. уровень: 1
mantle-book:tconstruct:encyclopedia:abilities/armor/helmet/tconstruct_aqua_affinity.json:/effects/1	sha256:9054648401154dbc81e695699f3000a2016b0de218c5d880c2204f187d4105e5	Требуется слотов для умений: 1
mantle-book:tconstruct:encyclopedia:abilities/armor/helmet/tconstruct_aqua_affinity.json:/text/0/text	sha256:34af429e66591c075c3a554078f49a6cbb51149f1572e37fc3bb76ff413b3e67	Позволяет добывать на полной скорости под водой, а не на 20% скорости.
mantle-book:tconstruct:encyclopedia:abilities/armor/helmet/tconstruct_slurping.json:/effects/0	sha256:153fd3c7c2ab115cb98c40d29ef2ec591051eaae0b4f67ac4a27ca8be6f37e67	Нет максимального уровня
mantle-book:tconstruct:encyclopedia:abilities/armor/helmet/tconstruct_slurping.json:/effects/1	sha256:224c33723654475a5ea88c65031ecb693aea802e4d7a959d58b23fa14a7ef3cc	Требуется 1 слот для умений на каждый уровень.
mantle-book:tconstruct:encyclopedia:abilities/armor/helmet/tconstruct_slurping.json:/effects/2	sha256:b860e7f88e087af685df67ecc86a1ed49b463830ebb31ee87e25119fd9071689	Заполняется при использовании инструмента на резервуаре с жидкостью.
mantle-book:tconstruct:encyclopedia:abilities/armor/helmet/tconstruct_slurping.json:/text/0/text	sha256:3062ab813948936e2b3d40083d8b2bcde7aa13cc2133939dc9913e5b67fc8bfe	Позволяет с помощью назначенной клавиши шлема выпить содержащуюся в нём жидкость и получить соответствующий эффект: например, поджечь себя, снять эффекты состояния или утолить голод.
mantle-book:tconstruct:encyclopedia:abilities/armor/helmet/tconstruct_slurping.json:/text/1/text	sha256:7d808c4ce548cf34af2b79b5e3ec1a574f1fc839a442a315899e39acfbf1da8f	При более высоких уровнях расходуется больше жидкости для достижения более сильного эффекта.
mantle-book:tconstruct:encyclopedia:abilities/armor/leggings/tconstruct_crafting_table.json:/effects/0	sha256:4790242817445a0eed06501a9777543cd0aa4b0dc0b936102d62e58503da1099	Макс. уровень: 1
mantle-book:tconstruct:encyclopedia:abilities/armor/leggings/tconstruct_crafting_table.json:/effects/1	sha256:9054648401154dbc81e695699f3000a2016b0de218c5d880c2204f187d4105e5	Требуется слотов для умений: 1
mantle-book:tconstruct:encyclopedia:abilities/armor/leggings/tconstruct_crafting_table.json:/text/0/text	sha256:baa63fc5bb6a1c606bfb4051381a5f54216ae3f479a531a4bc0fd0653b9e697d	Добавляет в инвентарь инструмента станцию создания размером 3x3.
mantle-book:tconstruct:encyclopedia:abilities/armor/leggings/tconstruct_pockets.json:/effects/0	sha256:f9b54a82a08e6a336f8c9a8313eb61cbbb09ac23e4b8c8a6e392d43c2f302be9	Макс. уровней: 2
mantle-book:tconstruct:encyclopedia:abilities/armor/leggings/tconstruct_pockets.json:/effects/1	sha256:224c33723654475a5ea88c65031ecb693aea802e4d7a959d58b23fa14a7ef3cc	Требуется слотов для умений за уровень: 1
mantle-book:tconstruct:encyclopedia:abilities/armor/leggings/tconstruct_pockets.json:/text/0/text	sha256:3a402cc1244ef3d260180c3a29741f1e028c7f2bf50c9523e86bc45536797ff3	Даёт 18 дополнительных слотов, доступ к которым можно получить, удерживая [Shift + Клавиша взаимодействия] с поножами или удерживая штаны.
mantle-book:tconstruct:encyclopedia:abilities/armor/leggings/tconstruct_soul_belt.json:/effects/0	sha256:4790242817445a0eed06501a9777543cd0aa4b0dc0b936102d62e58503da1099	Максимум 1 уровень
mantle-book:tconstruct:encyclopedia:abilities/armor/leggings/tconstruct_soul_belt.json:/effects/1	sha256:9054648401154dbc81e695699f3000a2016b0de218c5d880c2204f187d4105e5	Требуется 1 слот для умений.
mantle-book:tconstruct:encyclopedia:abilities/armor/leggings/tconstruct_soul_belt.json:/effects/2	sha256:beaea8a4d51e0043d9adc320390c241549bc3ee52961852a3e8008a38eeda1ea	Требуется «Связь с душой»
mantle-book:tconstruct:encyclopedia:abilities/armor/leggings/tconstruct_soul_belt.json:/text/0/text	sha256:bd63dbe7fee2826061f63da211723a5988bb4b37a04773b24dc70a71ecf886a0	Предметы на панели быстрого доступа остаются в инвентаре после смерти и возрождения.
mantle-book:tconstruct:encyclopedia:abilities/armor/leggings/tconstruct_tool_belt.json:/effects/0	sha256:b62a0067e9cd5a0a1a7faef53f727c181135044da45151387ff2f24d901742fb	Для первого уровня требуется 1 слот для умений.
mantle-book:tconstruct:encyclopedia:abilities/armor/leggings/tconstruct_tool_belt.json:/effects/1	sha256:f0fbcaf8243313513c99eca4412f3953a51d09d8b8a3fd1e7b2387381a38381f	Макс. уровней: 6
mantle-book:tconstruct:encyclopedia:abilities/armor/leggings/tconstruct_tool_belt.json:/effects/2	sha256:56ef2099d0bfc2c2005035a6ceb3d4cf87aa94a2f85b24eeb4d41dc2b10a9ce5	На каждом уровне разные рецепты.
mantle-book:tconstruct:encyclopedia:abilities/armor/leggings/tconstruct_tool_belt.json:/text/0/text	sha256:0c64a075a7576d4a95028050b96cf091955e0bb3354cd3995497d489a0f9ce57	Позволяет менять местами первые 4 слота панели быстрого доступа с помощью взаимодействия с поножами. Каждый последующий уровень добавляет ещё один слот, пока не будет достигнуто максимальное количество слотов — 9 — на 6-м уровне.
mantle-book:tconstruct:encyclopedia:abilities/armor/shield/tconstruct_boundless.json:/effects/0	sha256:ba7e4d13c3def5ab8184fb906694369e7755ca706450868e0a83d1579a8c79a8	Максимум 1 уровень.
mantle-book:tconstruct:encyclopedia:abilities/armor/shield/tconstruct_boundless.json:/effects/1	sha256:224c33723654475a5ea88c65031ecb693aea802e4d7a959d58b23fa14a7ef3cc	Требуется слотов для умений за уровень: 1
mantle-book:tconstruct:encyclopedia:abilities/armor/shield/tconstruct_boundless.json:/text/0/text	sha256:7405a1178e71738ee59232dc7efc0e91f0a9bb2ea4b7ec1355730583589a1e74	Увеличивает максимальный эффект от модификаторов, таких как защита, драконорождённый или шалкеровый панцирь, с 80% до 90% на 1-м уровне и с 90% до 95% на 2-м уровне. Эффект суммируется на нескольких щитах.
mantle-book:tconstruct:encyclopedia:abilities/armor/shield/tconstruct_reflecting.json:/effects/0	sha256:9054648401154dbc81e695699f3000a2016b0de218c5d880c2204f187d4105e5	Требуется слотов для умений: 1
mantle-book:tconstruct:encyclopedia:abilities/armor/shield/tconstruct_reflecting.json:/text/0/text	sha256:a48da7f811ddd3c4f3b75658ae7fa3a9f4e7022f3426ab0ce2a5700bd8a9109c	При блокировании снаряды перенаправляются в направлении вашего взгляда в течение 2 сек. после развёртывания щита. Каждый доп. уровень даёт ещё 2 сек. на отражение.
mantle-book:tconstruct:encyclopedia:abilities/general.json:/text/0/text	sha256:0481e234d0c491d6d1d85c65a3755940265297bcb9214e15b0946730bee1d2a0	Общие умения эффективны для большинства инструментов, включая инструменты ближнего боя и сбора урожая, а также для брони.
mantle-book:tconstruct:encyclopedia:abilities/general.json:/title	sha256:ce0fcbcba219c15592621f0d2b1afb4265209e449ceb0a0b42de305b5dbcb2dd	Общие умения
mantle-book:tconstruct:encyclopedia:abilities/general/tconstruct_expanded.json:/effects/0	sha256:153fd3c7c2ab115cb98c40d29ef2ec591051eaae0b4f67ac4a27ca8be6f37e67	Нет максимального уровня
mantle-book:tconstruct:encyclopedia:abilities/general/tconstruct_expanded.json:/effects/1	sha256:224c33723654475a5ea88c65031ecb693aea802e4d7a959d58b23fa14a7ef3cc	Требуется 1 слот для умений на каждый уровень.
mantle-book:tconstruct:encyclopedia:abilities/general/tconstruct_expanded.json:/text/0/text	sha256:0236e846d40ab2217699de6e2e5b9f0029bf095d74f728da2e5bdbf43cf51f52	Увеличивает область действия инструмента. Конкретные эффекты описаны на страницах инструментов.
mantle-book:tconstruct:encyclopedia:abilities/general/tconstruct_gilded.json:/effects/0	sha256:153fd3c7c2ab115cb98c40d29ef2ec591051eaae0b4f67ac4a27ca8be6f37e67	Нет макс. уровня
mantle-book:tconstruct:encyclopedia:abilities/general/tconstruct_gilded.json:/effects/1	sha256:224c33723654475a5ea88c65031ecb693aea802e4d7a959d58b23fa14a7ef3cc	Требуется 1 слот для умений за уровень
mantle-book:tconstruct:encyclopedia:abilities/general/tconstruct_gilded.json:/text/0/text	sha256:9e7dc20df90855a8cbad7f6be108df2e6aedd5c6c6078419107ac211c6068775	Обменивает 1 слот для умений на 2 слота для улучшений.
mantle-book:tconstruct:encyclopedia:abilities/general/tconstruct_luck.json:/effects/0	sha256:a5319476fbdb64b586d46514aed7ee03babc61ceba27518cb29b165da3cb0e01	Максимум 3 уровня
mantle-book:tconstruct:encyclopedia:abilities/general/tconstruct_luck.json:/effects/1	sha256:b62a0067e9cd5a0a1a7faef53f727c181135044da45151387ff2f24d901742fb	Первый уровень требует 1 слот для умений
mantle-book:tconstruct:encyclopedia:abilities/general/tconstruct_luck.json:/effects/2	sha256:285463a2a1e080a437a0c01acb52023778e4709322103b6143e7dab94faf4a6e	Второй и третий уровни не требуют слотов
mantle-book:tconstruct:encyclopedia:abilities/general/tconstruct_luck.json:/text/0/text	sha256:20030d0ca287ad2954dd249e764ee6fc0877236576717d31c85391b5e78b4e49	Увеличивает количество предметов, выпадающих из блоков (только для добывающих инструментов) и монстров. Для каждого уровня удачи используется отдельный рецепт; уровни применяются по порядку.
mantle-book:tconstruct:encyclopedia:abilities/general/tconstruct_luck.json:/text/1/text	sha256:6ca0022bf1e87a483d097d1a31243c2baa365fcd977427e6aa9f2b0f466c51ba	Поножи могут иметь 1 уровень удачи, который увеличивает дроп с мобов и блоков при использовании литейных инструментов.
mantle-book:tconstruct:encyclopedia:abilities/general/tconstruct_melting.json:/effects/0	sha256:4790242817445a0eed06501a9777543cd0aa4b0dc0b936102d62e58503da1099	Максимум 1 уровень
mantle-book:tconstruct:encyclopedia:abilities/general/tconstruct_melting.json:/effects/1	sha256:9054648401154dbc81e695699f3000a2016b0de218c5d880c2204f187d4105e5	Требуется 1 слот для умений.
mantle-book:tconstruct:encyclopedia:abilities/general/tconstruct_melting.json:/text/0/text	sha256:21e6209bf6681ab5be96d81dbad21b8b6da282e1ef07fb355f19593a73c4ec80	Расплавляет выпавшие предметы и атакованных сущностей в жидкость, которая поступает в резервуар инструмента. Для большинства мобов максимальный выход жидкости за удар достигается примерно при 4 ед. урона. Также увеличивает ёмкость резервуара инструмента на 1000 мБ.
mantle-book:tconstruct:encyclopedia:abilities/general/tconstruct_melting.json:/text/1/text	sha256:445e8082a56679f982a83efbe5174d4d1c37a0b33032d8727d1efe10bfdd5a8d	Расплавленную жидкость можно слить, взаимодействуя с резервуаром или сливом, удерживая инструмент или часть брони.
mantle-book:tconstruct:encyclopedia:abilities/general/tconstruct_unbreakable.json:/effects/0	sha256:4790242817445a0eed06501a9777543cd0aa4b0dc0b936102d62e58503da1099	Максимум 1 уровень
mantle-book:tconstruct:encyclopedia:abilities/general/tconstruct_unbreakable.json:/effects/1	sha256:08f7615074f16b5d5b9c1cee46ea1a862c708ae6a64b36f8cd5ec53e029cb860	Требуется укрепление V и модификатор Незерит
mantle-book:tconstruct:encyclopedia:abilities/general/tconstruct_unbreakable.json:/effects/2	sha256:9054648401154dbc81e695699f3000a2016b0de218c5d880c2204f187d4105e5	Требуется 1 слот для умений
mantle-book:tconstruct:encyclopedia:abilities/general/tconstruct_unbreakable.json:/text/0/text	sha256:428ae35512ee32bd51f801b8f63cce1557705609b131ba3472c97aa7943a0dee	Не позволяет инструменту терять прочность, кроме урона от особых источников, например особенности «Вкусный».
mantle-book:tconstruct:encyclopedia:abilities/harvest.json:/text/0/text	sha256:84be134f13e9e3b9d261ee938b9a6cbdd88b6b639e95e0a3bfefb5cb48d62081	Умения сбора наиболее полезны для инструментов, ломающих блоки, таких как кирки или лопаты.
mantle-book:tconstruct:encyclopedia:abilities/harvest.json:/title	sha256:975b35b1c9fa38416c70ae32b620ab9720faad88a430be1a554b72c389e6ef6c	Умения сбора
mantle-book:tconstruct:encyclopedia:abilities/harvest/tconstruct_autosmelt.json:/effects/0	sha256:4790242817445a0eed06501a9777543cd0aa4b0dc0b936102d62e58503da1099	Максимум 1 уровень
