id	source_hash	old_translation	new_translation	reason	independent_review	reviewer	initial_new_translation	review_notes
ie-manual:immersiveengineering:conveyors.txt:line:13	sha256:423d83be2553aa53fbf2e2e0ff43f81ce82db9f7ce5f742d480290ac7226ca73	"<&conveyor_vertical_recipe>Вертикальная конвейерная лента - это лента, предназначенная для установки на стенах. С помощью прикрепленных к ней ковшей она будет поднимать предметы прямо вверх. Несмотря на использование термина ""ковш"", она не будет поднимать жидкости."	<&conveyor_vertical_recipe>Вертикальная конвейерная лента предназначена для установки на стенах. Прикреплённые к ней ковши поднимают сущности вверх. Несмотря на название, «ковши» не перемещают жидкости.	Entities ошибочно сужены до предметов; заодно устранены калька и неестественные дефисы.	APPROVED	/root/rescripted_changes_review	<&conveyor_vertical_recipe>Вертикальная конвейерная лента предназначена для установки на стенах. Прикреплённые к ней ковши поднимают сущности вверх. Несмотря на название, «ковши» не перемещают жидкости.	APPROVED_AS_IS
mantle-book:tconstruct:mighty_smelting:tools/tanks.json:/text/0/text	sha256:279c225b1aa44932167ef3c88758c420da1b476dff3bf5d4f8fb4e31b24e2cbb	«Плевок», «Плавление» и «Разбивание» добавляют резервуар. Его можно наполнить через блок-резервуар, слот ведра плавильни (4) или жидкость в её резервуаре (2).	Модификаторы «Плевок», «Плавление» и «Разбивание» добавляют инструменту резервуар. Держа инструмент, заполняйте или опустошайте его через резервуар. В интерфейсе плавильни это также делается через слот ведра (4) или щелчком инструментом по жидкости в резервуаре (2).	В исходном тексте описаны заполнение и опустошение инструмента; текущая фраза теряет действие и делает способ взаимодействия непонятным.	APPROVED	/root/rescripted_changes_review	Модификаторы «Плевок», «Плавление» и «Разбивание» добавляют инструменту резервуар. Держа инструмент, заполняйте или опустошайте его через резервуар. В интерфейсе плавильни это также делается через слот ведра (4) или щелчком инструментом по жидкости в резервуаре (2).	APPROVED_AS_IS
patchouli-json:thermal:guidebook:entries/technology/machines/brewer.json:/pages/0/text	sha256:6e80b4b2a561afcac430e30b07242f4df7a735036007142edfdca58fee1293d3	Алхимическая зельеварка - это механизм, который варит зелья. Создаёт $(l:thermal:technology/potion_fluid)жидкие зелья$(/l), заваривая их не в бутылочке. Одного ингредиента достаточно, чтобы сварить одно ведро зелья, которым можно заполнить 4 бутылки.	Алхимическая зельеварка варит зелья. Она создаёт $(l:thermal:technology/potion_fluid)жидкое зелье$(/l) вместо того, чтобы варить его сразу в бутылочке. Одного ингредиента хватает на ведро зелья, которым можно наполнить 4 бутылочки.	Исправлены неестественная конструкция «заваривая их не в бутылочке» и несогласованное число термина.	APPROVED	/root/rescripted_changes_review	Алхимическая зельеварка варит зелья. Она создаёт $(l:thermal:technology/potion_fluid)жидкое зелье$(/l) вместо того, чтобы варить его сразу в бутылочке. Одного ингредиента хватает на ведро зелья, которым можно наполнить 4 бутылочки.	APPROVED_AS_IS
patchouli-json:thermal:guidebook:entries/world/materials/catalysts.json:/pages/0/text	sha256:1774c7a90e98ff2c4bd126c7f452a8c1d60049c23423c312523848e1de7d9ee0	Катализаторы - это необязательные предметы, используемые для повышения выхода определённых рецептов. Механизмы и их катализаторы перечислены на следующей странице с множителями.	Катализаторы — необязательные предметы, которые расходуются для повышения выхода некоторых рецептов. На следующей странице перечислены механизмы, катализаторы и их множители. Главные результаты рецепта умножаются на «Основное», второстепенные — на «Дополнительное», а энергия за операцию — на «Энергия». «Шанс использования» показывает вероятность расходования катализатора за операцию.	Утрачены четыре завершающих предложения с назначением всех множителей и шансом расхода.	APPROVED	/root/rescripted_changes_review	Катализаторы — необязательные предметы, которые расходуются для повышения выхода некоторых рецептов. На следующей странице перечислены механизмы, катализаторы и их множители. Главные результаты рецепта умножаются на «Основное», второстепенные — на «Дополнительное», а энергия за операцию — на «Энергия». «Шанс использования» показывает вероятность расходования катализатора за операцию.	APPROVED_AS_IS
patchouli-lang:botania:botania.page.elfGear1	sha256:61f06f2a44fbea73de0cf8e1e8103335603398c9ec6d0e2f96fc0ed736dbc577	Каждая часть $(l:alfhomancy/elf_resources)элементиевой$(/l) $(item)брони$(0) увеличивает шанс призвать $(thing)пикси$(0).$(p)$(thing)Пикси$(0) защищает владельца $(l:alfhomancy/elf_resources)элементиевой$(/l) $(item)брони$(0) от агрессоров; появляется, когда владелец пропускает урон.	При получении урона каждая часть брони может призвать $(thing)пикси$(0), которая полетит за нападавшим и нанесёт хороший урон.$(p)Чем больше надето частей $(item)элементиевой брони$(0), тем выше шанс. У каждого инструмента набора есть собственная способность.	Текущий текст искажает условие срабатывания и опускает урон пикси и свойство инструментов набора.	APPROVED	/root/rescripted_changes_review	При получении урона каждая часть брони может призвать $(thing)пикси$(0), которая полетит за нападавшим и нанесёт хороший урон.$(p)Чем больше надето частей $(item)элементиевой брони$(0), тем выше шанс. У каждого инструмента набора есть собственная способность.	APPROVED_AS_IS
patchouli-lang:botania:botania.page.elfGear2	sha256:f65f09795c81bfd4582ef623497b6a1ab66ab2d3d227b86197540209b838171c	$(item)Элементиевая кирка$(0) расщепляет $(item)булыжник$(0), $(item)землю$(0), $(item)незерак$(0) и другие малоценные блоки, оставляя только руды и полезные ресурсы.$(p)Соединение $(l:tools/terra_pick)терра-крушителя$(/l) и $(item)элементиевой кирки$(0) позволит первой кирке получить особенность второй. Этот изменение необратимо.	$(item)Элементиевая кирка$(0) убирает $(item)булыжник$(0), $(item)землю$(0), $(item)незерак$(0) и другие обычные материалы, оставляя руды и ценные ресурсы. Некоторые блоки считаются $(o)условно расходуемыми$(): при добыче с зажатым Shift они не исчезают.$(p)Соедините $(item)элементиевую кирку$(0) с $(l:tools/terra_pick)$(item)терра-крушителем$(0)$(/l) на верстаке, чтобы передать способности первой второму. Это необратимо.	Пропущено правило для условно расходуемых блоков; исправлены неверное согласование и смысл передачи способности.	APPROVED	/root/rescripted_changes_review	$(item)Элементиевая кирка$(0) убирает $(item)булыжник$(0), $(item)землю$(0), $(item)незерак$(0) и другие обычные материалы, оставляя руды и ценные ресурсы. Некоторые блоки считаются $(o)условно расходуемыми$(): при добыче с зажатым Shift они не исчезают.$(p)Соедините $(item)элементиевую кирку$(0) с $(l:tools/terra_pick)$(item)терра-крушителем$(0)$(/l) на верстаке, чтобы передать способности первой второму. Это необратимо.	APPROVED_AS_IS
patchouli-lang:botania:botania.page.manaweave1	sha256:0906a2b2e4503da517783ffb09d95c03013e120530c4ec0ed5766a1ed2fd73be	Так же, как и $(l:tools/mana_gear)манастальная броня$(/l), $(item)манатканное одеяние$(0) использует $(thing)ману$(0), чтобы не изнашиваться.	Полный комплект $(item)манатканного одеяния$(0) усиливает магические жезлы, повышая их силу и/или дальность.$(p)$(item)Манатканное одеяние$(0) чинит себя $(thing)маной$(0) из инвентаря владельца, как $(item)манастальная броня$(0), но расходует $(thing)маны$(0) меньше.	Пропущено свойство полного комплекта и неверно передан ремонт: одеяние чинит себя, а не просто не изнашивается.	APPROVED	/root/rescripted_changes_review	Полный комплект $(item)манатканного одеяния$(0) усиливает магические жезлы, повышая их силу и/или дальность.$(p)$(item)Манатканное одеяние$(0) чинит себя $(thing)маной$(0) из инвентаря владельца, как $(item)манастальная броня$(0), но расходует $(thing)маны$(0) меньше.	APPROVED_AS_IS
patchouli-lang:botania:botania.page.pistonRelay0	sha256:4ab5e97c09b9a4368bf438e37197589845f90d5952c85a067918ef93ba6a5dda	$(item)Поршень$(0) взаимодействует с $(thing)маной$(0) крайне любопытным способом, превращаясь в $(item)силовое реле$(0).$(p)Реле разрывает ткань пространства, передавая любую приложенную к нему силу от поршня, к связанному с реле блоку.	$(item)Поршни$(0) и $(thing)мана$(0) взаимодействуют необычно: пропитанный маной поршень становится $(item)силовым реле$(0), разрывающим ткань пространства. Когда $(item)поршень$(0) толкает реле, так же сдвигается связанный с ним блок.$(p)Чтобы связать реле с блоком, нажмите по нему ПКМ $(l:basics/wand)$(item)жезлом леса$(0)$(/l), затем ПКМ по нужному блоку.	Пропущена необходимая инструкция по привязке реле, а механизм передачи движения описан неточно.	APPROVED	/root/rescripted_changes_review	$(item)Поршни$(0) и $(thing)мана$(0) взаимодействуют необычно: пропитанный маной поршень становится $(item)силовым реле$(0), разрывающим ткань пространства. Когда $(item)поршень$(0) толкает реле, так же сдвигается связанный с ним блок.$(p)Чтобы связать реле с блоком, нажмите по нему ПКМ $(l:basics/wand)$(item)жезлом леса$(0)$(/l), затем ПКМ по нужному блоку.	APPROVED_AS_IS
patchouli-lang:botania:botania.page.spreader12	sha256:e54a25c9f2ccae64ce31d1dfffdbdfc45ed27552d17acdc2d883dfedf38b2eb9	Распространитель прекратит передачу маны, если получит $(thing)редстоун-сигнал$(0). Но для большего контроля подойдёт $(l:mana/redstone_spreader)редстоуновый распространитель$(/l), так как он испускает сгустки только при наличии редстоун-сигнала и не требует цели.	Удерживая $(item)подмостки$(0), нажмите ПКМ по распространителю, чтобы окружить его прочной рамой. Она позволяет размещать со всех сторон хрупкие редстоун-компоненты вроде кнопок и рычагов, а сверху — редстоуновую пыль, повторители и подобные элементы. Рама также удерживает воду внутри распространителя.$(p)Чтобы снять подмостки, нажмите ПКМ, удерживая Shift.	Перевод относится к другой странице и полностью не соответствует английскому источнику.	APPROVED	/root/rescripted_changes_review	Удерживая $(item)подмостки$(0), нажмите ПКМ по распространителю, чтобы окружить его прочной рамой. Она позволяет размещать со всех сторон хрупкие редстоун-компоненты вроде кнопок и рычагов, а сверху — редстоуновую пыль, повторители и подобные элементы. Рама также удерживает воду внутри распространителя.$(p)Чтобы снять подмостки, нажмите ПКМ, удерживая Shift.	APPROVED_AS_IS
patchouli-lang:botania:botania.page.terraPick1	sha256:ba399dfd4e7bb812c9baf2d7c0c8e143c73728228fa371e8995d28597bfdb6c0	Количество $(thing)маны$(0) в крушителе определяет его $(thing)ранг$(0). Ранги (по возрастанию):$(li)$(thing)D$(0) (низший ранг);$(li)$(thing)C$(0);$(li)$(thing)B$(0);$(li)$(thing)A$(0);$(li)$(thing)S$(0);$(li)$(thing)SS$(0) (высший ранг).$(p).$(p)Количество $(thing)маны$(0), требуемое для перехода от ранга к рангу, растёт экспоненциально.	Количество $(thing)маны$(0) в инструменте определяет его $(thing)ранг$(0). Ранги идут от $(thing)D$(0) через $(thing)C$(0), $(thing)B$(0), $(thing)A$(0), $(thing)S$(0) до $(thing)SS$(0): $(thing)D$(0) — низший, а $(thing)SS$(0) — высший ранг.$(p)Количество $(thing)маны$(0), нужное для перехода к следующему рангу, растёт экспоненциально. Для перехода с $(thing)D$(0) на $(thing)C$(0) крушителю достаточно побыть несколько секунд у $(l:mana/pool)$(item)бассейна маны$(0)$(/l).	Восстановлен явный экспоненциальный рост требуемой маны и сохранена инструкция D→C.	APPROVED	/root/rescripted_changes_review	Количество $(thing)маны$(0) в инструменте определяет его $(thing)ранг$(0). Ранги идут от $(thing)D$(0) через $(thing)C$(0), $(thing)B$(0), $(thing)A$(0), $(thing)S$(0) до $(thing)SS$(0): $(thing)D$(0) — низший, а $(thing)SS$(0) — высший ранг.$(p)Чем выше ранг, тем больше $(thing)маны$(0) нужно для следующего. Чтобы подняться с $(thing)D$(0) до $(thing)C$(0), крушителю достаточно несколько секунд побыть у $(l:mana/pool)$(item)бассейна маны$(0)$(/l).	REVISED: восстановлен экспоненциальный рост требуемой маны; после checkpoint review исправлен порядок слов «побыть несколько секунд».
