"id"	"effective_translation"	"runtime_translation"	"report_generated_at"
"item:item.actuallyadditions.advanced_coil"	"Продвинутая катушка"	"Продвинутая катушка"	"2026-08-05T19:26:07.217840Z"
"item:item.actuallyadditions.advanced_leaf_blower"	"Продвинутый воздуходув"	"Продвинутый воздуходув"	"2026-08-05T19:26:07.217840Z"
"item:block.actuallyadditions.atomic_reconstructor"	"Атомный реконстрактор"	"Атомный реконстрактор"	"2026-08-05T19:26:07.217840Z"
"item:item.actuallyadditions.basic_coil"	"Базовая катушка"	"Базовая катушка"	"2026-08-05T19:26:07.217840Z"
"item:item.actuallyadditions.bats_wing"	"Мышиные крылья"	"Мышиные крылья"	"2026-08-05T19:26:07.217840Z"
"item:block.actuallyadditions.battery_box"	"Батарейный блок"	"Батарейный блок"	"2026-08-05T19:26:07.217840Z"
"item:block.actuallyadditions.bio_reactor"	"Биореактор"	"Биореактор"	"2026-08-05T19:26:07.217840Z"
"item:item.actuallyadditions.black_quartz"	"Чёрный кварц"	"Чёрный кварц"	"2026-08-05T19:26:07.217840Z"
"item:block.actuallyadditions.black_quartz_block"	"Блок чёрного кварца"	"Блок чёрного кварца"	"2026-08-05T19:26:07.217840Z"
"item:block.actuallyadditions.black_quartz_brick_block"	"Черные кварцевые кирпичи"	"Черные кварцевые кирпичи"	"2026-08-05T19:26:07.217840Z"
