id	source_hash	translation
patchouli-lang:actuallyadditions:booklet.actuallyadditions.chapter.book_tutorial	sha256:8e02534b839ac9a39bada9c589cd77b71ddd146c8ec3a1030753b70571770733	Знакомство с руководством
patchouli-lang:actuallyadditions:booklet.actuallyadditions.chapter.book_tutorial.text.1	sha256:54e3751e0639c92dc9cf74de9e7b69803acd6be924a09d53258dc2a897380b45	<item>Руководство Actually Additions<r>, которое вы сейчас читаете, содержит множество <imp>полезных сведений обо всех предметах<r>. <n>Разобравшись с управлением, вы легко найдёте нужную информацию. Вот краткий обзор: <n><n>Находясь в <item>главе<r>, как сейчас, используйте <imp>белые кнопки внизу<r>, чтобы листать страницы назад и вперёд. То же самое можно делать <imp>колесом мыши<r>. <n>Но руководство состоит не только из глав.
patchouli-lang:actuallyadditions:booklet.actuallyadditions.chapter.book_tutorial.text.2	sha256:4c90ae9a2d4318d0221a1e19d18575976738436174c80b70f3e53386bf6a620f	Если <imp>вернуться<r> на уровень выше с помощью <imp>кнопки слева вверху<r> или <imp>правой кнопки мыши<r>, вы окажетесь в <item>разделе<r>. Разделы содержат все главы, относящиеся к <imp>определённой теме<r>. Здесь также можно <imp>листать страницы<r> и нажимать на предметы. <n><n><imp>Вернувшись ещё на один уровень выше<r> тем же способом, вы попадёте на <item>главную страницу<r> руководства. <n><n><i>Теперь перелистните страницу кнопкой справа внизу.
patchouli-lang:actuallyadditions:booklet.actuallyadditions.chapter.book_tutorial.text.3	sha256:b51f19a9fd467ef33d3c0f18956b645df2e5069bd992ba5aad6c6d90128563f2	На <item>главной странице<r> находится список <imp>всех разделов<r>, по которым можно нажимать. <n><n><item>Закладки<r> расположены <imp>внизу руководства<r>. Находясь <imp>в главе<r>, можно <imp>добавить текущую страницу в закладки<r>, чтобы <imp>вернуться к ней позже<r>. <n><n>У руководства есть и <imp>много других возможностей<r>. Изучите интерфейс, чтобы найти их все! <n><n><i>Теперь нажмите кнопку возврата слева вверху или правую кнопку мыши, чтобы выйти из этой главы.
patchouli-lang:actuallyadditions:booklet.actuallyadditions.chapter.crystals	sha256:83e184e664fca24cb9385178051223ccb78a66a8110fe52714e99f03f05419cc	Кристаллы и реконстрактор
patchouli-lang:actuallyadditions:booklet.actuallyadditions.chapter.crystals.text.1	sha256:b04132de15f64eda4510bd207ceb233637bf8816fc92a23f4fcb4397408f0fde	<item>Атомный реконстрактор<r> создаёт <item>кристаллы<r> — основной материал для изготовления большинства предметов из <imp>Actually Additions<r>. <n>Получив энергию, он выпускает лазерный луч. <tifisgrin>Луч преобразует все подходящие предметы и блоки на своём пути, пока не упрётся в блок.
patchouli-lang:actuallyadditions:booklet.actuallyadditions.chapter.crystals.text.2	sha256:0390a171af91e4219d84d7b0783e13c855e5c975740827db17a40a404156a999	Каждый выстрел лазера расходует <imp>1000 CF<r>, а дополнительный расход зависит от преобразования. <n>На реконстрактор можно установить различные <item>линзы<r>. Они меняют его обычное поведение и позволяют делать много интересного. <n><imp>Подробнее<r> об этом читайте в разделе <imp>«Реконструкция»<r>.
patchouli-lang:actuallyadditions:booklet.actuallyadditions.chapter.crystals.text.3	sha256:c8062ab0571e7b40ca76517fcbbfcf6ac3438e9df19b09ff33b85763f3816010	Нажатие ПКМ по реконстрактору с <item>редстоуновым факелом<r> переключает режимы: в одном сигнал редстоуна <imp>отключает устройство<r>, в другом оно <imp>реагирует на импульсы<r>. Если в рецепте не указана линза, значит, она <imp>не нужна<r>. <n><i>Казалось бы, это очевидно.
patchouli-lang:actuallyadditions:booklet.actuallyadditions.chapter.crystals.text.5	sha256:611bf24d56813e3d1f0e40a7f9f628e4d6be75169e38f22a2dbea0c99d4bd02c	Создав несколько предметов, вы наверняка захотите <imp>автоматизировать процесс<r>. <n>Это можно сделать очень просто: <n>Установите <item>Атомный реконстрактор<r> так, чтобы он смотрел в <item>Автоматический точный выбрасыватель<r> (его можно найти в разделе <imp>«Все предметы»<r>!). <n>Затем поставьте рядом <item>Диапазонный собиратель<r> и добавьте преобразованные предметы в его список разрешённых. <n>Теперь достаточно загрузить сырьё в выбрасыватель!
patchouli-lang:actuallyadditions:booklet.actuallyadditions.chapter.crystals.text.6	sha256:a36b3f3f6cd2b50b8090e2c260a567dc173aafa0f5c7e4317b6c72cc5a9532b2	<n><n><n><i>Молекулярный трансформилятор
patchouli-lang:actuallyadditions:booklet.actuallyadditions.chapter.engineer_house	sha256:ed4f7455b8e619a22bd67b8e25d87e9e923596e1a5042639e2aeaaa5bdccf87c	В гостях у инженеров
patchouli-lang:actuallyadditions:booklet.actuallyadditions.chapter.engineer_house.text.1	sha256:bf9cab330b0ff42f0da199f84010ee34d1d5348bba8a88e29ae78c7c29fe5947	Если не знаете, с чего начать, посмотрите, чем занимаются <imp>инженеры<r>. <n>Это два дружелюбных <imp>жителя<r>, продающих разные товары. <item>Кристаллизатор<r> обменивает <imp>изумруды и кристаллы<r>, а <item>инженер<r> торгует <imp>различными машинами<r>! <n>На следующей странице показан <imp>дом<r>, где они живут. Его тоже стоит осмотреть! Но будьте осторожны: <imp>машины внутри дома<r> довольно <imp>хрупкие<r> и разобьются, если попытаться их сломать.
patchouli-lang:actuallyadditions:booklet.actuallyadditions.chapter.engineer_house.text.2	sha256:b9a13a52c6ae5f652fda06d8220c1a36eec27b8982726c803a9ef22c1976a6e2	<i>     Первые машины
patchouli-lang:actuallyadditions:booklet.actuallyadditions.chapter.intro	sha256:18cc299b642f5e6aac3ed6465fe54685daea9a1db1d426f3789c802875e94233	История ActAdd
patchouli-lang:actuallyadditions:booklet.actuallyadditions.chapter.intro.text.1	sha256:9b8104eaedd68eeac7c4cb3dff75d551d66c517c63a8fba894984cefdcceda81	<i>Слишком долго жители Майнкрафтии трудились под неумолимым кнутом. Кнутом, куда более жестоким и мучительным, чем у любого рабовладельца: неудобством. Да, тысячами миллионов неудобств, из которых складывается гринд, заставляющий игроков тратить часы — нет, дни! — на рубку леса, выращивание пшеницы и прочие обыденные занятия,
patchouli-lang:actuallyadditions:booklet.actuallyadditions.chapter.intro.text.2	sha256:dbdddb018d1f8d5e00c63e5a64e29dbf643f9532f285559b342cfde1093ad0fe	<i>лишь затем, чтобы ненадолго вырваться из беспощадной рутины и испытать истинные радости Майнкрафтии: строительство, исследование пещер и приключения в прекрасных неизведанных просторах мира. Но стоит погрузиться в созидание, как неудобства возвращаются, словно миллионы разъярённых пчёл: докучают, жалят и роятся вокруг, пока игра не перестанет приносить радость и вы не покинете её навсегда.
patchouli-lang:actuallyadditions:booklet.actuallyadditions.chapter.intro.text.3	sha256:a1283af2b1ae2b580bd6bb6671fec66e9da0f7607da66345a904454ab08a6c56	<i>Чтобы положить этому конец, некто Ellpeck создал это настоящее дополнение к миру Minecraft. Оно позволяет игроку сосредоточиться на главном — строительстве и приключениях, — автоматизируя и упрощая монотонный гринд. И потому Ellpeck смиренно представляет вам Руководство Actually Additions, которое научит вас пользоваться этой модификацией и в конечном счёте
patchouli-lang:actuallyadditions:booklet.actuallyadditions.chapter.video_guide	sha256:32c4a6f2c070feb325752e6c714e9cb8c5161dada66d3dea25e98cceeca16fb5	Видеоруководство
patchouli-lang:actuallyadditions:booklet.actuallyadditions.chapter.video_guide.booty.button	sha256:254b90cb16499b0a13cea8bafddfb017bb6e49dc2ac59545950830d4a3f14dfc	Видео BootyToast
patchouli-lang:actuallyadditions:booklet.actuallyadditions.chapter.video_guide.booty.text.1	sha256:c9b52c947e32d45c98d9c38d51834f397db8a3acb9cae7aa69d3a4da96cbe6c5	Если хотите получить <imp>наглядное представление<r> о возможностях <item>Actually Additions<r>, посмотрите замечательное видео моего друга <item>Booty Toast<r> (да, имя странное, я знаю).
patchouli-lang:actuallyadditions:booklet.actuallyadditions.chapter.video_guide.dire.text.1	sha256:c823c971e62f619051bd9ae0065eb1a5f52bf69ff77bbbb28e63ed4451a8a494	Есть и второй вариант: <imp>плейлист<r> с <imp>обзором<r> от <item>Direwolf20<r>. Он немного новее другого видео, но <imp>гораздо длиннее<r> и подробнее рассказывает о моде. Выбор за вами: быстрое знакомство
patchouli-lang:actuallyadditions:booklet.actuallyadditions.indexEntry.getting_started	sha256:d00eca1bae6742803906ab42a831e8b5396d15b6573ea13c139ec31631208ec1	Начало работы
patchouli-lang:actuallyadditions:booklet.actuallyadditions.reconstructor_recipe	sha256:c7fda940e457aba2420594e53da923c6d2465d3c1641f07f48f99ad6455f4386	Рецепт атомного реконстрактора
patchouli-lang:actuallyadditions:booklet.actuallyadditions.shapeless_recipe	sha256:d1212f5a4d9a13dd30541e86f70a17c1aa873f8201d14636f4eaaec0c9d8fbf4	Бесформенный рецепт
patchouli-lang:botania:botania.page.bIntro0_trinkets	sha256:b5d01ff8f8fde6ee29b037d81c319fc94efccd8a611eea90a02cd325da5a1180	$(thing)Безделушки$(0) (также известные как $(thing)Диковинки$(0), $(thing)Амулеты$(0) или $(thing)Фенечки$(0)) — это аксессуары, дающие при ношении самые разные эффекты.
patchouli-lang:botania:botania.page.corporeaFunnel3	sha256:ffae96e814fbdc01ff80197be4423aa3ba997ff3b3be773d2986afc54a52ddd3	Подобно $(l:functional_flowers/hopperhock)$(item)Воротку$(0)$(/l), $(item)Воронка Хранилища$(0) поддерживает непустые предметы-контейнеры в $(item)светящихся рамках$(0), позволяя указать несколько возможных совпадений. Относительный размер стопок в контейнере определяет вероятность выбора каждого предмета для запроса.$(p)Количество запрашиваемых предметов по-прежнему задаётся поворотом контейнера в рамке.
patchouli-lang:botania:botania.page.enderHand0a	sha256:2883b8c35b6ccadb25f520f40d2f57bf5917f91f09202fdb383d9f083baaaf3b	$(item)Рука Края$(0) открывает доступ к межпространственному карману владельца, то есть к инвентарю его $(item)эндер-сундука$(0). Этот инвентарь можно открыть в любом месте, нажав ПКМ с рукой и потратив немного $(thing)маны$(0).
patchouli-lang:botania:botania.page.looniumStructures	sha256:ed8280343bd3bf25b91da53782aa55d469de0c077d9c9babc94b67d6778e9976	Обычно Лутюльпан призывает сокровища, которые можно найти в $(thing)подземелье$(0). Но он чувствителен к крупным структурам мира: если посадить его внутри такой структуры, он будет призывать сокровища, соответствующие окружению.$(p)Похоже, Лутюльпан довольно привередлив: некоторые предметы могут никогда не выпасть из призванных им монстров.
patchouli-lang:botania:botania.page.turntable1	sha256:47d85b35714a17316a6ca98d70012496f24db2c4f4b00252b4a674f1b2e42606	Ты крутишь меня по кругу
