namespace	key	en_us	current_ru	proposed_ru	reason
antiblocksrechiseled	block.antiblocksrechiseled.bright_black	Bright Black AntiBlock		Яркий чёрный антиблок	Короткое естественное название; согласовано с цветами, материалами и семейством.
antiblocksrechiseled	block.antiblocksrechiseled.bright_black_border	Bright Black Bordered AntiBlock		Яркий чёрный антиблок с рамкой	Короткое естественное название; согласовано с цветами, материалами и семейством.
antiblocksrechiseled	block.antiblocksrechiseled.bright_blue	Bright Blue AntiBlock		Яркий синий антиблок	Короткое естественное название; согласовано с цветами, материалами и семейством.
antiblocksrechiseled	block.antiblocksrechiseled.bright_blue_border	Bright Blue Bordered AntiBlock		Яркий синий антиблок с рамкой	Короткое естественное название; согласовано с цветами, материалами и семейством.
antiblocksrechiseled	block.antiblocksrechiseled.bright_cyan	Bright Cyan AntiBlock		Яркий бирюзовый антиблок	Короткое естественное название; согласовано с цветами, материалами и семейством.
antiblocksrechiseled	block.antiblocksrechiseled.bright_cyan_border	Bright Cyan Bordered AntiBlock		Яркий бирюзовый антиблок с рамкой	Короткое естественное название; согласовано с цветами, материалами и семейством.
antiblocksrechiseled	block.antiblocksrechiseled.bright_green	Bright Green AntiBlock		Яркий зелёный антиблок	Короткое естественное название; согласовано с цветами, материалами и семейством.
antiblocksrechiseled	block.antiblocksrechiseled.bright_green_border	Bright Green Bordered AntiBlock		Яркий зелёный антиблок с рамкой	Короткое естественное название; согласовано с цветами, материалами и семейством.
antiblocksrechiseled	block.antiblocksrechiseled.bright_magenta	Bright Magenta AntiBlock		Яркий пурпурный антиблок	Короткое естественное название; согласовано с цветами, материалами и семейством.
antiblocksrechiseled	block.antiblocksrechiseled.bright_magenta_border	Bright Magenta Bordered AntiBlock		Яркий пурпурный антиблок с рамкой	Короткое естественное название; согласовано с цветами, материалами и семейством.
antiblocksrechiseled	block.antiblocksrechiseled.bright_orange	Bright Orange AntiBlock		Яркий оранжевый антиблок	Короткое естественное название; согласовано с цветами, материалами и семейством.
antiblocksrechiseled	block.antiblocksrechiseled.bright_orange_border	Bright Orange Bordered AntiBlock		Яркий оранжевый антиблок с рамкой	Короткое естественное название; согласовано с цветами, материалами и семейством.
antiblocksrechiseled	block.antiblocksrechiseled.bright_red	Bright Red AntiBlock		Яркий красный антиблок	Короткое естественное название; согласовано с цветами, материалами и семейством.
antiblocksrechiseled	block.antiblocksrechiseled.bright_red_border	Bright Red Bordered AntiBlock		Яркий красный антиблок с рамкой	Короткое естественное название; согласовано с цветами, материалами и семейством.
antiblocksrechiseled	block.antiblocksrechiseled.bright_white	Bright White AntiBlock		Яркий белый антиблок	Короткое естественное название; согласовано с цветами, материалами и семейством.
antiblocksrechiseled	block.antiblocksrechiseled.bright_white_border	Bright White Bordered AntiBlock		Яркий белый антиблок с рамкой	Короткое естественное название; согласовано с цветами, материалами и семейством.
antiblocksrechiseled	block.antiblocksrechiseled.bright_yellow	Bright Yellow AntiBlock		Яркий жёлтый антиблок	Короткое естественное название; согласовано с цветами, материалами и семейством.
antiblocksrechiseled	block.antiblocksrechiseled.bright_yellow_border	Bright Yellow Bordered AntiBlock		Яркий жёлтый антиблок с рамкой	Короткое естественное название; согласовано с цветами, материалами и семейством.
antiblocksrechiseled	block.antiblocksrechiseled.button_bright_black	Bright Black AntiBlock Button		Кнопка из яркого чёрного антиблока	Короткое естественное название; согласовано с цветами, материалами и семейством.
