id	source_hash	old_translation	new_translation	reason	independent_review
block:block.actuallyadditions.black_quartz_brick_slab	sha256:897291069a07798fb0ce0346b41669fd9fba1e4828b4ad4a50f0ca7626bd7c05	Плита из черного кварца	Плита из чёрных кварцевых кирпичей	В названии потерян тип материала Black Quartz Brick.	APPROVED
block:block.actuallyadditions.black_quartz_brick_stair	sha256:1e552d89ad544f0c2f8766290904c8e84782e7551f224f6a8a3ee8b5f5f9278f	Супеньки из черного кварца	Ступеньки из чёрных кварцевых кирпичей	Опечатка «Супеньки» и потерян тип материала Black Quartz Brick.	APPROVED
block:block.actuallyadditions.black_quartz_brick_wall	sha256:adeb60c666c65ad2d2742c6e56b2302a9b93fa4b52c095d25869b749243930ea	Ограда из черного кварца	Ограда из чёрных кварцевых кирпичей	В названии потерян тип материала Black Quartz Brick.	APPROVED
block:block.actuallyadditions.empowered_diamatine_crystal_block	sha256:f341a5d297c39260204fed1c8abf15d4640ebfe0ad20c41a434e0d75ace05327	Усиленный кристальный Диаматина	Усиленный кристальный блок Диаматина	Пропущено слово «блок», нарушена грамматика семейства.	APPROVED
block:block.actuallyadditions.empowered_emeradic_crystal_block	sha256:d90dac9a8b5635483200290dd7c3757751159f27050ff60eb8bc080e6f8bbdf9	Усиленный кристальный Эмерадиса	Усиленный кристальный блок Эмерадиса	Пропущено слово «блок», нарушена грамматика семейства.	APPROVED
block:block.actuallyadditions.empowered_palis_crystal_block	sha256:c6abd7b0231c232a5bee07fe7cf2b38b712c0bafeb9f0dace04a3ef6fc880990	Усиленный кристальный Палиса	Усиленный кристальный блок Палиса	Пропущено слово «блок», нарушена грамматика семейства.	APPROVED
block:block.actuallyadditions.empowered_restonia_crystal_block	sha256:d4e8b2506ce6591c52b2008c88a75b186ed3af8d265ca48f64a0866dfe5040c6	Усиленный кристальный Рестонии	Усиленный кристальный блок Рестонии	Пропущено слово «блок», нарушена грамматика семейства.	APPROVED
block:block.actuallyadditions.empowered_void_crystal_block	sha256:7bc102a32954e0c02e39dbab7360f35a97516b4dd1c705a0f2e836b5fa9ab0e6	Усиленный кристальный Пустоты	Усиленный кристальный блок Пустоты	Пропущено слово «блок», нарушена грамматика семейства.	APPROVED
block:block.actuallyadditions.ethetic_green_stairs	sha256:d20cd69bed71ddc00b07314de0987918ff1d3253e27c8168072819360ed981cd	Декоративная лестница зелёный кварц	Декоративные ступеньки из зелёного кварца	Нарушена грамматика названия.	APPROVED
block:block.actuallyadditions.ethetic_white_stairs	sha256:2d13b0c2ca60648b622981e286f7c4d9ad0f3398c2476c5e88d7c022f05ff449	Декоративная лестница кварц	Декоративные ступеньки из кварца	Нарушена грамматика названия.	APPROVED
